TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.842,-0.526,0.044,3.601,11.169,-18.982,
00:00:00:16,0.841,-0.527,0.046,1.831,11.962,-19.715,
00:00:00:33,0.843,-0.527,0.046,1.77,12.817,-19.898,
00:00:00:50,0.845,-0.528,0.043,2.197,12.146,-20.813,
00:00:00:66,0.843,-0.528,0.044,3.295,10.803,-20.691,
00:00:00:83,0.842,-0.528,0.043,4.699,12.023,-19.165,
00:00:00:100,0.838,-0.529,0.045,3.234,12.146,-18.982,
00:00:00:116,0.837,-0.527,0.045,0.488,10.925,-19.043,
00:00:00:133,0.835,-0.528,0.045,-4.09,12.695,-19.959,
00:00:00:150,0.838,-0.526,0.046,-2.625,11.596,-19.349,
00:00:00:166,0.84,-0.523,0.041,-2.747,12.573,-19.776,
00:00:00:183,0.842,-0.525,0.042,3.54,10.131,-19.776,
00:00:00:200,0.85,-0.529,0.046,6.469,9.155,-18.189,
00:00:00:216,0.844,-0.528,0.045,0.854,9.216,-20.203,
00:00:00:233,0.841,-0.524,0.041,-0.489,8.728,-21.363,
00:00:00:250,0.837,-0.522,0.045,3.173,9.338,-22.461,
00:00:00:266,0.837,-0.521,0.042,5.493,9.643,-23.072,
00:00:00:283,0.839,-0.524,0.04,6.774,10.009,-20.142,
00:00:00:300,0.841,-0.526,0.047,6.286,8.911,-20.203,
00:00:00:316,0.847,-0.531,0.041,7.873,7.873,-20.874,
00:00:00:333,0.843,-0.529,0.042,6.897,7.568,-21.912,
00:00:00:350,0.842,-0.526,0.048,1.464,8.728,-26.673,
00:00:00:366,0.839,-0.518,0.045,2.807,8.972,-29.786,
00:00:00:383,0.846,-0.513,0.043,10.376,3.234,-30.091,
00:00:00:400,0.842,-0.512,0.039,21.301,2.075,-30.091,
00:00:00:416,0.838,-0.518,0.039,25.146,2.502,-26.917,
00:00:00:433,0.837,-0.519,0.038,20.752,7.69,-25.94,
00:00:00:450,0.835,-0.521,0.035,18.005,10.009,-24.72,
00:00:00:466,0.838,-0.529,0.039,19.775,12.329,-22.278,
00:00:00:483,0.836,-0.532,0.037,17.273,13.061,-21.607,
00:00:00:500,0.836,-0.535,0.037,17.211,14.038,-21.241,
00:00:00:516,0.842,-0.539,0.041,14.526,14.282,-22.4,
00:00:00:533,0.846,-0.542,0.048,13.61,15.686,-23.926,
00:00:00:550,0.835,-0.533,0.048,0.061,13.61,-26.429,
00:00:00:566,0.838,-0.528,0.044,0.427,13.61,-27.344,
00:00:00:583,0.836,-0.527,0.041,3.418,12.634,-26.368,
00:00:00:600,0.837,-0.53,0.043,2.929,16.845,-22.889,
00:00:00:616,0.836,-0.538,0.034,-7.508,22.461,-20.874,
00:00:00:633,0.838,-0.538,0.038,-9.827,19.592,-24.17,
00:00:00:650,0.841,-0.538,0.035,-12.696,20.629,-25.574,
00:00:00:666,0.844,-0.531,0.037,-15.198,21.667,-25.208,
00:00:00:683,0.838,-0.524,0.038,-16.053,21.789,-26.673,
00:00:00:700,0.835,-0.519,0.044,-13.672,26.062,-25.818,
00:00:00:716,0.838,-0.521,0.045,-6.775,26.916,-26.246,
00:00:00:733,0.842,-0.525,0.046,-2.503,25.756,-25.025,
00:00:00:750,0.841,-0.533,0.047,0.488,24.719,-23.377,
00:00:00:766,0.843,-0.543,0.048,-7.752,26.428,-20.935,
00:00:00:783,0.836,-0.543,0.045,-17.212,27.16,-17.701,
00:00:00:800,0.836,-0.539,0.039,-25.574,32.043,-20.081,
00:00:00:816,0.829,-0.536,0.037,-29.358,35.827,-20.325,
00:00:00:833,0.831,-0.536,0.034,-28.992,37.17,-20.691,
00:00:00:850,0.831,-0.535,0.033,-32.532,41.015,-19.654,
00:00:00:866,0.83,-0.536,0.025,-34.119,45.349,-17.518,
00:00:00:883,0.83,-0.538,0.028,-37.842,49.377,-14.1,
00:00:00:900,0.829,-0.537,0.034,-46.448,52.49,-12.574,
00:00:00:916,0.824,-0.535,0.029,-53.162,57.861,-12.818,
00:00:00:933,0.83,-0.537,0.032,-56.946,62.011,-11.536,
00:00:00:950,0.838,-0.539,0.034,-60.425,64.453,-11.353,
00:00:00:966,0.843,-0.535,0.034,-64.026,62.683,-11.78,
00:00:00:983,0.853,-0.543,0.041,-64.209,59.57,-12.207,
00:00:01:0,0.853,-0.536,0.038,-72.693,58.044,-11.719,
00:00:01:16,0.847,-0.516,0.044,-59.815,53.588,-18.494,
00:00:01:33,0.846,-0.499,0.033,-52.674,49.377,-32.349,
00:00:01:50,0.848,-0.519,0.031,-36.56,41.565,-32.41,
00:00:01:66,0.85,-0.519,0.027,-41.26,41.442,-26.246,
00:00:01:83,0.851,-0.511,0.019,-38.147,39.611,-25.635,
00:00:01:100,0.845,-0.509,0.015,-20.935,34.118,-27.588,
00:00:01:116,0.854,-0.531,0.02,-27.161,36.621,-25.574,
00:00:01:133,0.856,-0.512,0.023,-31.373,33.874,-25.269,
00:00:01:150,0.855,-0.515,0.025,-23.377,30.7,-29.969,
00:00:01:166,0.854,-0.514,0.027,-11.719,23.498,-30.091,
00:00:01:183,0.855,-0.513,0.033,-6.897,19.653,-29.786,
00:00:01:200,0.847,-0.512,0.036,-0.794,15.869,-28.931,
00:00:01:216,0.852,-0.516,0.033,0.488,13.732,-30.945,
00:00:01:233,0.851,-0.512,0.028,5.615,11.169,-31.067,
00:00:01:250,0.851,-0.517,0.026,9.948,6.836,-31.861,
00:00:01:266,0.849,-0.514,0.021,10.925,6.836,-30.945,
00:00:01:283,0.849,-0.514,0.022,14.953,3.051,-28.138,
00:00:01:300,0.847,-0.516,0.024,15.075,3.601,-27.527,
00:00:01:316,0.845,-0.511,0.023,19.043,4.943,-27.771,
00:00:01:333,0.843,-0.515,0.024,31.555,2.868,-27.1,
00:00:01:350,0.841,-0.527,0.021,34.545,2.197,-25.879,
