TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.722,-0.714,0.288,-71.534,17.761,-10.865,
00:00:00:16,0.744,-0.519,0.33,-187.928,20.507,33.142,
00:00:00:33,0.711,-0.521,0.333,10.131,-6.653,-20.752,
00:00:00:50,0.705,-0.697,0.32,86.731,-10.376,-48.462,
00:00:00:66,0.705,-0.668,0.303,19.714,9.643,-27.894,
00:00:00:83,0.727,-0.573,0.37,-5.127,9.643,-23.438,
00:00:00:100,0.708,-0.507,0.298,70.312,59.082,-15.992,
00:00:00:116,0.76,-0.56,0.416,146.545,29.357,-10.254,
00:00:00:133,0.715,-0.618,0.319,228.454,5.31,-0.977,
00:00:00:150,0.712,-0.595,0.283,186.645,36.926,3.723,
00:00:00:166,0.706,-0.745,0.274,70.312,30.517,-27.832,
00:00:00:183,0.724,-0.694,0.283,-70.496,25.94,11.474,
00:00:00:200,0.726,-0.584,0.302,-87.891,-6.653,6.347,
00:00:00:216,0.737,-0.614,0.321,-42.054,-34.424,3.54,
00:00:00:233,0.715,-0.677,0.302,-58.472,-45.044,27.038,
00:00:00:250,0.686,-0.685,0.311,-81.116,-39.124,14.648,
00:00:00:266,0.658,-0.561,0.324,-13.001,0.915,17.639,
00:00:00:283,0.736,-0.631,0.381,16.662,5.188,-2.198,
00:00:00:300,0.761,-0.595,0.371,-18.189,-6.226,22.155,
00:00:00:316,0.721,-0.568,0.355,21.606,-23.682,10.864,
00:00:00:333,0.703,-0.671,0.344,45.105,-19.227,-33.326,
00:00:00:350,0.715,-0.675,0.36,-58.655,1.831,-16.175,
00:00:00:366,0.754,-0.505,0.378,-40.406,16.235,23.071,
00:00:00:383,0.724,-0.462,0.373,155.09,38.94,3.479,
00:00:00:400,0.74,-0.636,0.344,328.918,34.606,-36.194,
00:00:00:416,0.748,-0.677,0.286,312.866,32.836,-30.701,
00:00:00:433,0.723,-0.694,0.265,192.566,14.587,-35.157,
00:00:00:450,0.722,-0.689,0.23,33.996,16.113,-37.903,
00:00:00:466,0.749,-0.708,0.239,-138.184,-26.368,-34.424,
00:00:00:483,0.683,-0.696,0.307,-279.053,-36.683,-9.339,
00:00:00:500,0.63,-0.589,0.352,-337.281,-4.029,-7.203,
00:00:00:516,0.685,-0.55,0.365,-270.02,18.005,-22.828,
00:00:00:533,0.737,-0.547,0.38,-135.498,19.775,-0.061,
00:00:00:550,0.755,-0.551,0.37,-37.171,2.258,31.005,
00:00:00:566,0.729,-0.557,0.348,98.388,-22.339,25.756,
00:00:00:583,0.712,-0.667,0.347,170.837,-32.776,-21.485,
00:00:00:600,0.715,-0.695,0.319,130.859,-15.992,-34.974,
00:00:00:616,0.73,-0.671,0.355,30.334,-11.292,-14.954,
00:00:00:633,0.743,-0.513,0.377,31.066,11.352,19.714,
00:00:00:650,0.714,-0.5,0.336,261.047,14.465,-15.503,
00:00:00:666,0.724,-0.693,0.281,354.065,25.634,-60.975,
00:00:00:683,0.743,-0.718,0.243,198.303,20.141,-35.279,
00:00:00:700,0.712,-0.71,0.221,57.067,1.525,-56.275,
00:00:00:716,0.718,-0.715,0.248,-73.67,-20.691,-49.561,
00:00:00:733,0.717,-0.649,0.296,-164.002,-39.368,-31.8,
00:00:00:750,0.675,-0.602,0.304,-187.5,-16.053,-16.175,
00:00:00:766,0.669,-0.629,0.305,-222.779,3.601,-56.031,
00:00:00:783,0.727,-0.602,0.349,-227.417,30.822,-36.499,
00:00:00:800,0.77,-0.569,0.379,-196.9,23.681,-16.846,
00:00:00:816,0.743,-0.501,0.391,-77.271,-8.301,16.113,
00:00:00:833,0.693,-0.547,0.414,136.779,-22.522,-27.283,
00:00:00:850,0.72,-0.66,0.416,216.369,-11.536,-50.599,
00:00:00:866,0.735,-0.596,0.391,220.886,-15.381,-46.082,
00:00:00:883,0.742,-0.566,0.324,222.717,-12.391,-25.269,
00:00:00:900,0.697,-0.558,0.275,160.339,43.762,-3.052,
00:00:00:916,0.697,-0.629,0.266,93.994,71.044,-56.092,
00:00:00:933,0.726,-0.675,0.261,27.16,74.157,-41.565,
