TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,1.015,0.431,0.118,633.911,318.542,-75.501,0,0,0,
,1.002,0.426,0.182,692.871,210.144,-99.488,0,0,0,
,0.814,0.424,0.17,652.588,202.575,-123.78,0,0,0,
,0.855,0.399,0.152,573.242,227.356,-127.137,0,0,0,
,1.053,0.388,0.126,517.822,246.399,-153.016,0,0,0,
,1.033,0.358,0.109,67.443,-59.815,-89.539,0,0,0,
,0.958,0.368,0.064,-165.528,-117.249,-1.954,0,0,0,
,0.865,0.364,0.059,-267.273,-175.232,93.811,0,0,0,
,0.759,0.369,0.125,-280.091,-195.862,185.241,0,0,0,
,0.782,0.372,0.176,-264.466,-86.67,244.812,0,0,0,
,0.92,0.408,0.13,-195.74,8.85,266.906,0,0,0,
,1.009,0.454,0.11,-79.224,-8.606,255.493,0,0,0,
,0.967,0.485,0.134,53.833,-32.288,215.088,0,0,0,
,0.886,0.496,0.15,158.508,-0.55,158.996,0,0,0,
,0.842,0.458,0.143,246.093,48.034,104.187,0,0,0,
,0.853,0.375,0.119,310.669,82.397,58.166,0,0,0,
,0.883,0.348,0.107,308.288,88.44,32.898,0,0,0,
,0.889,0.356,0.116,269.653,76.11,16.296,0,0,0,
,0.89,0.369,0.123,215.698,71.411,-2.991,0,0,0,
,0.904,0.381,0.127,157.104,70.129,-11.475,0,0,0,
,0.916,0.39,0.115,121.765,55.419,-10.987,0,0,0,
,0.932,0.386,0.109,96.557,37.78,-5.31,0,0,0,
,0.944,0.378,0.124,67.565,27.526,8.667,0,0,0,
,0.955,0.376,0.098,44.006,17.273,24.963,0,0,0,
,0.946,0.379,0.104,24.475,12.023,41.809,0,0,0,
,0.933,0.379,0.13,14.099,14.16,51.574,0,0,0,
,0.909,0.367,0.126,6.897,25.146,56.152,0,0,0,
,0.899,0.354,0.116,-15.442,32.959,59.265,0,0,0,
,0.881,0.345,0.124,-27.71,26.489,56.64,0,0,0,
,0.865,0.346,0.14,-31.25,22.705,50.231,0,0,0,
,0.851,0.348,0.149,-40.955,26.367,36.499,0,0,0,
,0.862,0.351,0.146,-46.998,29.296,23.925,0,0,0,
,0.861,0.359,0.148,-40.345,21.484,13.549,0,0,0,
,0.848,0.361,0.154,-31.128,16.113,1.525,0,0,0,
,0.874,0.364,0.16,-27.588,16.296,-6.531,0,0,0,
,0.847,0.374,0.153,-31.434,18.127,-16.358,0,0,0,
,0.854,0.385,0.149,-45.838,14.526,-27.649,0,0,0,
,0.865,0.397,0.136,-64.331,12.207,-36.866,0,0,0,
,0.873,0.41,0.124,-83.985,4.821,-42.969,0,0,0,
,0.873,0.429,0.127,-91.431,-6.714,-49.744,0,0,0,
,0.863,0.444,0.127,-88.623,-2.137,-50.293,0,0,0,
,0.862,0.449,0.113,-73.548,7.629,-49.927,0,0,0,
,0.861,0.457,0.111,-54.322,5.859,-41.382,0,0,0,
,0.854,0.452,0.098,-41.687,7.812,-32.959,0,0,0,
,0.852,0.446,0.097,-32.959,8.239,-22.767,0,0,0,
,0.846,0.446,0.105,-28.748,6.225,-14.832,0,0,0,
,0.836,0.442,0.117,-27.161,11.535,-10.315,0,0,0,
,0.832,0.44,0.108,-21.79,21.423,-5.249,0,0,0,
,0.852,0.443,0.099,27.832,41.442,-2.015,0,0,0,
,0.883,0.443,0.084,41.076,46.752,-11.963,0,0,0,
,0.888,0.45,0.096,57.739,37.475,-22.95,0,0,0,
,0.883,0.468,0.125,88.989,39.184,-35.157,0,0,0,
,0.889,0.474,0.131,123.962,76.171,-45.655,0,0,0,
,0.908,0.454,0.131,136.718,80.2,-54.932,0,0,0,
,0.931,0.443,0.132,121.46,71.594,-49.195,0,0,0,
,0.929,0.443,0.15,104.553,55.786,-38.819,0,0,0,
,0.92,0.444,0.161,92.895,48.156,-24.842,0,0,0,
,0.912,0.448,0.162,98.266,29.968,-7.447,0,0,0,
,0.899,0.431,0.167,107.483,7.202,5.493,0,0,0,
,0.881,0.404,0.152,91.43,-12.391,20.874,0,0,0,
,0.872,0.388,0.138,55.419,-26.429,27.282,0,0,0,
,0.864,0.385,0.132,7.019,-35.401,29.663,0,0,0,
,0.849,0.4,0.127,-19.898,-35.035,24.536,0,0,0,
,0.846,0.403,0.118,-27.161,-28.016,8.117,0,0,0,
,0.846,0.412,0.109,-17.09,-24.903,2.685,0,0,0,
,0.841,0.413,0.101,-8.423,-13.184,-16.724,0,0,0,
,0.855,0.41,0.1,-5.127,2.624,-26.429,0,0,0,
,0.871,0.404,0.087,-0.977,7.324,-37.293,0,0,0,
,0.874,0.407,0.096,-5.31,8.056,-43.885,0,0,0,
,0.867,0.422,0.115,-9.461,18.005,-52.124,0,0,0,
,0.862,0.437,0.134,1.953,29.663,-60.975,0,0,0,
,0.856,0.434,0.131,14.953,42.297,-66.834,0,0,0,
,0.856,0.43,0.13,18.493,47.363,-71.228,0,0,0,
,0.859,0.433,0.133,9.033,44.067,-67.2,0,0,0,
,0.863,0.443,0.136,13.916,33.203,-60.425,0,0,0,
,0.866,0.439,0.142,2.319,23.925,-54.2,0,0,0,
,0.873,0.456,0.147,3.112,15.197,-43.519,0,0,0,
,0.877,0.452,0.141,0.61,7.263,-35.34,0,0,0,
,0.878,0.456,0.128,1.464,-1.587,-23.438,0,0,0,
,0.873,0.457,0.129,12.023,-10.621,-13.855,0,0,0,
,0.869,0.446,0.134,25.207,-13.123,-6.165,0,0,0,
,0.868,0.433,0.134,28.747,-11.17,-2.93,0,0,0,
,0.869,0.426,0.128,19.958,-4.7,1.281,0,0,0,
,0.868,0.423,0.129,16.174,-6.897,-0.855,0,0,0,
,0.865,0.417,0.129,15.502,-6.043,-3.54,0,0,0,
,0.861,0.413,0.127,10.681,-3.418,-4.944,0,0,0,
,0.858,0.411,0.12,5.615,-2.747,-8.728,0,0,0,
,0.861,0.412,0.122,0.244,-7.569,-10.865,0,0,0,
,0.856,0.415,0.121,-2.869,-5.982,-14.832,0,0,0,
,0.859,0.423,0.121,-1.648,-0.55,-18.677,0,0,0,
,0.864,0.428,0.118,-0.306,3.295,-20.081,0,0,0,
,0.869,0.432,0.122,2.563,4.333,-21.668,0,0,0,
,0.87,0.432,0.121,3.662,5.554,-20.386,0,0,0,
,0.863,0.435,0.126,3.845,3.906,-17.518,0,0,0,
,0.871,0.433,0.124,7.812,5.371,-14.954,0,0,0,
,0.875,0.431,0.12,6.042,2.746,-12.696,0,0,0,
,0.861,0.429,0.132,9.216,5.004,-15.809,0,0,0,
,0.86,0.426,0.123,9.094,4.089,-14.222,0,0,0,
,0.859,0.429,0.127,8.178,2.746,-13.306,0,0,0,
,0.855,0.426,0.127,4.15,3.845,-13.855,0,0,0,
,0.86,0.433,0.131,2.868,6.836,-14.527,0,0,0,
,0.871,0.434,0.122,11.352,5.432,-17.579,0,0,0,
,0.872,0.434,0.122,10.131,4.089,-15.564,0,0,0,
,0.869,0.432,0.123,11.962,4.394,-14.405,0,0,0,
,0.864,0.428,0.13,11.474,8.911,-13.55,0,0,0,
,0.86,0.424,0.129,15.686,7.507,-13.733,0,0,0,
,0.86,0.423,0.13,4.028,8.972,-25.757,0,0,0,
,0.865,0.429,0.133,2.807,11.352,-30.152,0,0,0,
,0.868,0.436,0.13,7.751,10.009,-32.532,0,0,0,
,0.87,0.434,0.133,18.066,8.239,-31.189,0,0,0,
,0.866,0.433,0.127,17.761,6.958,-27.955,0,0,0,
