TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.815,-0.547,0.088,26.611,2.929,68.664,
00:00:00:16,0.822,-0.554,0.088,45.227,-3.663,55.419,
00:00:00:33,0.826,-0.553,0.084,64.148,-10.071,45.898,
00:00:00:50,0.831,-0.554,0.088,80.078,-13.611,37.353,
00:00:00:66,0.829,-0.558,0.093,90.332,-18.067,31.127,
00:00:00:83,0.822,-0.55,0.078,103.759,-19.104,23.071,
00:00:00:100,0.814,-0.548,0.07,122.924,-17.701,14.953,
00:00:00:116,0.809,-0.555,0.067,127.685,-10.01,3.784,
00:00:00:133,0.817,-0.559,0.065,120.483,3.295,-2.625,
00:00:00:150,0.819,-0.561,0.072,97.595,16.723,-8.301,
00:00:00:166,0.833,-0.568,0.075,66.101,33.203,-11.597,
00:00:00:183,0.844,-0.567,0.071,36.01,44.128,-12.94,
00:00:00:200,0.85,-0.568,0.062,7.873,53.161,-10.498,
00:00:00:216,0.844,-0.561,0.073,-12.207,59.387,-12.391,
00:00:00:233,0.842,-0.556,0.077,-20.447,65.856,-17.823,
00:00:00:250,0.844,-0.551,0.081,-20.203,71.777,-27.588,
00:00:00:266,0.85,-0.547,0.08,-15.625,69.885,-39.185,
00:00:00:283,0.854,-0.545,0.077,-5.982,68.786,-48.157,
00:00:00:300,0.856,-0.544,0.083,1.892,66.04,-55.787,
00:00:00:316,0.85,-0.543,0.084,8.972,60.791,-63.66,
00:00:00:333,0.846,-0.537,0.086,10.925,59.753,-69.153,
00:00:00:350,0.84,-0.536,0.093,13.061,59.143,-70.984,
00:00:00:366,0.842,-0.534,0.093,12.573,58.471,-72.754,
00:00:00:383,0.854,-0.533,0.091,11.474,57.922,-71.045,
00:00:00:400,0.86,-0.535,0.092,10.498,53.955,-67.078,
00:00:00:416,0.867,-0.537,0.092,8.178,51.391,-61.463,
00:00:00:433,0.877,-0.531,0.089,13,47.607,-57.068,
00:00:00:450,0.874,-0.528,0.088,15.869,42.968,-49.378,
