TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.084,0.29,0.942,10.131,16.906,-14.649,0,0,0,
,0.069,0.287,0.934,7.934,16.967,-14.466,0,0,0,
,0.078,0.298,0.942,10.07,18.798,-17.212,0,0,0,
,0.09,0.298,0.937,24.231,16.235,-14.222,0,0,0,
,0.11,0.276,0.933,23.315,13.183,-12.391,0,0,0,
,0.117,0.275,0.941,12.023,8.667,-14.588,0,0,0,
,0.109,0.289,0.947,2.136,3.967,-18.86,0,0,0,
,0.096,0.302,0.939,-3.663,4.943,-23.438,0,0,0,
,0.086,0.302,0.943,4.333,9.826,-25.391,0,0,0,
,0.075,0.296,0.941,12.878,11.23,-22.278,0,0,0,
,0.07,0.275,0.945,22.522,12.756,-17.945,0,0,0,
,0.077,0.27,0.967,18.432,11.535,-14.954,0,0,0,
,0.096,0.28,0.95,23.071,12.268,-9.522,0,0,0,
,0.111,0.277,0.954,27.648,13.061,-5.188,0,0,0,
,0.111,0.265,0.942,18.493,14.099,-3.113,0,0,0,
,0.109,0.288,0.947,2.929,12.512,-7.081,0,0,0,
,0.1,0.305,0.941,2.075,12.573,-12.33,0,0,0,
,0.092,0.308,0.946,1.77,15.991,-18.311,0,0,0,
,0.087,0.304,0.946,13.183,20.141,-23.072,0,0,0,
,0.087,0.283,0.941,25.085,22.888,-22.95,0,0,0,
,0.087,0.269,0.945,20.996,17.639,-23.255,0,0,0,
,0.093,0.27,0.944,6.774,12.146,-26.734,0,0,0,
,0.093,0.279,0.927,-3.479,4.272,-28.565,0,0,0,
,0.095,0.299,0.944,1.892,5.371,-30.64,0,0,0,
,0.106,0.286,0.936,23.071,6.591,-25.33,0,0,0,
,0.102,0.267,0.944,18.31,3.356,-24.353,0,0,0,
,0.098,0.282,0.95,-0.55,0.061,-26.551,0,0,0,
,0.089,0.291,0.942,-4.334,-1.404,-25.818,0,0,0,
,0.082,0.28,0.948,8.667,2.99,-22.583,0,0,0,
,0.084,0.276,0.953,10.009,3.662,-20.325,0,0,0,
,0.09,0.28,0.946,0.793,3.356,-21.302,0,0,0,
,0.092,0.28,0.94,-0.367,4.577,-21.302,0,0,0,
,0.092,0.281,0.934,-2.32,1.709,-20.935,0,0,0,
,0.102,0.281,0.945,3.906,4.028,-17.029,0,0,0,
,0.1,0.285,0.957,5.493,9.094,-12.269,0,0,0,
,0.1,0.27,0.947,8.667,14.16,-7.325,0,0,0,
,0.098,0.276,0.945,-1.465,11.657,-7.569,0,0,0,
,0.1,0.304,0.933,-12.085,9.216,-9.949,0,0,0,
,0.089,0.31,0.925,-0.611,6.042,-14.893,0,0,0,
,0.094,0.3,0.939,13.671,5.798,-19.532,0,0,0,
,0.096,0.271,0.94,17.883,1.281,-24.292,0,0,0,
,0.097,0.274,0.954,2.441,0,-28.87,0,0,0,
,0.093,0.289,0.949,3.234,4.211,-28.504,0,0,0,
,0.087,0.285,0.944,12.268,6.469,-24.842,0,0,0,
,0.081,0.28,0.945,15.747,6.897,-22.522,0,0,0,
,0.089,0.281,0.947,14.709,7.446,-21.912,0,0,0,
,0.084,0.291,0.943,7.934,6.347,-23.682,0,0,0,
,0.079,0.292,0.946,10.376,9.887,-22.706,0,0,0,
,0.084,0.283,0.953,14.587,15.686,-20.264,0,0,0,
