TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.933,0.131,0.255,2.807,12.268,-23.072,0,0,0,
,0.936,0.129,0.253,-7.996,9.765,-24.537,0,0,0,
,0.939,0.138,0.254,-11.963,6.836,-23.804,0,0,0,
,0.942,0.149,0.256,-11.902,5.859,-25.025,0,0,0,
,0.939,0.152,0.255,-11.414,4.089,-21.912,0,0,0,
,0.932,0.155,0.255,-10.071,7.751,-18.555,0,0,0,
,0.939,0.155,0.253,-12.269,9.216,-19.349,0,0,0,
,0.939,0.158,0.252,-5.188,8.606,-17.151,0,0,0,
,0.934,0.158,0.248,1.342,7.629,-17.395,0,0,0,
,0.931,0.158,0.249,4.028,7.69,-18.067,0,0,0,
,0.932,0.16,0.251,8.667,13.122,-19.471,0,0,0,
,0.933,0.159,0.245,12.634,12.207,-21.058,0,0,0,
,0.934,0.155,0.25,15.258,13.61,-19.532,0,0,0,
,0.932,0.153,0.244,14.587,12.268,-21.241,0,0,0,
,0.932,0.152,0.245,12.512,13.427,-22.339,0,0,0,
,0.935,0.152,0.244,14.587,11.901,-20.813,0,0,0,
,0.937,0.153,0.277,14.099,8.117,-19.959,0,0,0,
,0.938,0.152,0.247,16.784,7.202,-18.494,0,0,0,
,0.939,0.148,0.246,18.554,7.446,-18.86,0,0,0,
,0.936,0.148,0.25,21.179,7.629,-17.945,0,0,0,
,0.937,0.14,0.244,17.15,6.103,-18.128,0,0,0,
,0.937,0.138,0.244,12.756,5.92,-20.325,0,0,0,
,0.939,0.139,0.243,5.31,8.178,-19.349,0,0,0,
,0.938,0.142,0.239,-1.709,7.202,-20.142,0,0,0,
,0.939,0.146,0.245,-3.113,10.009,-21.973,0,0,0,
,0.934,0.148,0.247,-5.127,11.047,-20.081,0,0,0,
,0.938,0.146,0.241,-9.095,10.07,-22.278,0,0,0,
,0.948,0.148,0.235,-13.794,4.333,-21.058,0,0,0,
,0.944,0.155,0.242,-9.644,0.488,-17.518,0,0,0,
,0.933,0.151,0.25,-8.484,3.418,-20.63,0,0,0,
,0.933,0.154,0.247,-15.564,6.836,-21.119,0,0,0,
,0.935,0.159,0.246,-13.916,5.859,-20.081,0,0,0,
,0.93,0.16,0.249,-5.982,8.606,-19.837,0,0,0,
,0.933,0.151,0.252,-0.245,9.216,-23.072,0,0,0,
,0.939,0.152,0.254,-10.193,9.521,-23.255,0,0,0,
,0.935,0.162,0.247,-4.517,10.376,-23.926,0,0,0,
,0.936,0.16,0.25,-2.625,9.765,-24.17,0,0,0,
,0.931,0.162,0.257,-1.282,5.31,-21.119,0,0,0,
,0.932,0.159,0.257,-5.188,8.361,-19.227,0,0,0,
,0.941,0.156,0.247,-12.146,6.103,-20.264,0,0,0,
,0.942,0.161,0.248,-11.658,-1.587,-17.273,0,0,0,
,0.932,0.162,0.247,-6.531,-5.616,-18.311,0,0,0,
,0.932,0.157,0.239,-4.334,-5.677,-18.067,0,0,0,
,0.934,0.158,0.239,-9.705,-5.616,-16.785,0,0,0,
,0.933,0.157,0.242,-10.254,-3.418,-17.151,0,0,0,
,0.932,0.155,0.245,-12.269,0.793,-17.212,0,0,0,
,0.932,0.154,0.248,-15.259,3.295,-17.151,0,0,0,
,0.933,0.159,0.25,-11.475,4.943,-18.25,0,0,0,
,0.935,0.159,0.25,-5.127,4.943,-21.058,0,0,0,
,0.933,0.158,0.251,-2.198,4.699,-20.447,0,0,0,
,0.935,0.158,0.256,-3.479,3.967,-21.058,0,0,0,
,0.934,0.161,0.264,0.366,2.868,-19.776,0,0,0,
,0.929,0.158,0.258,-1.404,7.446,-21.241,0,0,0,
,0.929,0.162,0.256,-1.648,9.46,-20.997,0,0,0,
,0.93,0.166,0.254,2.319,9.643,-20.63,0,0,0,
