TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.95,-0.203,0.161,-13.428,9.216,-21.485,
00:00:00:16,0.956,-0.195,0.161,-13.977,9.521,-21.424,
00:00:00:33,0.954,-0.193,0.163,-6.836,8.239,-22.706,
00:00:00:50,0.948,-0.195,0.164,-1.954,9.582,-21.424,
00:00:00:66,0.951,-0.199,0.165,-3.418,15.014,-19.41,
00:00:00:83,0.95,-0.199,0.168,-5.921,15.869,-20.386,
00:00:00:100,0.953,-0.198,0.161,-6.836,15.258,-19.349,
00:00:00:116,0.955,-0.197,0.163,-6.836,13.916,-21.18,
00:00:00:133,0.957,-0.196,0.16,0.854,11.901,-22.461,
00:00:00:150,0.957,-0.198,0.157,2.685,9.399,-26.49,
00:00:00:166,0.953,-0.206,0.158,5.127,10.009,-27.649,
00:00:00:183,0.949,-0.205,0.156,-8.545,7.873,-26.795,
00:00:00:200,0.946,-0.198,0.156,-11.414,7.324,-27.771,
00:00:00:216,0.958,-0.193,0.152,-6.226,10.07,-27.344,
00:00:00:233,0.967,-0.193,0.156,2.929,5.676,-26.429,
00:00:00:250,0.957,-0.197,0.155,7.812,4.394,-29.175,
00:00:00:266,0.956,-0.204,0.167,3.112,5.676,-25.269,
00:00:00:283,0.953,-0.203,0.171,-2.808,10.803,-22.828,
00:00:00:300,0.948,-0.194,0.169,-7.142,10.07,-22.95,
00:00:00:316,0.959,-0.193,0.161,-6.958,9.277,-25.33,
00:00:00:333,0.956,-0.187,0.153,-7.019,5.859,-23.682,
00:00:00:350,0.951,-0.182,0.159,-1.709,7.08,-22.522,
00:00:00:366,0.951,-0.181,0.159,8.85,7.446,-21.424,
00:00:00:383,0.955,-0.188,0.159,20.324,7.873,-20.569,
00:00:00:400,0.956,-0.198,0.158,21.24,8.728,-21.241,
00:00:00:416,0.956,-0.201,0.159,16.601,7.263,-20.63,
00:00:00:433,0.956,-0.201,0.156,14.648,4.455,-22.706,
00:00:00:450,0.96,-0.201,0.155,12.512,5.493,-21.912,
00:00:00:466,0.962,-0.202,0.157,9.033,2.38,-21.668,
00:00:00:483,0.953,-0.195,0.161,4.089,2.502,-22.339,
00:00:00:500,0.953,-0.189,0.16,7.263,1.281,-20.813,
00:00:00:516,0.955,-0.189,0.161,14.77,0.488,-22.767,
00:00:00:533,0.954,-0.193,0.163,19.958,1.525,-20.935,
00:00:00:550,0.951,-0.195,0.16,21.667,3.967,-20.935,
00:00:00:566,0.95,-0.197,0.167,18.249,7.507,-20.63,
00:00:00:583,0.955,-0.196,0.164,17.883,6.652,-18.677,
00:00:00:600,0.955,-0.197,0.166,17.822,6.408,-19.471,
00:00:00:616,0.956,-0.2,0.162,21.362,4.15,-21.851,
00:00:00:633,0.953,-0.197,0.161,22.766,3.723,-23.926,
00:00:00:650,0.952,-0.203,0.159,24.963,3.173,-29.786,
00:00:00:666,0.946,-0.205,0.166,19.104,3.723,-29.969,
00:00:00:683,0.956,-0.199,0.166,19.104,5.065,-29.602,
00:00:00:700,0.963,-0.202,0.166,26.123,0.854,-27.955,
00:00:00:716,0.955,-0.205,0.163,26.916,0.366,-28.321,
00:00:00:733,0.954,-0.209,0.169,27.404,1.281,-28.931,
00:00:00:750,0.951,-0.21,0.175,18.981,0.671,-29.602,
00:00:00:766,0.952,-0.203,0.167,17.639,3.54,-30.579,
00:00:00:783,0.969,-0.197,0.162,19.775,0.671,-34.546,
00:00:00:800,0.96,-0.196,0.16,24.536,-6.043,-36.744,
00:00:00:816,0.95,-0.198,0.162,27.16,-3.235,-33.814,
00:00:00:833,0.951,-0.198,0.16,28.015,0.122,-33.997,
00:00:00:850,0.95,-0.202,0.159,31.86,0.976,-33.448,
00:00:00:866,0.95,-0.202,0.157,32.043,0.549,-33.631,
00:00:00:883,0.952,-0.2,0.156,26.062,2.014,-31.861,
00:00:00:900,0.947,-0.198,0.161,22.522,1.953,-31.556,
00:00:00:916,0.952,-0.197,0.16,20.446,5.371,-27.039,
00:00:00:933,0.945,-0.198,0.158,26.001,4.638,-18.555,
00:00:00:950,0.948,-0.2,0.162,26.123,8.056,-21.79,
00:00:00:966,0.959,-0.207,0.155,30.334,8.361,-21.851,
00:00:00:983,0.959,-0.21,0.151,25.207,6.347,-24.781,
00:00:01:0,0.952,-0.212,0.162,10.986,-2.93,-26.917,
00:00:01:16,0.945,-0.217,0.165,9.094,-1.954,-28.016,
00:00:01:33,0.945,-0.207,0.171,15.564,4.333,-24.964,
00:00:01:50,0.946,-0.21,0.172,25.146,13.916,-20.447,
00:00:01:66,0.945,-0.214,0.176,25.756,14.526,-18.921,
00:00:01:83,0.947,-0.22,0.172,21.85,12.207,-17.151,
00:00:01:100,0.949,-0.218,0.174,16.113,11.657,-14.161,
00:00:01:116,0.952,-0.219,0.177,11.657,12.268,-14.222,
00:00:01:133,0.957,-0.215,0.174,10.925,13.732,-14.161,
00:00:01:150,0.954,-0.221,0.165,3.54,10.742,-23.438,
00:00:01:166,0.946,-0.217,0.168,-6.531,8.667,-25.391,
00:00:01:183,0.947,-0.204,0.165,-8.24,10.192,-26.856,
00:00:01:200,0.947,-0.197,0.157,-1.343,7.141,-30.091,
