TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.941,-0.275,0.054,5.371,9.704,-22.706,
00:00:00:16,0.941,-0.278,0.058,4.394,10.07,-21.485,
00:00:00:33,0.939,-0.277,0.063,-0.367,10.009,-21.607,
00:00:00:50,0.945,-0.274,0.056,-2.747,9.155,-20.935,
00:00:00:66,0.94,-0.275,0.053,-5.433,8.117,-22.461,
00:00:00:83,0.944,-0.271,0.054,-5.31,8.972,-24.231,
00:00:00:100,0.945,-0.273,0.057,-7.019,9.521,-23.072,
00:00:00:116,0.94,-0.268,0.06,-7.142,11.352,-23.133,
00:00:00:133,0.944,-0.263,0.056,-2.686,12.085,-23.682,
00:00:00:150,0.944,-0.258,0.051,8.361,10.192,-23.316,
00:00:00:166,0.945,-0.263,0.058,17.883,8.361,-22.339,
00:00:00:183,0.943,-0.269,0.058,19.592,8.483,-20.142,
00:00:00:200,0.944,-0.273,0.064,16.601,10.07,-17.518,
00:00:00:216,0.944,-0.277,0.059,13.122,12.146,-15.748,
00:00:00:233,0.943,-0.272,0.052,12.085,10.742,-17.09,
00:00:00:250,0.946,-0.275,0.055,11.535,7.69,-18.738,
00:00:00:266,0.942,-0.273,0.056,12.268,6.958,-20.569,
00:00:00:283,0.945,-0.273,0.059,9.155,7.751,-20.935,
00:00:00:300,0.947,-0.276,0.058,5.676,8.422,-18.372,
00:00:00:316,0.945,-0.276,0.058,4.699,9.887,-17.823,
00:00:00:333,0.945,-0.275,0.057,3.967,11.169,-17.823,
00:00:00:350,0.944,-0.273,0.053,3.601,10.009,-16.663,
00:00:00:366,0.951,-0.273,0.058,5.127,9.155,-15.625,
00:00:00:383,0.947,-0.274,0.058,4.15,8.422,-16.419,
00:00:00:400,0.944,-0.278,0.058,-1.099,7.263,-15.442,
00:00:00:416,0.942,-0.274,0.057,-2.808,11.474,-14.954,
00:00:00:433,0.942,-0.273,0.06,-6.958,9.765,-13.916,
00:00:00:450,0.945,-0.272,0.06,-3.052,7.751,-12.146,
00:00:00:466,0.944,-0.275,0.059,-3.724,7.751,-10.987,
00:00:00:483,0.947,-0.275,0.056,-7.203,9.399,-10.804,
00:00:00:500,0.944,-0.272,0.057,-7.386,9.765,-9.766,
00:00:00:516,0.943,-0.273,0.051,-9.034,8.85,-12.269,
00:00:00:533,0.941,-0.272,0.049,-9.034,9.277,-12.94,
00:00:00:550,0.942,-0.273,0.054,-13.184,12.146,-15.076,
00:00:00:566,0.942,-0.27,0.056,-13.977,12.939,-16.48,
00:00:00:583,0.944,-0.268,0.058,-16.968,13.366,-17.701,
00:00:00:600,0.944,-0.265,0.052,-8.973,13.061,-21.424,
00:00:00:616,0.947,-0.261,0.056,-1.77,11.474,-21.973,
00:00:00:633,0.946,-0.26,0.056,0.427,9.887,-20.569,
00:00:00:650,0.947,-0.268,0.061,2.99,10.376,-22.767,
00:00:00:666,0.944,-0.268,0.063,1.159,13,-20.935,
00:00:00:683,0.945,-0.266,0.062,2.685,14.221,-21.18,
00:00:00:700,0.951,-0.271,0.062,14.16,4.882,-22.339,
00:00:00:716,0.946,-0.275,0.061,5.737,5.188,-19.593,
00:00:00:733,0.946,-0.272,0.059,-1.526,5.859,-17.395,
00:00:00:750,0.945,-0.269,0.057,-5.86,7.629,-19.227,
00:00:00:766,0.947,-0.264,0.051,-5.433,6.408,-20.508,
00:00:00:783,0.943,-0.266,0.051,-2.808,4.516,-20.874,
00:00:00:800,0.946,-0.266,0.057,-4.7,7.751,-22.828,
00:00:00:816,0.945,-0.265,0.053,-5.249,5.615,-22.217,
00:00:00:833,0.946,-0.261,0.053,-5.86,7.995,-18.738,
00:00:00:850,0.946,-0.26,0.057,-6.165,10.009,-19.471,
