TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.914,0.232,0.22,-2.564,9.155,-23.621,
00:00:00:16,0.915,0.235,0.218,1.098,9.643,-22.522,
00:00:00:33,0.914,0.232,0.218,0.915,5.859,-21.424,
00:00:00:50,0.913,0.232,0.216,2.258,6.042,-22.095,
00:00:00:66,0.919,0.229,0.218,0.61,6.469,-23.499,
00:00:00:83,0.918,0.229,0.218,-1.221,6.469,-23.926,
00:00:00:100,0.914,0.233,0.231,-1.954,8.483,-21.912,
00:00:00:116,0.917,0.229,0.212,0.61,8.117,-23.072,
00:00:00:133,0.917,0.231,0.225,-0.061,6.774,-25.452,
00:00:00:150,0.915,0.237,0.218,1.281,8.911,-25.147,
00:00:00:166,0.912,0.236,0.223,6.103,9.46,-25.818,
00:00:00:183,0.914,0.235,0.224,6.897,9.033,-26.062,
00:00:00:200,0.914,0.232,0.23,6.713,10.253,-25.269,
00:00:00:216,0.917,0.233,0.214,2.014,11.169,-24.781,
00:00:00:233,0.915,0.235,0.214,2.502,8.117,-23.072,
00:00:00:250,0.912,0.238,0.219,3.601,8.911,-21.058,
00:00:00:266,0.915,0.236,0.219,9.094,12.085,-21.729,
00:00:00:283,0.916,0.232,0.216,7.69,9.643,-22.95,
00:00:00:300,0.912,0.236,0.219,5.676,8.056,-22.522,
00:00:00:316,0.916,0.233,0.217,6.164,6.53,-23.438,
00:00:00:333,0.915,0.238,0.222,7.69,5.981,-22.95,
00:00:00:350,0.919,0.235,0.221,9.704,7.873,-22.095,
00:00:00:366,0.922,0.229,0.221,10.253,8.117,-20.203,
00:00:00:383,0.92,0.225,0.221,7.141,5.493,-21.424,
00:00:00:400,0.918,0.228,0.217,1.037,7.69,-22.095,
00:00:00:416,0.919,0.23,0.218,1.098,6.897,-23.316,
00:00:00:433,0.918,0.229,0.218,0.732,8.239,-21.546,
00:00:00:450,0.913,0.233,0.216,0.732,8.606,-22.644,
00:00:00:466,0.913,0.233,0.22,5.737,9.277,-24.048,
00:00:00:483,0.915,0.237,0.22,7.507,9.399,-23.682,
00:00:00:500,0.916,0.234,0.218,11.352,7.324,-23.56,
00:00:00:516,0.917,0.232,0.217,12.39,7.995,-22.278,
00:00:00:533,0.916,0.23,0.216,9.216,6.652,-21.973,
00:00:00:550,0.918,0.229,0.218,7.324,8.728,-21.668,
00:00:00:566,0.916,0.229,0.218,8.056,6.652,-21.729,
00:00:00:583,0.911,0.228,0.224,6.53,6.469,-21.851,
00:00:00:600,0.912,0.229,0.226,5.493,6.042,-22.583,
00:00:00:616,0.911,0.229,0.226,5.31,7.507,-22.706,
00:00:00:633,0.916,0.231,0.224,4.516,8.178,-21.973,
00:00:00:650,0.919,0.235,0.224,6.286,6.53,-22.889,
00:00:00:666,0.918,0.235,0.225,8.239,7.019,-24.353,
00:00:00:683,0.918,0.236,0.226,10.192,6.836,-23.194,
00:00:00:700,0.919,0.235,0.228,12.39,6.652,-19.715,
00:00:00:716,0.917,0.23,0.227,13.061,8.483,-21.729,
00:00:00:733,0.918,0.229,0.224,12.512,7.08,-22.706,
00:00:00:750,0.913,0.227,0.221,13.488,7.69,-23.56,
00:00:00:766,0.914,0.229,0.221,15.136,10.498,-24.17,
00:00:00:783,0.917,0.231,0.225,14.953,12.085,-24.781,
00:00:00:800,0.916,0.232,0.217,14.099,8.361,-24.598,
00:00:00:816,0.915,0.232,0.221,13.671,10.253,-24.537,
00:00:00:833,0.906,0.235,0.229,16.723,10.925,-24.231,
00:00:00:850,0.911,0.229,0.22,17.944,15.075,-24.842,
00:00:00:866,0.927,0.221,0.21,17.028,8.789,-26.001,
00:00:00:883,0.926,0.227,0.218,12.207,7.507,-26.246,
00:00:00:900,0.922,0.234,0.218,8.606,11.23,-28.748,
00:00:00:916,0.912,0.233,0.218,11.23,10.376,-25.879,
00:00:00:933,0.907,0.238,0.226,15.075,11.169,-25.208,
00:00:00:950,0.908,0.23,0.227,18.249,13.549,-24.964,
00:00:00:966,0.913,0.229,0.228,17.822,16.052,-25.391,
00:00:00:983,0.915,0.233,0.224,15.014,13.366,-25.269,
00:00:01:0,0.913,0.236,0.225,17.639,12.268,-22.4,
00:00:01:16,0.915,0.238,0.227,21.179,12.756,-22.339,
00:00:01:33,0.914,0.227,0.223,17.15,10.07,-21.668,
00:00:01:50,0.911,0.228,0.218,14.404,11.901,-20.325,
00:00:01:66,0.917,0.227,0.214,12.573,13.366,-21.851,
00:00:01:83,0.915,0.229,0.215,14.526,13.366,-22.339,
00:00:01:100,0.92,0.231,0.218,15.502,12.268,-22.217,
00:00:01:116,0.921,0.23,0.217,15.075,10.742,-22.034,
00:00:01:133,0.911,0.219,0.22,10.62,12.268,-21.729,
00:00:01:150,0.919,0.221,0.221,7.446,10.925,-23.377,
