TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.696,0.262,0.641,4.516,5.615,-23.865,
00:00:00:16,0.696,0.263,0.646,3.662,3.601,-20.997,
00:00:00:33,0.704,0.258,0.643,2.136,3.112,-20.935,
00:00:00:50,0.702,0.26,0.641,1.953,6.164,-22.461,
00:00:00:66,0.703,0.262,0.638,6.652,6.286,-22.889,
00:00:00:83,0.699,0.257,0.643,5.554,7.69,-23.682,
00:00:00:100,0.699,0.261,0.636,1.342,9.46,-21.607,
00:00:00:116,0.697,0.256,0.638,3.479,8.544,-22.828,
00:00:00:133,0.7,0.254,0.632,4.15,6.225,-20.874,
00:00:00:150,0.699,0.256,0.636,6.408,6.591,-20.935,
00:00:00:166,0.701,0.255,0.637,8.422,7.69,-21.485,
00:00:00:183,0.7,0.255,0.637,8.728,6.042,-20.569,
00:00:00:200,0.704,0.257,0.636,5.859,5.676,-23.865,
00:00:00:216,0.699,0.262,0.64,1.525,5.981,-22.339,
00:00:00:233,0.699,0.264,0.642,1.586,4.943,-21.424,
00:00:00:250,0.697,0.261,0.643,0.671,4.638,-22.767,
00:00:00:266,0.696,0.261,0.644,0.366,6.469,-23.133,
00:00:00:283,0.698,0.265,0.645,0.732,5.004,-23.743,
00:00:00:300,0.698,0.262,0.64,-1.099,6.286,-22.522,
00:00:00:316,0.701,0.265,0.638,-2.686,4.089,-22.4,
00:00:00:333,0.699,0.26,0.636,0.122,4.516,-21.424,
00:00:00:350,0.697,0.258,0.633,3.601,3.54,-22.706,
00:00:00:366,0.697,0.258,0.634,2.807,5.065,-25.269,
00:00:00:383,0.698,0.261,0.641,2.929,6.103,-24.231,
00:00:00:400,0.699,0.266,0.643,3.295,5.615,-23.499,
00:00:00:416,0.698,0.262,0.645,1.464,7.385,-22.828,
00:00:00:433,0.699,0.263,0.645,2.136,3.723,-22.767,
00:00:00:450,0.7,0.259,0.641,2.502,6.103,-22.522,
00:00:00:466,0.7,0.257,0.639,5.188,8.483,-23.194,
00:00:00:483,0.698,0.259,0.638,8.483,7.751,-23.621,
00:00:00:500,0.7,0.259,0.636,7.934,8.178,-22.644,
00:00:00:516,0.698,0.259,0.636,7.751,7.812,-22.217,
00:00:00:533,0.697,0.258,0.635,4.943,7.629,-23.682,
00:00:00:550,0.698,0.262,0.639,2.441,6.286,-23.011,
00:00:00:566,0.697,0.26,0.643,5.676,6.774,-23.011,
00:00:00:583,0.694,0.263,0.648,6.408,6.225,-22.583,
00:00:00:600,0.701,0.266,0.641,2.868,5.127,-22.522,
00:00:00:616,0.702,0.258,0.641,3.54,4.943,-25.33,
00:00:00:633,0.698,0.265,0.639,5.188,6.713,-24.781,
00:00:00:650,0.698,0.265,0.64,8.728,10.559,-25.513,
00:00:00:666,0.694,0.261,0.644,7.934,9.033,-24.109,
00:00:00:683,0.696,0.263,0.647,7.324,9.399,-23.133,
00:00:00:700,0.697,0.261,0.645,8.178,7.995,-20.752,
00:00:00:716,0.699,0.26,0.641,9.948,10.07,-20.508,
00:00:00:733,0.7,0.26,0.633,11.596,6.836,-20.63,
00:00:00:750,0.703,0.256,0.635,11.413,7.08,-22.583,
00:00:00:766,0.701,0.257,0.636,7.568,9.46,-21.729,
00:00:00:783,0.697,0.255,0.642,7.812,9.094,-23.194,
00:00:00:800,0.7,0.262,0.643,6.164,5.92,-23.011,
00:00:00:816,0.698,0.261,0.644,4.394,7.995,-24.964,
00:00:00:833,0.696,0.265,0.641,3.112,5.432,-23.621,
00:00:00:850,0.696,0.264,0.644,6.286,6.836,-23.682,
00:00:00:866,0.697,0.261,0.642,2.868,6.591,-21.851,
00:00:00:883,0.698,0.264,0.642,2.38,5.371,-21.851,
00:00:00:900,0.697,0.26,0.636,5.92,6.225,-23.255,
00:00:00:916,0.696,0.26,0.637,3.784,7.263,-23.621,
00:00:00:933,0.699,0.258,0.64,4.394,6.225,-24.109,
00:00:00:950,0.698,0.263,0.644,5.31,8.117,-25.269,
00:00:00:966,0.698,0.257,0.644,4.577,7.08,-23.743,
00:00:00:983,0.696,0.262,0.643,4.699,7.812,-24.17,
00:00:01:0,0.696,0.262,0.638,4.211,8.361,-23.56,
00:00:01:16,0.698,0.264,0.641,4.76,7.141,-23.133,
00:00:01:33,0.698,0.263,0.637,7.873,8.728,-23.133,
00:00:01:50,0.7,0.258,0.64,8.117,8.544,-22.767,
00:00:01:66,0.697,0.259,0.643,3.845,6.713,-23.926,
