TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.947,0.154,0.187,24.414,8.239,-25.757,
00:00:00:16,0.95,0.157,0.189,19.714,7.263,-25.879,
00:00:00:33,0.944,0.156,0.19,18.249,6.591,-24.781,
00:00:00:50,0.948,0.156,0.186,15.564,8.483,-23.926,
00:00:00:66,0.946,0.158,0.189,13.488,8.789,-22.889,
00:00:00:83,0.952,0.16,0.185,7.019,10.925,-20.63,
00:00:00:100,0.951,0.16,0.187,6.713,7.08,-18.86,
00:00:00:116,0.953,0.164,0.188,9.216,6.774,-19.41,
00:00:00:133,0.949,0.161,0.184,11.23,5.554,-20.997,
00:00:00:150,0.95,0.152,0.188,12.573,14.343,-17.456,
00:00:00:166,0.951,0.155,0.19,9.277,14.709,-17.518,
00:00:00:183,0.953,0.157,0.184,9.277,14.038,-18.555,
00:00:00:200,0.952,0.158,0.187,10.803,12.512,-19.654,
00:00:00:216,0.95,0.156,0.186,8.361,11.23,-18.677,
00:00:00:233,0.952,0.16,0.188,11.84,8.483,-20.203,
00:00:00:250,0.947,0.16,0.19,12.695,9.582,-20.081,
00:00:00:266,0.951,0.158,0.19,11.108,12.39,-21.241,
00:00:00:283,0.951,0.156,0.188,10.131,11.108,-23.194,
00:00:00:300,0.951,0.159,0.158,9.216,8.728,-22.828,
00:00:00:316,0.948,0.159,0.186,7.873,9.033,-23.865,
00:00:00:333,0.951,0.161,0.186,10.681,9.826,-22.522,
00:00:00:350,0.951,0.157,0.184,12.512,9.399,-23.316,
00:00:00:366,0.949,0.156,0.188,11.657,11.474,-23.499,
00:00:00:383,0.953,0.158,0.19,10.009,9.46,-23.621,
00:00:00:400,0.954,0.156,0.189,9.582,9.521,-25.818,
00:00:00:416,0.952,0.157,0.188,9.338,8.117,-25.818,
00:00:00:433,0.949,0.159,0.188,10.253,5.798,-25.513,
00:00:00:450,0.949,0.162,0.191,10.681,7.751,-26.856,
00:00:00:466,0.948,0.156,0.189,12.268,9.582,-25.147,
00:00:00:483,0.951,0.158,0.189,11.718,9.704,-27.161,
00:00:00:500,0.95,0.16,0.184,13.244,8.3,-27.405,
00:00:00:516,0.946,0.16,0.194,12.817,8.667,-26.49,
00:00:00:533,0.944,0.156,0.187,8.361,8.85,-25.208,
00:00:00:550,0.952,0.158,0.185,6.286,6.958,-23.438,
00:00:00:566,0.956,0.159,0.181,2.136,4.272,-24.72,
00:00:00:583,0.949,0.157,0.189,0.183,3.662,-24.17,
00:00:00:600,0.95,0.159,0.188,1.342,6.836,-26.734,
00:00:00:616,0.947,0.161,0.182,3.234,6.713,-26.673,
00:00:00:633,0.941,0.158,0.188,10.803,7.141,-24.72,
00:00:00:650,0.941,0.153,0.192,11.23,11.291,-25.696,
00:00:00:666,0.951,0.152,0.188,5.004,10.925,-25.147,
00:00:00:683,0.953,0.158,0.184,-0.184,10.253,-26.307,
00:00:00:700,0.954,0.159,0.158,0.183,8.056,-26.734,
00:00:00:716,0.95,0.164,0.157,5.859,10.131,-23.621,
00:00:00:733,0.953,0.163,0.187,10.498,8.789,-23.072,
00:00:00:750,0.955,0.161,0.183,13.427,4.455,-22.95,
00:00:00:766,0.947,0.151,0.189,13.855,5.554,-20.447,
00:00:00:783,0.946,0.149,0.189,6.591,9.399,-20.386,
00:00:00:800,0.952,0.15,0.184,-3.54,8.911,-20.997,
00:00:00:816,0.951,0.151,0.187,-10.56,9.46,-20.935,
00:00:00:833,0.95,0.159,0.186,-13.184,8.239,-21.424,
00:00:00:850,0.951,0.158,0.188,1.77,11.84,-22.034,
00:00:00:866,0.953,0.156,0.183,2.99,9.521,-20.874,
00:00:00:883,0.953,0.158,0.186,-0.672,9.155,-22.339,
00:00:00:900,0.948,0.157,0.184,-1.404,7.446,-20.325,
00:00:00:916,0.949,0.158,0.185,-1.77,8.422,-23.316,
00:00:00:933,0.952,0.157,0.18,-2.686,9.887,-23.743,
00:00:00:950,0.954,0.158,0.18,-0.123,9.155,-22.767,
00:00:00:966,0.95,0.156,0.187,2.136,10.742,-24.537,
00:00:00:983,0.951,0.154,0.192,2.563,12.329,-24.292,
00:00:01:0,0.952,0.157,0.188,2.014,10.986,-26.551,
00:00:01:16,0.953,0.154,0.187,0,8.728,-25.757,
00:00:01:33,0.952,0.155,0.188,-5.616,6.225,-27.527,
00:00:01:50,0.95,0.157,0.188,-8.973,4.943,-27.283,
00:00:01:66,0.949,0.161,0.189,-10.621,7.019,-26.978,
00:00:01:83,0.946,0.166,0.19,-7.874,8.361,-28.626,
00:00:01:100,0.949,0.164,0.157,-3.479,8.178,-28.565,
00:00:01:116,0.948,0.161,0.193,1.342,6.164,-27.222,
00:00:01:133,0.948,0.161,0.189,3.601,2.502,-26.612,
00:00:01:150,0.949,0.161,0.187,2.075,2.38,-26.49,
00:00:01:166,0.951,0.16,0.183,-0.123,2.502,-26.368,
00:00:01:183,0.947,0.161,0.187,2.563,3.295,-26.185,
00:00:01:200,0.945,0.163,0.186,8.728,8.728,-26.612,
00:00:01:216,0.945,0.155,0.191,13.061,7.629,-24.292,
00:00:01:233,0.955,0.148,0.182,7.568,4.699,-24.781,
00:00:01:250,0.958,0.148,0.184,-2.503,-2.381,-24.659,
00:00:01:266,0.949,0.155,0.187,-6.47,-0.061,-26.123,
00:00:01:283,0.947,0.157,0.183,-3.113,6.103,-28.016,
00:00:01:300,0.947,0.16,0.188,1.709,7.568,-29.541,
00:00:01:316,0.944,0.156,0.19,3.662,9.765,-28.321,
00:00:01:333,0.947,0.154,0.186,1.77,7.812,-26.307,
00:00:01:350,0.948,0.158,0.187,2.319,7.934,-25.635,
00:00:01:366,0.953,0.161,0.184,3.723,6.042,-28.016,
00:00:01:383,0.951,0.161,0.185,8.361,7.202,-27.649,
00:00:01:400,0.949,0.16,0.188,9.277,10.803,-26.368,
00:00:01:416,0.953,0.158,0.186,6.958,10.315,-25.696,
00:00:01:433,0.952,0.158,0.185,7.263,8.728,-24.109,
00:00:01:450,0.947,0.154,0.189,6.958,8.483,-23.133,
00:00:01:466,0.951,0.151,0.182,5.493,10.192,-23.987,
00:00:01:483,0.951,0.152,0.187,1.464,6.713,-23.804,
00:00:01:500,0.954,0.152,0.187,-2.625,6.225,-23.499,
00:00:01:516,0.948,0.152,0.218,-3.113,8.056,-25.391,
00:00:01:533,0.946,0.155,0.191,-4.7,10.62,-25.513,
00:00:01:550,0.95,0.155,0.187,-3.785,10.986,-25.269,
00:00:01:566,0.953,0.155,0.187,-4.822,7.934,-24.781,
00:00:01:583,0.95,0.155,0.184,-4.395,8.361,-24.476,
00:00:01:600,0.951,0.154,0.184,-6.775,10.131,-23.621,
00:00:01:616,0.952,0.158,0.185,-7.325,9.277,-24.231,
00:00:01:633,0.953,0.161,0.184,-4.883,6.836,-26.551,
00:00:01:650,0.95,0.158,0.184,0.122,5.981,-24.598,
00:00:01:666,0.95,0.156,0.183,1.953,5.371,-24.414,
00:00:01:683,0.951,0.157,0.186,5.371,7.568,-24.964,
00:00:01:700,0.951,0.15,0.184,4.577,9.033,-24.72,
00:00:01:716,0.949,0.15,0.187,1.525,9.216,-24.17,
00:00:01:733,0.951,0.151,0.187,-1.221,8.3,-24.781,
00:00:01:750,0.951,0.149,0.181,-5.005,8.789,-24.476,
00:00:01:766,0.949,0.154,0.188,-9.522,7.324,-23.804,
00:00:01:783,0.954,0.157,0.188,-14.954,9.826,-23.621,
00:00:01:800,0.955,0.158,0.189,-11.841,9.704,-23.56,
00:00:01:816,0.953,0.159,0.186,-9.522,10.009,-26.001,
00:00:01:833,0.949,0.16,0.18,-7.813,7.69,-22.889,
00:00:01:850,0.947,0.16,0.183,-5.31,8.544,-23.011,
00:00:01:866,0.951,0.161,0.191,-5.127,10.498,-21.729,
00:00:01:883,0.953,0.164,0.191,-0.367,9.094,-20.813,
00:00:01:900,0.956,0.161,0.191,3.234,10.192,-22.828,
00:00:01:916,0.946,0.163,0.189,10.925,11.535,-20.325,
00:00:01:933,0.947,0.157,0.186,16.418,10.925,-19.532,
00:00:01:950,0.957,0.153,0.179,15.564,6.713,-19.959,
00:00:01:966,0.953,0.153,0.185,15.502,6.53,-19.593,
00:00:01:983,0.948,0.159,0.184,13.977,10.681,-22.644,
00:00:02:0,0.952,0.161,0.181,15.93,12.634,-24.476,
00:00:02:16,0.948,0.16,0.181,19.531,13.427,-24.537,
00:00:02:33,0.945,0.162,0.185,25.512,14.953,-22.644,
00:00:02:50,0.948,0.157,0.184,28.503,15.014,-19.349,
00:00:02:66,0.952,0.153,0.183,27.526,12.817,-18.738,
00:00:02:83,0.952,0.155,0.186,21.728,13.671,-18.799,
00:00:02:100,0.949,0.152,0.187,20.08,11.047,-19.837,
00:00:02:116,0.949,0.157,0.188,12.085,12.207,-18.738,
00:00:02:133,0.954,0.162,0.192,11.901,13.305,-19.349,
00:00:02:150,0.948,0.159,0.194,11.657,11.413,-15.564,
00:00:02:166,0.952,0.157,0.183,5.065,12.207,-16.724,
00:00:02:183,0.957,0.161,0.174,-0.184,5.676,-15.259,
00:00:02:200,0.953,0.168,0.174,2.258,1.281,-15.564,
00:00:02:216,0.946,0.167,0.168,10.192,6.774,-13.855,
00:00:02:233,0.946,0.167,0.173,15.991,8.972,-14.588,
00:00:02:250,0.943,0.163,0.174,16.662,14.77,-16.053,
00:00:02:266,0.947,0.158,0.18,15.808,17.944,-17.518,
00:00:02:283,0.949,0.158,0.184,13.549,21.24,-17.09,
00:00:02:300,0.953,0.159,0.19,13,18.493,-18.433,
00:00:02:316,0.956,0.163,0.19,13.916,12.756,-20.935,
00:00:02:333,0.957,0.168,0.191,18.737,7.324,-21.119,
00:00:02:350,0.956,0.169,0.188,26.733,6.469,-20.935,
00:00:02:366,0.954,0.166,0.187,36.804,7.08,-22.034,
00:00:02:383,0.955,0.161,0.187,46.814,2.746,-21.485,
00:00:02:400,0.953,0.152,0.185,48.767,-0.55,-20.874,
00:00:02:416,0.949,0.143,0.178,32.409,1.403,-20.447,
00:00:02:433,0.953,0.142,0.18,25.94,7.141,-23.987,
00:00:02:450,0.959,0.14,0.182,18.615,9.338,-27.222,
00:00:02:466,0.962,0.139,0.187,6.103,10.498,-29.053,
00:00:02:483,0.957,0.141,0.186,-4.578,5.859,-31.189,
