TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.948,-0.282,0.031,-36.255,7.446,-7.569,
00:00:00:16,0.944,-0.313,0.035,-34.058,6.286,-7.752,
00:00:00:33,0.946,-0.277,0.034,-32.288,7.446,-9.217,
00:00:00:50,0.947,-0.28,0.035,-29.358,6.713,-11.231,
00:00:00:66,0.948,-0.281,0.002,-33.814,3.295,-14.71,
00:00:00:83,0.953,-0.271,0.029,-31.983,4.211,-0.123,
00:00:00:100,0.959,-0.258,0.023,-22.339,2.014,-19.41,
00:00:00:116,0.949,-0.255,0.031,-4.09,-4.09,-29.297,
00:00:00:133,0.936,-0.259,0.035,9.887,0.244,-34.18,
00:00:00:150,0.942,-0.255,0.038,21.972,6.103,-34.18,
00:00:00:166,0.949,-0.255,0.036,37.231,8.178,-36.072,
00:00:00:183,0.956,-0.256,0.028,53.344,9.643,-35.035,
00:00:00:200,0.947,-0.26,0.03,61.645,10.62,-33.936,
00:00:00:216,0.939,-0.268,0.036,65.612,14.892,-33.02,
00:00:00:233,0.944,-0.282,0.038,66.528,21.24,-32.105,
00:00:00:250,0.945,-0.288,0.037,56.396,22.338,-31.311,
00:00:00:266,0.951,-0.292,0.037,42.663,23.986,-29.969,
00:00:00:283,0.96,-0.294,0.035,25.817,20.935,-30.03,
00:00:00:300,0.959,-0.293,0.034,4.394,16.235,-29.114,
00:00:00:316,0.953,-0.291,0.03,-16.358,14.953,-28.26,
00:00:00:333,0.953,-0.286,0.027,-33.57,13.732,-27.161,
00:00:00:350,0.957,-0.277,0.025,-43.335,14.587,-25.696,
00:00:00:366,0.956,-0.267,0.032,-43.335,13.244,-22.583,
00:00:00:383,0.959,-0.26,0.03,-35.096,12.146,-23.316,
00:00:00:400,0.96,-0.257,0.031,-18.128,7.995,-18.982,
00:00:00:416,0.953,-0.256,0.03,0.427,5.676,-20.935,
00:00:00:433,0.952,-0.259,0.028,18.615,4.577,-20.63,
00:00:00:450,0.957,-0.263,0.028,29.174,5.371,-20.203,
00:00:00:466,0.956,-0.265,0.028,39.489,1.464,-20.752,
00:00:00:483,0.953,-0.265,0.032,45.837,-3.113,-22.278,
00:00:00:500,0.946,-0.259,0.061,56.64,-2.686,-22.767,
00:00:00:516,0.946,-0.277,0.031,66.467,-5.494,-31.983,
00:00:00:533,0.943,-0.283,0.032,67.932,-3.907,-27.344,
00:00:00:550,0.942,-0.283,0.033,66.162,-1.16,-27.344,
00:00:00:566,0.947,-0.285,0.039,71.411,-1.77,-25.757,
