TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.93,-0.4,0.085,-135.56,-15.015,-114.319,0,0,0,
,0.95,-0.364,0.114,-231.69,-8.606,-70.74,0,0,0,
,0.97,-0.323,0.185,-277.039,-29.969,-43.702,0,0,0,
,0.964,-0.265,0.223,-214.173,-26.612,-42.969,0,0,0,
,0.957,-0.221,0.234,-103.028,-7.813,-49.622,0,0,0,
,0.955,-0.231,0.219,-6.287,-3.785,-61.463,0,0,0,
,0.955,-0.25,0.195,61.889,16.235,-57.007,0,0,0,
,0.955,-0.283,0.151,87.768,27.282,-44.861,0,0,0,
,0.948,-0.311,0.12,66.284,10.925,-31.983,0,0,0,
,0.927,-0.311,0.093,24.902,2.075,-18.128,0,0,0,
,0.913,-0.313,0.08,0.366,5.676,-20.264,0,0,0,
,0.916,-0.329,0.068,-18.555,13.855,-21.973,0,0,0,
,0.929,-0.335,0.065,-38.575,13.244,-20.691,0,0,0,
,0.935,-0.334,0.061,-45.105,9.765,-26.062,0,0,0,
,0.936,-0.331,0.064,-48.401,9.704,-30.335,0,0,0,
,0.932,-0.324,0.061,-51.148,11.169,-33.814,0,0,0,
,0.931,-0.312,0.067,-43.091,13.977,-35.767,0,0,0,
,0.936,-0.313,0.071,-15.87,16.296,-35.462,0,0,0,
,0.94,-0.307,0.075,-20.874,13.916,-35.706,0,0,0,
,0.94,-0.303,0.077,-16.785,5.371,-39.612,0,0,0,
,0.939,-0.294,0.088,-6.714,1.77,-40.711,0,0,0,
,0.938,-0.286,0.085,0.183,-0.061,-37.049,0,0,0,
,0.945,-0.28,0.09,8.728,0.183,-33.814,0,0,0,
,0.95,-0.281,0.098,23.498,-4.944,-31.311,0,0,0,
,0.942,-0.283,0.1,43.457,-12.696,-27.771,0,0,0,
,0.934,-0.285,0.106,62.255,-13.428,-24.537,0,0,0,
,0.929,-0.292,0.084,82.946,-6.836,-21.79,0,0,0,
,0.933,-0.302,0.076,99.853,-3.418,-16.724,0,0,0,
,0.938,-0.328,0.077,110.962,-0.794,-19.471,0,0,0,
,0.925,-0.349,0.098,99.548,-3.724,-20.874,0,0,0,
,0.9,-0.359,0.053,67.688,14.892,-21.668,0,0,0,
,0.897,-0.328,-0.005,59.204,24.78,-17.518,0,0,0,
,0.93,-0.326,-0.034,71.838,34.912,-15.625,0,0,0,
,0.972,-0.333,-0.055,78.43,29.113,-27.222,0,0,0,
,0.995,-0.391,0.014,43.396,-8.362,-43.396,0,0,0,
,0.959,-0.383,0.143,36.132,-64.576,-93.567,0,0,0,
,0.98,-0.339,0.352,20.69,-36.011,-83.008,0,0,0,
,0.979,-0.288,0.39,-50.415,30.334,-95.398,0,0,0,
,0.929,-0.219,0.282,-140.137,82.885,-88.623,0,0,0,
,0.847,-0.149,0.112,-76.6,97.9,-61.341,0,0,0,
,0.871,-0.229,-0.028,138.977,102.6,-53.04,0,0,0,
,0.908,-0.442,-0.062,258.3,68.969,-69.642,0,0,0,
,0.906,-0.595,-0.001,158.203,28.747,-52.369,0,0,0,
,0.875,-0.538,0.082,-38.819,25.329,-30.762,0,0,0,
,0.87,-0.404,0.105,-215.21,58.898,-23.804,0,0,0,
,0.899,-0.251,0.058,-243.348,67.81,-6.47,0,0,0,
,0.926,-0.195,0.038,-153.443,27.954,4.089,0,0,0,
,0.952,-0.255,0.079,-50.66,3.967,4.943,0,0,0,
,0.954,-0.324,0.071,-50.843,4.455,5.859,0,0,0,
,0.942,-0.312,0.082,-77.393,-4.212,0.183,0,0,0,
,0.927,-0.264,0.092,-75.44,2.319,-12.269,0,0,0,
,0.967,-0.271,0.11,-34.302,42.175,-17.701,0,0,0,
,1.007,-0.337,0.094,-28.565,46.203,-18.982,0,0,0,
,0.977,-0.344,0.046,-61.097,11.718,-15.503,0,0,0,
,0.927,-0.32,0.061,-102.417,-16.724,-18.189,0,0,0,
,0.918,-0.287,0.094,-86.792,-4.578,-18.738,0,0,0,
,0.922,-0.278,0.101,-51.941,-9.095,-18.25,0,0,0,
,0.916,-0.302,0.098,-14.893,-30.823,-18.921,0,0,0,
,0.916,-0.319,0.114,32.043,-49.256,-13.916,0,0,0,
,0.931,-0.302,0.04,122.741,-61.829,-3.296,0,0,0,
,0.964,-0.318,0.081,126.037,-73.121,8.728,0,0,0,
,0.998,-0.365,0.128,115.234,-57.862,12.085,0,0,0,
,1,-0.4,0.158,80.017,-60.852,12.695,0,0,0,
,0.961,-0.397,0.189,13.183,-75.501,0.61,0,0,0,
,0.908,-0.399,0.21,-55.909,-57.373,-8.301,0,0,0,
,0.892,-0.346,0.244,-64.087,-20.63,-6.104,0,0,0,
,0.878,-0.331,0.194,-37.598,10.925,-7.325,0,0,0,
,0.88,-0.315,0.108,-12.696,28.32,-1.404,0,0,0,
,0.901,-0.309,0.036,-2.198,29.174,13.122,0,0,0,
,0.933,-0.295,-0.059,24.963,-0.184,27.343,0,0,0,
,0.956,-0.259,-0.036,113.891,-78.614,19.47,0,0,0,
,0.93,-0.257,-0.021,212.219,-133.606,4.211,0,0,0,
,0.894,-0.316,0.028,250.671,-130.372,-5.249,0,0,0,
,0.891,-0.353,0.068,202.148,-92.347,3.356,0,0,0,
,0.921,-0.343,0.123,105.346,-76.905,3.295,0,0,0,
,0.944,-0.319,0.175,22.155,-73.792,-14.222,0,0,0,
,0.945,-0.301,0.212,-18.25,-58.472,-32.227,0,0,0,
,0.943,-0.291,0.225,-33.936,-26.49,-51.148,0,0,0,
,0.943,-0.279,0.232,-42.298,18.127,-60.425,0,0,0,
,0.948,-0.296,0.207,-62.745,60.18,-73.853,0,0,0,
,0.959,-0.327,0.172,-82.947,87.341,-60.608,0,0,0,
,0.95,-0.334,0.109,-102.234,74.218,-45.166,0,0,0,
,0.928,-0.333,0.085,-94.361,58.776,-43.702,0,0,0,
,0.92,-0.343,0.073,-84.107,42.175,-38.758,0,0,0,
,0.915,-0.34,0.064,-66.956,26.428,-33.692,0,0,0,
,0.875,-0.344,0.066,-48.157,16.784,-37.415,0,0,0,
,0.901,-0.347,0.068,-41.748,14.465,-39.978,0,0,0,
,0.904,-0.34,0.077,-50.415,17.944,-36.927,0,0,0,
,0.923,-0.326,0.086,-61.28,22.094,-28.809,0,0,0,
,0.935,-0.306,0.097,-67.627,14.465,-27.1,0,0,0,
,0.946,-0.277,0.137,-19.165,-7.264,-20.264,0,0,0,
,0.945,-0.273,0.139,13.305,-5.677,-22.583,0,0,0,
,0.943,-0.284,0.141,43.029,-4.944,-28.565,0,0,0,
,0.93,-0.3,0.128,47.546,2.746,-32.532,0,0,0,
,0.925,-0.317,0.125,32.409,10.192,-30.396,0,0,0,
,0.925,-0.313,0.119,14.77,15.441,-28.138,0,0,0,
,0.927,-0.316,0.121,6.652,12.329,-29.48,0,0,0,
,0.926,-0.317,0.126,7.568,12.39,-32.593,0,0,0,
,0.925,-0.319,0.126,7.568,15.075,-30.945,0,0,0,
,0.927,-0.322,0.114,13.977,15.136,-29.969,0,0,0,
,0.936,-0.325,0.113,24.169,9.155,-29.297,0,0,0,
,0.933,-0.33,0.11,29.968,5.004,-29.175,0,0,0,
,0.931,-0.339,0.116,31.982,-0.123,-29.236,0,0,0,
,0.924,-0.334,0.119,25.878,-1.709,-28.809,0,0,0,
,0.923,-0.329,0.118,26.855,-4.7,-25.208,0,0,0,
,0.923,-0.324,0.119,26.916,-4.639,-23.621,0,0,0,
,0.923,-0.32,0.12,27.465,-2.869,-20.142,0,0,0,
,0.931,-0.316,0.125,34.362,-3.113,-21.546,0,0,0,
,0.931,-0.318,0.128,33.691,-6.165,-22.095,0,0,0,
,0.927,-0.325,0.13,29.846,-4.761,-24.842,0,0,0,
,0.929,-0.327,0.132,22.461,0.305,-21.241,0,0,0,
,0.932,-0.322,0.128,17.089,5.127,-21.363,0,0,0,
,0.932,-0.32,0.123,20.019,4.516,-22.278,0,0,0,
,0.929,-0.319,0.093,22.277,2.868,-23.377,0,0,0,
,0.922,-0.329,0.095,22.766,6.164,-23.438,0,0,0,
,0.923,-0.332,0.122,14.16,9.277,-20.447,0,0,0,
,0.923,-0.325,0.118,8.911,12.817,-17.334,0,0,0,
,0.929,-0.328,0.125,11.291,11.413,-17.945,0,0,0,
,0.926,-0.341,0.128,15.747,11.901,-18.86,0,0,0,
,0.927,-0.343,0.126,7.507,11.047,-18.982,0,0,0,
,0.923,-0.339,0.123,-3.907,12.39,-19.959,0,0,0,
,0.919,-0.331,0.117,-8.118,15.075,-20.264,0,0,0,
,0.922,-0.322,0.118,-8.301,18.005,-20.997,0,0,0,
,0.929,-0.319,0.114,-7.935,20.507,-19.837,0,0,0,
,0.932,-0.319,0.123,-9.156,14.831,-21.241,0,0,0,
,0.929,-0.314,0.128,-6.043,14.038,-17.518,0,0,0,
,0.927,-0.313,0.129,0.732,15.93,-15.992,0,0,0,
,0.925,-0.319,0.12,7.751,16.235,-13.367,0,0,0,
,0.923,-0.322,0.116,9.033,14.648,-13.001,0,0,0,
,0.926,-0.329,0.121,7.751,16.662,-15.076,0,0,0,
,0.926,-0.336,0.116,0.549,16.601,-16.968,0,0,0,
,0.924,-0.337,0.123,-10.132,17.761,-16.907,0,0,0,
,0.926,-0.323,0.125,-26.673,19.348,-16.053,0,0,0,
,0.93,-0.319,0.12,-22.889,17.15,-14.649,0,0,0,
,0.929,-0.321,0.121,-18.189,18.554,-16.419,0,0,0,
,0.933,-0.325,0.114,-12.574,17.639,-13.794,0,0,0,
,0.936,-0.328,0.113,-14.71,21.484,-13.977,0,0,0,
,0.942,-0.325,0.111,-17.456,17.15,-13.489,0,0,0,
,0.938,-0.324,0.114,-16.724,14.099,-17.334,0,0,0,
,0.936,-0.322,0.12,-21.546,14.16,-18.433,0,0,0,
,0.934,-0.317,0.121,-24.964,15.319,-19.165,0,0,0,
,0.932,-0.313,0.118,-28.504,14.404,-17.884,0,0,0,
,0.928,-0.305,0.12,-27.771,13.183,-20.386,0,0,0,
,0.925,-0.305,0.122,-20.508,14.038,-20.508,0,0,0,
,0.93,-0.303,0.119,-11.963,15.258,-19.288,0,0,0,
,0.932,-0.309,0.118,-8.118,13.305,-21.973,0,0,0,
,0.934,-0.314,0.115,-3.052,8.85,-22.583,0,0,0,
,0.931,-0.318,0.117,-1.16,5.92,-23.194,0,0,0,
,0.933,-0.32,0.115,-15.259,5.92,-22.95,0,0,0,
,0.933,-0.324,0.115,-1.648,4.76,-26.307,0,0,0,
,0.931,-0.32,0.117,-3.785,6.408,-24.781,0,0,0,
,0.939,-0.318,0.114,-1.282,5.859,-25.208,0,0,0,
,0.938,-0.311,0.114,2.746,0,-27.832,0,0,0,
,0.936,-0.311,0.113,6.225,-2.93,-29.664,0,0,0,
,0.934,-0.303,0.113,10.986,-2.564,-27.832,0,0,0,
,0.936,-0.298,0.112,15.441,-1.404,-30.03,0,0,0,
,0.929,-0.299,0.113,23.559,-3.174,-32.837,0,0,0,
,0.917,-0.299,0.115,27.648,-2.198,-32.471,0,0,0,
,0.916,-0.297,0.118,28.015,0,-28.809,0,0,0,
,0.922,-0.296,0.119,31.005,5.371,-26.917,0,0,0,
,0.928,-0.306,0.12,33.63,8.422,-23.987,0,0,0,
,0.929,-0.316,0.121,34.668,9.887,-22.461,0,0,0,
,0.932,-0.325,0.126,33.325,6.836,-19.104,0,0,0,
,0.931,-0.327,0.124,31.616,7.141,-19.593,0,0,0,
,0.932,-0.335,0.125,30.761,6.652,-22.156,0,0,0,
,0.935,-0.341,0.125,26.794,8.178,-18.921,0,0,0,
,0.937,-0.344,0.121,16.601,9.277,-20.142,0,0,0,
,0.936,-0.345,0.123,1.22,7.263,-19.593,0,0,0,
,0.932,-0.337,0.122,-10.376,4.638,-22.156,0,0,0,
,0.929,-0.326,0.119,-12.391,1.342,-23.072,0,0,0,
,0.922,-0.313,0.115,-3.113,1.831,-25.269,0,0,0,
,0.918,-0.312,0.112,6.103,1.953,-24.414,0,0,0,
,0.92,-0.311,0.109,7.507,4.577,-20.874,0,0,0,
