TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.905,-0.373,0.032,-30.152,27.343,-16.846,0,0,0,
,0.908,-0.37,0.036,-6.836,24.108,-16.175,0,0,0,
,0.875,-0.385,0.047,-3.479,20.629,-10.987,0,0,0,
,0.913,-0.39,0.061,-19.471,17.15,-6.104,0,0,0,
,0.912,-0.389,0.069,-38.269,11.047,0.366,0,0,0,
,0.91,-0.385,0.066,-48.645,8.3,2.99,0,0,0,
,0.918,-0.381,0.055,-45.777,7.69,2.624,0,0,0,
,0.925,-0.379,0.054,-33.02,1.037,1.831,0,0,0,
,0.921,-0.387,0.051,-21.546,-3.724,-1.038,0,0,0,
,0.916,-0.391,0.055,-7.081,-1.648,-2.503,0,0,0,
,0.917,-0.396,0.049,-5.86,-5.005,-2.259,0,0,0,
,0.911,-0.394,0.048,-7.019,-3.663,-6.775,0,0,0,
,0.906,-0.388,0.046,-8.728,-1.038,-7.569,0,0,0,
,0.905,-0.384,0.044,-2.076,-4.761,-16.541,0,0,0,
,0.901,-0.387,0.042,5.188,0.183,-19.593,0,0,0,
,0.908,-0.391,0.041,-0.428,2.319,-18.616,0,0,0,
,0.912,-0.387,0.042,-3.418,-1.465,-21.302,0,0,0,
,0.91,-0.396,0.043,-1.404,-4.944,-21.79,0,0,0,
,0.901,-0.389,0.041,-8.301,-2.381,-19.104,0,0,0,
,0.911,-0.38,0.036,-0.367,-5.005,-21.973,0,0,0,
,0.91,-0.386,0.046,21.423,-9.522,-30.884,0,0,0,
,0.909,-0.389,0.047,37.109,-5.066,-34.424,0,0,0,
,0.915,-0.39,0.042,35.461,-4.578,-36.683,0,0,0,
,0.917,-0.398,0.056,36.377,-5.433,-39.917,0,0,0,
,0.915,-0.401,0.065,16.235,-6.653,-40.284,0,0,0,
,0.909,-0.398,0.067,24.963,-7.691,-40.101,0,0,0,
,0.934,-0.392,0.073,22.399,-3.418,-38.697,0,0,0,
,0.907,-0.394,0.072,28.198,-0.55,-38.086,0,0,0,
,0.912,-0.403,0.072,21.118,-1.587,-35.767,0,0,0,
,0.913,-0.408,0.072,11.291,3.112,-29.358,0,0,0,
,0.91,-0.417,0.078,-5.555,13.916,-20.997,0,0,0,
,0.908,-0.415,0.076,-14.527,28.625,-8.912,0,0,0,
,0.915,-0.419,0.066,-9.583,33.935,-5.31,0,0,0,
,0.915,-0.425,0.055,-12.269,27.648,-11.841,0,0,0,
,0.908,-0.419,0.048,-21.241,27.587,-17.029,0,0,0,
,0.905,-0.407,0.036,-25.818,22.277,-24.842,0,0,0,
,0.906,-0.404,0.037,-33.204,15.441,-37.171,0,0,0,
,0.899,-0.381,0.028,-35.035,18.31,-31.678,0,0,0,
,0.91,-0.376,0.031,-40.284,13.732,-43.152,0,0,0,
,0.915,-0.379,0.041,-38.941,2.685,-43.335,0,0,0,
,0.911,-0.37,0.054,-33.814,-0.855,-41.382,0,0,0,
,0.919,-0.368,0.058,-19.898,-2.198,-40.406,0,0,0,
,0.92,-0.366,0.061,-0.061,-5.799,-44.495,0,0,0,
,0.911,-0.373,0.063,-13.062,-16.114,-45.105,0,0,0,
,0.908,-0.368,0.068,-20.02,-11.658,-39.307,0,0,0,
,0.915,-0.371,0.067,-20.691,-6.714,-31.861,0,0,0,
,0.915,-0.36,0.054,-22.95,0,-34.363,0,0,0,
,0.912,-0.373,0.062,-33.326,11.718,-33.326,0,0,0,
,0.91,-0.379,0.067,-46.936,32.348,-41.565,0,0,0,
,0.921,-0.389,0.041,-67.81,48.767,-47.974,0,0,0,
,0.95,-0.395,0.035,-14.71,17.211,-40.589,0,0,0,
,0.967,-0.414,0.053,63.903,5.432,-12.452,0,0,0,
,0.931,-0.412,0.079,98.266,1.037,8.606,0,0,0,
,0.888,-0.399,0.077,83.068,27.282,13.671,0,0,0,
,0.899,-0.372,0.036,61.95,56.64,9.887,0,0,0,
,0.915,-0.356,0.02,74.951,53.466,-21.607,0,0,0,
,0.908,-0.372,0.034,94.665,31.25,-76.783,0,0,0,
,0.902,-0.406,0.058,68.786,4.638,-92.652,0,0,0,
,0.898,-0.404,0.055,38.391,-7.325,-84.046,0,0,0,
,0.892,-0.372,0.055,54.382,-14.588,-72.876,0,0,0,
,0.903,-0.372,0.06,122.375,-16.175,-69.764,0,0,0,
,0.899,-0.416,0.054,169.677,-15.992,-61.585,0,0,0,
,0.893,-0.441,0.055,174.438,-17.334,-42.054,0,0,0,
,0.89,-0.444,0.051,158.691,-10.376,-24.781,0,0,0,
,0.901,-0.453,0.047,140.258,-2.93,-18.311,0,0,0,
,0.909,-0.45,0.05,117.553,-2.076,-14.222,0,0,0,
,0.911,-0.459,0.036,84.106,-1.221,-15.748,0,0,0,
,0.904,-0.455,0.033,38.452,-1.16,-21.485,0,0,0,
,0.897,-0.443,0.033,7.568,1.098,-22.522,0,0,0,
,0.9,-0.431,0.037,-9.4,1.648,-23.804,0,0,0,
,0.897,-0.427,0.04,-11.231,4.15,-28.931,0,0,0,
,0.902,-0.433,0.053,-18.738,4.76,-40.65,0,0,0,
,0.901,-0.434,0.046,-28.992,9.521,-31.189,0,0,0,
,0.907,-0.415,0.052,-48.218,9.094,-24.109,0,0,0,
,0.935,-0.4,0.053,-45.899,7.446,-21.058,0,0,0,
,0.899,-0.398,0.047,-32.044,5.859,-25.269,0,0,0,
,0.898,-0.407,0.052,-28.138,5.004,-27.466,0,0,0,
,0.898,-0.412,0.056,-35.95,5.493,-32.044,0,0,0,
,0.905,-0.402,0.036,-36.622,8.667,-24.231,0,0,0,
,0.911,-0.39,0.034,-26.978,9.887,-24.17,0,0,0,
,0.911,-0.381,0.034,-9.278,6.897,-24.476,0,0,0,
,0.909,-0.396,0.04,6.103,5.127,-32.349,0,0,0,
,0.903,-0.401,0.041,4.15,10.925,-28.443,0,0,0,
,0.908,-0.394,0.045,-2.686,12.939,-23.438,0,0,0,
,0.908,-0.391,0.051,-3.907,9.46,-24.598,0,0,0,
,0.896,-0.394,0.058,6.713,8.544,-24.72,0,0,0,
,0.892,-0.406,0.063,12.512,16.967,-19.654,0,0,0,
,0.9,-0.427,0.069,5.31,21.484,-13.001,0,0,0,
,0.902,-0.435,0.066,-12.207,22.277,-2.747,0,0,0,
,0.908,-0.441,0.055,-23.072,23.437,4.394,0,0,0,
,0.91,-0.447,0.049,-32.593,21.911,0.183,0,0,0,
,0.904,-0.456,0.045,-49.683,25.268,-5.188,0,0,0,
,0.902,-0.452,0.041,-75.013,24.963,-10.56,0,0,0,
,0.912,-0.438,0.039,-96.009,21.972,-13.367,0,0,0,
,0.917,-0.417,0.038,-101.99,20.446,-17.518,0,0,0,
,0.921,-0.401,0.025,-101.014,14.038,-20.874,0,0,0,
,0.92,-0.387,0.027,-98.084,10.437,-23.621,0,0,0,
,0.906,-0.375,0.031,-89.234,5.737,-31.983,0,0,0,
,0.908,-0.357,0.031,-70.374,6.774,-27.466,0,0,0,
,0.918,-0.344,0.031,-43.274,1.586,-23.255,0,0,0,
,0.924,-0.349,0.036,-19.837,-1.465,-16.602,0,0,0,
,0.917,-0.361,0.052,4.638,-2.503,-5.616,0,0,0,
,0.908,-0.381,0.056,14.831,-5.433,-6.897,0,0,0,
,0.897,-0.389,0.06,20.324,-7.508,-6.287,0,0,0,
,0.897,-0.395,0.067,32.47,-6.165,-9.705,0,0,0,
,0.894,-0.402,0.035,39.123,-3.418,-14.039,0,0,0,
,0.9,-0.407,0.031,30.456,0.427,-13.55,0,0,0,
,0.904,-0.403,0.067,22.705,5.615,-9.034,0,0,0,
,0.908,-0.399,0.066,15.869,8.606,-7.813,0,0,0,
,0.904,-0.413,0.07,11.657,10.437,-13.245,0,0,0,
,0.905,-0.422,0.063,5.493,11.23,-10.865,0,0,0,
,0.908,-0.41,0.061,-5.616,11.23,-11.963,0,0,0,
,0.917,-0.408,0.047,-8.912,5.981,-19.898,0,0,0,
,0.92,-0.394,0.035,12.878,6.469,-19.165,0,0,0,
,0.928,-0.39,0.018,36.377,4.699,-23.804,0,0,0,
,0.92,-0.385,0.029,65.795,-1.16,-30.396,0,0,0,
,0.903,-0.387,0.045,84.35,1.831,-33.02,0,0,0,
,0.904,-0.39,0.061,81.481,1.159,-34.485,0,0,0,
,0.913,-0.398,0.068,75.378,-2.076,-36.133,0,0,0,
,0.926,-0.398,0.062,58.837,-12.574,-34.729,0,0,0,
,0.91,-0.387,0.054,59.326,-19.288,-34.607,0,0,0,
,0.894,-0.387,0.047,74.646,-15.137,-35.706,0,0,0,
,0.887,-0.395,0.048,82.458,-9.522,-31.006,0,0,0,
,0.882,-0.4,0.053,89.233,-6.836,-32.776,0,0,0,
,0.89,-0.419,0.061,85.388,-5.127,-38.086,0,0,0,
,0.897,-0.421,0.053,67.077,-6.226,-32.41,0,0,0,
,0.901,-0.416,0.048,51.757,-4.334,-28.809,0,0,0,
,0.9,-0.413,0.048,46.569,-0.489,-25.696,0,0,0,
,0.897,-0.423,0.052,39.062,-1.221,-26.978,0,0,0,
,0.892,-0.424,0.054,24.658,-1.099,-23.194,0,0,0,
,0.892,-0.415,0.051,28.442,1.648,-24.598,0,0,0,
,0.897,-0.415,0.045,33.813,2.38,-23.621,0,0,0,
,0.906,-0.419,0.045,28.747,-6.287,-27.405,0,0,0,
,0.902,-0.412,0.039,21.545,-2.625,-21.241,0,0,0,
,0.91,-0.409,0.038,20.935,0.183,-17.518,0,0,0,
,0.916,-0.409,0.043,8.789,-0.855,-17.212,0,0,0,
,0.913,-0.412,0.051,5.493,2.868,-12.635,0,0,0,
,0.92,-0.405,0.046,19.47,8.911,-8.362,0,0,0,
,0.917,-0.415,0.055,23.071,5.31,-17.029,0,0,0,
,0.902,-0.415,0.05,10.681,12.39,-16.968,0,0,0,
,0.905,-0.402,0.057,9.46,18.798,-14.283,0,0,0,
,0.91,-0.41,0.057,14.831,20.141,-19.654,0,0,0,
,0.904,-0.423,0.064,13.732,23.193,-22.156,0,0,0,
,0.905,-0.428,0.067,-5.921,21.423,-19.471,0,0,0,
,0.899,-0.422,0.063,-25.757,22.461,-16.663,0,0,0,
,0.894,-0.411,0.063,-28.565,21.24,-14.954,0,0,0,
