TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.901,-0.356,0.281,-47.73,40.344,-20.02,0,0,0,
,0.895,-0.346,0.278,-55.848,37.109,-29.908,0,0,0,
,0.885,-0.335,0.272,-55.542,30.761,-34.852,0,0,0,
,0.879,-0.324,0.267,-53.101,32.775,-41.321,0,0,0,
,0.883,-0.316,0.257,-45.716,36.377,-43.091,0,0,0,
,0.894,-0.311,0.255,-37.11,34.606,-40.65,0,0,0,
,0.893,-0.307,0.253,-28.931,27.954,-38.697,0,0,0,
,0.887,-0.302,0.259,-17.518,26.062,-32.776,0,0,0,
,0.883,-0.299,0.256,-3.357,26.611,-27.344,0,0,0,
,0.884,-0.299,0.258,15.564,31.921,-22.156,0,0,0,
,0.89,-0.303,0.256,27.587,34.301,-14.527,0,0,0,
,0.897,-0.306,0.262,42.48,36.743,-12.146,0,0,0,
,0.903,-0.314,0.263,53.955,33.02,-13.977,0,0,0,
,0.904,-0.324,0.264,63.293,29.602,-17.273,0,0,0,
,0.903,-0.335,0.267,61.645,27.526,-19.837,0,0,0,
,0.897,-0.336,0.27,55.114,29.357,-21.729,0,0,0,
,0.897,-0.34,0.271,51.94,32.898,-24.537,0,0,0,
,0.894,-0.34,0.271,44.738,33.691,-26.49,0,0,0,
,0.89,-0.342,0.271,33.081,36.621,-26.673,0,0,0,
,0.883,-0.341,0.271,20.568,36.315,-27.283,0,0,0,
,0.882,-0.339,0.266,10.498,38.452,-26.978,0,0,0,
,0.872,-0.339,0.267,4.211,38.635,-28.321,0,0,0,
,0.869,-0.342,0.269,-5.188,39.978,-26.978,0,0,0,
,0.878,-0.337,0.274,-7.142,39.306,-25.635,0,0,0,
,0.892,-0.335,0.278,-2.015,42.663,-24.353,0,0,0,
,0.913,-0.34,0.279,14.221,41.381,-26.246,0,0,0,
,0.926,-0.351,0.276,25.024,27.343,-29.419,0,0,0,
,0.926,-0.364,0.265,22.888,22.766,-33.875,0,0,0,
,0.914,-0.37,0.261,9.948,20.263,-38.392,0,0,0,
,0.905,-0.364,0.255,-8.545,17.395,-44.129,0,0,0,
,0.886,-0.344,0.251,-19.715,16.723,-47.669,0,0,0,
,0.878,-0.328,0.25,-22.583,20.629,-51.758,0,0,0,
,0.877,-0.321,0.249,-22.583,25.024,-50.049,0,0,0,
,0.884,-0.32,0.219,-30.518,30.456,-44.19,0,0,0,
,0.892,-0.317,0.254,-38.392,33.02,-33.753,0,0,0,
,0.896,-0.315,0.255,-27.955,35.461,-25.513,0,0,0,
,0.897,-0.329,0.253,-14.222,34.606,-25.574,0,0,0,
,0.903,-0.347,0.259,-10.804,34.24,-23.926,0,0,0,
,0.912,-0.359,0.254,-21.973,35.095,-26.368,0,0,0,
,0.913,-0.356,0.247,-34.302,30.639,-28.748,0,0,0,
,0.903,-0.35,0.243,-41.382,27.099,-32.593,0,0,0,
,0.901,-0.336,0.236,-43.396,30.639,-34.18,0,0,0,
,0.917,-0.333,0.233,-46.204,42.236,-29.847,0,0,0,
,0.957,-0.345,0.25,-53.406,56.091,-17.395,0,0,0,
,0.979,-0.355,0.264,-71.717,42.541,-12.391,0,0,0,
