TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.971,0.134,0.02,34.79,-0.977,-11.902,0,0,0,
,0.966,0.152,0.025,40.222,-0.306,-18.067,0,0,0,
,0.955,0.153,0.027,54.992,3.112,-25.391,0,0,0,
,0.951,0.154,0.013,67.627,13.244,-29.969,0,0,0,
,0.959,0.134,-0.014,70.068,23.986,-43.702,0,0,0,
,0.975,0.129,-0.027,55.908,27.893,-40.955,0,0,0,
,0.986,0.147,-0.016,43.151,19.958,-33.631,0,0,0,
,0.979,0.148,0.004,41.931,4.638,-32.593,0,0,0,
,0.967,0.135,0.024,35.705,5.127,-33.57,0,0,0,
,0.962,0.123,0.042,18.249,9.582,-23.865,0,0,0,
,0.969,0.117,0.044,-2.32,12.512,-15.809,0,0,0,
,0.969,0.125,0.044,-27.161,1.953,-14.405,0,0,0,
,0.961,0.129,0.039,-51.331,-2.747,-21.546,0,0,0,
,0.955,0.133,0.034,-73.365,0.732,-23.804,0,0,0,
,0.955,0.153,0.026,-87.769,9.46,-20.203,0,0,0,
,0.97,0.17,0.03,-83.802,12.634,-17.395,0,0,0,
,0.98,0.18,0.035,-62.5,4.394,-14.71,0,0,0,
,0.979,0.183,0.045,-42.603,-1.648,-18.372,0,0,0,
,0.968,0.163,0.041,-26.795,-4.212,-17.395,0,0,0,
,0.962,0.159,0.034,-46.57,-1.465,-18.738,0,0,0,
,0.97,0.162,0.034,-37.049,6.408,-20.997,0,0,0,
,0.973,0.164,0.033,-29.297,-0.55,-22.4,0,0,0,
,0.967,0.16,0.039,-18.25,-4.456,-22.156,0,0,0,
,0.964,0.157,0.033,1.586,6.897,-28.077,0,0,0,
,0.961,0.151,0.03,11.779,9.46,-29.419,0,0,0,
,0.964,0.151,0.035,7.263,14.16,-33.753,0,0,0,
,0.972,0.145,0.034,6.958,15.319,-34.913,0,0,0,
,0.974,0.15,0.034,5.554,11.657,-35.279,0,0,0,
,0.961,0.154,0.039,13.366,16.54,-33.631,0,0,0,
,0.965,0.157,0.034,14.831,20.324,-33.326,0,0,0,
,0.967,0.158,0.028,23.376,18.737,-35.584,0,0,0,
,0.968,0.147,0.028,25.878,18.31,-37.293,0,0,0,
,0.969,0.145,0.024,24.902,18.676,-32.837,0,0,0,
,0.969,0.144,0.032,21.118,5.554,-28.626,0,0,0,
,0.96,0.138,0.024,11.901,5.798,-26.734,0,0,0,
,0.962,0.142,0.021,1.586,8.178,-25.696,0,0,0,
,0.968,0.147,0.023,-3.479,12.817,-23.316,0,0,0,
,0.972,0.15,0.028,-3.724,3.967,-20.386,0,0,0,
,0.972,0.14,0.023,-3.602,5.554,-21.241,0,0,0,
,0.975,0.15,0.024,-10.804,3.845,-18.982,0,0,0,
,0.974,0.154,0.033,-11.963,2.197,-18.799,0,0,0,
,0.965,0.154,0.035,-2.747,1.892,-21.424,0,0,0,
,0.961,0.155,0.034,3.662,5.249,-21.668,0,0,0,
,0.964,0.155,0.034,6.286,8.056,-21.668,0,0,0,
,0.962,0.153,0.033,12.085,8.85,-22.156,0,0,0,
,0.962,0.145,0.031,17.273,8.3,-24.292,0,0,0,
,0.967,0.145,0.034,15.564,13.244,-24.17,0,0,0,
,0.974,0.145,0.023,14.831,15.991,-31.495,0,0,0,
,0.97,0.127,0.015,13.122,16.967,-35.889,0,0,0,
,0.971,0.129,0.019,1.77,16.418,-34.302,0,0,0,
,0.968,0.141,0.021,-6.409,15.319,-28.809,0,0,0,
,0.966,0.148,0.025,1.464,14.526,-29.297,0,0,0,
,0.967,0.151,0.025,9.887,16.296,-29.541,0,0,0,
,0.966,0.148,0.029,12.878,18.859,-31.434,0,0,0,
,0.967,0.143,0.032,18.127,17.578,-29.541,0,0,0,
,0.965,0.145,0.036,19.287,19.958,-30.945,0,0,0,
,0.966,0.147,0.024,19.47,19.226,-29.358,0,0,0,
,0.938,0.148,0.016,13.916,19.775,-28.199,0,0,0,
,0.971,0.15,0.016,8.361,15.93,-24.353,0,0,0,
,0.966,0.148,0.014,11.718,13.855,-23.133,0,0,0,
,0.964,0.147,0.019,15.991,12.573,-27.527,0,0,0,
,0.967,0.136,0.019,18.432,16.784,-27.222,0,0,0,
,0.973,0.129,0.017,11.962,15.014,-27.649,0,0,0,
,0.97,0.138,0.027,2.99,8.361,-21.668,0,0,0,
,0.968,0.139,0.03,-1.954,12.695,-22.706,0,0,0,
,0.973,0.134,0.028,-3.235,12.695,-23.011,0,0,0,
,0.973,0.141,0.022,-7.386,10.742,-23.133,0,0,0,
,0.97,0.14,0.022,-8.789,8.972,-23.316,0,0,0,
,0.964,0.146,0.01,-7.203,13.977,-21.119,0,0,0,
,0.975,0.153,0.026,-1.404,14.892,-29.175,0,0,0,
,0.975,0.142,0.023,7.08,16.113,-29.236,0,0,0,
,0.976,0.135,0.017,1.525,14.343,-26.917,0,0,0,
,0.971,0.145,0.022,0.976,9.765,-21.79,0,0,0,
,0.969,0.14,0.023,0.793,4.943,-21.546,0,0,0,
,0.964,0.14,0.018,-2.686,6.225,-20.203,0,0,0,
,0.97,0.142,0.023,-3.968,11.108,-23.621,0,0,0,
