TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.96,0.155,-0.112,-3.235,10.925,-24.231,
00:00:00:16,0.966,0.151,-0.115,-3.602,4.272,-24.17,
00:00:00:33,0.96,0.155,-0.112,-3.54,1.648,-23.682,
00:00:00:50,0.949,0.158,-0.099,-1.16,4.76,-26.49,
00:00:00:66,0.946,0.156,-0.094,0,12.207,-28.687,
00:00:00:83,0.95,0.156,-0.089,4.272,11.657,-26.612,
00:00:00:100,0.955,0.157,-0.091,7.812,10.253,-27.71,
00:00:00:116,0.956,0.157,-0.093,8.789,8.606,-28.992,
00:00:00:133,0.958,0.154,-0.096,10.376,6.53,-28.931,
00:00:00:150,0.958,0.157,-0.096,8.056,4.76,-27.039,
00:00:00:166,0.955,0.158,-0.098,4.272,10.192,-25.452,
00:00:00:183,0.958,0.158,-0.105,1.403,7.934,-26.246,
00:00:00:200,0.955,0.16,-0.109,6.164,4.028,-25.147,
00:00:00:216,0.946,0.161,-0.105,11.291,0.427,-24.476,
00:00:00:233,0.943,0.153,-0.103,11.657,7.141,-25.391,
00:00:00:250,0.952,0.153,-0.106,7.019,9.094,-26.185,
00:00:00:266,0.952,0.152,-0.112,1.403,5.188,-24.292,
00:00:00:283,0.953,0.158,-0.115,-0.855,6.836,-25.574,
00:00:00:300,0.957,0.161,-0.112,1.037,8.728,-26.917,
00:00:00:316,0.955,0.16,-0.109,5.371,8.056,-26.612,
00:00:00:333,0.951,0.159,-0.102,6.469,10.376,-24.781,
00:00:00:350,0.952,0.159,-0.1,6.836,10.498,-21.729,
00:00:00:366,0.951,0.159,-0.094,7.324,7.324,-21.18,
00:00:00:383,0.954,0.151,-0.099,12.695,8.178,-21.119,
00:00:00:400,0.949,0.152,-0.096,13.061,6.408,-21.729,
00:00:00:416,0.951,0.151,-0.095,10.925,8.667,-23.255,
00:00:00:433,0.953,0.148,-0.096,6.286,10.437,-25.025,
00:00:00:450,0.958,0.149,-0.098,4.15,9.643,-25.269,
00:00:00:466,0.962,0.185,-0.105,6.774,8.3,-26.734,
00:00:00:483,0.956,0.154,-0.104,9.277,7.629,-25.33,
00:00:00:500,0.956,0.154,-0.105,10.009,7.751,-25.208,
00:00:00:516,0.955,0.153,-0.103,11.657,7.812,-23.377,
00:00:00:533,0.952,0.153,-0.099,12.146,7.568,-24.292,
00:00:00:550,0.95,0.15,-0.103,12.512,7.019,-24.109,
00:00:00:566,0.952,0.149,-0.102,10.681,6.774,-24.109,
00:00:00:583,0.952,0.148,-0.1,7.629,6.042,-24.781,
00:00:00:600,0.95,0.147,-0.102,7.629,8.056,-25.879,
00:00:00:616,0.948,0.15,-0.101,6.225,8.911,-26.001,
00:00:00:633,0.952,0.154,-0.103,4.76,9.399,-25.452,
00:00:00:650,0.956,0.152,-0.102,4.455,9.765,-25.574,
00:00:00:666,0.958,0.151,-0.104,5.188,10.742,-25.33,
00:00:00:683,0.958,0.158,-0.104,6.836,7.019,-24.414,
00:00:00:700,0.954,0.153,-0.098,10.253,4.76,-22.278,
00:00:00:716,0.949,0.154,-0.1,8.667,4.333,-20.935,
00:00:00:733,0.949,0.148,-0.096,8.728,6.652,-21.607,
00:00:00:750,0.951,0.148,-0.102,7.812,9.216,-22.217,
00:00:00:766,0.954,0.144,-0.104,6.591,9.887,-22.278,
00:00:00:783,0.953,0.145,-0.097,3.479,6.591,-21.485,
00:00:00:800,0.949,0.146,-0.1,4.455,8.3,-20.569,
00:00:00:816,0.949,0.147,-0.095,1.464,6.164,-21.607,
00:00:00:833,0.952,0.149,-0.097,-3.418,10.253,-22.583,
00:00:00:850,0.96,0.152,-0.107,-3.235,11.718,-24.903,
00:00:00:866,0.967,0.151,-0.115,-1.954,4.394,-24.414,
00:00:00:883,0.957,0.154,-0.109,-1.526,0.793,-24.414,
