TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.209,-0.539,0.842,9.582,8.728,-18.555,0,0,0,
,-0.207,-0.542,0.845,8.056,6.958,-20.752,0,0,0,
,-0.208,-0.541,0.844,8.422,6.958,-18.433,0,0,0,
,-0.21,-0.545,0.845,8.239,3.601,-21.241,0,0,0,
,-0.215,-0.537,0.843,2.746,7.08,-21.424,0,0,0,
,-0.211,-0.54,0.838,10.559,6.713,-21.79,0,0,0,
,-0.206,-0.542,0.835,12.878,5.554,-22.156,0,0,0,
,-0.207,-0.541,0.844,17.7,6.652,-18.433,0,0,0,
,-0.209,-0.537,0.848,23.376,6.53,-19.165,0,0,0,
,-0.208,-0.548,0.842,21.85,5.554,-18.921,0,0,0,
,-0.211,-0.549,0.839,15.686,2.929,-19.288,0,0,0,
,-0.213,-0.543,0.838,9.094,4.943,-18.433,0,0,0,
,-0.206,-0.541,0.842,16.296,3.967,-20.142,0,0,0,
,-0.21,-0.545,0.87,20.69,3.845,-17.823,0,0,0,
,-0.206,-0.54,0.838,25.329,7.202,-17.823,0,0,0,
,-0.205,-0.546,0.835,26.794,1.648,-18.006,0,0,0,
,-0.211,-0.549,0.837,24.231,1.098,-19.532,0,0,0,
,-0.207,-0.548,0.843,16.662,3.967,-18.372,0,0,0,
,-0.21,-0.551,0.838,15.93,0.061,-18.677,0,0,0,
,-0.213,-0.547,0.835,11.596,2.258,-16.846,0,0,0,
,-0.21,-0.549,0.837,9.948,4.272,-19.41,0,0,0,
,-0.211,-0.55,0.836,10.192,4.76,-18.799,0,0,0,
,-0.209,-0.544,0.84,10.559,5.065,-19.41,0,0,0,
,-0.206,-0.553,0.842,9.277,4.882,-20.142,0,0,0,
,-0.213,-0.548,0.836,2.258,6.164,-19.349,0,0,0,
,-0.209,-0.544,0.838,6.164,4.15,-19.471,0,0,0,
,-0.209,-0.547,0.835,8.056,5.31,-21.241,0,0,0,
,-0.212,-0.548,0.838,5.798,5.31,-19.165,0,0,0,
,-0.209,-0.544,0.838,13,8.361,-19.165,0,0,0,
,-0.209,-0.548,0.839,12.878,8.239,-18.006,0,0,0,
,-0.211,-0.549,0.839,16.906,6.897,-18.494,0,0,0,
,-0.211,-0.551,0.839,17.334,7.69,-19.898,0,0,0,
,-0.208,-0.548,0.848,16.174,2.868,-17.762,0,0,0,
,-0.214,-0.546,0.836,14.221,3.051,-16.175,0,0,0,
,-0.208,-0.549,0.828,18.127,6.897,-15.748,0,0,0,
,-0.206,-0.558,0.83,14.587,2.563,-16.663,0,0,0,
