TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.259,0.415,0.866,5.493,9.704,-21.424,0,0,0,
,-0.261,0.412,0.867,6.652,9.643,-22.156,0,0,0,
,-0.258,0.411,0.868,8.728,10.925,-20.203,0,0,0,
,-0.261,0.412,0.864,5.615,10.803,-21.973,0,0,0,
,-0.258,0.416,0.866,4.699,10.986,-21.729,0,0,0,
,-0.258,0.414,0.864,6.774,11.413,-21.668,0,0,0,
,-0.26,0.412,0.862,6.897,9.094,-21.485,0,0,0,
,-0.258,0.415,0.868,9.643,8.483,-20.325,0,0,0,
,-0.263,0.411,0.866,5.004,7.873,-21.729,0,0,0,
,-0.261,0.416,0.868,5.493,7.263,-20.63,0,0,0,
,-0.26,0.411,0.864,3.601,6.897,-22.767,0,0,0,
,-0.259,0.412,0.866,4.394,7.446,-22.522,0,0,0,
,-0.26,0.416,0.863,3.112,5.615,-23.072,0,0,0,
,-0.264,0.412,0.864,7.263,6.836,-24.659,0,0,0,
,-0.256,0.414,0.87,6.897,6.774,-22.828,0,0,0,
,-0.26,0.41,0.867,4.821,6.652,-22.889,0,0,0,
,-0.261,0.411,0.865,4.455,8.972,-22.522,0,0,0,
,-0.258,0.414,0.866,4.455,9.765,-22.095,0,0,0,
,-0.26,0.414,0.868,6.591,10.376,-20.691,0,0,0,
,-0.259,0.414,0.865,4.272,8.85,-19.715,0,0,0,
,-0.26,0.416,0.867,7.751,8.911,-21.424,0,0,0,
,-0.259,0.416,0.869,5.859,8.3,-20.874,0,0,0,
,-0.263,0.413,0.861,5.127,7.812,-20.752,0,0,0,
,-0.261,0.412,0.87,4.333,8.483,-20.142,0,0,0,
,-0.259,0.41,0.862,5.798,8.361,-21.241,0,0,0,
,-0.26,0.413,0.868,4.333,8.728,-19.043,0,0,0,
,-0.26,0.412,0.869,4.821,9.338,-21.119,0,0,0,
,-0.259,0.415,0.865,4.638,9.399,-19.715,0,0,0,
,-0.262,0.415,0.866,4.821,9.155,-20.935,0,0,0,
,-0.261,0.414,0.868,6.53,7.934,-21.119,0,0,0,
,-0.261,0.414,0.868,5.004,9.643,-20.447,0,0,0,
,-0.261,0.41,0.866,5.065,9.338,-22.034,0,0,0,
,-0.261,0.414,0.868,5.615,8.422,-20.447,0,0,0,
,-0.258,0.413,0.863,5.188,8.728,-20.63,0,0,0,
,-0.261,0.411,0.866,4.15,7.812,-20.874,0,0,0,
,-0.258,0.42,0.868,3.234,6.469,-23.316,0,0,0,
,-0.261,0.414,0.867,5.371,6.958,-22.828,0,0,0,
,-0.26,0.411,0.87,4.516,8.789,-21.058,0,0,0,
,-0.26,0.408,0.864,4.76,10.986,-21.119,0,0,0,
,-0.259,0.411,0.869,5.065,7.568,-19.165,0,0,0,
,-0.258,0.413,0.869,7.873,6.408,-20.874,0,0,0,
,-0.263,0.414,0.864,7.446,8.117,-19.959,0,0,0,
,-0.26,0.416,0.869,9.765,7.08,-22.889,0,0,0,
,-0.262,0.416,0.863,5.31,7.08,-25.147,0,0,0,
,-0.261,0.417,0.867,5.004,8.056,-25.696,0,0,0,
,-0.262,0.413,0.863,3.601,8.361,-26.429,0,0,0,
,-0.26,0.412,0.867,9.46,9.46,-23.499,0,0,0,
,-0.259,0.41,0.875,9.643,11.047,-23.865,0,0,0,
,-0.259,0.41,0.868,8.178,9.399,-20.63,0,0,0,
,-0.258,0.413,0.866,7.08,11.413,-21.729,0,0,0,
