TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.044,0.366,0.923,7.751,9.826,-21.302,0,0,0,
,-0.042,0.367,0.919,10.009,12.085,-22.4,0,0,0,
,-0.039,0.364,0.914,6.164,13.427,-23.682,0,0,0,
,-0.035,0.367,0.916,6.408,8.911,-20.935,0,0,0,
,-0.04,0.367,0.918,7.507,4.76,-20.569,0,0,0,
,-0.044,0.366,0.922,5.798,3.723,-19.715,0,0,0,
,-0.045,0.37,0.923,7.08,7.507,-23.194,0,0,0,
,-0.043,0.367,0.919,9.948,10.009,-24.72,0,0,0,
,-0.04,0.365,0.915,8.972,13.366,-25.391,0,0,0,
,-0.04,0.365,0.92,9.887,10.437,-22.461,0,0,0,
,-0.035,0.36,0.916,5.31,9.887,-22.034,0,0,0,
,-0.039,0.36,0.916,-3.052,6.042,-23.682,0,0,0,
,-0.04,0.374,0.919,-1.038,7.69,-21.424,0,0,0,
,-0.04,0.374,0.916,5.493,2.685,-23.255,0,0,0,
,-0.041,0.369,0.916,11.23,2.99,-24.048,0,0,0,
,-0.044,0.365,0.93,9.887,4.455,-24.476,0,0,0,
,-0.045,0.362,0.918,6.469,7.751,-25.574,0,0,0,
,-0.041,0.366,0.915,1.77,8.789,-26.185,0,0,0,
,-0.039,0.369,0.92,7.69,6.897,-25.94,0,0,0,
,-0.038,0.367,0.923,5.798,4.394,-23.743,0,0,0,
,-0.043,0.363,0.916,7.446,5.493,-22.889,0,0,0,
,-0.04,0.366,0.921,4.028,6.53,-23.865,0,0,0,
,-0.038,0.37,0.92,3.418,8.606,-23.499,0,0,0,
,-0.042,0.366,0.919,6.774,5.554,-23.133,0,0,0,
,-0.042,0.369,0.916,4.821,5.31,-23.194,0,0,0,
,-0.041,0.369,0.925,9.094,9.094,-22.644,0,0,0,
,-0.039,0.359,0.921,6.591,6.408,-23.621,0,0,0,
,-0.043,0.362,0.914,2.38,6.103,-24.231,0,0,0,
,-0.039,0.375,0.921,2.624,9.277,-23.377,0,0,0,
,-0.041,0.37,0.917,12.39,8.3,-22.278,0,0,0,
,-0.038,0.365,0.916,7.263,5.798,-22.522,0,0,0,
,-0.044,0.369,0.92,3.479,5.004,-22.034,0,0,0,
,-0.043,0.366,0.918,5.188,6.225,-23.377,0,0,0,
,-0.04,0.372,0.916,4.821,3.845,-23.011,0,0,0,
,-0.044,0.37,0.921,10.131,4.76,-24.414,0,0,0,
,-0.042,0.364,0.918,14.221,8.178,-24.048,0,0,0,
,-0.041,0.36,0.921,9.948,9.521,-22.767,0,0,0,
,-0.038,0.369,0.917,4.699,8.483,-23.072,0,0,0,
,-0.041,0.366,0.922,7.934,7.69,-22.583,0,0,0,
,-0.04,0.362,0.917,7.995,7.812,-21.058,0,0,0,
,-0.042,0.362,0.916,9.094,8.789,-20.447,0,0,0,
,-0.042,0.367,0.923,9.216,11.718,-22.034,0,0,0,
,-0.039,0.367,0.925,9.948,13.549,-18.86,0,0,0,
,-0.042,0.363,0.92,10.986,13.732,-19.898,0,0,0,
,-0.042,0.364,0.915,6.408,10.925,-21.912,0,0,0,
,-0.038,0.367,0.919,7.08,9.216,-20.691,0,0,0,
,-0.039,0.364,0.923,7.019,6.469,-20.508,0,0,0,
,-0.041,0.365,0.918,3.051,3.845,-20.752,0,0,0,
,-0.043,0.369,0.921,5.432,3.173,-19.776,0,0,0,
,-0.039,0.367,0.918,5.554,3.479,-20.63,0,0,0,
,-0.041,0.363,0.917,4.028,-0.672,-20.874,0,0,0,
,-0.044,0.364,0.921,3.723,0.244,-19.532,0,0,0,
,-0.046,0.363,0.92,0.488,-1.038,-20.569,0,0,0,
,-0.049,0.37,0.919,-2.259,1.709,-23.743,0,0,0,
,-0.045,0.369,0.918,2.502,3.845,-25.94,0,0,0,
,-0.042,0.368,0.916,4.394,7.202,-24.842,0,0,0,
,-0.042,0.364,0.919,5.493,4.882,-24.659,0,0,0,
,-0.044,0.364,0.921,5.615,2.319,-23.133,0,0,0,
,-0.042,0.361,0.921,2.685,3.173,-22.706,0,0,0,
,-0.045,0.365,0.918,1.77,2.746,-22.095,0,0,0,
,-0.044,0.365,0.92,1.648,5.554,-20.874,0,0,0,
,-0.046,0.366,0.914,1.77,3.784,-20.874,0,0,0,
,-0.041,0.367,0.916,2.929,3.479,-20.813,0,0,0,
,-0.045,0.365,0.924,1.525,2.746,-19.959,0,0,0,
,-0.045,0.366,0.918,1.22,4.699,-19.471,0,0,0,
,-0.046,0.367,0.918,2.258,6.897,-22.583,0,0,0,
,-0.042,0.368,0.916,2.38,7.446,-20.447,0,0,0,
,-0.044,0.367,0.919,4.577,3.295,-19.776,0,0,0,
,-0.043,0.366,0.92,4.333,0.427,-17.395,0,0,0,
,-0.045,0.371,0.921,4.516,4.76,-20.081,0,0,0,
,-0.046,0.371,0.92,7.873,4.882,-20.203,0,0,0,
,-0.049,0.366,0.921,8.178,5.615,-21.058,0,0,0,
,-0.046,0.368,0.916,4.943,7.69,-20.386,0,0,0,
,-0.045,0.362,0.916,3.051,6.164,-20.569,0,0,0,
,-0.046,0.37,0.915,14.648,2.929,-19.898,0,0,0,
,-0.05,0.373,0.916,2.99,2.319,-20.447,0,0,0,
,-0.048,0.376,0.918,5.432,0,-22.4,0,0,0,
,-0.045,0.364,0.916,4.821,0.305,-20.935,0,0,0,
,-0.051,0.369,0.929,2.502,2.014,-22.339,0,0,0,
,-0.05,0.366,0.916,0.366,5.004,-24.537,0,0,0,
,-0.053,0.37,0.911,0.183,7.69,-25.757,0,0,0,
,-0.046,0.37,0.922,3.784,8.3,-23.316,0,0,0,
,-0.046,0.369,0.918,5.493,7.812,-22.217,0,0,0,
,-0.049,0.368,0.914,2.136,4.455,-20.813,0,0,0,
,-0.049,0.371,0.925,3.784,5.432,-23.255,0,0,0,
,-0.051,0.369,0.915,3.051,8.056,-23.865,0,0,0,
,-0.048,0.375,0.914,4.577,9.094,-23.377,0,0,0,
,-0.047,0.368,0.921,7.812,5.065,-22.4,0,0,0,
,-0.05,0.368,0.921,2.807,5.371,-21.973,0,0,0,
,-0.049,0.369,0.916,3.784,5.554,-20.142,0,0,0,
,-0.045,0.373,0.916,2.624,7.507,-18.799,0,0,0,
,-0.05,0.372,0.923,5.249,4.76,-20.691,0,0,0,
,-0.053,0.369,0.919,4.455,6.103,-21.241,0,0,0,
,-0.054,0.369,0.92,3.601,10.376,-25.818,0,0,0,
,-0.049,0.37,0.917,1.648,11.474,-24.72,0,0,0,
,-0.046,0.376,0.916,5.004,8.667,-22.522,0,0,0,
,-0.05,0.367,0.919,5.798,8.606,-22.339,0,0,0,
,-0.05,0.372,0.918,4.272,9.765,-21.363,0,0,0,
,-0.047,0.367,0.919,5.554,7.873,-22.767,0,0,0,
,-0.048,0.373,0.924,5.004,8.728,-22.828,0,0,0,
,-0.049,0.371,0.918,9.338,8.239,-22.461,0,0,0,
,-0.053,0.369,0.921,4.577,9.338,-24.414,0,0,0,
,-0.049,0.372,0.919,3.112,11.108,-23.804,0,0,0,
,-0.048,0.37,0.918,6.836,9.582,-24.109,0,0,0,
,-0.048,0.372,0.92,6.164,10.803,-22.583,0,0,0,
,-0.051,0.373,0.922,8.178,9.094,-23.072,0,0,0,
,-0.045,0.37,0.918,7.019,10.009,-22.156,0,0,0,
,-0.047,0.37,0.91,9.826,7.263,-21.241,0,0,0,
,-0.047,0.368,0.917,6.713,8.117,-23.499,0,0,0,
,-0.051,0.37,0.92,7.751,6.347,-23.133,0,0,0,
,-0.049,0.371,0.917,6.652,9.704,-23.743,0,0,0,
,-0.051,0.367,0.916,4.882,7.324,-23.377,0,0,0,
,-0.049,0.375,0.919,6.652,7.995,-24.048,0,0,0,
,-0.047,0.373,0.917,9.155,8.606,-24.414,0,0,0,
,-0.047,0.368,0.917,7.141,7.324,-24.109,0,0,0,
,-0.049,0.373,0.921,6.53,5.737,-22.339,0,0,0,
,-0.051,0.371,0.917,8.056,8.606,-22.339,0,0,0,
,-0.048,0.371,0.916,9.46,9.887,-22.278,0,0,0,
