TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.109,0.383,0.869,25.268,26.794,-35.096,
00:00:00:16,0.115,0.4,0.893,13.366,5.31,-26.978,
00:00:00:33,0.101,0.399,0.892,6.225,-6.043,-14.283,
00:00:00:50,0.095,0.392,0.892,-0.123,-5.921,-22.156,
00:00:00:66,0.102,0.392,0.891,-9.705,-7.386,-19.837,
00:00:00:83,0.101,0.4,0.891,-17.823,-14.161,-17.518,
00:00:00:100,0.094,0.408,0.893,-19.532,-18.433,-14.161,
00:00:00:116,0.084,0.406,0.895,-18.067,-17.64,-16.419,
00:00:00:133,0.086,0.412,0.893,-17.518,-9.095,-20.874,
00:00:00:150,0.088,0.406,0.895,-14.527,-9.278,-19.593,
00:00:00:166,0.092,0.403,0.888,-17.701,-7.325,-19.288,
00:00:00:183,0.089,0.401,0.896,-21.912,-12.574,-20.935,
00:00:00:200,0.086,0.415,0.896,-22.889,-6.958,-22.217,
00:00:00:216,0.09,0.415,0.893,-15.748,-3.296,-20.935,
00:00:00:233,0.089,0.417,0.89,-11.719,-4.334,-18.311,
00:00:00:250,0.087,0.401,0.888,-13.55,-7.264,-17.945,
00:00:00:266,0.083,0.411,0.898,-18.982,-9.644,-16.907,
00:00:00:283,0.078,0.426,0.896,-15.259,-2.808,-18.982,
00:00:00:300,0.083,0.415,0.892,-11.963,3.051,-27.588,
00:00:00:316,0.079,0.405,0.881,-13.428,2.807,-31.067,
00:00:00:333,0.084,0.421,0.887,-13.55,6.713,-20.325,
00:00:00:350,0.085,0.422,0.889,-11.231,3.295,-22.889,
00:00:00:366,0.083,0.425,0.892,-7.874,6.347,-23.682,
00:00:00:383,0.087,0.417,0.89,-3.968,5.004,-17.395,
00:00:00:400,0.083,0.422,0.888,-4.456,6.408,-18.128,
00:00:00:416,0.086,0.418,0.883,-3.235,4.821,-19.593,
00:00:00:433,0.086,0.433,0.889,1.77,5.31,-21.79,
00:00:00:450,0.084,0.416,0.887,4.699,4.821,-20.997,
00:00:00:466,0.083,0.414,0.888,5.249,3.967,-23.072,
00:00:00:483,0.085,0.429,0.885,5.859,5.31,-20.63,
00:00:00:500,0.084,0.412,0.891,4.638,3.234,-22.95,
00:00:00:516,0.083,0.425,0.893,5.371,3.662,-21.485,
00:00:00:533,0.083,0.419,0.889,5.737,6.958,-20.63,
00:00:00:550,0.082,0.419,0.888,8.606,5.859,-22.034,
00:00:00:566,0.088,0.424,0.884,7.019,7.995,-20.997,
00:00:00:583,0.087,0.41,0.887,4.76,1.892,-22.278,
00:00:00:600,0.086,0.419,0.888,0.793,1.892,-21.18,
00:00:00:616,0.083,0.426,0.881,6.713,2.868,-21.973,
00:00:00:633,0.085,0.414,0.888,5.127,-0.184,-22.522,
00:00:00:650,0.081,0.418,0.887,2.929,-4.09,-20.203,
00:00:00:666,0.079,0.424,0.891,2.014,-2.808,-19.471,
00:00:00:683,0.077,0.428,0.885,7.019,-2.137,-19.41,
00:00:00:700,0.084,0.422,0.886,7.08,-0.184,-18.128,
00:00:00:716,0.081,0.411,0.883,3.173,-5.738,-17.823,
00:00:00:733,0.076,0.42,0.897,0.183,-8.484,-17.395,
00:00:00:750,0.078,0.432,0.892,3.479,0,-18.921,
00:00:00:766,0.075,0.42,0.89,4.15,4.272,-21.241,
00:00:00:783,0.08,0.412,0.884,3.112,7.995,-21.241,
00:00:00:800,0.082,0.428,0.89,1.586,0.549,-19.471,
00:00:00:816,0.077,0.421,0.887,3.418,5.615,-19.532,
00:00:00:833,0.078,0.419,0.892,2.38,8.972,-24.842,
00:00:00:850,0.079,0.43,0.888,5.004,9.704,-23.194,
00:00:00:866,0.081,0.429,0.885,12.817,9.948,-22.217,
00:00:00:883,0.082,0.418,0.88,15.991,9.277,-21.607,
00:00:00:900,0.082,0.396,0.887,5.188,-0.855,-20.752,
00:00:00:916,0.075,0.411,0.889,-7.752,-5.066,-18.555,
00:00:00:933,0.073,0.435,0.883,-0.306,2.441,-19.776,
00:00:00:950,0.08,0.434,0.884,7.873,8.972,-20.997,
00:00:00:966,0.08,0.407,0.893,7.995,1.281,-21.607,
00:00:00:983,0.07,0.417,0.893,-2.076,0.488,-20.752,
00:00:01:0,0.073,0.437,0.884,3.662,8.056,-22.644,
00:00:01:16,0.078,0.42,0.885,8.789,14.099,-24.353,
00:00:01:33,0.084,0.427,0.885,12.573,9.46,-21.851,
00:00:01:50,0.081,0.42,0.88,10.315,4.089,-19.288,
00:00:01:66,0.075,0.404,0.904,2.624,-2.32,-19.593,
00:00:01:83,0.071,0.422,0.889,-3.113,3.906,-19.471,
00:00:01:100,0.074,0.436,0.888,4.638,16.418,-22.95,
00:00:01:116,0.081,0.425,0.875,11.718,18.371,-22.706,
00:00:01:133,0.078,0.413,0.888,8.422,6.897,-22.4,
00:00:01:150,0.077,0.423,0.892,4.882,4.15,-20.264,
00:00:01:166,0.071,0.432,0.887,8.361,10.131,-21.668,
00:00:01:183,0.075,0.421,0.887,12.329,16.052,-24.537,
00:00:01:200,0.082,0.418,0.885,10.864,10.192,-21.302,
00:00:01:216,0.08,0.419,0.885,7.019,2.014,-18.982,
00:00:01:233,0.075,0.413,0.886,3.418,0.183,-19.532,
00:00:01:250,0.07,0.425,0.89,1.586,4.821,-23.011,
00:00:01:266,0.074,0.432,0.889,8.239,11.657,-24.048,
00:00:01:283,0.076,0.422,0.887,12.451,9.765,-21.302,
00:00:01:300,0.08,0.417,0.886,7.873,7.751,-19.593,
00:00:01:316,0.077,0.416,0.887,6.103,4.455,-17.579,
00:00:01:333,0.078,0.416,0.889,2.502,4.638,-16.846,
00:00:01:350,0.077,0.412,0.886,-3.968,3.967,-16.175,
00:00:01:366,0.076,0.422,0.891,-0.061,-0.611,-16.785,
00:00:01:383,0.074,0.422,0.889,-1.893,4.394,-21.851,
