TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.046,-0.515,0.873,1.464,7.507,-23.194,0,0,0,
,-0.052,-0.51,0.878,1.586,7.751,-24.72,0,0,0,
,-0.052,-0.508,0.88,4.699,10.192,-23.56,0,0,0,
,-0.047,-0.506,0.881,5.432,7.324,-22.339,0,0,0,
,-0.047,-0.507,0.878,6.53,4.516,-22.034,0,0,0,
,-0.051,-0.512,0.881,7.69,3.173,-20.447,0,0,0,
,-0.055,-0.51,0.877,5.127,6.53,-20.447,0,0,0,
,-0.052,-0.513,0.879,9.216,10.131,-20.264,0,0,0,
,-0.054,-0.518,0.874,7.69,8.606,-22.767,0,0,0,
,-0.054,-0.516,0.88,2.014,8.667,-20.874,0,0,0,
,-0.05,-0.507,0.878,-0.977,13.427,-22.156,0,0,0,
,-0.045,-0.503,0.88,0.854,12.268,-20.935,0,0,0,
,-0.042,-0.504,0.882,6.652,9.765,-20.691,0,0,0,
,-0.046,-0.512,0.878,11.779,7.324,-23.56,0,0,0,
,-0.05,-0.516,0.879,10.009,4.76,-22.583,0,0,0,
,-0.054,-0.516,0.875,4.699,7.995,-23.56,0,0,0,
,-0.054,-0.513,0.88,3.906,8.728,-21.241,0,0,0,
,-0.05,-0.507,0.879,2.868,9.46,-20.752,0,0,0,
,-0.046,-0.507,0.885,5.615,10.986,-19.471,0,0,0,
,-0.045,-0.509,0.879,6.408,6.713,-21.973,0,0,0,
,-0.05,-0.509,0.879,7.202,5.004,-22.583,0,0,0,
,-0.052,-0.511,0.876,8.789,6.53,-22.522,0,0,0,
,-0.05,-0.515,0.876,8.606,9.338,-23.438,0,0,0,
,-0.048,-0.513,0.877,9.643,10.131,-22.4,0,0,0,
,-0.05,-0.511,0.876,3.295,6.53,-25.574,0,0,0,
,-0.053,-0.51,0.881,4.089,7.751,-23.926,0,0,0,
,-0.048,-0.506,0.879,5.249,7.751,-21.973,0,0,0,
,-0.048,-0.509,0.876,8.178,6.347,-19.959,0,0,0,
,-0.048,-0.51,0.88,9.094,3.54,-22.156,0,0,0,
,-0.055,-0.514,0.881,9.582,3.112,-23.316,0,0,0,
,-0.058,-0.515,0.878,6.958,6.469,-22.461,0,0,0,
,-0.053,-0.509,0.88,3.784,10.009,-23.255,0,0,0,
,-0.049,-0.509,0.881,6.042,10.681,-23.499,0,0,0,
,-0.048,-0.514,0.876,8.239,9.887,-23.377,0,0,0,
,-0.051,-0.512,0.879,4.394,6.164,-22.95,0,0,0,
,-0.05,-0.506,0.879,3.662,5.432,-23.56,0,0,0,
,-0.053,-0.508,0.881,5.371,6.286,-20.874,0,0,0,
,-0.052,-0.518,0.878,9.948,10.131,-20.081,0,0,0,
,-0.051,-0.517,0.883,2.319,7.751,-21.973,0,0,0,
,-0.047,-0.51,0.879,3.845,9.704,-19.288,0,0,0,
,-0.047,-0.508,0.874,5.432,9.704,-23.133,0,0,0,
,-0.05,-0.51,0.879,5.798,4.699,-22.828,0,0,0,
,-0.053,-0.509,0.878,9.277,5.981,-23.682,0,0,0,
,-0.054,-0.512,0.884,7.995,7.568,-20.874,0,0,0,
,-0.051,-0.512,0.882,7.507,7.568,-21.18,0,0,0,
,-0.05,-0.512,0.877,6.225,7.812,-23.194,0,0,0,
,-0.053,-0.511,0.877,5.676,6.164,-24.231,0,0,0,
,-0.055,-0.513,0.876,6.591,7.202,-21.485,0,0,0,
,-0.052,-0.513,0.877,7.507,9.826,-21.424,0,0,0,
,-0.049,-0.515,0.881,6.408,9.948,-20.508,0,0,0,
,-0.048,-0.51,0.875,5.676,9.094,-20.142,0,0,0,
,-0.052,-0.509,0.88,6.225,5.188,-22.095,0,0,0,
,-0.051,-0.509,0.878,9.582,8.483,-20.997,0,0,0,
,-0.054,-0.509,0.88,8.422,7.568,-21.363,0,0,0,
,-0.05,-0.513,0.88,5.371,7.751,-18.799,0,0,0,
,-0.05,-0.516,0.879,6.713,9.521,-22.583,0,0,0,
,-0.05,-0.512,0.872,8.056,7.995,-21.912,0,0,0,
,-0.048,-0.514,0.878,7.568,8.789,-23.133,0,0,0,
,-0.047,-0.516,0.881,3.906,8.3,-24.109,0,0,0,
,-0.055,-0.508,0.879,0.061,6.408,-21.18,0,0,0,
,-0.055,-0.506,0.883,3.051,4.943,-21.668,0,0,0,
,-0.053,-0.51,0.873,8.239,8.239,-18.738,0,0,0,
,-0.053,-0.513,0.879,5.92,7.08,-20.142,0,0,0,
,-0.05,-0.515,0.876,5.981,10.253,-20.02,0,0,0,
,-0.051,-0.516,0.88,5.249,10.864,-22.95,0,0,0,
,-0.047,-0.514,0.878,3.784,11.413,-23.865,0,0,0,
,-0.047,-0.509,0.871,5.249,8.972,-23.56,0,0,0,
,-0.047,-0.511,0.876,7.934,5.127,-25.025,0,0,0,
,-0.053,-0.512,0.848,4.333,7.385,-25.33,0,0,0,
,-0.056,-0.505,0.885,6.042,3.601,-22.217,0,0,0,
,-0.061,-0.505,0.877,5.432,10.437,-19.288,0,0,0,
,-0.048,-0.516,0.88,11.474,12.39,-19.776,0,0,0,
,-0.046,-0.519,0.874,9.033,8.3,-18.494,0,0,0,
,-0.051,-0.513,0.877,6.53,8.3,-20.203,0,0,0,
,-0.052,-0.511,0.877,4.516,10.864,-22.889,0,0,0,
,-0.049,-0.512,0.879,4.272,10.192,-23.926,0,0,0,
,-0.05,-0.508,0.881,3.234,9.582,-22.644,0,0,0,
,-0.056,-0.505,0.881,6.408,8.544,-21.851,0,0,0,
,-0.05,-0.509,0.876,9.582,9.094,-19.349,0,0,0,
,-0.043,-0.515,0.875,6.774,8.544,-20.508,0,0,0,
,-0.049,-0.514,0.875,5.31,4.394,-21.241,0,0,0,
,-0.05,-0.516,0.88,1.953,5.737,-22.461,0,0,0,
,-0.052,-0.516,0.877,4.516,7.995,-22.706,0,0,0,
,-0.05,-0.511,0.878,7.324,8.911,-21.546,0,0,0,
,-0.05,-0.515,0.878,5.188,8.85,-21.485,0,0,0,
,-0.054,-0.51,0.881,3.723,8.117,-20.386,0,0,0,
,-0.055,-0.508,0.88,3.906,10.192,-21.119,0,0,0,
,-0.051,-0.508,0.877,5.798,11.779,-19.654,0,0,0,
,-0.048,-0.513,0.879,6.836,10.315,-22.644,0,0,0,
,-0.046,-0.516,0.877,6.347,8.544,-23.011,0,0,0,
,-0.052,-0.515,0.875,6.225,6.469,-26.307,0,0,0,
,-0.058,-0.513,0.881,5.004,8.178,-20.63,0,0,0,
,-0.055,-0.51,0.882,3.784,11.779,-21.18,0,0,0,
,-0.05,-0.51,0.88,4.15,10.681,-19.898,0,0,0,
,-0.051,-0.507,0.843,5.493,9.46,-21.546,0,0,0,
,-0.047,-0.509,0.879,6.103,10.192,-21.851,0,0,0,
,-0.046,-0.51,0.878,4.882,8.422,-19.654,0,0,0,
,-0.047,-0.512,0.877,7.446,7.202,-22.583,0,0,0,
,-0.048,-0.51,0.879,5.798,5.432,-22.278,0,0,0,
,-0.055,-0.514,0.878,6.591,9.826,-24.292,0,0,0,
,-0.056,-0.518,0.875,4.394,8.483,-22.156,0,0,0,
,-0.052,-0.512,0.88,2.258,10.192,-20.203,0,0,0,
,-0.048,-0.509,0.876,4.211,12.451,-21.424,0,0,0,
,-0.046,-0.509,0.878,5.92,6.408,-20.264,0,0,0,
,-0.045,-0.51,0.879,8.85,5.432,-22.706,0,0,0,
,-0.052,-0.514,0.88,7.873,2.014,-24.048,0,0,0,
,-0.056,-0.512,0.875,6.591,6.225,-24.048,0,0,0,
,-0.057,-0.51,0.875,5.493,8.667,-21.241,0,0,0,
,-0.053,-0.515,0.874,4.76,8.544,-19.288,0,0,0,
,-0.05,-0.515,0.879,5.004,10.925,-22.217,0,0,0,
,-0.05,-0.51,0.878,1.037,9.094,-20.691,0,0,0,
,-0.049,-0.507,0.883,2.502,9.338,-20.874,0,0,0,
,-0.048,-0.507,0.876,7.324,9.399,-21.485,0,0,0,
,-0.049,-0.509,0.877,7.08,7.568,-22.95,0,0,0,
,-0.052,-0.513,0.879,6.652,7.446,-23.011,0,0,0,
,-0.054,-0.514,0.873,6.774,7.995,-25.513,0,0,0,
,-0.056,-0.513,0.882,6.469,9.704,-20.691,0,0,0,
,-0.052,-0.513,0.876,2.746,12.023,-21.79,0,0,0,
,-0.048,-0.514,0.877,3.967,10.925,-20.264,0,0,0,
,-0.045,-0.512,0.875,4.821,10.62,-21.058,0,0,0,
,-0.048,-0.511,0.876,3.662,6.713,-24.048,0,0,0,
,-0.05,-0.509,0.877,6.408,6.042,-21.607,0,0,0,
,-0.054,-0.511,0.878,7.995,6.713,-23.621,0,0,0,
,-0.052,-0.516,0.878,7.934,8.117,-22.522,0,0,0,
,-0.056,-0.513,0.88,3.601,8.972,-22.583,0,0,0,
,-0.052,-0.51,0.879,4.577,8.056,-21.973,0,0,0,
,-0.051,-0.51,0.878,6.53,9.582,-20.874,0,0,0,
,-0.048,-0.514,0.876,6.164,10.253,-22.889,0,0,0,
,-0.048,-0.512,0.876,4.882,5.859,-21.546,0,0,0,
,-0.049,-0.511,0.878,4.699,6.103,-24.109,0,0,0,
,-0.052,-0.51,0.877,2.624,5.188,-26.673,0,0,0,
,-0.054,-0.51,0.876,4.272,4.455,-24.048,0,0,0,
,-0.056,-0.511,0.879,6.897,5.004,-24.537,0,0,0,
,-0.055,-0.519,0.884,3.112,7.446,-21.241,0,0,0,
,-0.054,-0.514,0.873,0.671,12.39,-20.142,0,0,0,
,-0.049,-0.505,0.875,2.685,11.84,-19.288,0,0,0,
,-0.048,-0.507,0.881,8.056,7.141,-22.522,0,0,0,
,-0.049,-0.511,0.877,9.582,5.737,-22.156,0,0,0,
,-0.053,-0.512,0.876,8.667,6.103,-22.461,0,0,0,
,-0.053,-0.511,0.884,4.15,9.765,-21.424,0,0,0,
,-0.055,-0.509,0.885,2.563,9.338,-21.241,0,0,0,
,-0.052,-0.511,0.906,5.859,10.437,-22.4,0,0,0,
,-0.052,-0.511,0.88,7.385,8.911,-21.607,0,0,0,
,-0.049,-0.512,0.877,5.676,7.995,-24.109,0,0,0,
,-0.049,-0.513,0.879,3.845,7.446,-21.546,0,0,0,
,-0.051,-0.509,0.878,8.606,7.324,-21.668,0,0,0,
,-0.05,-0.515,0.879,8.606,10.07,-23.499,0,0,0,
,-0.051,-0.514,0.88,5.615,4.76,-23.194,0,0,0,
,-0.055,-0.51,0.881,3.845,7.568,-19.593,0,0,0,
,-0.053,-0.512,0.87,2.441,11.596,-21.607,0,0,0,
,-0.048,-0.506,0.881,4.15,9.826,-21.79,0,0,0,
,-0.05,-0.508,0.874,7.202,8.728,-21.302,0,0,0,
,-0.051,-0.514,0.875,6.53,8.239,-23.255,0,0,0,
,-0.048,-0.512,0.877,4.394,8.056,-23.377,0,0,0,
,-0.047,-0.509,0.879,4.211,6.53,-24.048,0,0,0,
,-0.054,-0.513,0.879,7.324,3.295,-24.048,0,0,0,
,-0.054,-0.514,0.883,8.606,4.882,-23.987,0,0,0,
,-0.053,-0.517,0.88,6.591,10.742,-22.4,0,0,0,
,-0.052,-0.513,0.877,4.272,9.826,-20.508,0,0,0,
,-0.051,-0.512,0.874,4.577,11.474,-21.973,0,0,0,
,-0.049,-0.507,0.877,4.577,8.056,-21.424,0,0,0,
,-0.052,-0.507,0.879,5.676,10.192,-21.058,0,0,0,
,-0.052,-0.509,0.881,6.836,11.047,-22.095,0,0,0,
,-0.048,-0.512,0.879,7.812,7.995,-24.048,0,0,0,
,-0.05,-0.511,0.878,5.127,6.591,-23.255,0,0,0,
,-0.053,-0.512,0.881,5.432,8.85,-23.499,0,0,0,
,-0.053,-0.515,0.877,6.347,10.742,-22.95,0,0,0,
,-0.048,-0.513,0.875,4.516,9.094,-20.02,0,0,0,
,-0.048,-0.512,0.875,3.967,7.873,-21.18,0,0,0,
,-0.048,-0.51,0.874,4.943,3.662,-21.18,0,0,0,
,-0.053,-0.507,0.88,5.981,4.821,-23.377,0,0,0,
,-0.058,-0.508,0.883,7.995,4.882,-23.865,0,0,0,
,-0.054,-0.515,0.882,1.342,14.038,-26.673,0,0,0,
,-0.051,-0.506,0.884,-1.404,18.371,-27.039,0,0,0,
,-0.049,-0.505,0.879,0.671,17.089,-27.894,0,0,0,
,-0.053,-0.514,0.876,-0.184,19.409,-28.748,0,0,0,
,-0.051,-0.523,0.877,-14.283,21.423,-28.199,0,0,0,
,-0.056,-0.526,0.88,-31.739,22.705,-28.931,0,0,0,
,-0.068,-0.53,0.885,-55.42,32.959,-31.311,0,0,0,
,-0.077,-0.51,0.882,-86.731,73.059,-36.194,0,0,0,
,-0.072,-0.547,0.903,-127.869,131.347,-52.491,0,0,0,
,-0.078,-0.603,0.907,-175.721,263.916,-78.064,0,0,0,
,-0.135,-0.614,1.054,-231.324,451.049,-135.132,0,0,0,
,-0.251,-0.596,1.377,-501.465,842.224,-219.788,0,0,0,
,-0.325,-0.503,1.827,-1070.923,1473.144,-304.627,0,0,0,
,-0.038,-0.455,2.337,-1066.224,1734.008,-321.961,0,0,0,
,0.821,-0.202,2.593,-531.373,1334.228,-130.982,0,0,0,
,1.172,-0.511,2.179,2.685,456.848,-148.316,0,0,0,
,1.28,-0.849,1.755,268.432,-310.975,-177.369,0,0,0,
,1.206,-1.236,1.432,168.701,-1011.902,-349.122,0,0,0,
,1.205,-1.109,1.125,-347.718,-1606.812,-722.413,0,0,0,
,1.146,-0.844,1.281,-519.715,-2000,-874.146,0,0,0,
,0.939,-0.676,1.245,-209.473,-2000,-1055.298,0,0,0,
,0.667,-0.796,1.012,-7.203,-2000,-1285.096,0,0,0,
,0.561,-0.895,0.692,-73.365,-2000,-1376.709,0,0,0,
,0.432,-0.246,-0.104,-333.069,-2000,-1386.658,0,0,0,
,0.265,0.031,-0.294,-272.767,-2000,-1464.173,0,0,0,
,0.132,0.176,-0.378,-77.21,-2000,-1506.409,0,0,0,
,0.051,0.212,-0.426,196.838,-2000,-1568.299,0,0,0,
,0.04,0.155,-0.496,373.352,-2000,-1666.687,0,0,0,
,0.024,0.119,-0.575,406.067,-2000,-1728.272,0,0,0,
,-0.035,0.284,-0.764,376.526,-2000,-1699.83,0,0,0,
,-0.145,0.577,-0.924,304.077,-1998.78,-1593.873,0,0,0,
,-0.321,0.944,-1.111,173.217,-1746.521,-1447.022,0,0,0,
,-0.594,1.283,-1.229,-15.992,-1321.961,-1284.424,0,0,0,
,-0.871,1.428,-1.227,-82.581,-580.323,-980.225,0,0,0,
,-0.79,1.543,-1.273,-107.911,-5.127,-336.67,0,0,0,
,-0.609,1.492,-1.196,-75.196,524.047,325.561,0,0,0,
,-0.441,1.258,-1.06,124.023,976.806,872.436,0,0,0,
,-0.354,1.002,-0.897,406.005,1360.351,1308.166,0,0,0,
,-0.251,0.872,-0.746,601.623,1731.75,1639.343,0,0,0,
,-0.16,0.75,-0.586,697.754,1999.694,1831.97,0,0,0,
,-0.137,0.656,-0.407,763.488,1999.694,1953.43,0,0,0,
,-0.166,0.56,-0.284,856.384,1999.694,1999.694,0,0,0,
,-0.155,0.38,-0.168,914.672,1999.694,1999.694,0,0,0,
,-0.001,-0.118,0.221,724.792,1999.694,1999.694,0,0,0,
,0.031,-0.497,0.562,531.921,1999.694,1999.694,0,0,0,
,-0.018,-0.676,0.886,336.181,1999.694,1966.674,0,0,0,
,0.004,-0.894,1.168,-70.496,1999.694,1848.571,0,0,0,
