TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.089,0.031,0.989,-0.245,0.366,-25.269,
00:00:00:16,0.089,0.025,0.999,4.699,2.807,-25.33,
00:00:00:33,0.09,0.029,0.989,0.366,1.464,-23.804,
00:00:00:50,0.086,0.034,0.999,0.732,3.112,-24.781,
00:00:00:66,0.088,0.034,0.992,3.295,4.76,-24.292,
00:00:00:83,0.088,0.033,0.996,3.662,4.882,-23.194,
00:00:00:100,0.091,0.028,0.993,5.127,7.446,-23.316,
00:00:00:116,0.091,0.027,0.998,5.127,9.216,-22.95,
00:00:00:133,0.09,0.029,0.994,3.234,8.422,-21.424,
00:00:00:150,0.083,0.033,0.996,2.136,8.972,-22.767,
00:00:00:166,0.091,0.037,0.997,8.422,13,-21.668,
00:00:00:183,0.088,0.027,0.991,7.324,12.512,-20.203,
00:00:00:200,0.09,0.03,0.988,5.31,13.427,-22.217,
00:00:00:216,0.094,0.031,0.997,8.3,10.803,-18.128,
00:00:00:233,0.088,0.028,0.984,9.094,7.568,-19.41,
00:00:00:250,0.062,0.028,0.993,6.713,9.643,-18.25,
00:00:00:266,0.096,0.029,0.989,4.394,6.469,-18.311,
00:00:00:283,0.086,0.034,0.988,0.61,3.601,-21.668,
00:00:00:300,0.088,0.037,0.988,3.356,5.31,-24.353,
00:00:00:316,0.09,0.035,0.985,2.075,5.188,-22.644,
00:00:00:333,0.09,0.032,1.007,7.385,9.765,-22.889,
00:00:00:350,0.094,0.027,0.996,9.033,11.779,-20.935,
00:00:00:366,0.086,0.028,0.985,4.028,7.507,-22.644,
00:00:00:383,0.087,0.035,0.99,5.92,8.728,-23.255,
00:00:00:400,0.091,0.028,0.995,9.643,7.629,-21.973,
00:00:00:416,0.088,0.029,0.993,4.15,6.958,-22.644,
00:00:00:433,0.087,0.036,0.989,4.455,4.882,-23.682,
00:00:00:450,0.093,0.037,1.005,8.056,11.23,-20.264,
00:00:00:466,0.089,0.026,0.993,8.117,9.643,-21.241,
00:00:00:483,0.089,0.034,0.988,5.676,10.07,-23.133,
00:00:00:500,0.092,0.029,0.996,5.554,9.155,-23.316,
00:00:00:516,0.093,0.024,0.992,6.713,6.286,-23.499,
00:00:00:533,0.083,0.035,0.999,5.554,7.751,-21.18,
00:00:00:550,0.086,0.035,0.993,6.836,10.376,-23.804,
00:00:00:566,0.087,0.036,0.994,7.934,10.253,-23.194,
00:00:00:583,0.093,0.029,0.988,9.033,9.765,-22.095,
00:00:00:600,0.094,0.028,0.993,3.112,7.812,-21.912,
00:00:00:616,0.09,0.031,0.992,5.859,6.591,-20.997,
00:00:00:633,0.087,0.03,0.997,8.544,8.85,-21.729,
00:00:00:650,0.088,0.03,0.985,6.469,4.882,-23.133,
00:00:00:666,0.086,0.035,0.991,1.403,1.342,-23.438,
00:00:00:683,0.088,0.041,0.994,6.652,6.713,-22.339,
00:00:00:700,0.091,0.025,0.991,7.446,4.516,-22.767,
00:00:00:716,0.093,0.025,0.995,1.037,2.807,-23.072,
00:00:00:733,0.089,0.028,0.994,5.859,2.99,-21.058,
00:00:00:750,0.085,0.03,0.995,4.76,3.662,-22.156,
00:00:00:766,0.086,0.034,0.998,4.882,5.065,-23.621,
00:00:00:783,0.085,0.036,1.003,9.277,11.23,-20.752,
00:00:00:800,0.086,0.027,0.992,7.934,9.277,-22.522,
00:00:00:816,0.088,0.038,0.988,2.624,9.704,-22.095,
00:00:00:833,0.089,0.034,0.993,10.559,8.606,-22.217,
00:00:00:850,0.09,0.022,0.996,9.399,8.85,-20.386,
00:00:00:866,0.089,0.027,0.99,7.141,6.774,-21.546,
00:00:00:883,0.088,0.029,0.991,5.127,3.784,-21.79,
00:00:00:900,0.087,0.029,0.991,6.469,4.272,-21.973,
00:00:00:916,0.09,0.031,0.992,2.319,2.319,-22.156,
00:00:00:933,0.086,0.036,0.996,3.356,1.892,-22.278,
00:00:00:950,0.087,0.033,0.994,5.615,4.455,-22.217,
00:00:00:966,0.086,0.031,0.995,5.065,4.333,-24.353,
00:00:00:983,0.087,0.028,0.996,6.225,8.789,-23.682,
00:00:01:0,0.086,0.031,0.994,6.591,8.789,-21.912,
00:00:01:16,0.084,0.028,0.99,6.164,6.836,-22.583,
00:00:01:33,0.083,0.032,0.994,4.577,9.399,-23.316,
00:00:01:50,0.084,0.029,0.996,4.15,6.164,-24.414,
00:00:01:66,0.089,0.031,0.992,6.042,7.568,-22.278,
00:00:01:83,0.082,0.031,0.992,1.953,3.723,-24.781,
00:00:01:100,0.086,0.03,0.99,4.577,5.432,-25.94,
00:00:01:116,0.089,0.025,0.997,6.958,5.981,-22.217,
00:00:01:133,0.082,0.034,0.994,5.371,7.385,-21.79,
00:00:01:150,0.087,0.03,0.994,5.981,7.019,-20.752,
00:00:01:166,0.087,0.028,0.999,5.859,6.836,-23.072,
00:00:01:183,0.083,0.031,0.998,6.591,7.629,-21.973,
00:00:01:200,0.086,0.029,0.99,7.08,8.117,-23.438,
00:00:01:216,0.084,0.028,0.986,5.676,5.31,-23.133,
00:00:01:233,0.087,0.03,0.994,3.173,5.371,-24.353,
00:00:01:250,0.085,0.035,0.997,3.784,5.127,-20.752,
00:00:01:266,0.084,0.03,0.999,7.141,7.629,-21.668,
00:00:01:283,0.088,0.032,0.991,3.845,8.3,-22.217,
00:00:01:300,0.084,0.027,0.998,7.812,7.08,-22.095,
00:00:01:316,0.081,0.003,0.999,7.141,7.324,-21.302,
00:00:01:333,0.082,0.029,0.989,6.958,7.507,-23.011,
00:00:01:350,0.082,0.036,0.994,5.249,9.094,-22.461,
00:00:01:366,0.088,0.031,0.998,10.681,10.315,-21.241,
00:00:01:383,0.084,0.028,0.993,5.676,8.606,-21.363,
00:00:01:400,0.087,0.036,0.997,7.568,9.765,-22.522,
00:00:01:416,0.084,0.032,0.987,6.958,8.117,-22.461,
00:00:01:433,0.087,0.031,0.998,7.812,10.009,-21.607,
00:00:01:450,0.088,0.025,0.992,7.568,9.521,-23.194,
00:00:01:466,0.085,0.033,0.989,4.882,7.934,-20.02,
00:00:01:483,0.083,0.031,0.999,7.019,6.408,-22.706,
00:00:01:500,0.085,0.031,0.99,6.164,9.277,-21.912,
00:00:01:516,0.084,0.03,0.996,5.371,6.103,-23.011,
00:00:01:533,0.088,0.033,0.995,7.507,9.643,-21.302,
00:00:01:550,0.082,0.031,0.991,5.004,5.798,-22.034,
00:00:01:566,0.078,0.029,0.994,7.69,8.422,-22.095,
00:00:01:583,0.089,0.033,1,8.85,10.62,-23.316,
00:00:01:600,0.084,0.023,0.988,7.385,8.239,-21.973,
00:00:01:616,0.082,0.033,0.986,2.258,6.836,-24.292,
00:00:01:633,0.087,0.028,1,9.216,12.573,-21.729,
00:00:01:650,0.085,0.027,0.999,7.751,9.216,-20.142,
00:00:01:666,0.081,0.031,0.992,5.92,8.3,-21.302,
00:00:01:683,0.086,0.038,0.987,8.361,10.437,-20.508,
00:00:01:700,0.084,0.029,0.994,8.728,8.3,-22.644,
00:00:01:716,0.087,0,0.987,3.173,5.981,-21.119,
00:00:01:733,0.082,0.037,0.993,2.868,3.54,-22.095,
00:00:01:750,0.081,0.028,0.994,7.263,9.521,-23.743,
00:00:01:766,0.088,0.029,0.998,5.249,8.972,-22.4,
00:00:01:783,0.088,0.032,0.992,6.469,7.446,-23.438,
00:00:01:800,0.084,0.03,0.991,9.216,11.596,-22.706,
00:00:01:816,0.084,0.031,0.993,10.192,11.535,-21.119,
00:00:01:833,0.085,0.026,0.995,9.46,11.23,-21.18,
00:00:01:850,0.083,0.032,0.991,7.69,8.178,-19.837,
00:00:01:866,0.083,0.029,0.993,8.178,10.62,-20.386,
00:00:01:883,0.083,0.032,1,6.958,9.826,-22.156,
00:00:01:900,0.084,0.026,0.993,8.606,10.62,-22.034,
00:00:01:916,0.086,0.028,0.993,4.821,10.437,-22.461,
00:00:01:933,0.088,0.033,0.989,7.568,9.643,-20.447,
00:00:01:950,0.084,0.031,0.991,7.08,7.446,-21.973,
00:00:01:966,0.085,0.032,0.998,8.178,6.347,-21.973,
00:00:01:983,0.083,0.026,0.994,9.094,8.178,-21.851,
00:00:02:0,0.084,0.024,0.994,5.859,7.446,-22.889,
00:00:02:16,0.086,0.03,0.997,6.774,9.765,-22.156,
00:00:02:33,0.085,0.06,0.984,5.371,7.263,-21.363,
00:00:02:50,0.085,0.032,0.995,6.103,8.422,-21.607,
00:00:02:66,0.085,0.025,0.993,9.094,9.338,-20.997,
00:00:02:83,0.086,0.028,0.995,3.967,9.338,-21.607,
00:00:02:100,0.086,0.029,0.989,6.164,8.972,-21.79,
00:00:02:116,0.087,0.031,0.997,8.239,9.521,-22.522,
00:00:02:133,0.085,0.026,0.992,5.737,7.263,-22.034,
00:00:02:150,0.081,0.033,0.993,5.065,8.117,-21.729,
00:00:02:166,0.083,0.03,0.998,8.056,10.192,-21.485,
00:00:02:183,0.091,0.031,0.989,4.821,7.69,-22.889,
00:00:02:200,0.088,0.029,0.994,5.432,8.3,-22.095,
00:00:02:216,0.087,0.026,0.99,4.76,6.225,-23.255,
00:00:02:233,0.082,0.026,0.998,9.094,9.338,-20.935,
00:00:02:250,0.085,0.025,0.996,6.53,8.483,-20.813,
00:00:02:266,0.08,0.029,0.993,4.455,8.85,-20.691,
00:00:02:283,0.087,0.034,0.997,4.577,10.009,-22.217,
00:00:02:300,0.088,0.03,0.993,7.446,10.559,-20.508,
00:00:02:316,0.089,0.024,0.996,3.845,9.582,-20.203,
00:00:02:333,0.089,0.029,0.992,4.638,10.498,-19.41,
00:00:02:350,0.083,0.028,0.993,6.042,10.253,-19.776,
00:00:02:366,0.083,0.028,0.989,4.943,10.376,-19.654,
00:00:02:383,0.085,0.032,0.988,3.479,10.498,-20.203,
00:00:02:400,0.089,0.037,0.998,6.774,10.803,-19.715,
00:00:02:416,0.088,0.03,0.989,7.324,11.596,-19.715,
00:00:02:433,0.084,0.027,0.991,4.577,10.986,-20.264,
00:00:02:450,0.09,0.028,0.989,5.371,11.047,-20.386,
00:00:02:466,0.089,0.023,0.99,7.568,11.169,-19.532,
00:00:02:483,0.086,0.033,0.993,2.441,7.263,-20.264,
00:00:02:500,0.086,0.036,0.991,4.15,7.385,-21.058,
00:00:02:516,0.088,0.03,0.993,7.629,5.004,-22.706,
00:00:02:533,0.089,0.028,0.994,5.493,3.418,-20.752,
00:00:02:550,0.088,0.027,0.994,4.699,2.136,-20.935,
00:00:02:566,0.081,0.02,0.986,3.784,-1.038,-21.668,
00:00:02:583,0.083,0.03,0.997,-2.991,-2.747,-24.659,
00:00:02:600,0.08,0.033,0.989,5.981,-0.855,-21.546,
00:00:02:616,0.068,0.037,1.002,5.249,9.155,-19.043,
00:00:02:633,0.062,0.036,1.051,22.399,64.025,-8.973,
00:00:02:650,0.031,-0.006,1.182,28.015,170.471,17.456,
00:00:02:666,0.058,-0.047,1.389,39.062,341.613,50.231,
00:00:02:683,0.155,-0.108,1.516,65.918,475.83,78.491,
00:00:02:700,0.197,-0.222,1.739,29.48,623.535,161.743,
00:00:02:716,0.49,-0.363,2.189,38.696,639.404,176.086,
00:00:02:733,1.002,-0.066,2.131,194.458,574.524,160.766,
00:00:02:750,1.51,0.419,2.312,-109.375,-121.766,231.628,
00:00:02:766,1.377,0.788,2.598,320.129,-829.285,114.685,
00:00:02:783,1.211,0.4,2.656,1104.614,-1408.631,33.203,
00:00:02:800,1.222,0.006,2.671,1312.378,-1885.01,-16.297,
00:00:02:816,1.244,-0.095,2.337,803.955,-2000,-68.299,
00:00:02:833,1.259,0.185,2.003,323.303,-2000,-75.989,
00:00:02:850,1.197,0.489,1.495,138.61,-2000,15.075,
00:00:02:866,1.037,0.621,1.022,138.427,-2000,119.506,
00:00:02:883,0.892,0.732,0.549,217.773,-2000,266.845,
00:00:02:900,0.778,0.714,0.184,321.228,-2000,383.911,
00:00:02:916,0.601,0.505,-0.051,521.606,-2000,633.911,
00:00:02:933,0.684,0.328,-0.371,741.333,-2000,812.805,
00:00:02:950,0.839,0.235,-0.619,931.823,-2000,869.079,
00:00:02:966,1.013,0.167,-0.975,1061.401,-2000,736.389,
00:00:02:983,1.129,-0.066,-1.362,1031.189,-2000,454.101,
00:00:03:0,1.139,-0.436,-1.796,719.848,-2000,208.984,
00:00:03:16,0.974,-0.777,-2.223,178.955,-2000,86.12,
00:00:03:33,0.683,-0.916,-2.525,-418.274,-2000,62.133,
00:00:03:50,0.282,-0.918,-2.746,-853.699,-1797.059,32.287,
00:00:03:66,-0.049,-0.708,-2.653,-952.454,-1023.316,-157.41,
00:00:03:83,-0.348,-0.646,-2.371,-765.931,-135.621,-437.439,
00:00:03:100,-0.535,-0.738,-2.1,-552.613,782.531,-708.985,
00:00:03:116,-0.568,-0.693,-1.837,-514.832,1593.872,-942.566,
00:00:03:133,-0.489,-0.603,-1.598,-675.415,1999.694,-1133.545,
00:00:03:150,-0.321,-0.426,-1.352,-950.501,1999.694,-1292.298,
00:00:03:166,-0.156,-0.251,-1.123,-1230.164,1999.694,-1425.232,
00:00:03:183,0.047,-0.104,-0.962,-1437.562,1999.694,-1536.072,
00:00:03:200,0.204,0.172,-0.67,-1490.235,1999.694,-1613.953,
00:00:03:216,0.317,0.463,-0.04,-1218.14,1999.694,-1669.129,
00:00:03:233,0.433,0.672,0.612,-472.413,1999.694,-1627.137,
00:00:03:250,0.618,0.702,0.934,367.859,1999.694,-1437.562,
00:00:03:266,0.916,0.76,1.619,931.091,1999.694,-1186.585,
00:00:03:283,1.018,0.627,2.084,1261.047,1999.694,-887.879,
00:00:03:300,0.885,0.298,2.156,1361.816,1999.694,-742.188,
00:00:03:316,0.701,-0.171,2.336,971.74,1999.694,-596.314,
00:00:03:333,0.656,-0.435,2.496,171.875,1606.384,-555.176,
00:00:03:350,0.652,-0.098,2.289,-376.343,1271.24,-495.484,
00:00:03:366,0.491,0.27,2.036,-445.191,980.102,-431.885,
00:00:03:383,0.302,0.263,1.722,-157.654,744.751,-379.029,
00:00:03:400,0.215,0.09,1.559,46.508,564.88,-347.84,
00:00:03:416,0.214,0.012,1.465,38.208,443.664,-301.026,
00:00:03:433,0.224,0.018,1.386,-84.29,341.674,-258.728,
00:00:03:450,0.331,0.916,1.402,336.792,152.526,-216.736,
00:00:03:466,0.223,0.194,1.426,725.219,-109.803,-155.884,
00:00:03:483,0.091,-0.488,1.433,228.759,-158.02,82.092,
00:00:03:500,-0.084,-0.183,1.135,-218.14,-229.065,-50.538,
00:00:03:516,-0.187,0.223,0.943,-207.215,-64.82,27.893,
00:00:03:533,-0.123,0.186,0.882,84.411,96.008,-81.421,
00:00:03:550,0.022,-0.019,0.94,274.292,216.613,-129.639,
00:00:03:566,0.167,-0.2,1.002,232.299,159.851,-89.661,
00:00:03:583,0.194,-0.163,1.087,64.758,52.673,-50.721,
00:00:03:600,0.029,0.056,1.044,-36.377,18.981,14.526,
00:00:03:616,0.011,0.081,0.996,25.146,57.739,-16.175,
00:00:03:633,0.045,0.045,0.977,69.397,88.073,-39.246,
00:00:03:650,0.076,0.006,1.002,69.03,87.463,-42.176,
00:00:03:666,0.09,-0.036,1.001,41.87,77.575,-30.457,
00:00:03:683,0.08,-0.062,0.986,-8.362,62.072,-27.283,
00:00:03:700,0.081,-0.055,0.986,-63.233,62.5,-21.18,
00:00:03:716,0.09,-0.025,0.98,-88.685,59.936,-10.498,
00:00:03:733,0.088,0.032,0.995,-52.979,45.593,-11.902,
00:00:03:750,0.084,0.023,1.018,-92.652,45.898,-23.743,
00:00:03:766,0.072,-0.004,0.998,-127.137,44.189,-25.391,
00:00:03:783,0.085,-0.009,1.014,-171.814,54.565,-30.03,
00:00:03:800,0.116,0.014,1.028,-191.712,51.635,-34.363,
00:00:03:816,0.125,0.067,1.04,-233.582,41.381,-40.589,
00:00:03:833,0.113,0.111,1.078,-292.359,12.573,-59.388,
00:00:03:850,0.084,0.14,1.127,-318.177,-5.921,-55.603,
00:00:03:866,0.086,0.091,1.146,-433.411,-1.648,-53.467,
00:00:03:883,0.1,0.054,1.113,-639.832,-84.351,-53.284,
00:00:03:900,0.073,0.07,1.086,-912.293,-243.348,-27.894,
00:00:03:916,0.006,0.253,1.02,-1158.814,-373.23,6.042,
00:00:03:933,-0.111,0.453,0.883,-1179.688,-434.205,94.97,
00:00:03:950,-0.216,0.502,0.777,-1106.507,-393.372,174.621,
00:00:03:966,-0.288,0.576,0.712,-1076.661,-280.884,277.832,
00:00:03:983,-0.266,0.561,0.732,-1053.284,-190.125,347.9,
00:00:04:0,-0.211,0.505,0.756,-981.141,-139.466,351.074,
00:00:04:16,-0.161,0.506,0.755,-876.587,-94.788,324.524,
00:00:04:33,-0.138,0.466,0.76,-773.865,-56.519,271.667,
00:00:04:50,-0.113,0.407,0.762,-661.805,5.798,213.134,
00:00:04:66,-0.082,0.402,0.761,-501.099,49.926,127.685,
00:00:04:83,-0.048,0.35,0.733,-298.768,94.604,67.81,
00:00:04:100,0.002,0.312,0.774,-200.684,122.07,4.15,
00:00:04:116,0.075,0.327,0.804,-114.869,147.522,-30.884,
00:00:04:133,0.13,0.385,0.835,-89.783,153.93,-39.673,
00:00:04:150,0.234,0.617,0.895,16.601,122.741,-52.308,
00:00:04:166,0.236,0.536,0.92,158.142,45.776,-42.176,
00:00:04:183,0.167,0.411,0.936,115.539,-28.687,-7.874,
00:00:04:200,0.094,0.428,0.936,-99.61,-106.202,6.469,
00:00:04:216,0.097,0.475,0.943,-207.947,-150.391,7.446,
00:00:04:233,0.061,0.45,0.945,-333.435,-172.73,29.357,
00:00:04:250,0.029,0.551,0.902,-384.339,-174.378,26.672,
00:00:04:266,0.005,0.552,0.827,-271.546,-165.589,25.573,
00:00:04:283,0.024,0.48,1.027,-310.975,-206.116,-18.433,
00:00:04:300,-0.048,0.453,0.869,-369.202,-0.123,68.969,
00:00:04:316,0.143,0.708,0.822,-197.571,-19.41,37.902,
00:00:04:333,0.078,0.515,0.88,-55.909,-66.773,-13.733,
00:00:04:350,0.096,0.572,0.973,-86.548,-133.24,36.987,
00:00:04:366,0.096,0.557,1.001,-178.04,-204.041,48.828,
00:00:04:383,0.076,0.627,1.007,-279.175,-243.409,77.209,
00:00:04:400,0.031,0.754,0.985,-238.648,-282.044,142.028,
00:00:04:416,-0.003,0.914,0.898,-104.065,-311.89,229.309,
00:00:04:433,-0.087,0.833,0.839,-23.072,-366.333,243.713,
00:00:04:450,-0.147,0.848,0.909,-39.063,-411.927,274.841,
00:00:04:466,-0.226,0.874,0.917,45.532,-410.401,328.003,
00:00:04:483,-0.258,0.931,0.797,243.164,-363.648,333.435,
00:00:04:500,-0.348,0.868,0.684,370.422,-333.069,394.226,
00:00:04:516,-0.428,0.899,0.756,443.42,-316.651,396.911,
00:00:04:533,-0.463,0.956,0.886,728.027,-291.382,391.235,
00:00:04:550,-0.472,0.846,0.915,1078.369,-194.581,363.403,
00:00:04:566,-0.472,0.725,0.955,1180.786,-121.888,350.525,
00:00:04:583,-0.449,0.535,0.774,1111.389,-51.392,351.44,
00:00:04:600,-0.406,0.367,0.56,993.042,10.009,301.025,
00:00:04:616,-0.349,0.118,0.587,561.157,-39.429,296.02,
00:00:04:633,-0.333,-0.053,0.575,67.81,-111.145,282.348,
00:00:04:650,-0.346,-0.01,0.688,-427.979,-189.576,390.747,
00:00:04:666,-0.353,0.218,0.699,-775.33,-227.601,384.521,
00:00:04:683,-0.344,0.384,0.654,-858.46,-205.14,322.876,
00:00:04:700,-0.351,0.393,0.589,-800.232,-170.472,318.298,
00:00:04:716,-0.35,0.431,0.553,-681.824,-190.003,314.148,
00:00:04:733,-0.368,0.356,0.702,-592.225,-169.19,332.214,
00:00:04:750,-0.364,0.479,0.767,-593.567,-148.865,348.083,
00:00:04:766,-0.374,0.498,0.631,-419.495,-110.23,275.207,
00:00:04:783,-0.395,0.44,0.492,-320.008,-82.337,295.044,
00:00:04:800,-0.402,0.548,0.446,-249.695,-116.028,229.858,
00:00:04:816,-0.408,0.553,0.482,-93.75,-159.546,163.574,
00:00:04:833,-0.466,0.394,0.517,-26.673,-165.833,204.162,
00:00:04:850,-0.52,0.346,0.58,-123.291,-131.714,232.299,
00:00:04:866,-0.513,0.419,0.641,-242.249,-93.873,184.936,
00:00:04:883,-0.452,0.461,0.516,-256.531,-40.833,181.03,
00:00:04:900,-0.448,0.503,0.556,-276.917,-67.566,212.585,
00:00:04:916,-0.484,0.492,0.541,-248.414,-45.96,210.022,
00:00:04:933,-0.523,0.446,0.74,-289.551,-28.321,168.945,
00:00:04:950,-0.472,0.553,0.673,-470.398,23.437,127.075,saltRH
00:00:04:966,-0.466,0.546,0.514,-417.908,3.54,94.36,
00:00:04:983,-0.508,0.511,0.481,-455.018,-22.461,143.921,
00:00:05:0,-0.551,0.464,0.553,-596.192,-95.765,114.318,
00:00:05:16,-0.591,0.524,0.61,-696.167,-133.057,144.653,
00:00:05:33,-0.593,0.559,0.58,-699.158,-148.316,114.685,
00:00:05:50,-0.542,0.639,0.459,-654.358,-145.997,60.485,
00:00:05:66,-0.521,0.576,0.407,-620.057,-181.031,-64.148,
00:00:05:83,-0.561,0.563,0.488,-646.546,-182.129,-5.677,
00:00:05:100,-0.498,0.734,0.529,-527.771,-141.663,-86.67,
00:00:05:116,-0.47,0.703,0.55,-338.074,-128.663,-82.398,
00:00:05:133,-0.543,0.45,0.579,-481.507,-169.983,-88.135,
00:00:05:150,-0.545,0.61,0.482,-736.939,-266.053,-109.375,
00:00:05:166,-0.532,0.994,0.428,-647.217,-344.91,-123.902,
00:00:05:183,-0.597,0.868,0.353,-491.15,-350.769,-31.006,
00:00:05:200,-0.616,0.688,0.391,-555.542,-382.264,16.052,
00:00:05:216,-0.577,0.723,0.424,-682.801,-405.64,-20.386,
00:00:05:233,-0.692,0.742,0.412,-695.313,-372.742,67.627,
00:00:05:250,-0.681,0.856,0.315,-624.39,-316.224,40.039,
00:00:05:266,-0.707,0.95,0.276,-477.417,-268.25,82.458,
00:00:05:283,-0.721,0.941,0.265,-324.036,-242.249,87.219,
00:00:05:300,-0.718,0.874,0.37,-246.827,-199.219,65.063,
00:00:05:316,-0.694,0.84,0.375,-203.736,-154.236,61.157,
00:00:05:333,-0.674,0.701,0.351,-232.117,-160.157,19.592,
00:00:05:350,-0.657,0.69,0.253,-364.685,-178.65,3.479,
00:00:05:366,-0.643,0.78,0.182,-503.663,-211.121,2.197,
00:00:05:383,-0.636,0.85,0.135,-537.171,-237.854,-14.771,
00:00:05:400,-0.628,0.803,0.102,-606.019,-278.382,-61.768,
00:00:05:416,-0.622,0.724,0.08,-811.707,-318.116,-156.189,
00:00:05:433,-0.579,0.674,0.135,-980.713,-368.226,-271.973,
00:00:05:450,-0.615,0.739,0.112,-1197.937,-355.042,-379.456,
00:00:05:466,-0.644,0.678,0.104,-1264.527,-302.002,-428.467,
00:00:05:483,-0.634,0.698,0.003,-1228.577,-197.815,-407.776,
00:00:05:500,-0.59,0.762,-0.108,-1019.532,-106.141,-344.788,
00:00:05:516,-0.568,0.829,-0.192,-703.309,23.01,-280.335,
00:00:05:533,-0.556,0.834,-0.319,-562.378,172.912,-158.631,
00:00:05:550,-0.531,0.891,-0.31,-179.993,245.971,-149.659,
00:00:05:566,-0.604,0.888,-0.262,-45.472,262.39,-141.602,
