TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.058,0.215,0.968,-0.061,4.821,-22.4,
00:00:00:16,0.064,0.216,0.966,-2.137,5.371,-22.095,
00:00:00:33,0.031,0.213,0.967,1.342,6.591,-22.4,
00:00:00:50,0.093,0.212,0.969,1.22,3.54,-22.217,
00:00:00:66,0.063,0.208,0.963,2.258,2.868,-22.828,
00:00:00:83,0.059,0.206,0.973,1.648,2.99,-24.109,
00:00:00:100,0.06,0.206,0.964,1.098,0.366,-23.072,
00:00:00:116,0.055,0.217,0.971,-2.747,-0.55,-21.79,
00:00:00:133,0.052,0.224,0.968,1.159,1.648,-22.156,
00:00:00:150,0.059,0.219,0.964,11.047,7.995,-23.011,
00:00:00:166,0.064,0.209,0.969,6.836,8.422,-22.767,
00:00:00:183,0.063,0.216,0.967,-0.672,3.051,-22.156,
00:00:00:200,0.059,0.218,0.971,3.173,2.624,-22.339,
00:00:00:216,0.054,0.209,0.969,8.422,4.333,-22.644,
00:00:00:233,0.056,0.208,0.97,5.859,4.882,-21.851,
00:00:00:250,0.055,0.214,0.967,3.845,4.943,-23.621,
00:00:00:266,0.057,0.213,0.968,6.958,7.568,-24.842,
00:00:00:283,0.06,0.206,0.969,7.324,6.652,-25.696,
00:00:00:300,0.063,0.21,0.967,1.22,4.272,-25.757,
00:00:00:316,0.063,0.218,0.964,-0.306,1.831,-22.461,
00:00:00:333,0.056,0.219,0.965,5.249,1.037,-21.363,
00:00:00:350,0.055,0.21,0.973,3.967,1.525,-21.424,
00:00:00:366,0.052,0.213,0.968,3.173,5.554,-21.973,
00:00:00:383,0.054,0.211,0.972,2.929,5.188,-25.635,
00:00:00:400,0.054,0.213,0.967,3.051,5.737,-24.048,
00:00:00:416,0.062,0.213,0.973,6.286,5.737,-25.208,
00:00:00:433,0.063,0.208,0.969,4.821,9.643,-23.743,
00:00:00:450,0.031,0.212,0.966,3.418,3.54,-21.973,
