TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.642,-0.743,0.139,138.61,21.301,-31.373,0,0,0,
,0.637,-0.744,0.136,198.669,10.131,-29.419,0,0,0,
,0.632,-0.753,0.129,251.892,5.432,-23.072,0,0,0,
,0.631,-0.753,0.126,272.033,8.606,-13.977,0,0,0,
,0.634,-0.77,0.121,262.451,7.141,-14.893,0,0,0,
,0.648,-0.783,0.114,206.237,-7.813,-12.452,0,0,0,
,0.635,-0.798,0.113,120.971,-12.024,-20.142,0,0,0,
,0.623,-0.784,0.116,28.93,9.277,-22.828,0,0,0,
,0.631,-0.763,0.119,-30.152,24.963,-23.011,0,0,0,
,0.64,-0.756,0.12,-41.81,28.93,-24.598,0,0,0,
,0.642,-0.756,0.117,-25.635,28.32,-20.447,0,0,0,
,0.637,-0.752,0.109,-9.949,26.489,-10.376,0,0,0,
,0.643,-0.757,0.111,3.967,21.606,-8.667,0,0,0,
,0.643,-0.77,0.111,14.099,5.798,-13.489,0,0,0,
,0.646,-0.785,0.114,-1.343,-8.912,-16.602,0,0,0,
,0.631,-0.781,0.122,-28.87,-4.822,-11.963,0,0,0,
,0.634,-0.778,0.121,-45.166,5.981,-12.879,0,0,0,
,0.628,-0.776,0.128,-45.166,7.873,-12.757,0,0,0,
,0.603,-0.774,0.149,-40.955,9.704,-12.757,0,0,0,
,0.573,-0.797,0.169,-66.468,23.376,-17.212,0,0,0,
,0.551,-0.819,0.214,-142.09,52.917,-21.668,0,0,0,
,0.56,-0.83,0.235,-235.718,98.266,-21.119,0,0,0,
,0.586,-0.813,0.229,-314.393,141.662,-14.1,0,0,0,
,0.619,-0.783,0.204,-324.097,170.41,-13.55,0,0,0,
,0.643,-0.767,0.188,-254.395,178.161,-3.785,0,0,0,
,0.644,-0.777,0.187,-173.706,178.405,2.746,0,0,0,
,0.648,-0.786,0.189,-133.728,195.861,13.488,0,0,0,
,0.654,-0.784,0.18,-134.095,205.871,15.319,0,0,0,
,0.653,-0.789,0.17,-180.176,209.411,22.399,0,0,0,
,0.654,-0.804,0.149,-243.714,218.383,16.479,0,0,0,
,0.668,-0.793,0.132,-295.533,234.558,9.948,0,0,0,
,0.684,-0.752,0.131,-295.105,239.074,-10.56,0,0,0,
,0.687,-0.747,0.12,-222.168,242.553,-24.842,0,0,0,
,0.686,-0.762,0.113,-150.208,249.389,-25.086,0,0,0,
,0.691,-0.778,0.1,-116.272,268.737,-16.907,0,0,0,
,0.703,-0.791,0.099,-148.194,279.541,-3.907,0,0,0,
,0.696,-0.785,0.083,-223.999,291.626,1.831,0,0,0,
,0.697,-0.787,0.08,-332.764,320.922,-2.564,0,0,0,
,0.706,-0.774,0.091,-452.21,350.952,-13.916,0,0,0,
,0.72,-0.77,0.118,-580.628,376.22,-30.152,0,0,0,
,0.724,-0.76,0.133,-714.6,401.062,-46.204,0,0,0,
,0.735,-0.741,0.17,-840.577,420.288,-60.547,0,0,0,
,0.771,-0.768,0.252,-966.614,412.902,-88.868,0,0,0,
,0.788,-0.783,0.277,-1116.639,366.333,-121.155,0,0,0,
,0.772,-0.744,0.272,-1265.259,315.673,-164.063,0,0,0,
,0.764,-0.707,0.262,-1338.44,276.855,-208.619,0,0,0,
,0.777,-0.662,0.254,-1314.087,240.905,-237.061,0,0,0,
,0.783,-0.631,0.268,-1196.228,194.519,-252.198,0,0,0,
,0.773,-0.597,0.285,-1003.541,152.404,-252.442,0,0,0,
,0.763,-0.577,0.297,-752.808,127.014,-248.841,0,0,0,
,0.751,-0.551,0.29,-493.775,111.755,-222.474,0,0,0,
,0.733,-0.529,0.283,-251.404,98.816,-193.848,0,0,0,
,0.721,-0.561,0.272,-63.965,92.651,-180.298,0,0,0,
,0.711,-0.61,0.275,29.235,108.032,-162.598,0,0,0,
,0.708,-0.625,0.306,31.86,135.559,-133.728,0,0,0,
,0.72,-0.644,0.318,-21.607,162.292,-112.61,0,0,0,
,0.737,-0.665,0.331,-114.136,179.382,-98.389,0,0,0,
,0.752,-0.676,0.343,-223.084,182.861,-83.497,0,0,0,
,0.749,-0.654,0.346,-290.65,177.368,-75.135,0,0,0,
,0.739,-0.646,0.342,-327.82,166.687,-69.214,0,0,0,
,0.731,-0.62,0.346,-310.303,151.123,-69.825,0,0,0,
,0.722,-0.607,0.348,-231.629,132.812,-70.557,0,0,0,
,0.71,-0.598,0.346,-127.625,106.994,-71.9,0,0,0,
,0.705,-0.595,0.357,-26.062,78.064,-66.712,0,0,0,
,0.695,-0.624,0.348,47.424,43.335,-65.857,0,0,0,
,0.691,-0.641,0.351,82.092,16.601,-57.984,0,0,0,
,0.709,-0.652,0.335,82.824,-2.076,-54.627,0,0,0,
,0.728,-0.632,0.319,78.247,-35.157,-46.326,0,0,0,
,0.73,-0.593,0.304,102.661,-84.656,-44.129,0,0,0,
,0.713,-0.574,0.301,165.344,-132.447,-45.227,0,0,0,
,0.705,-0.577,0.287,236.938,-172.852,-32.776,0,0,0,
,0.695,-0.561,0.267,319.763,-199.585,-11.109,0,0,0,
,0.681,-0.537,0.252,439.392,-234.131,9.216,0,0,0,
,0.661,-0.543,0.229,553.894,-269.288,35.217,0,0,0,
,0.633,-0.551,0.218,642.944,-298.279,66.101,0,0,0,
,0.633,-0.593,0.197,722.717,-309.205,80.871,0,0,0,
,0.652,-0.634,0.178,763.855,-321.045,101.318,0,0,0,
,0.638,-0.641,0.177,760.376,-342.408,131.225,0,0,0,
,0.601,-0.658,0.187,732.177,-360.596,148.925,0,0,0,
,0.578,-0.7,0.216,638.61,-384.522,155.883,0,0,0,
,0.551,-0.74,0.236,463.562,-389.893,162.658,0,0,0,
,0.53,-0.774,0.254,250.122,-395.203,161.804,0,0,0,
,0.501,-0.765,0.247,82.031,-398.987,168.457,0,0,0,
,0.472,-0.729,0.264,-2.625,-398.987,179.138,0,0,0,
,0.463,-0.727,0.303,13.671,-411.866,182.617,0,0,0,
,0.448,-0.73,0.366,77.026,-449.769,194.336,0,0,0,
,0.415,-0.72,0.416,166.076,-494.141,205.932,0,0,0,
,0.386,-0.745,0.419,262.329,-545.838,201.904,0,0,0,
,0.367,-0.751,0.392,371.46,-550.965,200.439,0,0,0,
,0.358,-0.755,0.352,480.041,-577.881,200.866,0,0,0,
,0.333,-0.768,0.309,558.654,-585.755,204.284,0,0,0,
,0.349,-0.841,0.305,574.096,-582.947,183.593,0,0,0,
,0.374,-0.899,0.3,530.883,-553.162,144.897,0,0,0,
,0.387,-0.899,0.316,458.435,-503.724,125.61,0,0,0,
,0.405,-0.902,0.368,400.085,-454.468,89.538,0,0,0,
,0.429,-0.949,0.418,380.676,-389.771,41.687,0,0,0,
,0.461,-1.006,0.449,362.121,-320.191,0.61,0,0,0,
,0.48,-1.002,0.442,296.63,-250.794,-4.456,0,0,0,
,0.488,-0.948,0.421,231.018,-183.96,-12.818,0,0,0,
,0.525,-0.943,0.401,197.265,-144.898,-56.092,0,0,0,
,0.571,-0.959,0.399,166.809,-128.724,-87.83,0,0,0,
,0.596,-0.953,0.406,134.46,-121.705,-105.713,0,0,0,
