TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.904,0.248,0.21,-23.438,34.973,-152.405,
00:00:00:16,0.905,0.261,0.216,-27.894,32.226,-153.87,
00:00:00:33,0.917,0.268,0.216,-29.664,31.25,-159.852,
00:00:00:50,0.925,0.273,0.221,-14.588,26.55,-153.199,
00:00:00:66,0.933,0.272,0.235,4.333,26.184,-139.527,
00:00:00:83,0.938,0.271,0.234,15.808,20.752,-121.338,
00:00:00:100,0.94,0.265,0.233,25.878,14.831,-100.22,
00:00:00:116,0.933,0.259,0.239,29.724,13.061,-79.285,
00:00:00:133,0.933,0.267,0.239,25.207,8.789,-56.336,
00:00:00:150,0.925,0.266,0.232,30.578,5.859,-41.443,
00:00:00:166,0.925,0.259,0.223,34.057,2.197,-22.4,
00:00:00:183,0.918,0.261,0.214,42.297,-1.954,-9.278,
00:00:00:200,0.915,0.255,0.205,49.499,-5.86,15.502,
00:00:00:216,0.913,0.245,0.207,54.016,-7.996,4.577,
00:00:00:233,0.907,0.241,0.217,52.307,-11.658,9.399,
00:00:00:250,0.896,0.249,0.234,55.542,-11.78,12.695,
00:00:00:266,0.885,0.253,0.243,63.293,-12.024,16.418,
00:00:00:283,0.881,0.248,0.25,71.655,-17.334,19.836,
00:00:00:300,0.88,0.24,0.245,68.176,-23.255,15.991,
00:00:00:316,0.897,0.244,0.245,67.504,-20.081,7.812,
00:00:00:333,0.944,0.237,0.24,60.974,-23.377,-5.982,
00:00:00:350,0.952,0.231,0.231,31.066,-42.298,-7.508,
00:00:00:366,0.93,0.237,0.226,9.46,-54.2,-3.418,
00:00:00:383,0.936,0.238,0.22,-1.16,-51.087,-0.123,
00:00:00:400,0.947,0.231,0.216,-1.099,-52.002,14.587,
00:00:00:416,0.947,0.235,0.214,5.371,-57.984,32.592,
00:00:00:433,0.942,0.233,0.206,10.192,-60.364,46.142,
00:00:00:450,0.938,0.227,0.204,11.962,-61.646,54.26,
00:00:00:466,0.926,0.224,0.197,7.812,-62.806,56.457,
00:00:00:483,0.913,0.217,0.194,1.77,-60.181,61.035,
