TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.501,-0.884,-0.032,8.3,8.789,-22.706,
00:00:00:16,0.5,-0.886,-0.027,7.995,10.131,-23.499,
00:00:00:33,0.501,-0.883,-0.031,5.371,10.681,-24.964,
00:00:00:50,0.5,-0.879,-0.032,4.211,10.253,-23.438,
00:00:00:66,0.501,-0.881,-0.03,7.263,10.07,-21.546,
00:00:00:83,0.501,-0.879,-0.027,8.239,7.751,-21.241,
00:00:00:100,0.5,-0.884,-0.029,9.643,5.188,-19.837,
00:00:00:116,0.5,-0.885,-0.029,7.995,5.859,-20.691,
00:00:00:133,0.498,-0.884,-0.03,4.943,6.897,-19.959,
00:00:00:150,0.499,-0.883,-0.03,5.065,9.094,-21.241,
00:00:00:166,0.499,-0.879,-0.028,5.493,9.094,-21.668,
00:00:00:183,0.501,-0.878,-0.028,8.667,7.446,-21.485,
00:00:00:200,0.502,-0.881,-0.029,8.178,7.446,-22.461,
00:00:00:216,0.504,-0.884,-0.028,7.568,5.981,-22.706,
00:00:00:233,0.503,-0.879,-0.03,3.967,7.873,-23.072,
00:00:00:250,0.501,-0.879,-0.032,7.446,4.638,-21.668,
00:00:00:266,0.499,-0.881,-0.035,13.61,4.76,-21.729,
00:00:00:283,0.498,-0.884,-0.029,7.995,7.507,-20.569,
00:00:00:300,0.5,-0.882,-0.024,6.774,8.3,-20.813,
00:00:00:316,0.498,-0.881,-0.022,5.981,8.972,-22.522,
00:00:00:333,0.499,-0.882,-0.024,3.601,10.131,-23.56,
00:00:00:350,0.502,-0.883,-0.025,0.427,9.826,-23.316,
00:00:00:366,0.499,-0.88,-0.033,9.094,4.455,-21.302,
00:00:00:383,0.496,-0.881,-0.027,10.681,5.554,-20.813,
00:00:00:400,0.494,-0.881,-0.029,9.155,5.859,-21.546,
00:00:00:416,0.498,-0.879,-0.029,6.774,5.493,-21.79,
00:00:00:433,0.498,-0.882,-0.03,6.774,9.521,-22.706,
00:00:00:450,0.501,-0.883,-0.027,5.615,6.958,-23.743,
00:00:00:466,0.5,-0.884,-0.028,7.202,8.728,-21.851,
00:00:00:483,0.502,-0.884,-0.03,9.277,8.178,-21.363,
00:00:00:500,0.5,-0.884,-0.029,11.901,6.408,-21.729,
00:00:00:516,0.498,-0.883,-0.03,11.535,6.164,-21.302,
00:00:00:533,0.499,-0.885,-0.029,8.728,7.141,-19.532,
00:00:00:550,0.497,-0.882,-0.027,6.836,6.897,-18.738,
00:00:00:566,0.496,-0.88,-0.021,8.422,7.812,-21.485,
00:00:00:583,0.502,-0.876,-0.026,9.277,9.399,-23.072,
00:00:00:600,0.501,-0.878,-0.026,13.061,7.873,-23.377,
00:00:00:616,0.501,-0.881,-0.032,11.718,6.469,-23.56,
00:00:00:633,0.501,-0.882,-0.032,10.681,7.751,-22.583,
00:00:00:650,0.5,-0.88,-0.033,10.925,6.836,-21.485,
00:00:00:666,0.497,-0.881,-0.028,14.16,4.699,-20.081,
