TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.934,0.217,0.159,-22.767,5.188,-40.406,0,0,0,
,0.931,0.217,0.166,-19.104,5.432,-37.232,0,0,0,
,0.921,0.209,0.166,-32.532,4.455,-28.077,0,0,0,
,0.926,0.205,0.161,-21.18,10.253,-25.208,0,0,0,
,0.931,0.204,0.162,-14.039,10.315,-20.874,0,0,0,
,0.926,0.207,0.157,-2.503,10.498,-20.569,0,0,0,
,0.93,0.212,0.167,8.178,11.291,-21.79,0,0,0,
,0.93,0.2,0.164,22.338,12.512,-26.551,0,0,0,
,0.931,0.197,0.16,26.489,14.343,-30.152,0,0,0,
,0.941,0.2,0.162,16.113,9.399,-34.913,0,0,0,
,0.936,0.201,0.164,-8.362,7.812,-31.25,0,0,0,
,0.934,0.198,0.16,-33.02,6.042,-27.649,0,0,0,
,0.928,0.216,0.159,-34.363,3.54,-28.382,0,0,0,
,0.921,0.226,0.165,-3.174,5.859,-28.87,0,0,0,
,0.92,0.211,0.164,28.93,14.282,-27.039,0,0,0,
,0.927,0.195,0.168,31.433,16.357,-27.039,0,0,0,
,0.936,0.193,0.167,14.831,14.709,-23.56,0,0,0,
,0.933,0.201,0.162,-2.686,9.887,-18.128,0,0,0,
,0.933,0.208,0.152,1.892,11.413,-18.372,0,0,0,
,0.937,0.21,0.156,12.878,10.864,-21.363,0,0,0,
,0.937,0.2,0.163,25.695,11.779,-21.546,0,0,0,
,0.928,0.197,0.166,22.338,12.512,-19.898,0,0,0,
,0.93,0.196,0.166,14.77,12.023,-19.898,0,0,0,
,0.937,0.198,0.167,2.075,10.315,-18.616,0,0,0,
,0.935,0.2,0.165,-1.038,8.911,-16.785,0,0,0,
,0.934,0.204,0.162,-0.245,7.812,-17.09,0,0,0,
,0.928,0.205,0.16,10.376,6.958,-19.837,0,0,0,
,0.925,0.202,0.161,15.564,6.652,-22.644,0,0,0,
,0.927,0.198,0.157,12.146,9.155,-22.583,0,0,0,
,0.93,0.2,0.161,9.887,7.629,-26.001,0,0,0,
,0.935,0.2,0.163,11.352,8.667,-23.865,0,0,0,
,0.933,0.204,0.156,7.995,7.69,-24.476,0,0,0,
,0.935,0.201,0.155,12.451,10.07,-24.048,0,0,0,
,0.939,0.202,0.161,12.695,10.803,-24.476,0,0,0,
,0.937,0.202,0.163,13.61,11.657,-21.973,0,0,0,
,0.933,0.2,0.166,12.085,11.718,-21.729,0,0,0,
,0.928,0.2,0.169,9.582,8.606,-19.593,0,0,0,
,0.932,0.198,0.156,6.164,12.817,-18.982,0,0,0,
,0.93,0.199,0.155,6.042,8.117,-17.823,0,0,0,
,0.923,0.203,0.168,9.155,6.103,-18.25,0,0,0,
,0.924,0.198,0.164,7.873,10.498,-17.456,0,0,0,
,0.931,0.197,0.157,2.868,10.315,-15.32,0,0,0,
,0.937,0.194,0.165,6.347,9.277,-26.246,0,0,0,
,0.935,0.196,0.161,-6.165,7.446,-25.696,0,0,0,
,0.926,0.204,0.166,-9.522,5.004,-25.696,0,0,0,
,0.925,0.208,0.167,14.465,9.948,-27.039,0,0,0,
,0.926,0.202,0.166,8.544,12.451,-24.537,0,0,0,
,0.935,0.198,0.164,3.479,12.146,-22.95,0,0,0,
,0.927,0.201,0.164,4.394,7.751,-22.706,0,0,0,
,0.935,0.198,0.168,-1.587,8.239,-23.194,0,0,0,
,0.932,0.206,0.165,-11.292,3.662,-21.607,0,0,0,
,0.925,0.205,0.168,-7.63,7.324,-19.043,0,0,0,
,0.926,0.206,0.159,-2.32,10.864,-20.325,0,0,0,
,0.934,0.205,0.155,-2.808,7.69,-19.104,0,0,0,
,0.928,0.205,0.162,-0.55,7.263,-19.715,0,0,0,
,0.926,0.204,0.16,4.516,9.704,-21.912,0,0,0,
,0.927,0.199,0.156,6.469,8.239,-23.743,0,0,0,
,0.927,0.199,0.163,0.671,8.361,-24.842,0,0,0,
,0.928,0.201,0.155,-2.808,11.535,-25.33,0,0,0,
,0.929,0.202,0.156,-5.127,9.46,-27.161,0,0,0,
,0.933,0.206,0.152,4.699,14.099,-27.649,0,0,0,
,0.932,0.205,0.149,6.225,14.648,-27.71,0,0,0,
,0.934,0.201,0.15,8.422,18.798,-27.039,0,0,0,
,0.938,0.204,0.157,13.366,16.235,-26.612,0,0,0,
,0.94,0.207,0.155,15.075,13.488,-31.189,0,0,0,
,0.932,0.209,0.135,15.38,21.423,-23.56,0,0,0,
,0.939,0.215,0.138,18.188,22.583,-26.307,0,0,0,
,0.934,0.211,0.165,48.767,14.709,-30.03,0,0,0,
,0.924,0.195,0.169,77.819,17.639,-30.152,0,0,0,
,0.926,0.192,0.175,56.823,17.944,-26.551,0,0,0,
,0.931,0.193,0.173,21.301,14.709,-21.058,0,0,0,
,0.929,0.19,0.171,-10.865,11.657,-14.466,0,0,0,
,0.927,0.208,0.158,2.868,0.305,-14.893,0,0,0,
,0.932,0.194,0.158,25.024,22.522,-19.043,0,0,0,
,0.948,0.206,0.162,33.63,17.822,-23.56,0,0,0,
,0.946,0.196,0.158,24.475,10.315,-20.997,0,0,0,
,0.943,0.192,0.156,11.901,8.422,-22.339,0,0,0,
,0.937,0.189,0.158,2.624,5.493,-23.011,0,0,0,
,0.93,0.194,0.162,-8.24,5.065,-24.17,0,0,0,
,0.93,0.197,0.163,-12.94,9.399,-25.757,0,0,0,
,0.931,0.198,0.167,-7.874,8.789,-25.574,0,0,0,
,0.936,0.195,0.163,-7.203,8.728,-26.001,0,0,0,
,0.938,0.194,0.166,-12.757,6.042,-25.025,0,0,0,
,0.937,0.199,0.162,-24.964,3.601,-22.461,0,0,0,
,0.939,0.203,0.151,-24.842,5.92,-22.583,0,0,0,
,0.941,0.206,0.146,-18.25,6.103,-24.842,0,0,0,
,0.941,0.2,0.148,-10.926,7.873,-25.086,0,0,0,
,0.932,0.194,0.146,-11.292,10.681,-20.997,0,0,0,
