TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.055,0.898,0.348,-99.61,1123.962,336.792,
00:00:00:16,0.049,1.108,0.547,71.838,1154.174,386.596,
00:00:00:33,0.084,1.178,0.31,1180.175,1050.537,314.697,
00:00:00:50,0.362,0.07,1.592,1999.694,503.479,-9.278,
00:00:00:66,0.05,-0.727,1.97,766.357,174.56,32.653,
00:00:00:83,0.142,0.005,1.644,-812.134,-66.834,-13.001,
00:00:00:100,-0.014,0.51,1.115,-1393.494,-244.263,-13.428,
00:00:00:116,-0.146,0.839,0.642,-1353.333,-250.672,-129.456,
00:00:00:133,-0.186,1.035,0.407,-857.056,-184.51,-126.16,
00:00:00:150,-0.197,1.069,0.29,-316.346,-84.717,-78.064,
00:00:00:166,-0.167,1.041,0.307,121.093,22.216,-13.367,
00:00:00:183,-0.129,0.875,0.404,357.177,89.904,3.662,
00:00:00:200,-0.095,0.747,0.523,293.029,103.393,4.882,
00:00:00:216,-0.077,0.756,0.595,151.428,98.449,19.348,
00:00:00:233,-0.069,0.75,0.606,16.479,89.111,12.817,
00:00:00:250,-0.075,0.76,0.558,-114.991,75.927,2.746,
00:00:00:266,-0.095,0.829,0.5,-170.35,68.786,-2.93,
00:00:00:283,-0.108,0.851,0.47,-133.24,74.951,-10.682,
00:00:00:300,-0.093,0.856,0.469,-96.68,68.298,-16.968,
00:00:00:316,-0.083,0.878,0.499,-30.762,55.481,-19.227,
00:00:00:333,-0.075,0.861,0.536,42.907,41.748,-20.386,
00:00:00:350,-0.071,0.818,0.56,58.654,20.141,-25.269,
00:00:00:366,-0.083,0.796,0.546,29.724,3.967,-25.757,
00:00:00:383,-0.091,0.786,0.515,-6.165,-3.663,-33.936,
00:00:00:400,-0.097,0.794,0.485,-36.316,-14.039,-42.725,
00:00:00:416,-0.104,0.822,0.466,-59.815,-17.029,-47.242,
00:00:00:433,-0.107,0.849,0.473,-59.327,-15.809,-51.148,
00:00:00:450,-0.108,0.869,0.489,-46.448,-10.926,-51.636,
00:00:00:466,-0.108,0.882,0.502,-22.034,-5.31,-49.317,
00:00:00:483,-0.11,0.888,0.517,12.512,3.845,-53.04,
00:00:00:500,-0.106,0.868,0.518,52.246,10.925,-56.763,
00:00:00:516,-0.102,0.842,0.515,72.998,18.859,-60.425,
00:00:00:533,-0.095,0.834,0.513,97.045,27.587,-62.806,
00:00:00:550,-0.086,0.825,0.514,122.131,36.499,-71.045,
00:00:00:566,-0.079,0.835,0.519,135.986,46.081,-77.759,
00:00:00:583,-0.063,0.848,0.53,153.808,54.687,-79.346,
00:00:00:600,-0.052,0.846,0.536,176.391,60.241,-83.863,
00:00:00:616,-0.061,0.837,0.549,192.382,66.528,-84.717,
00:00:00:633,-0.06,0.821,0.555,210.205,68.298,-88.685,
00:00:00:650,-0.054,0.793,0.563,213.195,64.331,-87.952,
00:00:00:666,-0.055,0.772,0.573,195.251,51.818,-84.229,
00:00:00:683,-0.053,0.763,0.569,189.636,43.64,-74.891,
00:00:00:700,-0.051,0.747,0.56,177.734,32.409,-66.285,
00:00:00:716,-0.053,0.745,0.542,151.855,25.146,-58.838,
00:00:00:733,-0.054,0.765,0.521,136.352,22.827,-49.927,
00:00:00:750,-0.055,0.787,0.519,146.85,25.207,-38.086,
00:00:00:766,-0.057,0.797,0.561,189.026,37.048,-26.001,
00:00:00:783,-0.051,0.8,0.544,236.45,49.133,-12.879,
00:00:00:800,-0.061,0.789,0.571,279.113,57.983,-0.611,
00:00:00:816,-0.066,0.772,0.609,316.955,66.528,4.089,
00:00:00:833,-0.068,0.791,0.643,401.184,52.612,4.882,
00:00:00:850,-0.102,0.83,0.656,650.146,50.964,10.986,
00:00:00:866,-0.094,0.682,0.691,735.778,75.805,-7.081,
00:00:00:883,-0.042,0.581,0.749,561.157,53.649,-18.555,
00:00:00:900,-0.027,0.617,0.768,380.981,19.958,-19.837,
00:00:00:916,-0.023,0.632,0.762,302.795,13,-31.006,
00:00:00:933,-0.01,0.665,0.734,301.696,5.981,-28.199,
00:00:00:950,-0.011,0.634,0.719,293.274,5.493,-30.823,
00:00:00:966,-0.006,0.629,0.72,237.121,6.836,-21.241,
00:00:00:983,-0.01,0.627,0.731,186.889,10.925,-17.823,
00:00:01:0,-0.019,0.616,0.74,131.286,17.211,-14.893,
00:00:01:16,-0.032,0.636,0.744,94.726,13.305,-11.78,
00:00:01:33,-0.053,0.63,0.755,74.218,14.221,-13.245,
00:00:01:50,-0.055,0.626,0.759,39.917,15.197,-15.442,
00:00:01:66,-0.055,0.623,0.758,3.54,12.695,-16.358,
00:00:01:83,-0.053,0.616,0.756,-8.118,9.216,-18.311,
00:00:01:100,-0.045,0.606,0.748,-24.414,8.789,-20.691,
00:00:01:116,-0.039,0.601,0.743,-57.251,3.418,-24.292,
00:00:01:133,-0.039,0.612,0.746,-81.604,-0.855,-27.405,
00:00:01:150,-0.039,0.637,0.742,-71.228,-2.198,-27.405,
00:00:01:166,-0.045,0.626,0.732,-82.825,-3.296,-29.725,
00:00:01:183,-0.047,0.623,0.722,-117.615,-11.292,-33.081,
00:00:01:200,-0.061,0.6,0.717,-166.81,-17.151,-42.481,
00:00:01:216,-0.061,0.544,0.731,-302.979,-22.4,-74.28,
