TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.921,-0.217,0.261,-300.782,35.095,-62.317,0,0,0,
,0.93,-0.218,0.256,-335.206,39.794,-63.721,0,0,0,
,0.928,-0.22,0.243,-368.653,42.907,-65.186,0,0,0,
,0.931,-0.209,0.242,-391.48,44.86,-69.397,0,0,0,
,0.939,-0.193,0.235,-382.813,49.194,-75.745,0,0,0,
,0.94,-0.188,0.233,-346.497,47.424,-84.168,0,0,0,
,0.934,-0.187,0.229,-303.406,46.142,-93.079,0,0,0,
,0.93,-0.191,0.223,-264.1,49.316,-101.441,0,0,0,
,0.927,-0.188,0.222,-228.028,47.668,-106.69,0,0,0,
,0.923,-0.188,0.223,-198.67,54.016,-112.244,0,0,0,
,0.926,-0.192,0.218,-122.376,66.955,-108.582,0,0,0,
,0.931,-0.196,0.219,-94.056,66.589,-110.413,0,0,0,
,0.928,-0.188,0.217,-68.36,65.918,-107.972,0,0,0,
,0.924,-0.184,0.21,-28.626,63.354,-108.765,0,0,0,
,0.924,-0.188,0.202,-6.348,62.744,-107.239,0,0,0,
,0.921,-0.202,0.213,-16.541,57.556,-94.605,0,0,0,
,0.915,-0.211,0.233,-66.346,68.359,-88.99,0,0,0,
,0.919,-0.209,0.244,-134.217,79.101,-82.581,0,0,0,
,0.93,-0.199,0.262,-187.134,83.679,-75.135,0,0,0,
,0.945,-0.173,0.274,-255.555,71.106,-58.35,0,0,0,
,0.942,-0.169,0.287,-247.559,63.354,-48.645,0,0,0,
,0.942,-0.157,0.284,-217.835,51.818,-40.894,0,0,0,
,0.941,-0.156,0.279,-177.491,35.949,-36.866,0,0,0,
,0.944,-0.163,0.271,-141.358,18.859,-31.067,0,0,0,
,0.932,-0.175,0.252,-80.445,-3.846,-28.931,0,0,0,
,0.928,-0.171,0.24,-43.274,-4.212,-22.828,0,0,0,
,0.93,-0.181,0.227,-2.076,-4.395,-20.752,0,0,0,
,0.922,-0.192,0.218,13.916,-2.93,-15.076,0,0,0,
,0.92,-0.189,0.214,24.597,2.441,-8.301,0,0,0,
,0.924,-0.194,0.205,34.668,5.859,-5.372,0,0,0,
,0.926,-0.208,0.214,39.123,22.888,10.864,0,0,0,
,0.932,-0.207,0.22,32.653,30.944,15.991,0,0,0,
,0.906,-0.206,0.227,30.883,37.292,19.287,0,0,0,
,0.938,-0.206,0.242,33.691,38.513,18.127,0,0,0,
,0.938,-0.204,0.243,41.076,38.818,17.456,0,0,0,
,0.938,-0.196,0.259,62.011,38.269,13.488,0,0,0,
,0.944,-0.202,0.27,90.332,30.822,7.568,0,0,0,
,0.938,-0.21,0.275,97.778,24.475,1.525,0,0,0,
,0.936,-0.215,0.272,89.416,20.324,-6.531,0,0,0,
,0.944,-0.223,0.265,57.678,19.592,-11.231,0,0,0,
,0.942,-0.225,0.258,14.099,13.916,-16.663,0,0,0,
,0.933,-0.222,0.251,-28.077,11.718,-22.4,0,0,0,
,0.937,-0.212,0.246,-59.51,11.657,-26.062,0,0,0,
,0.936,-0.203,0.241,-72.998,9.826,-30.518,0,0,0,
,0.934,-0.204,0.236,-80.506,10.62,-34.058,0,0,0,
,0.932,-0.203,0.231,-86.426,9.887,-35.462,0,0,0,
,0.927,-0.198,0.222,-89.6,8.972,-36.011,0,0,0,
,0.925,-0.192,0.218,-90.149,10.253,-34.607,0,0,0,
,0.925,-0.188,0.22,-85.877,11.108,-32.471,0,0,0,
,0.922,-0.18,0.213,-73.853,10.681,-31.189,0,0,0,
,0.922,-0.177,0.214,-60.12,12.878,-28.016,0,0,0,
,0.926,-0.179,0.213,-46.998,12.207,-26.978,0,0,0,
,0.928,-0.178,0.216,-35.218,14.77,-25.391,0,0,0,
,0.935,-0.18,0.22,-26.307,13.977,-23.133,0,0,0,
,0.94,-0.179,0.224,-20.997,16.052,-22.339,0,0,0,
,0.939,-0.175,0.225,-15.686,14.648,-20.813,0,0,0,
,0.939,-0.17,0.226,-6.714,14.343,-19.898,0,0,0,
,0.937,-0.171,0.231,3.784,14.648,-17.945,0,0,0,
,0.935,-0.17,0.236,12.939,10.864,-18.067,0,0,0,
,0.932,-0.175,0.238,21.606,9.704,-16.175,0,0,0,
,0.93,-0.178,0.239,20.141,10.315,-16.663,0,0,0,
,0.932,-0.18,0.242,21.911,9.765,-14.527,0,0,0,
,0.932,-0.183,0.237,21.057,6.469,-11.231,0,0,0,
,0.937,-0.189,0.233,20.996,6.042,-8.912,0,0,0,
,0.931,-0.194,0.237,17.15,5.004,-11.109,0,0,0,
,0.935,-0.199,0.235,9.765,10.07,-10.621,0,0,0,
,0.941,-0.202,0.23,6.774,12.512,-12.146,0,0,0,
,0.932,-0.198,0.233,2.502,10.253,-12.513,0,0,0,
,0.928,-0.198,0.226,-0.672,10.62,-15.381,0,0,0,
,0.931,-0.197,0.228,-1.526,13.61,-18.494,0,0,0,
,0.929,-0.198,0.234,-7.935,13.732,-21.119,0,0,0,
,0.925,-0.197,0.233,-14.283,15.441,-22.034,0,0,0,
,0.926,-0.192,0.227,-16.175,17.273,-23.316,0,0,0,
,0.928,-0.189,0.228,-16.419,16.418,-24.17,0,0,0,
,0.932,-0.187,0.232,-16.175,16.296,-22.95,0,0,0,
,0.933,-0.185,0.23,-18.311,18.737,-23.133,0,0,0,
,0.94,-0.187,0.233,-22.461,19.47,-20.142,0,0,0,
,0.939,-0.183,0.23,-23.011,19.897,-22.034,0,0,0,
,0.941,-0.181,0.235,-23.011,19.47,-18.616,0,0,0,
,0.937,-0.179,0.238,-21.546,18.066,-18.128,0,0,0,
,0.932,-0.178,0.234,-19.959,16.479,-21.363,0,0,0,
,0.933,-0.182,0.229,-15.809,18.249,-19.837,0,0,0,
,0.931,-0.183,0.229,-16.236,13.61,-21.729,0,0,0,
,0.927,-0.177,0.232,-13.611,14.221,-21.851,0,0,0,
,0.933,-0.18,0.228,-6.165,16.113,-24.598,0,0,0,
,0.935,-0.184,0.227,-0.977,13.427,-23.377,0,0,0,
,0.934,-0.187,0.227,1.098,14.77,-20.752,0,0,0,
,0.937,-0.187,0.226,1.953,13.794,-17.701,0,0,0,
,0.932,-0.188,0.227,3.723,15.93,-15.32,0,0,0,
,0.932,-0.189,0.23,5.676,15.136,-15.625,0,0,0,
,0.926,-0.195,0.227,7.324,17.456,-14.283,0,0,0,
,0.926,-0.2,0.229,5.615,19.714,-17.64,0,0,0,
,0.927,-0.204,0.228,3.967,20.507,-19.776,0,0,0,
,0.929,-0.211,0.235,-7.264,24.047,-20.752,0,0,0,
,0.932,-0.213,0.237,-18.921,25.268,-26.062,0,0,0,
,0.934,-0.216,0.236,-31.25,24.841,-27.832,0,0,0,
