TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.058,0.603,0.772,-5.127,11.657,-19.349,
00:00:00:16,0.057,0.599,0.77,5.737,11.291,-21.241,
00:00:00:33,0.048,0.603,0.775,-0.672,8.911,-16.663,
00:00:00:50,0.043,0.604,0.769,15.686,13.671,-18.311,
00:00:00:66,0.055,0.599,0.779,17.944,12.878,-18.067,
00:00:00:83,0.055,0.595,0.777,19.348,12.512,-17.151,
00:00:00:100,0.058,0.582,0.781,19.226,10.864,-24.231,
00:00:00:116,0.054,0.584,0.78,5.615,9.338,-21.363,
00:00:00:133,0.057,0.594,0.782,2.38,10.192,-23.194,
00:00:00:150,0.06,0.597,0.782,2.868,7.751,-19.898,
00:00:00:166,0.053,0.59,0.768,7.324,8.606,-19.715,
00:00:00:183,0.05,0.591,0.773,3.295,6.347,-20.874,
00:00:00:200,0.051,0.598,0.773,6.347,12.939,-17.701,
00:00:00:216,0.055,0.598,0.775,9.155,13.061,-19.898,
00:00:00:233,0.058,0.599,0.775,12.146,11.23,-18.982,
00:00:00:250,0.062,0.623,0.782,14.892,10.315,-21.302,
00:00:00:266,0.059,0.591,0.781,10.864,6.652,-20.325,
00:00:00:283,0.055,0.583,0.778,8.544,5.554,-22.217,
00:00:00:300,0.055,0.584,0.778,2.563,7.568,-21.424,
00:00:00:316,0.055,0.591,0.774,-1.648,8.056,-22.583,
00:00:00:333,0.055,0.604,0.78,-0.977,5.981,-22.95,
00:00:00:350,0.056,0.601,0.772,7.019,9.338,-21.485,
00:00:00:366,0.056,0.593,0.774,6.958,9.399,-21.363,
00:00:00:383,0.056,0.589,0.776,2.685,10.498,-19.837,
00:00:00:400,0.058,0.595,0.776,4.028,7.324,-23.011,
00:00:00:416,0.056,0.596,0.781,4.943,7.263,-21.546,
00:00:00:433,0.054,0.595,0.776,12.817,5.615,-22.644,
00:00:00:450,0.055,0.595,0.785,5.859,7.202,-21.912,
00:00:00:466,0.054,0.583,0.776,7.568,8.361,-20.935,
00:00:00:483,0.053,0.591,0.778,-4.7,5.676,-19.104,
00:00:00:500,0.051,0.602,0.771,-7.569,6.652,-19.959,
00:00:00:516,0.054,0.608,0.777,4.272,4.76,-23.438,
00:00:00:533,0.057,0.593,0.777,18.005,4.577,-24.72,
00:00:00:550,0.057,0.582,0.777,13.122,4.821,-25.33,
00:00:00:566,0.052,0.589,0.774,-3.174,6.958,-19.898,
00:00:00:583,0.056,0.594,0.776,2.014,7.202,-22.156,
00:00:00:600,0.054,0.596,0.779,3.601,7.507,-21.668,
00:00:00:616,0.053,0.592,0.774,7.568,8.056,-22.828,
00:00:00:633,0.052,0.593,0.779,6.591,7.568,-22.156,
00:00:00:650,0.051,0.596,0.774,4.272,8.606,-22.461,
00:00:00:666,0.053,0.592,0.778,8.422,9.216,-23.865,
00:00:00:683,0.054,0.593,0.775,3.662,10.742,-22.4,
00:00:00:700,0.055,0.596,0.775,6.774,10.376,-22.828,
00:00:00:716,0.054,0.596,0.779,6.225,11.718,-21.546,
00:00:00:733,0.055,0.592,0.776,11.169,10.498,-21.912,
00:00:00:750,0.059,0.591,0.778,6.347,10.925,-19.715,
00:00:00:766,0.057,0.591,0.773,1.281,11.047,-19.898,
00:00:00:783,0.054,0.598,0.78,-0.55,8.3,-20.081,
00:00:00:800,0.05,0.598,0.773,0.854,7.995,-20.63,
00:00:00:816,0.052,0.591,0.775,4.089,7.629,-24.476,
00:00:00:833,0.053,0.596,0.776,7.202,8.3,-21.058,
00:00:00:850,0.053,0.587,0.775,6.774,9.094,-24.231,
00:00:00:866,0.053,0.599,0.778,-0.55,9.338,-20.447,
00:00:00:883,0.053,0.599,0.778,8.483,8.606,-22.278,
00:00:00:900,0.056,0.595,0.774,8.544,7.934,-20.325,
00:00:00:916,0.054,0.59,0.773,7.629,6.53,-22.522,
00:00:00:933,0.052,0.597,0.777,3.479,8.361,-22.767,
00:00:00:950,0.054,0.598,0.784,7.568,11.291,-22.339,
00:00:00:966,0.056,0.594,0.779,11.291,9.582,-21.973,
00:00:00:983,0.055,0.588,0.777,8.239,8.728,-21.546,
00:00:01:0,0.052,0.589,0.778,4.943,8.972,-22.95,
00:00:01:16,0.054,0.596,0.775,2.563,9.765,-20.508,
00:00:01:33,0.054,0.595,0.777,2.075,7.629,-22.4,
00:00:01:50,0.055,0.598,0.773,2.441,8.239,-20.325,
00:00:01:66,0.051,0.594,0.771,7.202,7.385,-20.325,
00:00:01:83,0.053,0.596,0.776,3.662,9.277,-19.41,
00:00:01:100,0.05,0.593,0.775,10.559,8.606,-21.363,
00:00:01:116,0.051,0.591,0.781,8.239,9.277,-21.607,
00:00:01:133,0.052,0.594,0.776,5.981,10.131,-22.461,
00:00:01:150,0.058,0.59,0.775,3.356,9.399,-23.926,
00:00:01:166,0.055,0.593,0.779,-2.808,7.202,-21.302,
00:00:01:183,0.054,0.596,0.774,-2.625,7.934,-23.438,
00:00:01:200,0.052,0.603,0.773,1.22,9.46,-21.668,
00:00:01:216,0.053,0.597,0.776,8.422,10.376,-22.828,
00:00:01:233,0.049,0.588,0.775,6.713,10.315,-21.119,
00:00:01:250,0.05,0.593,0.778,-1.648,12.085,-19.471,
00:00:01:266,0.053,0.595,0.771,3.906,14.038,-19.715,
00:00:01:283,0.056,0.594,0.777,4.028,12.268,-21.424,
00:00:01:300,0.053,0.598,0.772,2.685,9.46,-20.569,
00:00:01:316,0.052,0.593,0.774,6.53,11.535,-21.607,
00:00:01:333,0.055,0.594,0.775,6.164,13.183,-19.898,
00:00:01:350,0.055,0.594,0.78,5.004,10.986,-21.912,
00:00:01:366,0.053,0.597,0.781,6.591,11.718,-20.997,
00:00:01:383,0.058,0.588,0.772,6.713,9.826,-22.95,
00:00:01:400,0.053,0.592,0.782,0,6.286,-22.583,
00:00:01:416,0.051,0.595,0.776,-0.672,10.07,-23.133,
00:00:01:433,0.052,0.596,0.777,1.403,10.925,-22.706,
00:00:01:450,0.055,0.6,0.771,-0.55,10.864,-20.63,
00:00:01:466,0.056,0.597,0.772,6.958,9.216,-22.461,
00:00:01:483,0.055,0.595,0.773,6.958,10.253,-20.569,
00:00:01:500,0.053,0.595,0.774,7.934,10.315,-22.4,
00:00:01:516,0.055,0.597,0.783,5.737,13.732,-21.607,
00:00:01:533,0.054,0.591,0.774,3.418,10.437,-20.691,
00:00:01:550,0.053,0.595,0.778,0.793,7.507,-22.217,
00:00:01:566,0.05,0.596,0.768,7.019,11.169,-23.438,
00:00:01:583,0.055,0.59,0.777,0.122,9.887,-24.17,
00:00:01:600,0.055,0.598,0.78,-0.916,10.07,-22.339,
00:00:01:616,0.058,0.597,0.774,2.258,11.23,-21.851,
00:00:01:633,0.055,0.601,0.776,3.967,9.826,-21.729,
00:00:01:650,0.051,0.594,0.773,7.69,7.08,-22.522,
00:00:01:666,0.054,0.593,0.773,4.882,11.718,-20.813,
00:00:01:683,0.054,0.594,0.773,-0.367,10.681,-20.997,
00:00:01:700,0.056,0.598,0.776,-0.061,8.544,-22.095,
00:00:01:716,0.054,0.594,0.779,4.577,8.483,-23.316,
00:00:01:733,0.053,0.594,0.775,0.305,6.591,-24.353,
00:00:01:750,0.054,0.6,0.774,-2.808,9.704,-22.644,
00:00:01:766,0.054,0.59,0.775,8.85,10.253,-27.039,
00:00:01:783,0.05,0.595,0.776,-0.367,9.399,-23.804,
00:00:01:800,0.053,0.597,0.776,0.793,11.474,-24.231,
00:00:01:816,0.055,0.601,0.774,0,8.85,-22.767,
00:00:01:833,0.052,0.602,0.77,2.746,9.521,-22.461,
00:00:01:850,0.056,0.599,0.771,7.385,12.756,-23.56,
00:00:01:866,0.056,0.602,0.768,6.713,11.108,-22.217,
00:00:01:883,0.052,0.597,0.772,9.094,10.192,-22.767,
00:00:01:900,0.058,0.595,0.778,5.004,12.878,-20.325,
00:00:01:916,0.059,0.593,0.774,7.812,10.131,-22.095,
00:00:01:933,0.059,0.591,0.777,2.014,9.948,-22.095,
00:00:01:950,0.052,0.598,0.768,-3.418,8.239,-21.485,
00:00:01:966,0.052,0.603,0.773,-2.503,9.216,-20.935,
00:00:01:983,0.055,0.606,0.77,3.418,9.277,-22.339,
00:00:02:0,0.057,0.6,0.767,10.742,8.3,-23.682,
00:00:02:16,0.059,0.599,0.772,8.728,10.62,-20.081,
00:00:02:33,0.054,0.595,0.775,13.671,9.46,-23.011,
00:00:02:50,0.056,0.593,0.78,8.911,11.718,-21.424,
00:00:02:66,0.061,0.591,0.772,4.516,9.155,-24.537,
00:00:02:83,0.054,0.597,0.778,-3.907,8.3,-20.874,
00:00:02:100,0.054,0.603,0.773,-5.799,8.85,-24.537,
00:00:02:116,0.055,0.606,0.769,2.38,8.3,-20.935,
00:00:02:133,0.054,0.6,0.771,10.376,6.347,-20.325,
00:00:02:150,0.054,0.597,0.772,12.268,7.629,-22.217,
00:00:02:166,0.05,0.592,0.774,8.667,7.629,-22.217,
00:00:02:183,0.054,0.594,0.777,6.897,9.765,-23.865,
