TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.004,-0.795,0.629,3.906,8.972,-20.63,
00:00:00:16,0.005,-0.798,0.637,11.352,7.385,-21.119,
00:00:00:33,0.003,-0.808,0.638,9.46,7.995,-21.851,
00:00:00:50,0.002,-0.808,0.632,6.774,7.934,-21.912,
00:00:00:66,0.004,-0.805,0.633,4.638,8.606,-20.874,
00:00:00:83,0.003,-0.807,0.634,3.051,7.751,-22.339,
00:00:00:100,0.003,-0.803,0.636,0.366,6.958,-19.593,
00:00:00:116,0.006,-0.798,0.633,1.403,6.958,-21.485,
00:00:00:133,0.002,-0.798,0.637,9.948,5.859,-21.607,
00:00:00:150,0.002,-0.805,0.632,10.681,7.324,-20.386,
00:00:00:166,0.002,-0.808,0.63,8.972,6.591,-21.485,
00:00:00:183,0.002,-0.808,0.634,2.075,9.704,-21.912,
00:00:00:200,0.003,-0.806,0.635,1.953,11.352,-21.119,
00:00:00:216,0.005,-0.8,0.639,5.004,9.826,-21.668,
00:00:00:233,0.004,-0.801,0.635,8.422,6.652,-22.095,
00:00:00:250,0.004,-0.803,0.638,1.892,7.08,-21.058,
00:00:00:266,0.001,-0.799,0.631,1.281,7.995,-19.349,
00:00:00:283,0.006,-0.799,0.634,5.493,8.178,-19.959,
00:00:00:300,0.004,-0.807,0.629,9.094,6.103,-21.485,
00:00:00:316,0.003,-0.811,0.631,6.042,6.774,-21.79,
00:00:00:333,0.002,-0.806,0.632,1.464,8.544,-20.691,
00:00:00:350,0.003,-0.805,0.637,-0.794,8.3,-18.738,
00:00:00:366,0.005,-0.802,0.638,-0.855,8.178,-19.471,
00:00:00:383,0.003,-0.8,0.641,-0.611,7.751,-19.898,
00:00:00:400,0.003,-0.797,0.637,3.662,6.103,-20.691,
00:00:00:416,0.001,-0.8,0.64,5.31,6.469,-18.921,
00:00:00:433,0.004,-0.8,0.634,5.004,8.239,-18.921,
00:00:00:450,0.003,-0.802,0.636,6.164,8.728,-18.86,
00:00:00:466,0.002,-0.806,0.636,4.699,8.667,-19.715,
00:00:00:483,0.004,-0.804,0.635,3.662,7.812,-18.982,
00:00:00:500,0.003,-0.805,0.637,1.159,9.46,-17.456,
00:00:00:516,0.004,-0.803,0.636,-2.442,8.911,-17.701,
00:00:00:533,0.004,-0.801,0.639,-0.061,8.178,-17.273,
00:00:00:550,0.002,-0.802,0.639,0.976,8.117,-18.494,
00:00:00:566,0.005,-0.799,0.636,3.418,5.92,-18.128,
00:00:00:583,0.002,-0.8,0.639,4.821,7.69,-19.349,
00:00:00:600,0.001,-0.788,0.639,27.526,8.056,-17.273,
00:00:00:616,0.004,-0.808,0.637,18.798,9.338,-17.273,
00:00:00:633,0.005,-0.811,0.641,3.54,11.596,-17.701,
00:00:00:650,0.004,-0.798,0.631,3.723,9.704,-17.151,
00:00:00:666,0.004,-0.799,0.634,1.342,4.821,-15.442,
00:00:00:683,0.002,-0.805,0.635,0.488,8.178,-19.776,
00:00:00:700,0.003,-0.802,0.635,0.976,9.948,-17.456,
00:00:00:716,0.005,-0.797,0.637,3.173,10.498,-17.518,
00:00:00:733,0.005,-0.797,0.63,13.916,8.544,-17.701,
00:00:00:750,0.001,-0.81,0.638,1.281,10.803,-17.579,
00:00:00:766,0.002,-0.804,0.641,4.455,10.742,-19.288,
00:00:00:783,0.008,-0.798,0.639,3.356,11.84,-17.518,
00:00:00:800,0.009,-0.798,0.639,5.798,9.765,-17.701,
00:00:00:816,0.008,-0.801,0.636,7.019,7.873,-16.663,
00:00:00:833,0.003,-0.805,0.636,5.249,6.347,-15.015,
00:00:00:850,0,-0.806,0.636,2.014,5.554,-18.616,
00:00:00:866,0.004,-0.804,0.637,-3.54,8.544,-18.25,
00:00:00:883,0.005,-0.803,0.635,-4.578,11.169,-16.419,
00:00:00:900,0.009,-0.79,0.64,13.305,8.178,-18.494,
00:00:00:916,0.006,-0.807,0.64,-0.916,9.338,-16.785,
00:00:00:933,0.005,-0.802,0.637,-4.456,8.056,-17.151,
00:00:00:950,0.004,-0.795,0.637,-1.709,7.446,-17.762,
00:00:00:966,0.002,-0.802,0.636,-4.029,8.117,-17.456,
00:00:00:983,0.003,-0.807,0.64,-0.184,10.559,-18.372,
00:00:01:0,0.007,-0.786,0.643,19.043,9.46,-16.419,
00:00:01:16,0.005,-0.805,0.641,-0.672,10.803,-15.625,
00:00:01:33,0.007,-0.804,0.641,1.159,12.451,-18.128,
00:00:01:50,0.011,-0.793,0.639,1.22,9.948,-15.076,
00:00:01:66,0.011,-0.801,0.64,2.685,10.009,-18.372,
00:00:01:83,0.006,-0.802,0.644,1.586,8.361,-18.128,
00:00:01:100,0.006,-0.801,0.638,-2.625,9.826,-17.456,
00:00:01:116,0.006,-0.8,0.634,-2.015,8.728,-17.579,
00:00:01:133,0.008,-0.798,0.643,-5.799,9.399,-16.053,
00:00:01:150,0.008,-0.752,0.633,71.167,5.004,-18.25,
00:00:01:166,0.008,-0.802,0.645,58.41,6.042,-16.968,
00:00:01:183,0.008,-0.833,0.639,33.691,9.826,-21.851,
00:00:01:200,0.011,-0.789,0.629,51.452,2.258,-18.921,
00:00:01:216,0.003,-0.796,0.638,-3.418,9.155,-16.602,
00:00:01:233,0.009,-0.803,0.637,-2.076,12.695,-15.992,
00:00:01:250,0.011,-0.803,0.637,0.488,10.192,-17.762,
00:00:01:266,0.012,-0.798,0.635,1.892,8.3,-17.945,
00:00:01:283,0.006,-0.804,0.635,0.305,9.338,-17.945,
00:00:01:300,0.008,-0.798,0.637,-3.602,10.62,-16.602,
00:00:01:316,0.01,-0.799,0.638,-0.55,12.39,-16.724,
00:00:01:333,0.007,-0.801,0.637,-0.611,10.864,-17.823,
00:00:01:350,0.012,-0.8,0.64,-3.846,8.789,-16.236,
00:00:01:366,0.011,-0.802,0.642,-4.517,10.742,-17.273,
00:00:01:383,0.01,-0.802,0.638,-3.54,8.117,-17.64,
00:00:01:400,0.009,-0.8,0.638,-2.686,8.85,-16.907,
00:00:01:416,0.009,-0.788,0.628,22.461,7.812,-19.715,
00:00:01:433,0.005,-0.82,0.655,0.976,8.483,-23.682,
00:00:01:450,0.009,-0.817,0.636,-6.592,14.099,-18.86,
00:00:01:466,0.012,-0.788,0.645,-6.104,9.216,-17.09,
00:00:01:483,0.009,-0.786,0.644,-0.855,9.765,-16.48,
00:00:01:500,0.005,-0.802,0.641,-0.55,9.521,-19.41,
00:00:01:516,0.007,-0.8,0.639,0.061,13.244,-18.189,
00:00:01:533,0.011,-0.795,0.644,0.61,11.718,-18.189,
00:00:01:550,0.014,-0.8,0.64,0.549,11.291,-17.273,
00:00:01:566,0.014,-0.801,0.636,1.22,10.192,-19.715,
00:00:01:583,0.015,-0.8,0.641,-1.038,7.446,-17.823,
00:00:01:600,0.012,-0.799,0.642,0.61,8.728,-19.043,
00:00:01:616,0.011,-0.798,0.64,-0.123,7.568,-20.325,
00:00:01:633,0.01,-0.797,0.642,0.61,8.483,-17.945,
00:00:01:650,0.011,-0.794,0.641,-1.343,9.277,-19.41,
00:00:01:666,0.009,-0.796,0.645,-0.306,7.324,-17.701,
00:00:01:683,0.012,-0.797,0.646,1.525,9.643,-19.41,
00:00:01:700,0.012,-0.792,0.642,2.868,8.667,-19.288,
00:00:01:716,0.014,-0.793,0.644,5.981,6.53,-18.372,
00:00:01:733,0.008,-0.795,0.643,9.46,6.836,-19.959,
00:00:01:750,0.011,-0.801,0.644,8.789,6.713,-19.898,
00:00:01:766,0.013,-0.796,0.643,9.216,8.606,-21.546,
00:00:01:783,0.011,-0.796,0.645,10.07,9.46,-21.973,
00:00:01:800,0.012,-0.794,0.641,12.207,8.911,-22.522,
00:00:01:816,0.012,-0.795,0.638,14.221,7.507,-20.813,
00:00:01:833,0.01,-0.796,0.64,14.038,8.3,-22.217,
00:00:01:850,0.01,-0.796,0.643,13.549,8.178,-21.973,
00:00:01:866,0.013,-0.795,0.636,10.62,9.033,-23.072,
00:00:01:883,0.011,-0.796,0.642,15.136,6.591,-22.706,
00:00:01:900,0.012,-0.799,0.641,14.221,6.836,-21.424,
00:00:01:916,0.011,-0.799,0.642,10.131,8.789,-21.607,
00:00:01:933,0.012,-0.802,0.638,10.253,7.873,-22.156,
00:00:01:950,0.014,-0.798,0.643,5.493,7.202,-22.156,
00:00:01:966,0.015,-0.798,0.639,9.094,6.591,-23.377,
00:00:01:983,0.015,-0.8,0.64,7.568,5.676,-22.706,
00:00:02:0,0.008,-0.8,0.642,6.286,4.943,-23.377,
00:00:02:16,0.008,-0.799,0.64,6.408,6.836,-23.865,
00:00:02:33,0.006,-0.797,0.644,6.225,8.85,-22.95,
00:00:02:50,0.01,-0.796,0.643,8.422,7.629,-22.95,
00:00:02:66,0.007,-0.795,0.641,8.483,7.629,-21.912,
00:00:02:83,0.012,-0.802,0.638,10.864,7.873,-21.424,
00:00:02:100,0.011,-0.801,0.639,10.803,8.728,-22.339,
00:00:02:116,0.006,-0.802,0.64,6.774,8.3,-23.377,
00:00:02:133,0.007,-0.797,0.638,5.432,8.483,-24.109,
00:00:02:150,0.011,-0.797,0.639,8.728,8.911,-21.485,
00:00:02:166,0.009,-0.798,0.635,8.178,6.836,-22.889,
00:00:02:183,0.01,-0.802,0.641,8.483,9.399,-21.607,
00:00:02:200,0.008,-0.801,0.639,7.08,8.667,-21.851,
00:00:02:216,0.011,-0.801,0.639,8.606,9.887,-23.499,
00:00:02:233,0.012,-0.795,0.633,10.192,9.826,-22.278,
00:00:02:250,0.01,-0.8,0.641,11.23,7.446,-21.485,
00:00:02:266,0.009,-0.799,0.638,12.634,6.897,-22.644,
00:00:02:283,0.007,-0.801,0.638,13.855,9.46,-22.339,
00:00:02:300,0.008,-0.8,0.638,11.84,7.995,-22.95,
00:00:02:316,0.008,-0.8,0.637,12.146,11.535,-22.522,
00:00:02:333,0.01,-0.803,0.635,10.803,10.376,-23.438,
00:00:02:350,0.01,-0.804,0.637,8.789,10.742,-23.133,
00:00:02:366,0.01,-0.8,0.639,9.643,10.376,-23.926,
00:00:02:383,0.011,-0.797,0.638,11.535,10.315,-23.804,
00:00:02:400,0.009,-0.806,0.636,9.704,11.108,-20.997,
00:00:02:416,0.01,-0.808,0.637,6.53,10.742,-20.935,
00:00:02:433,0.01,-0.804,0.636,1.77,9.826,-20.386,
00:00:02:450,0.012,-0.804,0.633,-2.747,10.681,-21.363,
00:00:02:466,0.014,-0.799,0.632,-1.343,12.146,-22.034,
00:00:02:483,0.012,-0.802,0.636,-3.174,8.483,-21.058,
00:00:02:500,0.01,-0.802,0.639,-2.442,5.249,-23.133,
00:00:02:516,0.004,-0.799,0.639,-0.794,6.836,-22.644,
00:00:02:533,0.005,-0.798,0.639,2.624,6.347,-20.63,
00:00:02:550,0.01,-0.805,0.635,4.943,7.873,-18.982,
00:00:02:566,0.009,-0.804,0.635,5.065,10.376,-18.555,
00:00:02:583,0.014,-0.803,0.635,-1.221,9.704,-19.349,
00:00:02:600,0.011,-0.8,0.634,-2.869,6.469,-17.518,
00:00:02:616,0.009,-0.802,0.642,-5.127,8.178,-15.992,
00:00:02:633,0.01,-0.798,0.64,-2.991,8.667,-17.151,
00:00:02:650,0.013,-0.796,0.64,-3.357,8.056,-15.32,
00:00:02:666,0.012,-0.799,0.635,-2.991,5.981,-13.611,
00:00:02:683,0.011,-0.809,0.636,-11.841,4.577,-12.574,
00:00:02:700,0.011,-0.822,0.631,-25.269,5.31,-9.583,
00:00:02:716,0.008,-0.816,0.633,-39.49,2.685,-5.066,
00:00:02:733,0.007,-0.811,0.637,-58.838,10.681,-5.31,
00:00:02:750,0.014,-0.797,0.643,-76.905,17.517,-1.465,
00:00:02:766,0.01,-0.75,0.603,-18.006,4.211,-2.259,
00:00:02:783,0.026,-0.743,0.67,88.134,-7.752,-16.663,
00:00:02:800,0.005,-0.849,0.626,1.648,13,4.211,
00:00:02:816,0.023,-0.766,0.672,32.653,8.544,-1.709,
00:00:02:833,0.02,-0.783,0.636,-46.631,12.756,22.277,
00:00:02:850,0.015,-0.781,0.637,-31.434,8.667,14.038,
00:00:02:866,0.008,-0.74,0.629,-23.926,8.85,26.55,
00:00:02:883,-0.001,-0.785,0.64,-32.349,23.315,25.39,
00:00:02:900,0.031,-0.816,0.639,-51.392,43.457,37.292,
00:00:02:916,0.012,-0.784,0.661,-44.495,41.442,61.645,
00:00:02:933,0.015,-0.804,0.643,-73.304,60.913,74.34,
00:00:02:950,0.017,-0.801,0.649,-91.248,60.424,82.885,
00:00:02:966,0.025,-0.785,0.632,-92.164,70.983,91.43,
00:00:02:983,0.033,-0.799,0.67,-65.247,91.064,93.994,
00:00:03:0,0.033,-0.917,0.651,-193.787,81.97,138,
00:00:03:16,0.012,-0.874,0.665,-250.428,96.435,146.667,
00:00:03:33,-0.001,-0.901,0.7,-337.952,127.563,168.762,
00:00:03:50,0,-0.964,0.738,-448.426,186.584,194.885,
00:00:03:66,0.02,-0.953,0.832,-487.488,222.9,166.137,
00:00:03:83,0.033,-0.844,0.92,-260.56,185.913,88.989,
00:00:03:100,-0.061,-0.847,1.111,101.989,129.089,6.164,
00:00:03:116,0.243,-1.141,1.864,784.546,-162.964,-421.448,
00:00:03:133,0.588,-1.697,1.815,1254.943,126.831,-525.757,
00:00:03:150,1.124,-1.994,0.458,1524.231,-53.894,-607.727,
00:00:03:166,1.979,-3.265,-0.038,1169.433,-706.116,-1202.271,
00:00:03:183,2.281,-3.645,0.474,-48.157,-1351.807,-2000,
00:00:03:200,0.833,-1.586,0.84,-129.517,-1172.12,-2000,
00:00:03:216,0.172,-1.436,0.869,-96.802,-962.586,-2000,
00:00:03:233,0.66,-1.796,0.295,52.551,-559.571,-2000,
00:00:03:250,1.038,-1.376,-0.029,-192.933,-624.878,-2000,
00:00:03:266,0.863,-0.596,-0.05,-922.852,-704.529,-2000,
00:00:03:283,0.747,0.195,-0.313,-1483.826,-612.549,-2000,
00:00:03:300,0.795,1.151,-0.538,-1478.394,-690.979,-2000,
00:00:03:316,0.759,2.305,-0.578,-1170.228,-1011.78,-2000,
00:00:03:333,0.401,3.291,0,-966.065,-1214.356,-2000,
