TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.933,-0.24,-0.017,-19.104,-45.777,-51.758,0,0,0,
,0.941,-0.23,-0.006,-65.674,-26.612,-52.185,0,0,0,
,0.95,-0.213,0.019,-99.915,-9.522,-61.036,0,0,0,
,0.962,-0.198,0.01,-105.286,-0.489,-64.82,0,0,0,
,0.971,-0.184,0.004,-89.478,2.136,-67.933,0,0,0,
,0.968,-0.19,0.004,-60.791,7.019,-65.247,0,0,0,
,0.963,-0.198,0.014,-40.772,15.075,-60.425,0,0,0,
,0.956,-0.211,0.026,-35.218,20.141,-53.711,0,0,0,
,0.947,-0.219,0.032,-56.031,24.536,-50.965,0,0,0,
,0.937,-0.219,0.035,-85.45,30.944,-48.401,0,0,0,
,0.938,-0.216,0.043,-124.817,35.461,-43.396,0,0,0,
,0.943,-0.213,0.047,-161.255,36.193,-36.805,0,0,0,
,0.944,-0.21,0.051,-189.82,35.888,-29.236,0,0,0,
,0.944,-0.198,0.058,-196.778,35.766,-18.372,0,0,0,
,0.946,-0.191,0.06,-183.289,36.804,-9.705,0,0,0,
,0.953,-0.188,0.064,-166.321,38.818,1.037,0,0,0,
,0.962,-0.186,0.064,-149.537,40.222,5.249,0,0,0,
,0.96,-0.186,0.066,-129.639,39.917,8.85,0,0,0,
,0.96,-0.191,0.069,-112.61,41.076,11.108,0,0,0,
,0.963,-0.196,0.072,-104.432,41.076,10.498,0,0,0,
,0.963,-0.198,0.073,-99.06,40.344,13.794,0,0,0,
,0.968,-0.199,0.078,-95.52,38.696,11.535,0,0,0,
,0.962,-0.197,0.083,-93.201,37.414,10.131,0,0,0,
,0.964,-0.198,0.085,-84.534,33.813,8.3,0,0,0,
,0.966,-0.192,0.089,-75.623,32.47,5.92,0,0,0,
,0.971,-0.189,0.085,-59.327,30.151,3.418,0,0,0,
,0.971,-0.185,0.088,-45.472,24.658,1.22,0,0,0,
,0.969,-0.191,0.088,-31.983,24.169,1.159,0,0,0,
,0.973,-0.195,0.087,-23.011,21.24,1.464,0,0,0,
,0.968,-0.2,0.086,-19.288,14.77,1.77,0,0,0,
,0.963,-0.202,0.086,-15.809,11.657,5.31,0,0,0,
,0.964,-0.204,0.084,-18.86,7.385,6.958,0,0,0,
,0.959,-0.204,0.08,-24.537,2.746,8.3,0,0,0,
,0.955,-0.204,0.081,-23.072,-1.831,8.178,0,0,0,
,0.957,-0.205,0.076,-17.64,-3.296,9.887,0,0,0,
,0.956,-0.202,0.072,-13.672,-6.592,8.85,0,0,0,
,0.958,-0.204,0.07,-3.479,-6.104,9.277,0,0,0,
,0.958,-0.21,0.062,0.366,-7.569,7.202,0,0,0,
,0.957,-0.213,0.06,-2.991,-10.01,6.408,0,0,0,
,0.956,-0.217,0.056,-6.714,-10.315,2.624,0,0,0,
,0.954,-0.211,0.054,-8.301,-8.24,-0.916,0,0,0,
,0.954,-0.213,0.05,-8.301,-6.47,-4.273,0,0,0,
,0.952,-0.214,0.052,-15.137,-2.869,-9.156,0,0,0,
,0.954,-0.215,0.053,-19.349,1.709,-15.32,0,0,0,
,0.954,-0.211,0.052,-18.677,3.723,-19.593,0,0,0,
,0.952,-0.213,0.051,-21.912,6.958,-22.889,0,0,0,
,0.955,-0.21,0.045,-24.048,9.033,-27.771,0,0,0,
,0.951,-0.206,0.047,-24.781,9.826,-29.664,0,0,0,
,0.949,-0.208,0.041,-25.33,12.268,-34.18,0,0,0,
,0.947,-0.206,0.044,-25.696,15.319,-35.767,0,0,0,
,0.948,-0.204,0.051,-27.161,19.226,-39.612,0,0,0,
,0.952,-0.204,0.05,-28.199,19.043,-38.941,0,0,0,
,0.949,-0.197,0.048,-22.95,20.202,-39.429,0,0,0,
,0.951,-0.195,0.049,-17.64,23.986,-36.56,0,0,0,
,0.945,-0.197,0.054,-9.583,28.198,-35.096,0,0,0,
,0.951,-0.195,0.055,-2.137,32.165,-33.081,0,0,0,
,0.947,-0.198,0.053,5.92,31.066,-32.105,0,0,0,
,0.947,-0.2,0.054,7.446,31.494,-32.044,0,0,0,
,0.955,-0.2,0.053,7.446,36.743,-30.03,0,0,0,
,0.963,-0.204,0.056,1.586,36.499,-31.067,0,0,0,
,0.963,-0.203,0.064,-7.508,37.048,-30.884,0,0,0,
,0.957,-0.196,0.067,-10.376,33.813,-32.471,0,0,0,
,0.955,-0.194,0.068,-10.254,36.377,-34.79,0,0,0,
,0.953,-0.188,0.066,-4.578,33.63,-36.683,0,0,0,
,0.952,-0.192,0.067,3.601,32.409,-39.185,0,0,0,
,0.954,-0.193,0.069,6.042,29.235,-40.039,0,0,0,
,0.952,-0.19,0.067,4.821,26.001,-38.208,0,0,0,
,0.956,-0.192,0.07,4.638,22.766,-35.645,0,0,0,
,0.959,-0.189,0.069,5.188,20.935,-31.678,0,0,0,
,0.963,-0.189,0.065,9.094,22.094,-26.246,0,0,0,
,0.964,-0.188,0.067,11.962,20.019,-19.837,0,0,0,
,0.965,-0.193,0.065,16.113,18.005,-12.818,0,0,0,
,0.971,-0.198,0.069,17.334,14.526,-10.498,0,0,0,
,0.967,-0.198,0.062,14.709,12.817,-7.935,0,0,0,
,0.963,-0.193,0.061,15.564,15.747,-9.949,0,0,0,
,0.962,-0.206,0.057,19.714,23.986,-16.175,0,0,0,
,0.963,-0.204,0.055,15.197,27.648,-18.738,0,0,0,
,0.963,-0.205,0.049,10.009,25.756,-23.133,0,0,0,
,0.963,-0.206,0.047,5.31,21.301,-21.851,0,0,0,
,0.966,-0.204,0.053,4.638,14.526,-24.353,0,0,0,
,0.96,-0.212,0.057,3.54,6.897,-21.851,0,0,0,
,0.956,-0.199,0.062,-0.489,2.319,-17.518,0,0,0,
,0.955,-0.193,0.059,10.986,4.394,-17.64,0,0,0,
,0.955,-0.2,0.058,20.141,9.582,-18.189,0,0,0,
,0.956,-0.205,0.056,22.461,11.413,-16.114,0,0,0,
,0.96,-0.211,0.055,21.728,13.183,-15.015,0,0,0,
,0.961,-0.212,0.047,12.878,15.502,-16.236,0,0,0,
,0.962,-0.214,0.052,12.146,15.197,-14.893,0,0,0,
,0.964,-0.216,0.05,3.967,14.587,-15.198,0,0,0,
,0.963,-0.209,0.052,1.892,13.549,-15.87,0,0,0,
,0.963,-0.21,0.055,5.615,14.77,-18.006,0,0,0,
,0.962,-0.213,0.049,8.117,16.601,-20.02,0,0,0,
,0.962,-0.215,0.057,6.408,13.794,-22.034,0,0,0,
,0.958,-0.211,0.051,4.943,15.564,-25.513,0,0,0,
,0.962,-0.21,0.047,4.943,17.7,-27.527,0,0,0,
,0.963,-0.214,0.055,0.305,15.686,-29.175,0,0,0,
,0.96,-0.215,0.055,-6.531,13.183,-26.734,0,0,0,
,0.961,-0.213,0.058,-10.254,9.765,-27.222,0,0,0,
,0.96,-0.2,0.054,-5.188,7.995,-28.199,0,0,0,
,0.958,-0.207,0.053,2.014,8.483,-28.016,0,0,0,
,0.962,-0.209,0.054,4.455,10.07,-27.955,0,0,0,
,0.964,-0.209,0.054,3.173,10.437,-31.006,0,0,0,
,0.962,-0.208,0.053,-1.465,8.422,-31.373,0,0,0,
,0.959,-0.206,0.056,-3.479,9.704,-34.607,0,0,0,
,0.96,-0.209,0.058,3.784,6.164,-39.429,0,0,0,
,0.96,-0.212,0.052,4.638,3.418,-40.223,0,0,0,
,0.958,-0.217,0.054,-1.587,-1.893,-42.725,0,0,0,
,0.954,-0.218,0.057,-6.958,-2.198,-41.199,0,0,0,
,0.955,-0.215,0.059,-14.222,-3.296,-39.002,0,0,0,
,0.955,-0.208,0.06,-18.433,-3.296,-37.415,0,0,0,
,0.958,-0.207,0.057,-16.297,1.403,-35.462,0,0,0,
,0.959,-0.204,0.05,-13.306,4.699,-34.974,0,0,0,
,0.959,-0.2,0.048,-10.56,7.385,-30.823,0,0,0,
,0.96,-0.204,0.047,-3.846,9.704,-29.969,0,0,0,
,0.965,-0.209,0.044,0.244,7.446,-27.161,0,0,0,
,0.968,-0.206,0.038,0.793,8.422,-26.917,0,0,0,
,0.971,-0.21,0.039,-2.015,5.676,-26.734,0,0,0,
,0.963,-0.206,0.041,-2.869,3.234,-26.978,0,0,0,
,0.957,-0.204,0.046,-1.465,3.112,-29.541,0,0,0,
,0.955,-0.204,0.041,2.258,4.699,-30.823,0,0,0,
,0.955,-0.201,0.04,5.432,4.821,-32.593,0,0,0,
,0.954,-0.202,0.042,5.859,6.408,-33.387,0,0,0,
,0.957,-0.204,0.042,6.591,6.713,-29.358,0,0,0,
