TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.086,0.28,0.951,12.268,-30.579,6.836,0,0,0,
,-0.078,0.278,0.953,4.394,-27.344,5.127,0,0,0,
,-0.079,0.276,0.948,-4.212,-23.621,6.286,0,0,0,
,-0.082,0.278,0.951,-11.536,-22.522,7.629,0,0,0,
,-0.087,0.282,0.948,-13.062,-20.813,8.422,0,0,0,
,-0.091,0.286,0.941,-12.635,-18.799,9.704,0,0,0,
,-0.09,0.286,0.946,-12.818,-17.151,8.972,0,0,0,
,-0.088,0.283,0.95,-16.175,-14.039,8.361,0,0,0,
,-0.092,0.287,0.946,-20.569,-13.062,9.094,0,0,0,
,-0.095,0.283,0.952,-23.316,-9.278,6.713,0,0,0,
,-0.107,0.284,0.951,-24.353,-4.029,9.887,0,0,0,
,-0.098,0.288,0.952,-23.56,4.943,11.718,0,0,0,
,-0.091,0.286,0.951,-31.25,5.493,5.004,0,0,0,
,-0.096,0.291,0.945,-42.603,3.601,2.136,0,0,0,
,-0.094,0.294,0.944,-49.195,4.455,-2.93,0,0,0,
,-0.086,0.313,0.932,-49.866,1.892,-3.235,0,0,0,
,-0.092,0.332,0.936,-41.077,1.281,-3.296,0,0,0,
,-0.09,0.328,0.936,-20.081,-3.052,-6.592,0,0,0,
,-0.095,0.307,0.932,-13.245,-2.137,-14.954,0,0,0,
,-0.1,0.309,0.945,-9.034,-6.592,-11.048,0,0,0,
,-0.106,0.312,0.941,-6.653,-3.968,-15.931,0,0,0,
,-0.109,0.302,0.942,-12.269,-3.846,-28.504,0,0,0,
,-0.104,0.307,0.94,-21.729,0.61,-32.471,0,0,0,
,-0.099,0.313,0.939,-23.133,1.953,-35.279,0,0,0,
,-0.095,0.322,0.937,-21.119,1.77,-35.706,0,0,0,
,-0.092,0.319,0.933,-14.344,2.563,-33.997,0,0,0,
,-0.093,0.322,0.936,-9.278,3.906,-32.715,0,0,0,
,-0.097,0.329,0.929,0.732,4.821,-27.71,0,0,0,
,-0.098,0.331,0.939,11.596,7.08,-23.682,0,0,0,
,-0.104,0.332,0.932,25.756,11.291,-18.433,0,0,0,
,-0.111,0.348,0.933,37.048,17.761,-17.762,0,0,0,
,-0.115,0.36,0.93,58.349,26.001,-14.588,0,0,0,
,-0.118,0.362,0.932,87.158,36.926,-10.376,0,0,0,
,-0.109,0.355,0.933,125.061,50.354,-5.005,0,0,0,
,-0.099,0.324,0.947,166.565,55.053,2.319,0,0,0,
,-0.083,0.256,0.951,193.481,67.138,10.253,0,0,0,
,-0.063,0.216,0.958,201.721,73.425,31.677,0,0,0,
,-0.06,0.202,0.963,193.176,73.303,49.926,0,0,0,
,-0.077,0.191,0.981,163.513,74.401,53.527,0,0,0,
,-0.094,0.207,0.979,112.182,90.637,49.011,0,0,0,
,-0.102,0.234,0.969,76.171,102.661,45.105,0,0,0,
,-0.104,0.241,0.96,51.879,104.492,30.273,0,0,0,
,-0.092,0.274,0.956,36.926,102.661,19.287,0,0,0,
,-0.09,0.28,0.957,39.001,97.961,12.085,0,0,0,
,-0.081,0.273,0.956,38.635,88.256,-0.367,0,0,0,
,-0.067,0.259,0.951,34.301,81.298,-14.771,0,0,0,
,-0.053,0.25,0.951,31.005,66.772,-26.246,0,0,0,
,-0.042,0.25,0.948,24.231,49.438,-33.387,0,0,0,
,-0.039,0.243,0.95,23.62,31.433,-40.345,0,0,0,
,-0.041,0.237,0.953,17.883,15.564,-44.983,0,0,0,
,-0.048,0.246,0.948,3.112,-0.367,-51.575,0,0,0,
,-0.055,0.247,0.956,0.976,-9.827,-51.514,0,0,0,
,-0.061,0.244,0.957,-4.578,-18.25,-48.706,0,0,0,
,-0.068,0.242,0.96,-8.667,-22.767,-50.477,0,0,0,
,-0.066,0.244,0.962,-13.55,-21.058,-48.706,0,0,0,
,-0.065,0.248,0.962,-14.283,-20.447,-49.561,0,0,0,
,-0.062,0.259,0.96,-10.376,-18.738,-47.425,0,0,0,
,-0.066,0.267,0.959,3.173,-16.663,-42.603,0,0,0,
,-0.06,0.26,0.963,20.568,-15.076,-31.8,0,0,0,
,-0.073,0.22,0.986,38.208,-0.489,-16.602,0,0,0,
,-0.087,0.217,0.994,45.532,31.799,-0.855,0,0,0,
,-0.087,0.195,0.965,27.71,61.34,7.507,0,0,0,
,-0.074,0.243,0.965,21.423,78.002,14.038,0,0,0,
,-0.055,0.271,0.962,39.733,87.463,15.625,0,0,0,
,-0.056,0.243,0.96,47.119,83.801,8.606,0,0,0,
,-0.059,0.209,0.973,39.917,83.374,5.127,0,0,0,
,-0.061,0.206,0.97,13.732,87.463,5.004,0,0,0,
,-0.054,0.23,0.966,-9.034,88.989,1.586,0,0,0,
,-0.042,0.254,0.954,-21.18,82.458,-5.799,0,0,0,
,-0.033,0.298,0.947,34.973,42.907,-9.156,0,0,0,
,-0.031,0.24,0.948,32.592,22.705,-46.387,0,0,0,
,-0.039,0.21,0.969,-7.691,5.859,-63.599,0,0,0,
,-0.029,0.224,0.959,-34.485,-0.794,-65.186,0,0,0,
,-0.03,0.24,0.953,-54.017,-9.522,-60.12,0,0,0,
,-0.024,0.229,0.964,-60.669,-17.456,-57.801,0,0,0,
,-0.037,0.229,0.949,-86.06,-29.053,-68.482,0,0,0,
,-0.002,0.25,0.96,-96.619,-46.143,-61.646,0,0,0,
,-0.043,0.24,0.965,-98.633,-36.744,-64.331,0,0,0,
,-0.043,0.231,0.963,-113.709,-37.11,-62.928,0,0,0,
,-0.044,0.229,0.964,-132.935,-42.603,-62.012,0,0,0,
,-0.05,0.24,0.958,-163.941,-48.523,-66.102,0,0,0,
,-0.054,0.264,0.957,-183.045,-49.622,-67.566,0,0,0,
,-0.052,0.299,0.943,-192.2,-49.927,-71.351,0,0,0,
,-0.052,0.338,0.928,-187.378,-54.322,-74.341,0,0,0,
,-0.05,0.379,0.922,-164.917,-52.308,-75.074,0,0,0,
,-0.048,0.395,0.916,-112.488,-52.124,-70.191,0,0,0,
,-0.046,0.374,0.923,-42.237,-47.364,-56.702,0,0,0,
,-0.048,0.336,0.932,5.615,-41.443,-39.795,0,0,0,
,-0.059,0.297,0.946,26.855,-38.758,-26.429,0,0,0,
,-0.077,0.273,0.956,15.869,-30.213,-13.977,0,0,0,
,-0.09,0.263,0.961,-8.545,-15.87,-5.372,0,0,0,
,-0.087,0.274,0.959,-33.509,3.173,6.469,0,0,0,
,-0.087,0.311,0.95,-49.134,17.089,10.376,0,0,0,
,-0.068,0.332,0.936,-32.349,33.63,16.174,0,0,0,
,-0.064,0.339,0.931,-25.208,32.348,16.54,0,0,0,
,-0.058,0.352,0.926,-19.165,30.883,15.686,0,0,0,
,-0.056,0.351,0.924,-5.677,22.583,10.376,0,0,0,
,-0.053,0.348,0.923,-0.611,13.977,4.577,0,0,0,
,-0.052,0.342,0.917,2.807,4.882,2.197,0,0,0,
,-0.057,0.335,0.925,-8.667,-31.8,-3.602,0,0,0,
,-0.057,0.331,0.919,-9.034,-44.19,-9.156,0,0,0,
,-0.065,0.324,0.927,-13.001,-57.618,-31.25,0,0,0,
,-0.071,0.329,0.927,-24.353,-64.331,-16.541,0,0,0,
,-0.08,0.339,0.924,-32.715,-74.769,-23.499,0,0,0,
,-0.086,0.353,0.925,-23.56,-73.365,-20.813,0,0,0,
,-0.09,0.356,0.924,-6.104,-75.623,-22.644,0,0,0,
,-0.09,0.347,0.928,13.61,-73.121,-20.935,0,0,0,
,-0.095,0.341,0.928,22.399,-69.764,-18.677,0,0,0,
,-0.097,0.334,0.934,37.963,-66.956,-14.039,0,0,0,
,-0.097,0.325,0.937,45.959,-61.89,-9.644,0,0,0,
,-0.099,0.313,0.937,49.438,-57.496,-6.47,0,0,0,
,-0.104,0.302,0.941,36.987,-55.909,-2.259,0,0,0,
,-0.108,0.312,0.935,36.01,-46.326,5.004,0,0,0,
,-0.112,0.334,0.931,42.907,-40.223,5.92,0,0,0,
,-0.117,0.341,0.928,57.983,-33.814,7.69,0,0,0,
,-0.118,0.333,0.939,71.594,-32.166,5.188,0,0,0,
,-0.12,0.317,0.938,73.608,-28.931,5.676,0,0,0,
,-0.127,0.305,0.937,70.373,-8.973,1.648,0,0,0,
,-0.124,0.3,0.946,63.11,-3.113,-0.306,0,0,0,
,-0.124,0.308,0.939,65.856,5.004,-1.587,0,0,0,
,-0.12,0.31,0.942,76.782,11.047,-3.296,0,0,0,
,-0.116,0.307,0.946,94.726,13.183,-2.93,0,0,0,
,-0.116,0.304,0.939,101.074,15.075,-1.587,0,0,0,
,-0.105,0.295,0.945,123.169,-0.855,-3.296,0,0,0,
,-0.109,0.297,0.952,88.501,18.493,-6.165,0,0,0,
,-0.133,0.272,0.964,88.501,28.442,-5.677,0,0,0,
,-0.154,0.249,0.964,73.669,41.809,-18.006,0,0,0,
,-0.134,0.227,0.959,46.386,62.988,-23.438,0,0,0,
,-0.108,0.272,0.949,24.475,69.213,-7.63,0,0,0,
,-0.11,0.291,0.943,30.395,65.307,0.061,0,0,0,
,-0.119,0.278,0.951,40.405,63.964,-3.785,0,0,0,
,-0.114,0.277,0.95,47.485,71.777,-1.099,0,0,0,
,-0.109,0.278,0.954,45.715,72.265,0.122,0,0,0,
,-0.106,0.275,0.955,44.494,73.608,-2.625,0,0,0,
,-0.1,0.268,0.963,40.283,79.589,-6.592,0,0,0,
,-0.102,0.266,0.97,34.79,86.669,-5.31,0,0,0,
,-0.107,0.262,0.972,33.386,102.295,-3.54,0,0,0,
,-0.112,0.255,0.986,28.747,115.539,-4.029,0,0,0,
,-0.12,0.264,0.99,12.695,138.977,-7.569,0,0,0,
,-0.121,0.281,0.993,9.582,165.344,-11.536,0,0,0,
,-0.115,0.286,1,21.972,177.307,-16.114,0,0,0,
,-0.113,0.281,0.998,31.311,181.701,-9.217,0,0,0,
,-0.107,0.283,0.998,46.997,176.88,2.929,0,0,0,
,-0.092,0.302,1.012,56.274,161.316,19.653,0,0,0,
,-0.091,0.322,1.029,68.725,133.422,24.292,0,0,0,
,-0.105,0.325,1.045,78.064,98.571,5.676,0,0,0,
,-0.102,0.347,1.072,111.511,71.472,22.705,0,0,0,
,-0.103,0.317,1.053,151.428,50.231,-12.33,0,0,0,
,-0.138,0.26,1.005,120.91,12.451,-5.86,0,0,0,
,-0.138,0.314,0.993,50.476,-2.869,-21.485,0,0,0,
,-0.129,0.266,0.915,32.348,38.452,-43.152,0,0,0,
,-0.135,0.259,0.868,19.531,28.32,-10.926,0,0,0,
,-0.116,0.301,0.831,34.362,49.194,-5.555,0,0,0,
,-0.078,0.279,0.788,83.068,56.091,-16.968,0,0,0,
,-0.053,0.24,0.782,92.956,42.602,-3.052,0,0,0,
,-0.027,0.224,0.787,76.965,42.724,6.713,0,0,0,
,0,0.23,0.789,60.669,39.123,14.404,0,0,0,
,0.023,0.222,0.794,60.669,30.7,26.733,0,0,0,
,0.031,0.213,0.783,59.204,21.423,34.79,0,0,0,
,0.033,0.172,0.788,59.143,11.596,33.386,0,0,0,
,0.022,0.12,0.794,49.255,-2.869,43.273,0,0,0,
,0.032,0.124,0.835,35.827,0.854,60.424,0,0,0,
,0.057,0.142,0.828,28.381,-7.325,68.969,0,0,0,
,0.064,0.125,0.808,37.475,-39.124,60.791,0,0,0,
,0.053,0.118,0.787,56.823,-79.468,51.33,0,0,0,
,0.037,0.136,0.814,133.667,-147.339,53.466,0,0,0,
,0.2,0.45,1.833,628.296,-18.128,-103.028,0,0,0,
,0.3,0.148,1.863,192.993,-320.984,-52.369,0,0,0,
,-0.162,-0.055,0.826,167.053,-240.235,-53.65,0,0,0,
,-0.197,-0.065,0.869,35.949,-166.932,-67.688,0,0,0,
,-0.104,0.046,1.002,-98.816,-71.045,-88.44,0,0,0,
,-0.075,0.229,1.002,-114.869,-21.546,-32.715,0,0,0,
,-0.088,0.216,0.968,-94.422,-23.56,-44.861,0,0,0,
,-0.089,0.161,0.979,-95.459,-31.8,-65.064,0,0,0,
,-0.11,0.225,0.991,-76.05,-37.11,-54.627,0,0,0,
,-0.123,0.268,0.979,-34.363,-20.386,-38.269,0,0,0,
,-0.115,0.255,0.971,7.08,-6.592,-29.236,0,0,0,
,-0.114,0.206,0.971,33.996,9.521,-36.744,0,0,0,
,-0.113,0.167,0.986,35.034,16.662,-18.25,0,0,0,
,-0.1,0.129,0.994,23.681,29.968,-9.583,0,0,0,
,-0.1,0.128,0.981,-1.831,40.466,-5.616,0,0,0,
,-0.11,0.158,0.983,-15.564,47.79,-15.87,0,0,0,
,-0.103,0.189,0.976,-16.114,58.166,-26.307,0,0,0,
,-0.087,0.181,0.978,-17.334,55.725,-30.03,0,0,0,
,-0.08,0.195,0.969,-19.227,46.264,-27.161,0,0,0,
,-0.088,0.196,0.974,-19.471,37.048,-26.612,0,0,0,
,-0.083,0.214,0.973,-6.531,37.414,-27.283,0,0,0,
,-0.079,0.211,0.983,5.798,34.179,-31.373,0,0,0,
,-0.074,0.213,0.967,19.348,33.325,-30.213,0,0,0,
,-0.074,0.203,0.978,32.775,27.771,-31.128,0,0,0,
,-0.083,0.2,0.985,48.461,46.814,-25.818,0,0,0,
,-0.091,0.197,0.987,65.429,37.78,-24.476,0,0,0,
,-0.094,0.204,0.994,88.989,55.786,-13.672,0,0,0,
,-0.104,0.21,1.02,124.939,89.355,8.117,0,0,0,
,-0.133,0.259,1.117,211.425,157.409,52.612,0,0,0,
,-0.2,0.289,1.317,312.439,282.776,162.292,0,0,0,
,-0.058,0.344,1.864,-64.148,564.941,204.956,0,0,0,
,0.105,0.527,2.163,-406.128,655.456,141.967,0,0,0,
,0.27,0.855,2.679,12.39,135.131,220.276,0,0,0,
,0.414,0.458,2.455,354.736,-104.065,349.792,0,0,0,
,0.315,-0.038,2.265,246.948,-344.788,533.02,0,0,0,
,0.404,-0.066,2.172,-327.21,-558.472,674.438,0,0,0,
,0.625,0.366,2.145,-818.97,-1010.254,755.432,0,0,0,
,0.754,0.818,2.108,-772.828,-1580.201,890.93,0,0,0,
,0.748,0.921,1.847,-212.83,-2000,1020.752,0,0,0,
,0.69,0.616,1.548,348.388,-2000,1033.508,0,0,0,
,0.652,0.34,1.043,668.335,-2000,989.563,0,0,0,
,0.595,0.138,0.466,853.088,-2000,925.537,0,0,0,
,0.472,-0.062,-0.113,983.886,-2000,838.073,0,0,0,
,0.21,-0.283,-0.518,1025.695,-2000,816.345,0,0,0,
,-0.108,-0.453,-0.612,949.646,-2000,831.054,0,0,0,
,-0.409,-0.375,-0.459,773.071,-2000,818.847,0,0,0,
,-0.535,-0.14,-0.377,685.974,-2000,747.192,0,0,0,
,-0.453,0.068,-0.563,688.476,-2000,574.89,0,0,0,
,-0.382,0.037,-1.057,492.431,-1613.77,459.106,0,0,0,
,-0.41,-0.019,-1.422,363.525,-1167.42,458.984,0,0,0,
,-0.517,-0.089,-1.496,336.547,-684.937,508.178,0,0,0,
,-0.569,-0.106,-1.29,367.431,-239.93,566.711,0,0,0,
,-0.508,-0.113,-1.039,359.863,219.909,589.721,0,0,0,
,-0.435,-0.141,-0.799,278.625,581.298,555.847,0,0,0,
,-0.401,-0.247,-0.647,118.225,861.267,463.867,0,0,0,
,-0.397,-0.375,-0.555,-90.332,1070.861,338.134,0,0,0,
,-0.397,-0.446,-0.501,-297.73,1233.215,211.792,0,0,0,
,-0.375,-0.442,-0.458,-443.116,1359.253,88.806,0,0,0,
,-0.335,-0.384,-0.402,-523.621,1447.082,-29.236,0,0,0,
,-0.289,-0.263,-0.223,-583.924,1545.593,-262.94,0,0,0,
,-0.301,-0.244,-0.101,-591.248,1594.238,-350.647,0,0,0,
,-0.316,-0.248,0.003,-646.485,1642.395,-430.42,0,0,0,
,-0.302,-0.229,0.069,-751.221,1695.922,-490.113,0,0,0,
,-0.298,-0.164,0.2,-846.497,1720.642,-548.401,0,0,0,
,-0.275,-0.064,0.364,-898.865,1751.709,-604.981,0,0,0,
,-0.248,0.002,0.482,-943.36,1738.891,-648.804,0,0,0,
,-0.233,0.093,0.593,-978.394,1707.092,-680.115,0,0,0,
,-0.232,0.162,0.731,-938.965,1657.47,-703.37,0,0,0,
,-0.241,0.269,0.978,-834.29,1601.806,-672.608,0,0,0,
,-0.227,0.328,1.197,-676.697,1508.85,-634.461,0,0,0,
,-0.235,0.39,1.378,-564.942,1388.794,-601.685,0,0,0,
,-0.242,0.44,1.459,-506.348,1279.358,-576.05,0,0,0,
,-0.245,0.401,1.537,-456.299,1165.527,-536.438,0,0,0,
,-0.232,0.381,1.622,-413.208,1054.504,-466.614,0,0,0,
,-0.188,0.489,1.649,-346.07,928.711,-383.973,0,0,0,
,-0.14,0.599,1.635,-253.907,799.194,-302.308,0,0,0,
,-0.114,0.555,1.578,-125.428,670.898,-232.972,0,0,0,
,-0.148,0.35,1.51,64.453,470.52,-92.286,0,0,0,
,-0.14,0.308,1.453,53.466,399.17,-56.824,0,0,0,
,-0.111,0.306,1.353,32.836,341.247,-28.138,0,0,0,
,-0.093,0.323,1.297,15.197,288.452,-2.198,0,0,0,
,-0.08,0.301,1.234,44.677,249.328,17.273,0,0,0,
,-0.075,0.281,1.19,88.195,224.609,35.278,0,0,0,
,-0.067,0.215,1.09,112.121,201.172,40.466,0,0,0,
,-0.026,0.205,1.084,90.576,193.359,27.587,0,0,0,
,0.011,0.157,1.042,84.961,179.321,11.535,0,0,0,
,0.035,0.147,1.015,60.546,155.7,1.709,0,0,0,
,0.051,0.167,1.001,23.742,120.605,-3.724,0,0,0,
,0.053,0.173,1.024,1.648,93.017,-10.621,0,0,0,
,0.056,0.203,1.058,-20.264,73.913,-22.583,0,0,0,
,0.074,0.216,1.071,-58.655,63.598,-34.18,0,0,0,
,0.079,0.219,1.039,-92.591,52.185,-36.927,0,0,0,
