TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.07,-0.24,0.973,12.085,1.342,-14.71,0,0,0,
,0.065,-0.239,0.97,12.512,1.159,-16.297,0,0,0,
,0.064,-0.244,0.966,11.84,7.141,-17.273,0,0,0,
,0.066,-0.24,0.969,11.291,8.361,-18.189,0,0,0,
,0.069,-0.245,0.976,7.446,7.934,-17.945,0,0,0,
,0.068,-0.244,0.976,4.577,9.826,-20.447,0,0,0,
,0.065,-0.245,0.979,4.699,8.544,-21.058,0,0,0,
,0.065,-0.277,0.979,-16.053,9.704,-24.964,0,0,0,
,0.07,-0.214,0.975,7.812,4.638,-21.058,0,0,0,
,0.072,-0.24,0.979,22.705,6.591,-23.56,0,0,0,
,0.069,-0.242,0.969,26.062,2.441,-22.4,0,0,0,
,0.071,-0.247,0.979,28.93,0.61,-22.828,0,0,0,
,0.067,-0.245,0.979,29.052,-0.672,-20.386,0,0,0,
,0.07,-0.277,0.977,9.826,-4.7,-21.363,0,0,0,
,0.068,-0.228,0.974,19.104,-9.949,-21.119,0,0,0,
,0.061,-0.241,0.978,38.757,-8.057,-24.353,0,0,0,
,0.069,-0.241,0.977,38.574,-9.583,-26.429,0,0,0,
,0.071,-0.25,0.973,44.982,-12.94,-22.706,0,0,0,
,0.064,-0.251,0.974,36.071,-14.832,-25.696,0,0,0,
,0.06,-0.252,0.972,47.119,-13.611,-25.208,0,0,0,
,0.062,-0.258,0.966,31.372,-12.024,-28.565,0,0,0,
,0.058,-0.26,0.968,48.767,-10.498,-28.87,0,0,0,
,0.056,-0.261,0.967,47.973,-9.461,-30.64,0,0,0,
,0.052,-0.286,0.973,34.118,-8.484,-33.265,0,0,0,
,0.054,-0.254,0.956,25.94,-4.944,-27.283,0,0,0,
,0.054,-0.262,0.969,34.973,-1.343,-35.401,0,0,0,
,0.059,-0.274,0.973,30.395,-0.428,-33.57,0,0,0,
,0.059,-0.26,0.966,25.39,-3.052,-38.025,0,0,0,
,0.054,-0.262,0.963,37.414,-15.442,-37.598,0,0,0,
,0.057,-0.274,0.964,40.344,-0.428,-44.129,0,0,0,
,0.056,-0.281,0.969,32.959,0.061,-45.35,0,0,0,
,0.053,-0.279,0.97,23.193,-0.672,-48.096,0,0,0,
,0.053,-0.273,0.971,18.676,2.258,-51.453,0,0,0,
,0.054,-0.271,0.996,15.136,1.22,-53.345,0,0,0,
,0.056,-0.263,0.971,14.099,2.197,-53.101,0,0,0,
,0.051,-0.264,0.969,15.869,0.671,-54.078,0,0,0,
,0.048,-0.268,0.971,22.094,0.366,-54.505,0,0,0,
,0.048,-0.277,0.97,23.01,2.685,-54.139,0,0,0,
,0.051,-0.279,0.971,21.85,3.967,-51.819,0,0,0,
,0.047,-0.282,0.969,19.043,2.197,-52.613,0,0,0,
,0.044,-0.267,0.963,19.714,6.225,-43.091,0,0,0,
,0.045,-0.286,0.968,15.258,6.225,-44.373,0,0,0,
,0.042,-0.287,0.969,11.047,9.887,-41.565,0,0,0,
,0.041,-0.28,0.962,5.981,11.108,-36.499,0,0,0,
,0.045,-0.276,0.967,-0.123,13.305,-31.617,0,0,0,
,0.052,-0.278,0.961,-0.733,16.418,-30.579,0,0,0,
,0.047,-0.286,0.967,-6.714,18.615,-27.222,0,0,0,
,0.051,-0.285,0.964,-16.175,20.568,-25.818,0,0,0,
,0.051,-0.285,0.97,-23.926,20.874,-23.499,0,0,0,
,0.051,-0.278,0.971,-29.48,20.446,-20.874,0,0,0,
,0.052,-0.27,0.969,-28.748,22.277,-19.104,0,0,0,
,0.053,-0.264,0.971,-28.382,20.08,-17.64,0,0,0,
,0.053,-0.271,0.974,-14.954,18.066,-15.198,0,0,0,
,0.055,-0.27,0.974,-19.776,19.653,-15.442,0,0,0,
,0.051,-0.262,0.976,-14.588,15.808,-15.137,0,0,0,
,0.052,-0.272,0.969,-14.649,15.808,-12.757,0,0,0,
,0.056,-0.266,0.97,-14.649,10.864,-12.452,0,0,0,
,0.052,-0.263,0.972,-7.386,14.831,-9.095,0,0,0,
,0.055,-0.26,0.974,-10.498,11.779,-10.376,0,0,0,
,0.054,-0.26,0.972,-6.47,10.192,-6.592,0,0,0,
,0.055,-0.256,0.972,-0.245,8.789,-7.996,0,0,0,
,0.055,-0.26,0.972,4.211,10.986,-7.447,0,0,0,
,0.057,-0.261,0.974,1.648,10.986,-6.47,0,0,0,
,0.053,-0.272,0.971,-2.198,8.422,-5.738,0,0,0,
,0.053,-0.266,0.968,-10.254,5.554,-7.142,0,0,0,
,0.054,-0.263,0.974,-10.071,7.629,-6.775,0,0,0,
,0.051,-0.251,0.971,-5.86,6.347,-8.118,0,0,0,
,0.052,-0.253,0.97,-0.855,8.422,-8.973,0,0,0,
,0.051,-0.258,0.972,0.915,8.85,-7.874,0,0,0,
,0.05,-0.263,0.968,-15.442,9.399,-8.789,0,0,0,
,0.053,-0.268,0.97,-5.249,9.46,-9.278,0,0,0,
,0.057,-0.263,0.972,-12.635,12.451,-10.193,0,0,0,
,0.056,-0.256,0.973,-11.475,10.681,-11.536,0,0,0,
,0.059,-0.25,0.97,-9.888,9.948,-14.1,0,0,0,
,0.054,-0.246,0.979,-4.822,9.765,-13.977,0,0,0,
,0.056,-0.247,0.973,1.22,11.718,-13.062,0,0,0,
,0.055,-0.252,0.975,1.709,11.84,-13.123,0,0,0,
,0.055,-0.26,0.974,0.732,8.789,-16.114,0,0,0,
,0.051,-0.267,0.974,-4.944,11.23,-16.48,0,0,0,
,0.053,-0.262,0.971,-12.024,10.559,-17.884,0,0,0,
,0.049,-0.258,0.969,-18.25,12.634,-20.142,0,0,0,
,0.05,-0.251,0.972,-23.377,16.418,-22.583,0,0,0,
,0.051,-0.248,0.998,-25.757,22.155,-22.95,0,0,0,
,0.054,-0.249,0.973,-29.847,24.902,-21.912,0,0,0,
,0.054,-0.248,0.972,-20.386,25.695,-25.879,0,0,0,
,0.051,-0.267,0.97,-43.152,26.794,-27.283,0,0,0,
,0.051,-0.251,0.973,-50.293,29.785,-24.048,0,0,0,
,0.055,-0.24,0.979,-51.941,34.118,-26.062,0,0,0,
,0.061,-0.231,0.974,-46.692,32.898,-26.795,0,0,0,
,0.075,-0.217,0.977,-22.583,30.761,-28.992,0,0,0,
,0.076,-0.239,0.978,-15.686,33.752,-32.105,0,0,0,
,0.087,-0.24,0.97,-14.405,32.47,-28.443,0,0,0,
,0.081,-0.25,0.977,-23.926,24.536,-33.326,0,0,0,
,0.061,-0.24,0.976,-40.528,19.226,-35.401,0,0,0,
,0.05,-0.219,0.986,-46.57,16.601,-29.664,0,0,0,
,0.056,-0.204,0.989,-34.729,22.033,-22.95,0,0,0,
,0.064,-0.206,0.982,-13.794,21.118,-16.541,0,0,0,
,0.066,-0.221,0.984,3.051,18.92,-13.062,0,0,0,
,0.067,-0.237,0.975,17.944,14.526,-11.597,0,0,0,
,0.065,-0.252,0.978,21.606,13.061,-8.789,0,0,0,
,0.075,-0.257,0.973,12.878,13.61,-6.287,0,0,0,
,0.081,-0.265,0.981,1.159,8.606,-8.179,0,0,0,
,0.079,-0.217,0.976,-16.053,2.38,-7.691,0,0,0,
,0.074,-0.187,0.982,-5.921,-0.428,-6.775,0,0,0,
,0.071,-0.181,0.985,20.629,-0.611,-8.606,0,0,0,
,0.071,-0.2,0.978,51.269,0.427,-12.696,0,0,0,
,0.071,-0.23,0.974,63.293,1.831,-16.968,0,0,0,
,0.071,-0.253,0.971,63.049,2.38,-23.377,0,0,0,
,0.068,-0.259,0.974,49.011,-0.916,-29.847,0,0,0,
,0.062,-0.254,0.974,33.081,-0.611,-31.128,0,0,0,
,0.063,-0.246,0.976,21.24,3.112,-30.396,0,0,0,
,0.066,-0.234,0.978,14.16,2.502,-31.311,0,0,0,
,0.065,-0.219,0.979,18.31,-1.038,-33.02,0,0,0,
,0.065,-0.219,0.979,32.043,-0.306,-34.058,0,0,0,
,0.061,-0.23,0.978,48.828,0.488,-33.692,0,0,0,
,0.062,-0.256,0.971,55.847,1.831,-34.058,0,0,0,
,0.064,-0.272,0.969,46.325,2.746,-36.255,0,0,0,
,0.064,-0.275,0.972,28.869,0.793,-37.476,0,0,0,
,0.057,-0.263,0.977,12.512,-0.916,-36.499,0,0,0,
,0.056,-0.239,0.975,6.103,2.99,-33.509,0,0,0,
,0.057,-0.231,0.977,10.62,3.967,-28.992,0,0,0,
,0.031,-0.23,0.976,24.231,5.798,-27.588,0,0,0,
,0.066,-0.245,0.973,34.484,6.164,-29.358,0,0,0,
,0.066,-0.261,0.97,38.147,8.117,-31.495,0,0,0,
,0.065,-0.269,0.961,33.02,7.873,-33.326,0,0,0,
