TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.101,-0.466,0.896,47.668,-77.515,-10.987,
00:00:00:16,-0.11,-0.466,0.905,47.729,-79.895,-7.264,
00:00:00:33,-0.114,-0.469,0.912,52.795,-79.712,-4.334,
00:00:00:50,-0.116,-0.475,0.893,55.908,-70.618,-2.015,
00:00:00:66,-0.115,-0.485,0.899,50.354,-63.233,-4.639,
00:00:00:83,-0.12,-0.489,0.9,38.391,-59.144,-9.522,
00:00:00:100,-0.125,-0.479,0.895,24.292,-46.509,-14.588,
00:00:00:116,-0.122,-0.474,0.897,17.883,-36.255,-15.686,
00:00:00:133,-0.12,-0.47,0.898,16.235,-29.969,-18.006,
00:00:00:150,-0.112,-0.47,0.895,20.263,-21.18,-22.156,
00:00:00:166,-0.118,-0.466,0.897,18.31,-16.114,-29.114,
00:00:00:183,-0.125,-0.46,0.902,24.963,-8.912,-30.091,
00:00:00:200,-0.123,-0.472,0.895,39.856,-2.442,-32.654,
00:00:00:216,-0.121,-0.484,0.888,47.851,2.929,-35.34,
00:00:00:233,-0.123,-0.493,0.884,39.856,6.164,-38.208,
00:00:00:250,-0.117,-0.496,0.88,27.099,10.925,-40.467,
00:00:00:266,-0.117,-0.489,0.877,5.188,8.911,-44.922,
00:00:00:283,-0.109,-0.49,0.885,-9.278,3.418,-50.232,
00:00:00:300,-0.118,-0.483,0.898,-8.362,4.516,-46.143,
00:00:00:316,-0.127,-0.48,0.894,1.648,8.911,-43.396,
00:00:00:333,-0.132,-0.48,0.894,5.554,16.784,-40.65,
00:00:00:350,-0.135,-0.481,0.889,8.789,21.606,-36.744,
00:00:00:366,-0.139,-0.487,0.895,11.84,25.329,-36.438,
00:00:00:383,-0.144,-0.492,0.89,9.094,29.357,-35.828,
00:00:00:400,-0.147,-0.49,0.889,-3.54,30.212,-35.218,
00:00:00:416,-0.144,-0.487,0.889,-9.827,32.104,-35.584,
00:00:00:433,-0.144,-0.486,0.893,-16.114,33.325,-32.593,
00:00:00:450,-0.148,-0.484,0.9,-14.161,37.963,-29.664,
00:00:00:466,-0.136,-0.481,0.887,-9.705,40.222,-22.278,
00:00:00:483,-0.115,-0.485,0.885,-5.127,35.583,-22.522,
00:00:00:500,-0.108,-0.486,0.883,-8.362,28.747,-24.903,
00:00:00:516,-0.109,-0.482,0.885,-13.489,23.01,-28.687,
00:00:00:533,-0.108,-0.468,0.892,-6.043,6.836,-23.987,
00:00:00:550,-0.112,-0.47,0.887,3.967,0.976,-19.898,
00:00:00:566,-0.112,-0.475,0.889,11.901,-6.287,-16.175,
00:00:00:583,-0.119,-0.483,0.892,15.258,-9.4,-16.053,
00:00:00:600,-0.125,-0.486,0.886,14.709,-12.696,-13.916,
00:00:00:616,-0.124,-0.489,0.888,13.366,-13.794,-11.109,
00:00:00:633,-0.155,-0.485,0.885,5.92,-15.503,-9.705,
00:00:00:650,-0.126,-0.48,0.896,0.61,-16.785,-8.24,
00:00:00:666,-0.128,-0.476,0.901,-2.442,-15.748,-6.531,
00:00:00:683,-0.125,-0.471,0.903,0.732,-15.625,-5.86,
00:00:00:700,-0.126,-0.469,0.888,7.385,-13.855,-4.151,
00:00:00:716,-0.122,-0.474,0.892,10.315,-10.56,-4.212,
00:00:00:733,-0.124,-0.481,0.893,7.995,-8.118,-8.484,
00:00:00:750,-0.126,-0.48,0.897,2.014,-4.029,-15.137,
00:00:00:766,-0.131,-0.48,0.891,-6.104,1.709,-19.715,
00:00:00:783,-0.127,-0.473,0.892,-13.184,6.042,-19.898,
00:00:00:800,-0.125,-0.467,0.892,-11.658,6.958,-20.142,
00:00:00:816,-0.125,-0.467,0.896,-8.301,9.887,-20.691,
00:00:00:833,-0.126,-0.47,0.895,-4.273,9.216,-20.386,
00:00:00:850,-0.124,-0.476,0.895,-1.893,11.291,-19.41,
00:00:00:866,-0.125,-0.479,0.89,1.22,12.573,-18.982,
00:00:00:883,-0.124,-0.483,0.892,-1.465,10.62,-19.471,
00:00:00:900,-0.128,-0.48,0.89,-5.127,12.451,-18.311,
00:00:00:916,-0.131,-0.48,0.893,-7.447,13.244,-14.649,
00:00:00:933,-0.135,-0.478,0.895,-7.569,12.085,-11.048,
00:00:00:950,-0.133,-0.479,0.895,-9.888,11.596,-6.043,
00:00:00:966,-0.136,-0.477,0.899,-12.452,13.244,-2.747,
00:00:00:983,-0.132,-0.473,0.897,-12.94,16.784,0.915,
00:00:01:0,-0.133,-0.468,0.892,-9.034,20.019,-0.061,
00:00:01:16,-0.127,-0.464,0.901,-6.104,20.69,0.061,
00:00:01:33,-0.123,-0.462,0.901,-1.954,22.094,-2.442,
00:00:01:50,-0.111,-0.467,0.898,-2.564,20.813,-5.127,
00:00:01:66,-0.106,-0.469,0.891,-4.7,17.944,-6.287,
00:00:01:83,-0.103,-0.464,0.892,-5.127,14.526,-9.278,
00:00:01:100,-0.1,-0.459,0.898,-2.442,10.009,-13.184,
00:00:01:116,-0.102,-0.458,0.895,5.493,6.469,-30.762,
00:00:01:133,-0.103,-0.464,0.894,14.831,2.319,-17.029,
00:00:01:150,-0.115,-0.469,0.896,22.461,-2.686,-16.48,
00:00:01:166,-0.12,-0.471,0.895,23.132,-5.127,-15.992,
00:00:01:183,-0.125,-0.473,0.895,20.813,-5.066,-15.503,
00:00:01:200,-0.127,-0.472,0.893,18.432,-5.921,-9.278,
00:00:01:216,-0.127,-0.472,0.896,16.418,-7.447,-8.362,
00:00:01:233,-0.128,-0.473,0.896,12.878,-7.386,-6.897,
00:00:01:250,-0.126,-0.473,0.893,11.413,-5.188,-5.86,
00:00:01:266,-0.125,-0.474,0.898,9.46,-5.066,-3.113,
00:00:01:283,-0.123,-0.47,0.894,7.019,-2.747,-3.174,
00:00:01:300,-0.119,-0.473,0.894,8.483,-1.343,-5.066,
00:00:01:316,-0.12,-0.472,0.892,8.361,-1.465,-4.7,
00:00:01:333,-0.12,-0.474,0.9,8.361,0.793,-4.334,
00:00:01:350,-0.124,-0.47,0.899,13.305,-1.221,-5.494,
00:00:01:366,-0.125,-0.475,0.898,13.122,-1.16,-7.569,
00:00:01:383,-0.124,-0.471,0.885,13.122,0.61,-6.287,
00:00:01:400,-0.128,-0.475,0.894,11.291,-0.306,-5.31,
00:00:01:416,-0.094,-0.478,0.894,10.986,-0.794,-7.019,
00:00:01:433,-0.13,-0.476,0.892,5.981,-2.564,-8.484,
00:00:01:450,-0.127,-0.472,0.888,3.662,-2.076,-7.081,
00:00:01:466,-0.122,-0.469,0.892,4.272,-2.198,-9.095,
00:00:01:483,-0.123,-0.474,0.887,7.812,-5.066,-9.278,
00:00:01:500,-0.121,-0.472,0.893,8.056,-4.944,-11.048,
00:00:01:516,-0.122,-0.471,0.898,9.399,-6.958,-9.949,
00:00:01:533,-0.121,-0.472,0.895,11.535,-7.691,-10.132,
00:00:01:550,-0.127,-0.474,0.889,13.794,-8.423,-11.17,
00:00:01:566,-0.123,-0.475,0.893,19.226,-5.127,-10.498,
00:00:01:583,-0.128,-0.479,0.892,21.667,-4.578,-10.071,
00:00:01:600,-0.125,-0.479,0.892,16.906,-1.16,-10.498,
00:00:01:616,-0.13,-0.476,0.893,15.075,-0.489,-9.034,
00:00:01:633,-0.13,-0.474,0.893,15.808,2.746,-11.292,
00:00:01:650,-0.127,-0.479,0.898,12.878,4.516,-13.489,
00:00:01:666,-0.13,-0.466,0.901,13,5.188,-9.4,
00:00:01:683,-0.135,-0.476,0.896,20.507,11.169,-17.456,
