TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.027,-0.294,0.963,-0.55,11.352,-21.424,
00:00:00:16,-0.031,-0.279,0.977,2.624,8.667,-24.048,
00:00:00:33,-0.038,-0.281,0.975,3.967,8.117,-20.63,
00:00:00:50,-0.047,-0.288,0.975,11.413,8.789,-25.025,
00:00:00:66,-0.044,-0.306,0.969,6.53,17.639,-37.171,
00:00:00:83,-0.029,-0.292,0.968,-11.109,19.592,-41.565,
00:00:00:100,-0.027,-0.295,0.973,-11.963,11.535,-29.053,
00:00:00:116,-0.019,-0.287,0.974,-4.639,5.981,-17.334,
00:00:00:133,-0.032,-0.298,0.97,10.07,0.671,-14.893,
00:00:00:150,-0.046,-0.275,0.968,23.925,3.845,-7.447,
00:00:00:166,-0.042,-0.28,0.969,35.644,5.004,-6.897,
00:00:00:183,-0.036,-0.294,0.974,44.86,4.333,-3.235,
00:00:00:200,-0.031,-0.304,0.969,46.203,4.272,-0.733,
00:00:00:216,-0.037,-0.312,0.999,34.79,3.051,3.234,
00:00:00:233,-0.037,-0.313,0.964,17.883,4.333,-0.977,
00:00:00:250,-0.035,-0.299,0.968,8.117,4.394,-3.479,
00:00:00:266,-0.033,-0.286,0.972,12.756,4.577,-4.212,
00:00:00:283,-0.037,-0.285,0.969,21.24,4.272,-5.677,
00:00:00:300,-0.037,-0.288,0.971,25.817,2.99,-5.249,
00:00:00:316,-0.042,-0.298,0.967,28.808,4.089,-7.203,
00:00:00:333,-0.034,-0.304,0.968,17.517,8.422,-14.1,
00:00:00:350,-0.029,-0.301,0.966,14.831,7.568,-14.222,
00:00:00:366,-0.036,-0.3,0.965,12.573,6.713,-17.456,
00:00:00:383,-0.035,-0.291,0.963,13.244,7.751,-19.227,
00:00:00:400,-0.036,-0.297,0.968,22.399,6.713,-22.156,
00:00:00:416,-0.043,-0.3,0.969,24.353,5.798,-20.203,
00:00:00:433,-0.044,-0.308,0.968,22.399,10.376,-26.123,
00:00:00:450,-0.038,-0.309,0.964,16.601,13.427,-26.978,
00:00:00:466,-0.032,-0.304,0.964,13.427,13,-26.734,
00:00:00:483,-0.027,-0.303,0.965,20.324,11.84,-26.246,
00:00:00:500,-0.026,-0.31,0.963,24.292,8.056,-21.912,
00:00:00:516,-0.038,-0.344,0.969,24.047,3.356,-19.959,
00:00:00:533,-0.04,-0.319,0.969,15.38,5.676,-20.386,
00:00:00:550,-0.043,-0.314,0.965,3.112,6.652,-20.386,
00:00:00:566,-0.039,-0.308,0.966,-2.564,9.399,-21.973,
00:00:00:583,-0.031,-0.305,0.963,-7.569,5.676,-23.316,
00:00:00:600,-0.036,-0.3,0.938,-5.188,5.615,-24.72,
00:00:00:616,-0.032,-0.305,0.967,-0.55,9.948,-26.795,
00:00:00:633,-0.037,-0.317,0.97,-10.315,7.08,-31.8,
00:00:00:650,-0.034,-0.305,0.965,-18.799,7.446,-25.33,
00:00:00:666,-0.042,-0.304,0.967,-10.254,7.141,-23.987,
00:00:00:683,-0.042,-0.304,0.967,-7.325,8.789,-22.156,
00:00:00:700,-0.036,-0.298,0.968,-2.381,7.385,-20.752,
00:00:00:716,-0.033,-0.307,0.967,9.399,4.272,-12.391,
00:00:00:733,-0.033,-0.305,0.965,13.61,3.845,-11.353,
00:00:00:750,-0.037,-0.307,0.97,13.549,4.821,-10.01,
00:00:00:766,-0.042,-0.308,0.964,11.108,3.54,-11.475,
00:00:00:783,-0.041,-0.298,0.963,11.23,4.638,-12.207,
00:00:00:800,-0.037,-0.312,0.961,-0.123,4.699,-16.053,
00:00:00:816,-0.04,-0.312,0.968,-2.137,9.582,-22.4,
00:00:00:833,-0.035,-0.309,0.961,-7.935,7.202,-22.828,
00:00:00:850,-0.037,-0.299,0.968,-4.09,7.568,-22.706,
00:00:00:866,-0.036,-0.301,0.968,1.098,7.324,-22.706,
00:00:00:883,-0.038,-0.3,0.969,8.85,7.446,-21.485,
00:00:00:900,-0.037,-0.304,0.968,11.962,8.117,-21.668,
00:00:00:916,-0.033,-0.315,0.963,-1.587,6.591,-19.898,
00:00:00:933,-0.038,-0.309,0.969,-7.813,6.591,-22.889,
00:00:00:950,-0.037,-0.302,0.966,-8.728,10.192,-25.452,
00:00:00:966,-0.037,-0.301,0.965,5.676,8.056,-24.476,
00:00:00:983,-0.04,-0.306,0.968,6.347,8.911,-24.353,
00:00:01:0,-0.036,-0.308,0.961,3.356,8.728,-24.109,
00:00:01:16,-0.033,-0.304,0.967,2.563,8.056,-22.706,
00:00:01:33,-0.033,-0.304,0.968,3.601,7.629,-22.034,
00:00:01:50,-0.041,-0.297,0.961,1.159,9.887,-24.292,
00:00:01:66,-0.037,-0.293,0.97,5.798,11.169,-25.757,
00:00:01:83,-0.032,-0.299,0.968,11.291,9.277,-21.729,
00:00:01:100,-0.032,-0.306,0.971,15.075,6.469,-21.973,
00:00:01:116,-0.041,-0.31,0.962,2.014,6.713,-22.278,
00:00:01:133,-0.042,-0.3,0.966,-2.32,6.042,-22.522,
00:00:01:150,-0.039,-0.294,0.97,0.305,9.704,-21.973,
00:00:01:166,-0.033,-0.294,0.998,9.826,9.399,-21.912,
00:00:01:183,-0.034,-0.298,0.966,13.366,8.911,-20.447,
00:00:01:200,-0.03,-0.31,0.976,5.981,5.676,-20.325,
00:00:01:216,-0.033,-0.308,0.963,-1.282,2.99,-18.372,
00:00:01:233,-0.046,-0.294,0.965,2.197,1.525,-18.555,
00:00:01:250,-0.047,-0.295,0.968,8.422,3.967,-17.823,
00:00:01:266,-0.038,-0.299,0.968,10.07,4.577,-18.067,
00:00:01:283,-0.038,-0.307,0.963,11.779,5.31,-23.804,
00:00:01:300,-0.036,-0.314,0.962,-13.245,11.23,-30.823,
00:00:01:316,-0.035,-0.296,0.964,2.075,9.399,-26.185,
00:00:01:333,-0.034,-0.317,0.965,1.953,8.3,-24.659,
00:00:01:350,-0.038,-0.3,0.963,1.709,7.751,-23.621,
00:00:01:366,-0.041,-0.306,0.968,-3.968,7.019,-22.644,
00:00:01:383,-0.038,-0.303,0.97,-3.235,6.53,-22.461,
00:00:01:400,-0.035,-0.302,0.971,-2.198,7.812,-23.987,
00:00:01:416,-0.039,-0.297,0.965,0.793,9.033,-24.231,
00:00:01:433,-0.039,-0.298,0.967,3.173,8.3,-22.095,
00:00:01:450,-0.038,-0.301,0.966,5.554,6.286,-20.813,
00:00:01:466,-0.037,-0.304,0.964,3.112,9.643,-24.048,
00:00:01:483,-0.038,-0.302,0.964,1.281,9.338,-22.217,
00:00:01:500,-0.037,-0.3,0.972,2.075,8.178,-23.743,
00:00:01:516,-0.037,-0.299,0.97,2.319,7.385,-22.461,
00:00:01:533,-0.04,-0.297,0.97,5.004,9.033,-22.522,
00:00:01:550,-0.037,-0.3,0.964,6.836,8.117,-22.706,
00:00:01:566,-0.038,-0.299,0.968,6.652,9.338,-23.926,
00:00:01:583,-0.036,-0.3,0.965,6.225,9.277,-21.973,
00:00:01:600,-0.036,-0.302,0.969,6.286,8.117,-22.706,
00:00:01:616,-0.037,-0.305,0.967,6.042,9.521,-22.4,
00:00:01:633,-0.037,-0.305,0.965,2.441,8.606,-22.156,
00:00:01:650,-0.035,-0.301,0.965,2.502,10.253,-23.133,
00:00:01:666,-0.038,-0.298,0.967,4.943,6.836,-21.363,
00:00:01:683,-0.04,-0.303,0.967,7.568,7.751,-21.18,
00:00:01:700,-0.039,-0.302,0.97,4.028,8.85,-21.363,
00:00:01:716,-0.039,-0.302,0.969,2.441,9.277,-23.377,
00:00:01:733,-0.037,-0.297,0.967,1.648,11.962,-24.048,
00:00:01:750,-0.037,-0.293,0.97,6.286,8.728,-21.912,
00:00:01:766,-0.033,-0.303,0.966,8.3,7.934,-23.682,
00:00:01:783,-0.038,-0.308,0.966,4.272,6.591,-23.865,
00:00:01:800,-0.041,-0.305,0.963,6.897,5.676,-23.255,
00:00:01:816,-0.039,-0.31,0.964,-0.367,7.69,-21.424,
00:00:01:833,-0.041,-0.298,0.968,-4.456,7.08,-21.485,
00:00:01:850,-0.038,-0.296,0.971,-2.381,7.263,-22.828,
00:00:01:866,-0.036,-0.29,0.971,3.845,8.056,-21.363,
00:00:01:883,-0.036,-0.296,0.966,5.371,7.08,-20.997,
00:00:01:900,-0.039,-0.3,0.966,9.765,6.347,-21.241,
00:00:01:916,-0.037,-0.305,0.964,7.69,8.056,-23.56,
00:00:01:933,-0.034,-0.305,0.965,3.845,7.385,-22.522,
00:00:01:950,-0.039,-0.305,0.966,2.38,9.582,-22.339,
00:00:01:966,-0.04,-0.298,0.999,0.122,7.202,-23.743,
00:00:01:983,-0.04,-0.297,0.938,-1.465,6.225,-22.339,
00:00:02:0,-0.04,-0.292,0.969,2.563,9.338,-21.485,
00:00:02:16,-0.038,-0.296,0.966,5.981,8.3,-24.048,
00:00:02:33,-0.042,-0.302,0.965,5.249,9.826,-27.039,
00:00:02:50,-0.043,-0.3,0.97,-5.066,14.221,-28.077,
00:00:02:66,-0.029,-0.294,0.971,-2.747,16.967,-30.335,
00:00:02:83,-0.033,-0.293,0.973,1.464,11.779,-29.114,
00:00:02:100,-0.034,-0.313,0.971,-8.728,10.376,-42.481,
00:00:02:116,-0.031,-0.29,0.965,-2.32,9.033,-26.062,
00:00:02:133,-0.041,-0.311,0.967,7.751,6.774,-27.405,
00:00:02:150,-0.041,-0.306,0.967,-15.442,10.62,-23.621,
00:00:02:166,-0.036,-0.295,0.973,-1.954,7.934,-23.926,
00:00:02:183,-0.033,-0.292,0.975,4.272,11.047,-21.363,
00:00:02:200,-0.034,-0.294,0.968,8.422,6.652,-18.921,
00:00:02:216,-0.04,-0.303,0.965,6.53,7.08,-20.508,
00:00:02:233,-0.039,-0.3,0.966,3.112,7.141,-23.194,
00:00:02:250,-0.04,-0.298,0.973,1.098,9.155,-23.743,
00:00:02:266,-0.037,-0.294,0.971,3.967,8.544,-24.353,
00:00:02:283,-0.038,-0.294,0.97,6.652,9.216,-22.156,
00:00:02:300,-0.037,-0.295,0.972,7.019,7.629,-22.278,
00:00:02:316,-0.036,-0.297,0.972,7.629,6.225,-22.583,
00:00:02:333,-0.037,-0.297,0.974,3.784,7.934,-23.316,
00:00:02:350,-0.034,-0.297,0.965,2.258,8.789,-22.522,
00:00:02:366,-0.036,-0.298,0.939,1.892,9.765,-24.659,
00:00:02:383,-0.037,-0.298,0.968,2.624,8.667,-26.001,
00:00:02:400,-0.039,-0.296,0.965,1.953,7.995,-23.377,
00:00:02:416,-0.038,-0.292,0.968,2.319,8.789,-24.414,
00:00:02:433,-0.044,-0.298,0.968,5.92,6.591,-21.302,
00:00:02:450,-0.038,-0.298,0.97,4.76,7.995,-22.583,
00:00:02:466,-0.036,-0.288,0.968,3.051,8.911,-23.56,
00:00:02:483,-0.034,-0.287,0.966,4.882,7.69,-22.339,
00:00:02:500,-0.034,-0.29,0.97,10.803,7.873,-19.837,
00:00:02:516,-0.036,-0.3,0.969,11.169,6.286,-20.325,
00:00:02:533,-0.04,-0.305,0.967,11.291,7.263,-21.729,
00:00:02:550,-0.04,-0.303,0.968,4.638,6.286,-21.058,
00:00:02:566,-0.043,-0.297,0.969,15.319,6.286,-22.461,
00:00:02:583,-0.043,-0.29,0.966,-2.381,7.141,-23.133,
00:00:02:600,-0.034,-0.288,0.97,2.99,7.019,-22.767,
00:00:02:616,-0.038,-0.295,0.969,6.347,7.629,-22.217,
00:00:02:633,-0.036,-0.299,0.97,6.225,5.371,-22.339,
00:00:02:650,-0.037,-0.299,0.965,2.685,8.422,-22.278,
00:00:02:666,-0.036,-0.297,0.971,2.136,9.033,-22.95,
00:00:02:683,-0.038,-0.297,0.97,0.61,8.667,-21.424,
00:00:02:700,-0.038,-0.296,0.972,3.906,8.789,-23.072,
00:00:02:716,-0.038,-0.296,0.967,1.281,6.225,-20.63,
00:00:02:733,-0.041,-0.295,0.972,-1.099,8.117,-21.546,
00:00:02:750,-0.038,-0.292,0.971,2.685,7.934,-20.874,
00:00:02:766,-0.036,-0.291,0.969,2.868,9.582,-21.729,
00:00:02:783,-0.033,-0.292,0.968,5.249,8.178,-21.485,
00:00:02:800,-0.037,-0.295,0.971,4.333,7.629,-20.997,
00:00:02:816,-0.039,-0.296,0.97,3.845,7.08,-21.424,
00:00:02:833,-0.041,-0.292,0.969,3.356,8.606,-22.889,
00:00:02:850,-0.039,-0.293,0.973,3.173,9.094,-22.4,
00:00:02:866,-0.035,-0.294,0.97,5.432,9.46,-22.461,
00:00:02:883,-0.038,-0.293,0.971,6.164,7.08,-23.255,
00:00:02:900,-0.038,-0.296,0.967,7.507,8.117,-21.973,
00:00:02:916,-0.038,-0.293,0.968,6.347,6.103,-21.058,
00:00:02:933,-0.036,-0.294,0.972,5.493,8.239,-23.194,
00:00:02:950,-0.036,-0.294,0.969,4.333,8.911,-21.851,
00:00:02:966,-0.037,-0.294,0.969,5.737,8.789,-22.034,
00:00:02:983,-0.038,-0.296,0.972,8.178,8.728,-22.889,
00:00:03:0,-0.037,-0.298,0.972,4.455,7.08,-20.63,
00:00:03:16,-0.041,-0.295,0.971,5.127,8.3,-23.926,
00:00:03:33,-0.037,-0.29,0.969,2.502,8.3,-22.522,
00:00:03:50,-0.033,-0.29,0.972,5.493,9.155,-22.644,
00:00:03:66,-0.037,-0.29,0.969,8.85,7.446,-24.659,
00:00:03:83,-0.039,-0.294,0.969,10.803,8.056,-22.339,
00:00:03:100,-0.036,-0.295,0.971,9.826,6.591,-20.874,
00:00:03:116,-0.039,-0.3,0.999,6.774,8.361,-21.851,
00:00:03:133,-0.036,-0.3,0.966,5.31,7.751,-22.217,
00:00:03:150,-0.035,-0.293,0.972,5.31,8.972,-21.668,
00:00:03:166,-0.039,-0.296,0.97,6.53,7.324,-23.194,
00:00:03:183,-0.039,-0.293,0.97,2.868,8.178,-21.546,
00:00:03:200,-0.038,-0.292,0.97,4.394,7.08,-24.353,
00:00:03:216,-0.037,-0.285,0.97,5.249,6.958,-22.522,
00:00:03:233,-0.036,-0.293,0.969,11.413,8.117,-24.537,
00:00:03:250,-0.035,-0.301,0.966,11.413,6.897,-20.63,
00:00:03:266,-0.038,-0.307,0.97,7.385,5.737,-22.156,
00:00:03:283,-0.04,-0.302,0.968,1.281,6.774,-23.438,
00:00:03:300,-0.042,-0.291,0.973,-1.16,6.103,-22.583,
00:00:03:316,-0.038,-0.29,0.973,-1.831,9.155,-22.339,
00:00:03:333,-0.04,-0.287,0.975,2.014,8.789,-23.072,
00:00:03:350,-0.002,-0.29,0.97,5.188,7.263,-22.156,
