TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.129,-1.036,0.225,-456.727,22.583,-84.9,
00:00:00:16,-0.125,-0.978,0.284,-449.83,42.114,-95.154,
00:00:00:33,-0.118,-0.964,0.291,-405.152,37.292,-61.036,
00:00:00:50,-0.11,-0.964,0.301,-381.226,38.147,-12.33,
00:00:00:66,-0.103,-0.998,0.326,-369.385,28.381,14.282,
00:00:00:83,-0.085,-0.915,0.388,-313.904,-26.917,21.118,
00:00:00:100,-0.109,-0.853,0.41,-178.101,-62.806,24.475,
00:00:00:116,-0.094,-0.992,0.336,-104.065,-75.745,33.813,
00:00:00:133,-0.089,-1.028,0.307,-146.241,-93.628,21.728,
00:00:00:150,-0.116,-1.001,0.323,-230.042,-75.745,18.066,
00:00:00:166,-0.092,-0.905,0.371,-265.992,-84.9,21.057,
00:00:00:183,-0.11,-0.927,0.4,-266.785,-101.075,14.099,
00:00:00:200,-0.113,-0.957,0.391,-244.812,-75.379,12.634,
00:00:00:216,-0.091,-0.944,0.412,-198.975,-64.393,9.46,
00:00:00:233,-0.099,-0.932,0.415,-153.931,-65.369,4.943,
00:00:00:250,-0.104,-0.943,0.412,-121.827,-63.172,-2.625,
00:00:00:266,-0.135,-0.987,0.398,-143.982,-44.617,-11.719,
00:00:00:283,-0.122,-0.97,0.405,-200.379,-6.287,7.263,
00:00:00:300,-0.102,-0.913,0.42,-229.065,10.498,5.92,
00:00:00:316,-0.092,-0.958,0.457,-208.252,13.122,0.61,
00:00:00:333,-0.105,-0.896,0.46,-174.439,19.714,21.362,
00:00:00:350,-0.107,-0.9,0.496,-105.103,21.972,32.287,
00:00:00:366,-0.106,-0.856,0.513,-3.235,16.357,47.79,
00:00:00:383,-0.084,-0.872,0.501,113.159,12.573,52.002,
00:00:00:400,-0.07,-0.905,0.475,208.435,-10.56,32.409,
00:00:00:416,-0.072,-0.918,0.45,326.049,-43.641,3.601,
00:00:00:433,-0.077,-0.89,0.494,415.039,-87.647,-0.977,
00:00:00:450,-0.078,-0.855,0.484,604.187,-124.329,-15.198,
00:00:00:466,-0.058,-0.798,0.457,828.247,-151.368,-35.95,
00:00:00:483,-0.095,-0.848,0.385,1010.803,-177.185,-24.109,
00:00:00:500,-0.101,-0.96,0.307,1112.426,-175.904,7.751,
00:00:00:516,-0.088,-0.855,0.35,1242.37,-252.198,98.083,
00:00:00:533,0.029,-0.989,0.406,1382.934,-481.324,218.994,
00:00:00:550,-0.275,-1.504,0.412,493.896,-476.136,119.384,
00:00:00:566,-0.376,-1.096,0.275,-395.874,-148.133,128.723,
00:00:00:583,0,-0.901,0.134,-419.922,-132.935,94.177,
00:00:00:600,-0.073,-1.022,-0.123,-342.469,-258.24,38.208,
00:00:00:616,-0.185,-1.087,-0.027,-427.308,-178.406,70.495,
00:00:00:633,-0.117,-1.094,0.079,-472.107,-92.591,81.115,
00:00:00:650,-0.086,-1.119,0.165,-647.583,-91.736,24.719,
00:00:00:666,0.007,-1.106,0.209,-903.687,-82.398,48.645,
00:00:00:683,0.021,-1.064,0.227,-1107.3,-59.754,32.959,
00:00:00:700,0.02,-0.948,0.224,-867.31,-2.503,16.479,
00:00:00:716,0.041,-0.867,0.272,-445.191,9.582,23.681,
00:00:00:733,0.074,-1.023,0.279,-103.821,9.704,26.184,
00:00:00:750,-0.049,-1.024,0.336,-218.506,-33.509,-44.739,
00:00:00:766,-0.061,-0.948,0.38,-433.289,37.475,-140.503,
00:00:00:783,0.008,-0.946,0.403,-510.193,50.781,-253.663,
00:00:00:800,-0.012,-1.016,0.546,-317.2,67.688,-280.457,
00:00:00:816,-0.026,-0.858,0.61,76.049,83.923,-205.262,
00:00:00:833,-0.019,-0.525,0.614,651.123,-21.973,-175.782,
00:00:00:850,-0.198,-0.667,0.611,924.255,-67.322,-149.292,
00:00:00:866,-0.253,-0.908,0.523,740.295,-25.94,-141.602,
00:00:00:883,-0.165,-0.952,0.466,491.333,11.108,-83.863,
00:00:00:900,-0.089,-0.903,0.361,406.433,-7.874,-29.725,
00:00:00:916,-0.08,-0.943,0.326,453.857,-41.687,0.671,
00:00:00:933,-0.11,-1.028,0.256,465.393,-59.082,48.523,
00:00:00:950,-0.118,-1.062,0.184,293.64,-24.659,32.287,
00:00:00:966,-0.145,-1.059,0.141,116.577,1.22,15.93,
00:00:00:983,-0.134,-1.184,0.165,-166.321,93.811,25.024,
00:00:01:0,-0.068,-1.133,0.189,-471.924,122.192,54.077,
00:00:01:16,-0.089,-1.068,0.244,-717.408,108.703,28.686,
