TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.917,0.297,0.061,21.484,13.916,-27.771,0,0,0,
,0.917,0.291,0.064,15.808,16.479,-30.64,0,0,0,
,0.918,0.294,0.069,14.831,17.273,-31.861,0,0,0,
,0.914,0.291,0.071,13.855,16.906,-29.419,0,0,0,
,0.915,0.295,0.067,14.648,17.273,-30.762,0,0,0,
,0.914,0.293,0.073,19.47,17.273,-29.48,0,0,0,
,0.915,0.29,0.067,20.263,14.404,-28.809,0,0,0,
,0.917,0.288,0.071,9.277,30.334,-30.884,0,0,0,
,0.916,0.281,0.069,-2.747,10.803,-29.114,0,0,0,
,0.914,0.298,0.068,-9.949,11.474,-30.091,0,0,0,
,0.916,0.301,0.064,-14.1,10.742,-29.908,0,0,0,
,0.914,0.308,0.062,-9.705,10.192,-27.832,0,0,0,
,0.909,0.308,0.031,-2.137,10.376,-25.269,0,0,0,
,0.908,0.305,0.033,5.493,10.437,-22.217,0,0,0,
,0.911,0.3,0.068,3.662,8.972,-19.165,0,0,0,
,0.917,0.295,0.071,0,10.803,-17.579,0,0,0,
,0.919,0.298,0.064,3.784,8.361,-16.846,0,0,0,
,0.916,0.293,0.066,4.943,7.629,-18.677,0,0,0,
,0.918,0.294,0.07,5.188,9.582,-21.851,0,0,0,
,0.918,0.296,0.071,11.779,8.544,-23.621,0,0,0,
,0.917,0.297,0.068,21.911,7.446,-22.461,0,0,0,
,0.915,0.291,0.073,30.029,7.08,-24.781,0,0,0,
,0.916,0.286,0.07,32.898,4.882,-25.879,0,0,0,
,0.915,0.281,0.072,30.334,4.699,-28.748,0,0,0,
,0.918,0.284,0.072,23.071,7.69,-32.959,0,0,0,
,0.921,0.282,0.075,16.967,7.141,-30.823,0,0,0,
,0.927,0.286,0.079,12.756,5.92,-32.715,0,0,0,
,0.926,0.287,0.078,8.789,29.296,-33.448,0,0,0,
,0.916,0.291,0.066,13,12.939,-34.546,0,0,0,
,0.936,0.294,0.044,11.901,18.554,-23.865,0,0,0,
,0.915,0.296,0.063,22.277,16.296,-32.349,0,0,0,
,0.914,0.296,0.07,35.4,17.028,-31.861,0,0,0,
,0.91,0.29,0.069,43.396,15.625,-31.617,0,0,0,
,0.917,0.291,0.08,53.466,12.023,-40.345,0,0,0,
,0.916,0.284,0.064,53.344,19.714,-34.607,0,0,0,
,0.916,0.284,0.071,58.837,19.409,-43.702,0,0,0,
,0.915,0.288,0.061,58.715,20.385,-38.025,0,0,0,
,0.925,0.289,0.067,57.006,18.371,-41.81,0,0,0,
,0.925,0.285,0.07,52.124,23.498,-39.246,0,0,0,
,0.922,0.282,0.077,52.673,9.521,-37.903,0,0,0,
,0.911,0.281,0.076,49.438,18.981,-36.133,0,0,0,
,0.921,0.28,0.08,44.006,8.544,-35.523,0,0,0,
,0.92,0.275,0.069,31.433,16.723,-28.199,0,0,0,
,0.927,0.272,0.068,15.38,14.343,-29.297,0,0,0,
,0.923,0.284,0.054,1.037,17.883,-25.879,0,0,0,
,0.926,0.291,0.056,-0.306,11.962,-28.077,0,0,0,
,0.922,0.291,0.052,4.028,10.07,-24.17,0,0,0,
,0.914,0.288,0.055,11.474,11.474,-26.429,0,0,0,
,0.913,0.285,0.068,20.202,11.535,-25.513,0,0,0,
,0.911,0.276,0.074,23.62,16.784,-23.865,0,0,0,
,0.913,0.281,0.074,46.142,10.498,-27.894,0,0,0,
,0.914,0.274,0.077,32.714,8.361,-26.307,0,0,0,
,0.917,0.27,0.079,29.357,11.23,-29.175,0,0,0,
,0.921,0.277,0.074,27.282,9.704,-28.565,0,0,0,
,0.923,0.277,0.071,25.878,10.437,-28.565,0,0,0,
,0.929,0.278,0.07,21.789,10.253,-27.161,0,0,0,
,0.925,0.276,0.064,19.714,9.582,-26.001,0,0,0,
,0.921,0.281,0.065,15.502,9.338,-23.743,0,0,0,
,0.921,0.28,0.062,14.648,-0.672,-21.241,0,0,0,
,0.916,0.271,0.072,5.249,7.08,-20.203,0,0,0,
,0.922,0.279,0.061,4.882,14.648,-21.729,0,0,0,
,0.913,0.275,0.09,2.075,7.263,-16.236,0,0,0,
,0.915,0.28,0.059,2.136,5.493,-21.485,0,0,0,
,0.914,0.279,0.059,3.662,7.141,-19.104,0,0,0,
,0.917,0.277,0.062,5.065,4.699,-22.706,0,0,0,
,0.918,0.275,0.069,2.929,5.249,-25.391,0,0,0,
,0.919,0.276,0.071,-0.367,4.699,-26.917,0,0,0,
,0.917,0.278,0.073,-1.526,4.272,-28.382,0,0,0,
,0.92,0.28,0.072,-1.221,4.089,-28.87,0,0,0,
,0.921,0.28,0.076,1.403,0.305,-27.649,0,0,0,
,0.912,0.284,0.057,0.732,9.582,-19.959,0,0,0,
,0.92,0.279,0.068,12.512,5.249,-26.368,0,0,0,
,0.916,0.276,0.061,9.643,14.77,-18.128,0,0,0,
,0.918,0.272,0.07,13.671,10.803,-24.842,0,0,0,
,0.917,0.27,0.07,12.756,7.263,-26.49,0,0,0,
,0.915,0.271,0.065,7.263,9.643,-26.795,0,0,0,
,0.917,0.276,0.072,8.056,9.033,-28.565,0,0,0,
,0.916,0.269,0.066,6.958,8.85,-29.541,0,0,0,
,0.919,0.268,0.061,4.638,9.887,-31.617,0,0,0,
,0.92,0.271,0.064,-1.465,11.962,-29.847,0,0,0,
,0.919,0.272,0.074,-6.043,11.779,-28.809,0,0,0,
,0.922,0.271,0.073,-17.823,11.962,-30.274,0,0,0,
,0.919,0.277,0.08,-28.626,11.474,-26.917,0,0,0,
,0.915,0.285,0.075,-29.969,9.399,-26.185,0,0,0,
,0.913,0.283,0.073,-27.283,6.836,-22.278,0,0,0,
,0.917,0.285,0.076,-22.583,5.798,-19.532,0,0,0,
,0.92,0.282,0.074,-22.034,3.356,-18.921,0,0,0,
,0.921,0.282,0.072,-19.532,0.854,-16.663,0,0,0,
,0.925,0.285,0.075,-19.288,2.075,-18.067,0,0,0,
,0.926,0.283,0.075,-15.686,1.525,-19.41,0,0,0,
,0.919,0.284,0.073,-14.649,4.516,-20.569,0,0,0,
,0.916,0.284,0.072,-10.376,4.15,-20.02,0,0,0,
,0.914,0.283,0.074,-6.653,4.821,-19.959,0,0,0,
,0.912,0.281,0.075,-2.869,6.164,-18.311,0,0,0,
,0.913,0.28,0.074,-0.916,4.943,-18.067,0,0,0,
,0.919,0.28,0.075,1.464,5.737,-19.41,0,0,0,
,0.915,0.278,0.072,3.234,7.69,-19.41,0,0,0,
,0.917,0.282,0.071,-3.296,6.652,-19.288,0,0,0,
,0.921,0.287,0.067,-6.226,4.943,-19.532,0,0,0,
,0.918,0.287,0.062,-3.968,2.868,-17.151,0,0,0,
,0.917,0.282,0.069,-4.09,3.173,-15.259,0,0,0,
,0.918,0.282,0.074,-0.977,4.76,-14.832,0,0,0,
,0.916,0.279,0.071,-3.724,5.188,-13.55,0,0,0,
,0.914,0.275,0.073,-5.066,7.141,-12.024,0,0,0,
,0.916,0.28,0.069,-7.447,6.897,-15.686,0,0,0,
,0.914,0.28,0.069,-11.17,9.643,-15.686,0,0,0,
,0.916,0.281,0.07,-11.475,10.192,-17.029,0,0,0,
,0.916,0.288,0.076,-0.855,6.286,-18.128,0,0,0,
,0.913,0.278,0.074,0,10.62,-17.334,0,0,0,
,0.917,0.286,0.076,3.356,7.995,-17.823,0,0,0,
,0.911,0.289,0.067,4.638,8.483,-17.09,0,0,0,
,0.916,0.287,0.069,7.385,9.826,-17.579,0,0,0,
,0.911,0.291,0.032,6.652,11.901,-18.738,0,0,0,
,0.919,0.285,0.074,14.526,12.939,-19.471,0,0,0,
,0.914,0.285,0.067,15.991,15.808,-19.349,0,0,0,
,0.907,0.295,0.057,20.69,16.296,-19.959,0,0,0,
,0.917,0.286,0.073,20.08,8.239,-22.461,0,0,0,
,0.919,0.286,0.07,19.714,12.023,-20.264,0,0,0,
,0.916,0.28,0.074,20.935,9.338,-22.644,0,0,0,
,0.922,0.279,0.078,15.564,12.39,-21.363,0,0,0,
,0.917,0.287,0.065,15.686,8.911,-21.119,0,0,0,
,0.92,0.279,0.071,14.099,16.967,-20.813,0,0,0,
,0.92,0.285,0.07,13.305,9.704,-23.072,0,0,0,
,0.917,0.283,0.074,6.897,16.052,-22.95,0,0,0,
,0.918,0.287,0.072,5.188,7.812,-22.644,0,0,0,
,0.919,0.287,0.067,2.563,13.855,-20.63,0,0,0,
,0.92,0.289,0.072,3.906,10.253,-21.302,0,0,0,
,0.917,0.29,0.072,8.361,12.329,-19.776,0,0,0,
,0.917,0.292,0.075,8.056,10.681,-17.701,0,0,0,
,0.916,0.29,0.078,10.681,8.544,-16.175,0,0,0,
