TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.914,-0.337,-0.004,-7.691,15.38,-16.663,0,0,0,
,0.921,-0.339,-0.002,-2.259,18.188,-14.771,0,0,0,
,0.929,-0.352,0.008,-7.019,21.484,-11.17,0,0,0,
,0.924,-0.357,0.016,-25.94,25.634,-7.63,0,0,0,
,0.921,-0.357,0.021,-36.072,25.146,-1.709,0,0,0,
,0.919,-0.355,0.013,-37.659,19.958,-1.587,0,0,0,
,0.904,-0.35,0.007,-29.48,13.549,-7.447,0,0,0,
,0.932,-0.316,0.001,82.946,-16.358,-56.031,0,0,0,
,0.955,-0.316,-0.003,122.985,-20.02,-77.881,0,0,0,
,0.951,-0.324,0.004,164.184,-44.373,-95.276,0,0,0,
,1.02,-0.321,-0.025,224.365,-87.708,-47.852,0,0,0,
,1.062,-0.293,-0.05,324.585,-123.841,-24.598,0,0,0,
,1.038,-0.296,-0.072,429.138,-145.935,13.061,0,0,0,
,1.012,-0.346,-0.08,485.656,-158.081,46.325,0,0,0,
,1.049,-0.394,-0.131,509.704,-143.25,71.716,0,0,0,
,1.052,-0.365,-0.156,466.797,-126.954,57.251,0,0,0,
,0.918,-0.35,-0.134,393.005,-100.831,19.348,0,0,0,
,0.754,-0.348,0.039,259.582,-68.116,-18.311,0,0,0,
,0.561,-0.383,0.258,74.829,-7.142,-61.524,0,0,0,
,0.516,-0.292,0.377,1.037,70.678,-88.807,0,0,0,
,0.621,-0.297,0.311,18.493,148.742,-135.01,0,0,0,
,0.77,-0.291,0.2,77.697,137.207,-105.225,0,0,0,
,0.969,-0.327,0.08,184.265,74.157,-62.745,0,0,0,
,1.121,-0.421,0,244.384,-8.851,-19.898,0,0,0,
,1.141,-0.403,-0.148,439.026,-224.793,13.794,0,0,0,
,1.262,-0.381,-0.111,628.479,-252.198,-11.963,0,0,0,
,1.28,-0.329,-0.131,782.653,-215.577,-40.833,0,0,0,
,1.12,-0.369,-0.16,880.615,-181.397,-62.012,0,0,0,
,0.992,-0.407,-0.115,856.384,-134.888,-54.993,0,0,0,
,0.475,-0.434,0.115,-155.579,65.551,-165.65,0,0,0,
,0.536,-0.32,0.087,-400.818,125.061,-198.67,0,0,0,
,0.614,-0.304,0.037,-566.468,161.56,-208.558,0,0,0,
,0.693,-0.285,-0.015,-622.559,159.423,-187.684,0,0,0,
,0.793,-0.27,-0.079,-541.016,122.68,-126.099,0,0,0,
,1.172,-0.258,-0.19,179.26,-33.143,147.033,0,0,0,
,1.155,-0.312,-0.131,373.657,-27.771,196.899,0,0,0,
,1.041,-0.401,-0.073,450.683,11.962,233.581,0,0,0,
,0.944,-0.434,-0.02,387.451,63.598,241.699,0,0,0,
,0.881,-0.491,0.015,211.364,112.365,241.943,0,0,0,
,0.859,-0.552,0.032,-119.751,143.31,199.157,0,0,0,
,0.888,-0.57,0.015,-577.82,162.841,142.028,0,0,0,
,0.919,-0.483,0.003,-981.69,193.908,55.419,0,0,0,
,0.886,-0.317,0.031,-1174.256,241.394,-51.392,0,0,0,
,0.875,-0.272,0.005,-1196.778,249.389,-101.685,0,0,0,
,0.827,-0.216,-0.028,-1070.984,208.923,-133.851,0,0,0,
,0.797,-0.133,0.018,-777.894,135.131,-91.614,0,0,0,
,0.788,-0.152,0.092,-428.223,96.984,-26.062,0,0,0,
,0.851,-0.226,0.094,-124.024,91.613,34.118,0,0,0,
,0.91,-0.292,0.041,62.988,87.097,71.472,0,0,0,
,0.983,-0.336,-0.026,183.227,47.607,98.877,0,0,0,
,1.03,-0.373,-0.053,254.333,21.179,113.22,0,0,0,
,1.052,-0.415,-0.047,270.813,-14.71,114.257,0,0,0,
,1.038,-0.444,-0.032,209.472,-29.297,101.074,0,0,0,
,1.022,-0.457,-0.027,99.243,-28.016,73.486,0,0,0,
,1.002,-0.458,-0.039,-44.19,-16.663,16.418,0,0,0,
,0.974,-0.439,-0.056,-203.064,-5.982,-15.87,0,0,0,
