TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.914,-0.337,-0.004,-7.691,15.38,-16.663,
00:00:00:16,0.921,-0.339,-0.002,-2.259,18.188,-14.771,
00:00:00:33,0.929,-0.352,0.008,-7.019,21.484,-11.17,
00:00:00:50,0.924,-0.357,0.016,-25.94,25.634,-7.63,
00:00:00:66,0.921,-0.357,0.021,-36.072,25.146,-1.709,
00:00:00:83,0.919,-0.355,0.013,-37.659,19.958,-1.587,
00:00:00:100,0.904,-0.35,0.007,-29.48,13.549,-7.447,
00:00:00:116,0.932,-0.316,0.001,82.946,-16.358,-56.031,
00:00:00:133,0.955,-0.316,-0.003,122.985,-20.02,-77.881,
00:00:00:150,0.951,-0.324,0.004,164.184,-44.373,-95.276,
00:00:00:166,1.02,-0.321,-0.025,224.365,-87.708,-47.852,
00:00:00:183,1.062,-0.293,-0.05,324.585,-123.841,-24.598,
00:00:00:200,1.038,-0.296,-0.072,429.138,-145.935,13.061,
00:00:00:216,1.012,-0.346,-0.08,485.656,-158.081,46.325,
00:00:00:233,1.049,-0.394,-0.131,509.704,-143.25,71.716,
00:00:00:250,1.052,-0.365,-0.156,466.797,-126.954,57.251,
00:00:00:266,0.918,-0.35,-0.134,393.005,-100.831,19.348,
00:00:00:283,0.754,-0.348,0.039,259.582,-68.116,-18.311,
00:00:00:300,0.561,-0.383,0.258,74.829,-7.142,-61.524,
00:00:00:316,0.516,-0.292,0.377,1.037,70.678,-88.807,
00:00:00:333,0.621,-0.297,0.311,18.493,148.742,-135.01,
00:00:00:350,0.77,-0.291,0.2,77.697,137.207,-105.225,
00:00:00:366,0.969,-0.327,0.08,184.265,74.157,-62.745,
00:00:00:383,1.121,-0.421,0,244.384,-8.851,-19.898,
00:00:00:400,1.141,-0.403,-0.148,439.026,-224.793,13.794,
00:00:00:416,1.262,-0.381,-0.111,628.479,-252.198,-11.963,
00:00:00:433,1.28,-0.329,-0.131,782.653,-215.577,-40.833,
00:00:00:450,1.12,-0.369,-0.16,880.615,-181.397,-62.012,
00:00:00:466,0.992,-0.407,-0.115,856.384,-134.888,-54.993,
00:00:00:483,0.475,-0.434,0.115,-155.579,65.551,-165.65,
00:00:00:500,0.536,-0.32,0.087,-400.818,125.061,-198.67,
00:00:00:516,0.614,-0.304,0.037,-566.468,161.56,-208.558,
00:00:00:533,0.693,-0.285,-0.015,-622.559,159.423,-187.684,
00:00:00:550,0.793,-0.27,-0.079,-541.016,122.68,-126.099,
00:00:00:566,1.172,-0.258,-0.19,179.26,-33.143,147.033,
00:00:00:583,1.155,-0.312,-0.131,373.657,-27.771,196.899,
00:00:00:600,1.041,-0.401,-0.073,450.683,11.962,233.581,
00:00:00:616,0.944,-0.434,-0.02,387.451,63.598,241.699,
00:00:00:633,0.881,-0.491,0.015,211.364,112.365,241.943,
00:00:00:650,0.859,-0.552,0.032,-119.751,143.31,199.157,
00:00:00:666,0.888,-0.57,0.015,-577.82,162.841,142.028,
00:00:00:683,0.919,-0.483,0.003,-981.69,193.908,55.419,
00:00:00:700,0.886,-0.317,0.031,-1174.256,241.394,-51.392,
00:00:00:716,0.875,-0.272,0.005,-1196.778,249.389,-101.685,
00:00:00:733,0.827,-0.216,-0.028,-1070.984,208.923,-133.851,
00:00:00:750,0.797,-0.133,0.018,-777.894,135.131,-91.614,
00:00:00:766,0.788,-0.152,0.092,-428.223,96.984,-26.062,
00:00:00:783,0.851,-0.226,0.094,-124.024,91.613,34.118,
00:00:00:800,0.91,-0.292,0.041,62.988,87.097,71.472,
00:00:00:816,0.983,-0.336,-0.026,183.227,47.607,98.877,
00:00:00:833,1.03,-0.373,-0.053,254.333,21.179,113.22,
00:00:00:850,1.052,-0.415,-0.047,270.813,-14.71,114.257,
00:00:00:866,1.038,-0.444,-0.032,209.472,-29.297,101.074,
00:00:00:883,1.022,-0.457,-0.027,99.243,-28.016,73.486,
00:00:00:900,1.002,-0.458,-0.039,-44.19,-16.663,16.418,
