TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.008,-0.469,0.904,-0.428,15.441,-30.884,0,0,0,
,0.009,-0.5,0.901,-17.334,12.451,-15.87,0,0,0,
,0.01,-0.465,0.904,-16.602,12.512,-33.448,0,0,0,
,0.012,-0.468,0.901,-11.353,11.962,-33.204,0,0,0,
,0.008,-0.472,0.904,-10.743,9.46,-31.617,0,0,0,
,0.01,-0.472,0.905,-10.987,10.864,-29.725,0,0,0,
,0.008,-0.472,0.903,-12.757,9.399,-29.053,0,0,0,
,0.006,-0.469,0.903,-13.672,8.606,-32.349,0,0,0,
,0.005,-0.438,0.902,-15.442,11.169,-30.457,0,0,0,
,0.005,-0.471,0.908,-14.527,13.916,-31.189,0,0,0,
,0.009,-0.474,0.903,-17.456,30.883,-30.274,0,0,0,
,0.013,-0.474,0.905,-18.128,17.273,-28.016,0,0,0,
,0.012,-0.47,0.903,-17.395,14.953,-28.077,0,0,0,
,0.011,-0.466,0.908,-16.968,17.517,-28.687,0,0,0,
,0.004,-0.468,0.906,-16.236,12.817,-27.344,0,0,0,
,-0.032,-0.47,0.9,-16.663,16.601,-28.077,0,0,0,
,0,-0.472,0.906,-17.395,17.639,-27.649,0,0,0,
,0.008,-0.47,0.909,-23.865,23.498,-24.598,0,0,0,
,0.014,-0.471,0.904,-18.311,19.592,-25.452,0,0,0,
,0.019,-0.47,0.898,-18.494,21.24,-25.086,0,0,0,
,0.013,-0.469,0.9,-16.236,16.357,-28.199,0,0,0,
,0.012,-0.469,0.902,-17.579,15.502,-28.321,0,0,0,
,0.008,-0.468,0.909,-19.532,17.517,-26.795,0,0,0,
,0.006,-0.468,0.909,-14.954,19.226,-28.016,0,0,0,
,0.006,-0.468,0.907,-15.076,15.808,-28.687,0,0,0,
,0.005,-0.469,0.9,-16.907,17.395,-27.405,0,0,0,
,0.015,-0.472,0.895,-19.288,21.179,-28.748,0,0,0,
,0.014,-0.469,0.904,-20.935,12.634,-30.091,0,0,0,
,0.012,-0.47,0.905,-18.128,12.451,-29.664,0,0,0,
,0.016,-0.47,0.911,-16.968,13.122,-28.687,0,0,0,
,0.015,-0.472,0.912,-13.733,16.723,-26.734,0,0,0,
,0.007,-0.472,0.904,-13.001,15.747,-27.222,0,0,0,
,0.005,-0.468,0.901,-18.738,16.479,-24.72,0,0,0,
,0.009,-0.462,0.901,-19.165,18.432,-29.236,0,0,0,
,0.008,-0.466,0.904,-18.677,18.493,-28.809,0,0,0,
,0.013,-0.469,0.907,-14.222,17.456,-29.114,0,0,0,
,0.019,-0.469,0.904,-12.146,20.202,-29.053,0,0,0,
,0.018,-0.468,0.898,-18.311,15.686,-31.067,0,0,0,
,0.014,-0.465,0.897,-16.968,12.085,-28.87,0,0,0,
,0.01,-0.465,0.901,-15.931,7.934,-30.701,0,0,0,
,0.007,-0.469,0.908,-15.503,12.878,-31.128,0,0,0,
,0.007,-0.474,0.908,-15.931,12.695,-30.457,0,0,0,
,0.01,-0.471,0.904,-17.579,12.878,-30.335,0,0,0,
,0.015,-0.468,0.9,-15.381,12.878,-27.955,0,0,0,
,0.017,-0.469,0.901,-15.686,10.315,-29.48,0,0,0,
,0.015,-0.467,0.904,-16.907,9.46,-29.725,0,0,0,
,0.014,-0.466,0.908,-14.161,10.864,-29.114,0,0,0,
,0.009,-0.468,0.904,-11.902,12.695,-28.809,0,0,0,
,0.004,-0.469,0.902,-14.771,13.427,-29.541,0,0,0,
,0.006,-0.468,0.906,-18.128,14.343,-30.884,0,0,0,
,0.008,-0.464,0.902,-19.165,16.174,-30.762,0,0,0,
,0.011,-0.467,0.902,-15.686,15.93,-29.908,0,0,0,
,0.017,-0.47,0.899,-19.532,14.282,-29.48,0,0,0,
,0.017,-0.47,0.901,-18.25,11.901,-29.541,0,0,0,
,0.015,-0.467,0.905,-17.395,10.803,-29.419,0,0,0,
,0.009,-0.464,0.903,-13.428,9.216,-29.236,0,0,0,
,0.008,-0.467,0.906,-13.855,10.681,-29.786,0,0,0,
,0.008,-0.47,0.902,-16.053,13.671,-29.602,0,0,0,
,0.012,-0.469,0.905,-16.785,15.991,-29.786,0,0,0,
,0.013,-0.468,0.903,-16.602,16.052,-31.067,0,0,0,
,0.015,-0.468,0.903,-17.456,15.258,-30.152,0,0,0,
,0.017,-0.468,0.907,-14.832,16.601,-30.152,0,0,0,
,0.018,-0.469,0.904,-14.405,15.38,-28.565,0,0,0,
,0.012,-0.468,0.904,-13.733,8.544,-28.443,0,0,0,
,0.007,-0.47,0.903,-15.564,9.46,-28.809,0,0,0,
,0.006,-0.469,0.902,-16.175,16.113,-30.091,0,0,0,
,0.007,-0.467,0.906,-18.616,16.601,-27.161,0,0,0,
,0.015,-0.467,0.908,-18.25,17.456,-28.626,0,0,0,
,0.02,-0.47,0.905,-19.593,17.089,-27.344,0,0,0,
,0.011,-0.468,0.905,-14.771,16.357,-27.344,0,0,0,
,0.007,-0.469,0.904,-14.466,16.845,-28.26,0,0,0,
,0.008,-0.466,0.904,-17.518,15.625,-28.382,0,0,0,
,0.008,-0.465,0.901,-16.114,16.906,-29.175,0,0,0,
,0.01,-0.466,0.901,-16.48,13.244,-28.748,0,0,0,
,0.014,-0.47,0.905,-18.677,15.014,-29.908,0,0,0,
,0.017,-0.469,0.907,-19.776,14.282,-28.626,0,0,0,
,0.02,-0.465,0.905,-19.227,14.16,-30.518,0,0,0,
,0.016,-0.461,0.901,-15.931,10.742,-30.64,0,0,0,
,0.012,-0.463,0.902,-12.024,10.07,-30.579,0,0,0,
,0.01,-0.467,0.903,-13.367,8.789,-32.227,0,0,0,
,0.006,-0.468,0.904,-16.602,9.277,-32.41,0,0,0,
,0.008,-0.471,0.909,-17.334,15.441,-31.556,0,0,0,
,0.02,-0.467,0.908,-18.494,13.122,-31.067,0,0,0,
,0.02,-0.462,0.902,-14.954,8.972,-31.556,0,0,0,
,0.022,-0.457,0.899,-14.039,4.333,-35.889,0,0,0,
,0.02,-0.461,0.896,-9.4,0.976,-37.781,0,0,0,
,0.013,-0.469,0.904,-5.31,-2.198,-39.246,0,0,0,
,0.001,-0.475,0.906,-6.653,-2.991,-40.467,0,0,0,
,-0.002,-0.475,0.911,-9.644,1.403,-37.537,0,0,0,
,0.002,-0.468,0.912,-12.085,7.69,-35.401,0,0,0,
,0.009,-0.463,0.911,-12.269,13.671,-33.387,0,0,0,
,0.013,-0.465,0.91,-13.245,15.197,-34.668,0,0,0,
,0.018,-0.473,0.909,-13.794,17.211,-32.349,0,0,0,
,0.017,-0.476,0.905,-14.832,14.038,-26.429,0,0,0,
,0.013,-0.472,0.901,-16.541,9.216,-28.992,0,0,0,
,0.006,-0.467,0.894,-17.09,11.962,-31.373,0,0,0,
,0.002,-0.467,0.897,-16.785,9.338,-31.617,0,0,0,
,0.003,-0.469,0.903,-17.151,8.178,-31.189,0,0,0,
,0.005,-0.469,0.91,-17.334,12.878,-29.847,0,0,0,
,0.012,-0.471,0.913,-14.527,15.136,-28.992,0,0,0,
,0.014,-0.471,0.909,-13.367,10.742,-27.955,0,0,0,
,0.012,-0.465,0.898,-15.259,11.779,-28.687,0,0,0,
,0.012,-0.463,0.901,-16.724,11.901,-27.161,0,0,0,
,0.01,-0.468,0.906,-15.381,10.803,-29.969,0,0,0,
,0.008,-0.473,0.913,-16.175,12.634,-28.077,0,0,0,
,0.009,-0.474,0.912,-15.992,13.977,-26.001,0,0,0,
,0.007,-0.47,0.906,-17.518,15.197,-25.635,0,0,0,
,0.009,-0.465,0.899,-20.752,15.502,-26.978,0,0,0,
,0.01,-0.466,0.902,-20.813,18.554,-26.795,0,0,0,
,0.012,-0.464,0.907,-18.067,19.592,-27.527,0,0,0,
,0.014,-0.468,0.913,-16.114,15.808,-25.574,0,0,0,
,0.014,-0.467,0.903,-15.076,19.287,-26.917,0,0,0,
,0.013,-0.465,0.898,-20.508,15.136,-27.1,0,0,0,
,0.01,-0.464,0.898,-18.128,15.93,-29.48,0,0,0,
,0.008,-0.468,0.906,-20.081,15.747,-28.992,0,0,0,
,0.007,-0.471,0.91,-19.837,15.319,-30.518,0,0,0,
,0.008,-0.468,0.906,-18.25,14.831,-28.321,0,0,0,
,0.009,-0.466,0.898,-15.442,15.564,-28.443,0,0,0,
,0.011,-0.466,0.9,-13.489,13.244,-27.894,0,0,0,
,0.013,-0.464,0.904,-15.076,9.643,-30.152,0,0,0,
,0.011,-0.466,0.911,-17.884,11.352,-31.128,0,0,0,
,0.012,-0.469,0.911,-16.724,17.761,-28.199,0,0,0,
