TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.032,0.258,0.973,-12.635,5.859,-36.927,0,0,0,
,-0.031,0.265,0.972,-15.32,9.826,-34.729,0,0,0,
,-0.034,0.266,0.971,-14.832,11.474,-33.387,0,0,0,
,-0.036,0.26,0.963,-15.198,10.253,-34.363,0,0,0,
,-0.039,0.264,0.968,-14.588,11.718,-33.875,0,0,0,
,-0.04,0.263,0.97,-17.029,8.789,-31.983,0,0,0,
,-0.034,0.264,0.966,-16.419,6.897,-29.114,0,0,0,
,-0.036,0.26,0.974,-18.982,11.84,-28.626,0,0,0,
,-0.035,0.256,0.973,-16.785,9.704,-28.809,0,0,0,
,-0.03,0.252,0.973,-16.297,9.765,-28.26,0,0,0,
,-0.027,0.258,0.976,-17.151,8.972,-28.687,0,0,0,
,-0.033,0.263,0.974,-15.076,13.061,-27.71,0,0,0,
,-0.032,0.264,0.973,-14.466,12.634,-25.757,0,0,0,
,-0.031,0.263,0.975,-12.452,14.526,-26.978,0,0,0,
,-0.034,0.263,0.971,-15.442,16.784,-25.879,0,0,0,
,-0.037,0.266,0.972,-15.564,12.329,-26.551,0,0,0,
,-0.03,0.259,0.97,-14.588,11.474,-28.809,0,0,0,
,-0.03,0.261,0.971,-16.846,11.535,-29.847,0,0,0,
,-0.03,0.265,0.974,-20.508,4.516,-28.443,0,0,0,
,-0.035,0.264,0.974,-20.325,5.432,-28.382,0,0,0,
,-0.036,0.266,0.978,-15.686,8.972,-29.48,0,0,0,
,-0.035,0.26,0.975,-16.663,7.019,-32.41,0,0,0,
,-0.038,0.266,0.976,-15.137,11.169,-32.41,0,0,0,
,-0.034,0.264,0.971,-18.311,8.972,-34.18,0,0,0,
,-0.038,0.262,0.968,-15.503,12.207,-33.081,0,0,0,
,-0.04,0.257,0.968,-12.085,11.596,-33.326,0,0,0,
,-0.043,0.26,0.969,-13.855,10.07,-32.227,0,0,0,
,-0.036,0.266,0.972,-13.306,8.911,-32.288,0,0,0,
,-0.035,0.265,0.976,-12.513,11.901,-30.579,0,0,0,
,-0.028,0.263,0.979,-13.489,12.329,-31.983,0,0,0,
,-0.027,0.256,0.976,-15.686,13.916,-31.495,0,0,0,
,-0.027,0.257,0.98,-16.907,14.709,-32.898,0,0,0,
