TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.087,0.329,0.948,-19.165,7.751,74.34,0,0,0,
,-0.109,0.313,0.939,-40.528,-12.513,69.58,0,0,0,
,-0.123,0.32,0.929,-61.951,-12.452,71.96,0,0,0,
,-0.12,0.334,0.921,-74.158,-21.424,69.091,0,0,0,
,-0.121,0.346,0.936,-70.13,-35.706,65.002,0,0,0,
,-0.125,0.348,0.942,-65.674,-49.5,60.119,0,0,0,
,-0.129,0.367,0.958,-73.853,-51.758,46.386,0,0,0,
,-0.125,0.368,0.941,-79.102,-54.139,39.611,0,0,0,
,-0.125,0.364,0.917,-73.914,-59.571,28.625,0,0,0,
,-0.131,0.363,0.9,-71.228,-72.51,24.292,0,0,0,
,-0.143,0.347,0.913,-65.979,-76.05,20.874,0,0,0,
,-0.148,0.349,0.927,-67.383,-70.252,19.287,0,0,0,
,-0.151,0.345,0.948,-66.224,-69.092,13.366,0,0,0,
,-0.149,0.355,0.969,-64.637,-62.561,9.704,0,0,0,
,-0.146,0.355,0.953,-60.669,-56.946,2.868,0,0,0,
,-0.144,0.352,0.928,-58.045,-57.801,-1.709,0,0,0,
,-0.147,0.353,0.927,-59.388,-55.726,-2.564,0,0,0,
,-0.153,0.371,0.932,-62.195,-52.063,-5.372,0,0,0,
,-0.184,0.377,0.942,-55.603,-46.387,-6.775,0,0,0,
,-0.166,0.384,0.941,-40.894,-49.439,-8.362,0,0,0,
,-0.199,0.357,0.92,-40.406,-30.823,-2.076,0,0,0,
,-0.19,0.361,0.913,-47.608,-22.339,-4.883,0,0,0,
,-0.173,0.37,0.924,-44.983,-16.48,-8.667,0,0,0,
,-0.158,0.379,0.94,-35.828,-16.297,-14.405,0,0,0,
,-0.155,0.387,0.949,-34.424,-18.921,-21.973,0,0,0,
,-0.163,0.384,0.92,-39.124,-31.495,-19.104,0,0,0,
,-0.185,0.377,0.893,-41.138,-36.316,-23.438,0,0,0,
,-0.202,0.377,0.893,-36.744,-40.162,-22.095,0,0,0,
,-0.212,0.378,0.917,-28.931,-32.959,-25.879,0,0,0,
,-0.207,0.385,0.945,-23.255,-23.377,-37.659,0,0,0,
,-0.201,0.39,0.96,-23.865,-18.006,-48.035,0,0,0,
,-0.187,0.377,0.923,-32.959,-13.55,-51.026,0,0,0,
,-0.172,0.366,0.9,-38.147,-21.18,-45.289,0,0,0,
,-0.169,0.365,0.892,-42.359,-33.02,-37.11,0,0,0,
,-0.173,0.361,0.895,-52.002,-47.486,-35.462,0,0,0,
,-0.184,0.376,0.921,-33.997,-47.791,-33.081,0,0,0,
,-0.188,0.388,0.938,-23.072,-42.786,-30.213,0,0,0,
,-0.198,0.382,0.928,-15.015,-48.829,-34.607,0,0,0,
,-0.215,0.37,0.911,-19.043,-44.556,-29.297,0,0,0,
,-0.222,0.37,0.898,-31.006,-37.232,-27.344,0,0,0,
,-0.219,0.383,0.917,-30.762,-17.09,-31.678,0,0,0,
,-0.201,0.391,0.931,-25.147,-4.7,-32.837,0,0,0,
,-0.195,0.388,0.929,-16.48,-3.785,-31.067,0,0,0,
,-0.207,0.386,0.928,-11.536,2.563,-31.189,0,0,0,
,-0.218,0.382,0.926,-10.01,7.751,-27.527,0,0,0,
