TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.047,-0.442,0.917,-54.566,3.112,-19.593,0,0,0,
,-0.057,-0.43,0.905,-75.074,-3.663,-23.072,0,0,0,
,-0.061,-0.418,0.916,-79.102,1.464,-22.095,0,0,0,
,-0.068,-0.424,0.934,-52.369,5.493,-29.48,0,0,0,
,-0.067,-0.43,0.953,-31.128,6.958,-30.823,0,0,0,
,-0.066,-0.438,0.952,-7.569,15.075,-34.424,0,0,0,
,-0.057,-0.434,0.932,2.075,16.052,-31.067,0,0,0,
,-0.056,-0.431,0.922,2.38,14.953,-32.41,0,0,0,
,-0.056,-0.43,0.91,-1.099,16.906,-35.218,0,0,0,
,-0.057,-0.427,0.913,-7.081,14.587,-36.011,0,0,0,
,-0.055,-0.431,0.923,-6.348,13.305,-34.302,0,0,0,
,-0.057,-0.438,0.926,-6.409,14.587,-30.274,0,0,0,
,-0.056,-0.44,0.93,-6.348,12.573,-31.739,0,0,0,
,-0.056,-0.434,0.924,-4.395,10.131,-32.715,0,0,0,
,-0.063,-0.431,0.924,0.488,10.498,-33.02,0,0,0,
,-0.064,-0.436,0.92,3.845,13.366,-31.617,0,0,0,
,-0.06,-0.437,0.913,6.103,14.099,-29.602,0,0,0,
,-0.058,-0.44,0.912,1.953,10.62,-30.274,0,0,0,
,-0.058,-0.443,0.918,-6.47,15.441,-31.128,0,0,0,
,-0.054,-0.433,0.92,-14.649,9.643,-34.607,0,0,0,
,-0.057,-0.428,0.924,-12.818,8.789,-33.753,0,0,0,
,-0.061,-0.43,0.929,-6.592,13.366,-35.584,0,0,0,
,-0.057,-0.439,0.925,-0.916,19.714,-35.218,0,0,0,
,-0.057,-0.442,0.922,-7.996,15.747,-33.326,0,0,0,
,-0.056,-0.438,0.916,-10.315,12.329,-33.509,0,0,0,
,-0.06,-0.437,0.919,-8.912,12.085,-32.349,0,0,0,
,-0.06,-0.445,0.921,-7.569,18.432,-31.25,0,0,0,
,-0.056,-0.446,0.92,-7.813,20.446,-34.18,0,0,0,
,-0.056,-0.443,0.916,-9.644,17.517,-34.485,0,0,0,
,-0.059,-0.437,0.917,-11.719,13.427,-36.622,0,0,0,
,-0.058,-0.437,0.913,-10.865,15.808,-37.354,0,0,0,
,-0.055,-0.435,0.916,-13.001,14.648,-34.363,0,0,0,
,-0.055,-0.437,0.928,-12.94,17.883,-34.607,0,0,0,
,-0.05,-0.442,0.924,-5.31,17.578,-34.607,0,0,0,
,-0.049,-0.446,0.917,-0.367,16.479,-33.204,0,0,0,
,-0.057,-0.444,0.909,0,6.225,-38.758,0,0,0,
,-0.065,-0.441,0.911,-2.32,10.192,-36.011,0,0,0,
,-0.066,-0.443,0.92,-4.029,11.779,-35.95,0,0,0,
,-0.058,-0.449,0.925,-4.883,20.446,-32.898,0,0,0,
,-0.049,-0.451,0.915,-7.935,22.644,-32.959,0,0,0,
,-0.046,-0.447,0.907,-10.865,15.38,-34.119,0,0,0,
,-0.05,-0.446,0.907,-7.081,10.009,-36.744,0,0,0,
,-0.062,-0.45,0.918,-5.005,11.474,-42.908,0,0,0,
,-0.064,-0.462,0.924,-22.278,22.705,-47.181,0,0,0,
,-0.057,-0.451,0.935,-39.246,28.503,-50.599,0,0,0,
,-0.052,-0.442,0.932,-49.256,33.264,-49.683,0,0,0,
,-0.055,-0.433,0.928,-53.589,34.057,-47.486,0,0,0,
,-0.053,-0.432,0.923,-57.068,39.062,-40.772,0,0,0,
,-0.047,-0.436,0.92,-63.477,42.785,-37.659,0,0,0,
,-0.046,-0.434,0.919,-55.787,40.771,-37.537,0,0,0,
,-0.048,-0.437,0.921,-41.687,35.156,-39.002,0,0,0,
,-0.052,-0.438,0.92,-32.776,32.836,-41.26,0,0,0,
,-0.055,-0.436,0.915,-34.913,36.56,-39.978,0,0,0,
,-0.05,-0.436,0.92,-37.415,34.973,-38.697,0,0,0,
,-0.045,-0.436,0.916,-40.65,33.447,-37.964,0,0,0,
,-0.036,-0.435,0.917,-43.335,28.32,-35.462,0,0,0,
,-0.037,-0.426,0.917,-44.373,20.874,-34.729,0,0,0,
,-0.041,-0.419,0.922,-35.767,9.643,-30.152,0,0,0,
,-0.048,-0.419,0.928,-21.851,10.803,-22.583,0,0,0,
,-0.046,-0.429,0.928,-11.719,8.544,-21.546,0,0,0,
,-0.042,-0.436,0.917,-3.357,3.479,-20.752,0,0,0,
,-0.044,-0.435,0.912,-3.418,-2.564,-23.316,0,0,0,
,-0.05,-0.434,0.915,-9.827,-2.869,-22.278,0,0,0,
,-0.047,-0.428,0.925,-11.902,-2.076,-20.874,0,0,0,
,-0.047,-0.427,0.926,-11.109,-2.015,-19.715,0,0,0,
,-0.044,-0.427,0.925,-8.179,0.854,-18.677,0,0,0,
,-0.044,-0.426,0.925,-8.301,-4.09,-18.006,0,0,0,
,-0.046,-0.425,0.925,-7.142,-2.747,-21.912,0,0,0,
,-0.05,-0.428,0.92,-6.958,2.624,-19.898,0,0,0,
,-0.044,-0.43,0.929,-9.339,3.479,-20.02,0,0,0,
,-0.053,-0.434,0.928,-12.879,-1.709,-23.194,0,0,0,
,-0.057,-0.44,0.925,-12.696,7.751,-26.123,0,0,0,
,-0.055,-0.439,0.919,-17.212,18.005,-27.832,0,0,0,
,-0.049,-0.434,0.921,-24.842,16.296,-29.419,0,0,0,
,-0.041,-0.423,0.928,-27.588,14.465,-30.213,0,0,0,
,-0.043,-0.421,0.93,-18.86,11.413,-30.945,0,0,0,
,-0.047,-0.431,0.967,-10.865,10.437,-28.016,0,0,0,
,-0.044,-0.438,0.925,-8.851,11.84,-28.26,0,0,0,
,-0.05,-0.436,0.915,-11.597,6.958,-23.072,0,0,0,
,-0.058,-0.434,0.91,-16.114,1.77,-27.222,0,0,0,
,-0.058,-0.43,0.913,-14.344,9.826,-28.748,0,0,0,
,-0.041,-0.431,0.926,-8.789,13.427,-30.701,0,0,0,
,-0.032,-0.436,0.934,-8.851,13.855,-26.49,0,0,0,
,-0.035,-0.436,0.933,-14.405,5.92,-26.978,0,0,0,
,-0.042,-0.431,0.929,-19.349,4.089,-26.062,0,0,0,
,-0.048,-0.427,0.925,-17.212,3.112,-27.955,0,0,0,
,-0.055,-0.422,0.916,-10.315,-0.55,-30.091,0,0,0,
,-0.059,-0.432,0.916,-2.808,10.925,-29.664,0,0,0,
,-0.052,-0.442,0.916,-3.724,14.343,-30.518,0,0,0,
,-0.042,-0.445,0.927,-13.123,18.127,-29.664,0,0,0,
,-0.034,-0.444,0.931,-22.4,12.756,-30.091,0,0,0,
,-0.039,-0.431,0.927,-22.034,5.127,-27.588,0,0,0,
,-0.051,-0.425,0.916,-17.823,1.709,-27.771,0,0,0,
,-0.054,-0.425,0.915,-12.574,4.882,-28.992,0,0,0,
,-0.053,-0.433,0.914,-12.452,8.972,-29.297,0,0,0,
,-0.047,-0.438,0.923,-14.405,10.009,-28.809,0,0,0,
,-0.05,-0.438,0.928,-14.283,7.629,-28.748,0,0,0,
,-0.046,-0.44,0.928,-14.832,9.338,-28.077,0,0,0,
,-0.042,-0.432,0.916,-14.405,9.033,-27.1,0,0,0,
,-0.039,-0.428,0.912,-13.977,5.615,-30.457,0,0,0,
,-0.044,-0.425,0.914,-13.672,0.732,-30.03,0,0,0,
,-0.047,-0.438,0.928,-8.667,3.662,-28.199,0,0,0,
,-0.052,-0.44,0.935,-12.33,1.648,-29.969,0,0,0,
,-0.053,-0.436,0.927,-14.527,2.441,-27.955,0,0,0,
,-0.054,-0.429,0.91,-10.682,2.746,-27.832,0,0,0,
,-0.053,-0.428,0.904,-5.555,7.202,-28.443,0,0,0,
,-0.044,-0.433,0.912,-3.785,7.934,-29.541,0,0,0,
,-0.044,-0.441,0.922,-11.963,3.723,-29.847,0,0,0,
,-0.047,-0.439,0.923,-18.677,0.183,-31.617,0,0,0,
,-0.056,-0.421,0.911,-28.077,-3.479,-27.894,0,0,0,
,-0.061,-0.412,0.91,-22.156,-0.367,-31.128,0,0,0,
,-0.056,-0.424,0.913,-8.057,3.051,-30.091,0,0,0,
,-0.048,-0.441,0.924,-1.77,7.141,-27.283,0,0,0,
,-0.041,-0.462,0.933,-5.188,10.315,-28.748,0,0,0,
,-0.039,-0.468,0.946,-18.616,3.967,-26.062,0,0,0,
,-0.043,-0.455,0.944,-31.067,1.281,-25.757,0,0,0,
,-0.05,-0.425,0.927,-26.856,-6.714,-25.391,0,0,0,
,-0.059,-0.414,0.917,-14.283,-0.123,-24.17,0,0,0,
