TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.101,0.352,0.955,-12.085,14.221,-31.128,
00:00:00:16,-0.107,0.354,0.949,-5.86,9.216,-34.424,
00:00:00:33,-0.111,0.355,0.951,2.685,10.559,-38.88,
00:00:00:50,-0.095,0.355,0.936,8.667,15.075,-33.692,
00:00:00:66,-0.106,0.358,0.947,14.099,17.517,-30.396,
00:00:00:83,-0.11,0.361,0.937,13.732,28.625,-27.344,
00:00:00:100,-0.106,0.368,0.934,12.634,30.7,-26.551,
00:00:00:116,-0.109,0.37,0.928,8.972,30.822,-23.743,
00:00:00:133,-0.097,0.345,0.933,5.615,36.621,-24.17,
00:00:00:150,-0.091,0.369,0.931,-4.212,29.357,-25.879,
00:00:00:166,-0.097,0.364,0.931,-15.198,12.634,-24.598,
00:00:00:183,-0.103,0.366,0.933,-30.762,13.671,-26.49,
00:00:00:200,-0.104,0.364,0.918,-41.016,4.15,-28.992,
00:00:00:216,-0.1,0.365,0.922,-29.908,-2.503,-33.387,
00:00:00:233,-0.097,0.366,0.928,-25.818,-9.339,-32.349,
00:00:00:250,-0.099,0.366,0.934,-27.344,-9.766,-30.335,
00:00:00:266,-0.106,0.362,0.931,-34.729,-13.672,-27.283,
00:00:00:283,-0.105,0.361,0.935,-31.678,-12.818,-23.316,
00:00:00:300,-0.103,0.36,0.942,-28.077,-10.865,-24.231,
00:00:00:316,-0.105,0.359,0.935,-23.438,-8.484,-20.508,
00:00:00:333,-0.107,0.362,0.937,-23.804,-6.226,-22.461,
00:00:00:350,-0.107,0.373,0.939,-25.513,-1.16,-25.147,
00:00:00:366,-0.107,0.379,0.938,-24.842,-1.038,-23.499,
00:00:00:383,-0.114,0.377,0.938,-22.461,-0.611,-18.982,
00:00:00:400,-0.117,0.367,0.938,-26.49,1.281,-16.053,
00:00:00:416,-0.116,0.358,0.928,-26.49,2.99,-19.532,
00:00:00:433,-0.11,0.354,0.927,-30.396,7.446,-18.372,
00:00:00:450,-0.11,0.356,0.922,-26.856,1.098,-18.311,
00:00:00:466,-0.113,0.365,0.922,-22.339,1.22,-19.41,
00:00:00:483,-0.114,0.372,0.927,-18.311,-4.273,-21.851,
00:00:00:500,-0.121,0.375,0.922,-25.574,-4.517,-22.339,
00:00:00:516,-0.124,0.381,0.937,-26.978,2.563,-25.635,
00:00:00:533,-0.113,0.379,0.936,-27.405,1.709,-28.016,
00:00:00:550,-0.115,0.345,0.934,-31.434,15.075,-27.527,
00:00:00:566,-0.122,0.374,0.929,-37.11,-3.907,-26.429,
00:00:00:583,-0.123,0.371,0.919,-34.607,-2.015,-26.795,
00:00:00:600,-0.12,0.37,0.922,-28.077,5.615,-27.588,
00:00:00:616,-0.119,0.374,0.929,-23.011,5.371,-28.87,
00:00:00:633,-0.116,0.369,0.942,-12.024,2.868,-30.457,
00:00:00:650,-0.114,0.367,0.945,-19.349,4.943,-32.227,
00:00:00:666,-0.112,0.371,0.937,-28.016,5.127,-31.983,
00:00:00:683,-0.116,0.377,0.927,-25.635,8.667,-31.922,
00:00:00:700,-0.118,0.376,0.924,-18.799,7.934,-31.983,
00:00:00:716,-0.12,0.344,0.931,-15.503,3.601,-30.274,
00:00:00:733,-0.124,0.377,0.933,-12.207,8.056,-29.664,
00:00:00:750,-0.121,0.374,0.933,-15.015,9.521,-30.823,
00:00:00:766,-0.119,0.369,0.928,-14.222,10.376,-30.762,
00:00:00:783,-0.122,0.366,0.922,-21.302,3.784,-28.748,
00:00:00:800,-0.125,0.367,0.919,-26.429,7.324,-28.809,
00:00:00:816,-0.122,0.37,0.912,-26.307,5.31,-27.466,
00:00:00:833,-0.122,0.377,0.921,-15.503,10.07,-26.062,
00:00:00:850,-0.121,0.377,0.933,-2.137,8.056,-25.025,
00:00:00:866,-0.115,0.383,0.963,19.653,14.221,-16.846,
00:00:00:883,-0.111,0.377,0.982,30.09,3.967,-3.968,
00:00:00:900,-0.116,0.354,0.973,33.447,-4.944,-7.019,
00:00:00:916,-0.117,0.334,0.959,20.874,7.69,-9.888,
00:00:00:933,-0.108,0.335,0.945,-9.766,16.784,-10.621,
00:00:00:950,-0.102,0.363,0.936,-11.353,30.151,-12.024,
00:00:00:966,-0.104,0.381,0.932,19.836,31.066,-16.358,
00:00:00:983,-0.104,0.377,0.936,36.071,28.015,-16.907,
00:00:01:0,-0.115,0.366,0.934,29.846,26.855,-16.053,
00:00:01:16,-0.129,0.361,0.924,4.638,25.451,-14.588,
00:00:01:33,-0.138,0.361,0.917,-15.809,33.935,-13.977,
00:00:01:50,-0.124,0.366,0.91,-17.579,41.259,-18.433,
00:00:01:66,-0.124,0.36,0.904,-10.071,36.315,-19.776,
