TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.087,0.328,0.95,-25.513,12.817,-34.058,0,0,0,
,-0.09,0.33,0.952,-21.302,10.437,-30.213,0,0,0,
,-0.085,0.327,0.955,-18.921,6.774,-32.532,0,0,0,
,-0.082,0.323,0.949,-23.987,5.92,-32.166,0,0,0,
,-0.085,0.318,0.943,-28.382,4.333,-31.495,0,0,0,
,-0.089,0.32,0.949,-32.593,4.272,-33.143,0,0,0,
,-0.084,0.32,0.947,-29.664,2.441,-33.509,0,0,0,
,-0.083,0.322,0.95,-26.734,3.845,-34.058,0,0,0,
,-0.084,0.325,0.955,-32.349,4.516,-37.232,0,0,0,
,-0.084,0.324,0.955,-29.175,4.516,-34.607,0,0,0,
,-0.085,0.325,0.96,-21.729,4.638,-36.56,0,0,0,
,-0.087,0.318,0.95,-20.813,6.774,-34.424,0,0,0,
,-0.09,0.317,0.946,-28.748,7.568,-35.828,0,0,0,
,-0.09,0.328,0.94,-28.565,5.859,-35.462,0,0,0,
,-0.09,0.33,0.947,-27.1,10.681,-30.701,0,0,0,
,-0.085,0.332,0.97,-11.475,15.014,-16.724,0,0,0,
,-0.082,0.339,0.988,22.888,13.671,-3.907,0,0,0,
,-0.076,0.321,0.979,49.56,17.456,-1.404,0,0,0,
,-0.082,0.29,0.96,52.368,20.019,-2.686,0,0,0,
,-0.087,0.287,0.937,28.503,24.536,-5.738,0,0,0,
,-0.083,0.308,0.932,8.178,29.602,-11.902,0,0,0,
,-0.08,0.33,0.948,17.211,33.508,-12.024,0,0,0,
,-0.088,0.332,0.955,13.732,33.203,-12.879,0,0,0,
,-0.089,0.323,0.964,-0.916,35.034,-22.095,0,0,0,
,-0.087,0.326,0.945,-8.912,21.911,-24.231,0,0,0,
,-0.084,0.322,0.944,-2.564,16.479,-25.513,0,0,0,
,-0.082,0.316,0.953,-2.076,14.77,-27.344,0,0,0,
,-0.082,0.303,0.955,-1.648,10.253,-29.297,0,0,0,
,-0.08,0.3,0.963,-2.015,7.873,-35.767,0,0,0,
,-0.078,0.302,0.963,-14.832,7.69,-38.086,0,0,0,
,-0.078,0.31,0.957,-24.109,8.789,-40.223,0,0,0,
,-0.077,0.311,0.942,-32.471,13.732,-40.284,0,0,0,
,-0.08,0.315,0.95,-28.337,3186.736,14202.754,0,0,0,
,-0.088,0.31,0.957,-12.574,12.146,-39.124,0,0,0,
,-0.082,0.313,0.959,-17.64,12.268,-39.185,0,0,0,
,-0.087,0.325,0.946,-18.982,11.962,-53.711,0,0,0,
,-0.09,0.345,0.956,-7.081,2.258,-45.533,0,0,0,
,-0.09,0.335,0.956,7.751,0.427,-39.673,0,0,0,
,-0.089,0.304,0.96,10.864,4.882,-32.593,0,0,0,
,-0.08,0.288,0.966,-3.846,8.667,-30.701,0,0,0,
,-0.073,0.284,0.961,-16.175,13,-26.429,0,0,0,
,-0.068,0.288,0.96,-19.349,13.488,-29.664,0,0,0,
,-0.072,0.291,0.954,-17.212,15.075,-29.358,0,0,0,
,-0.08,0.3,0.957,-19.776,18.493,-32.41,0,0,0,
,-0.079,0.318,0.956,-21.973,17.334,-36.316,0,0,0,
,-0.079,0.322,0.966,-21.058,16.906,-34.913,0,0,0,
,-0.082,0.327,0.956,-13.489,15.319,-35.889,0,0,0,
,-0.088,0.315,0.955,-15.076,11.84,-32.654,0,0,0,
,-0.085,0.312,0.948,-17.151,17.028,-32.959,0,0,0,
,-0.082,0.306,0.951,-18.25,13.305,-31.617,0,0,0,
,-0.078,0.34,0.957,-16.541,12.023,-32.349,0,0,0,
,-0.079,0.307,0.959,-13.306,11.169,-31.922,0,0,0,
,-0.075,0.309,0.961,-15.748,12.634,-30.762,0,0,0,
,-0.075,0.307,0.956,-18.128,7.995,-30.579,0,0,0,
,-0.078,0.307,0.957,-17.395,11.413,-32.593,0,0,0,
,-0.078,0.316,0.956,-19.288,10.07,-32.959,0,0,0,
,-0.079,0.318,0.946,-25.757,11.779,-33.387,0,0,0,
,-0.082,0.32,0.946,-26.123,12.146,-32.349,0,0,0,
,-0.08,0.318,0.954,-23.56,12.207,-35.462,0,0,0,
,-0.077,0.307,0.966,-16.053,11.657,-32.837,0,0,0,
,-0.077,0.299,0.959,-22.644,11.718,-34.058,0,0,0,
,-0.079,0.314,0.95,-16.846,10.803,-33.509,0,0,0,
,-0.076,0.317,0.953,-18.25,9.46,-34.119,0,0,0,
,-0.077,0.319,0.957,-19.776,12.329,-33.081,0,0,0,
,-0.075,0.318,0.959,-23.56,11.779,-32.654,0,0,0,
,-0.078,0.316,0.957,-24.659,10.437,-33.387,0,0,0,
,-0.08,0.312,0.951,-25.208,11.474,-30.396,0,0,0,
,-0.08,0.31,0.946,-25.208,12.451,-33.02,0,0,0,
,-0.079,0.316,0.946,-21.607,11.23,-32.349,0,0,0,
,-0.082,0.318,0.953,-19.043,7.568,-31.434,0,0,0,
,-0.086,0.317,0.955,-11.109,6.286,-30.274,0,0,0,
