TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.135,-0.07,1.006,-8.179,6.469,-28.138,0,0,0,
,0.131,-0.077,1.002,-7.752,0.915,-32.105,0,0,0,
,0.123,-0.085,1.002,-8.606,0,-35.218,0,0,0,
,0.115,-0.091,0.992,-4.029,2.807,-35.767,0,0,0,
,0.111,-0.1,0.966,-28.443,11.108,-34.241,0,0,0,
,0.123,-0.081,0.969,-48.34,21.972,-33.814,0,0,0,
,0.133,-0.054,0.998,-26.49,15.136,-39.612,0,0,0,
,0.132,-0.069,1.01,-4.639,11.535,-41.504,0,0,0,
,0.131,-0.075,1.012,-20.203,5.371,-34.546,0,0,0,
,0.132,-0.056,1.012,-35.218,7.507,-27.039,0,0,0,
,0.13,-0.049,1.001,-21.851,5.92,-29.664,0,0,0,
,0.125,-0.066,0.998,0.732,8.056,-33.936,0,0,0,
,0.123,-0.086,0.998,-2.381,9.033,-37.781,0,0,0,
,0.123,-0.083,0.999,-20.874,12.207,-37.232,0,0,0,
,0.123,-0.07,1,-26.917,11.413,-38.697,0,0,0,
,0.122,-0.063,1.003,-25.879,12.146,-35.767,0,0,0,
,0.128,-0.067,0.994,-18.25,15.686,-31.739,0,0,0,
,0.129,-0.074,0.985,-11.963,13.549,-31.678,0,0,0,
,0.129,-0.089,0.984,-36.56,17.15,-34.424,0,0,0,
,0.123,-0.065,0.992,-48.401,4.821,-30.701,0,0,0,
,0.118,-0.052,1.01,-24.598,14.77,-31.739,0,0,0,
,0.126,-0.064,1.014,-7.264,21.24,-30.701,0,0,0,
,0.139,-0.073,1.014,-16.175,18.31,-26.612,0,0,0,
,0.137,-0.067,1.024,-27.649,5.554,-23.987,0,0,0,
,0.129,-0.062,1.016,-20.63,0.427,-22.217,0,0,0,
,0.128,-0.067,0.996,-14.588,19.836,-29.847,0,0,0,
,0.137,-0.069,0.999,-13.794,18.066,-34.363,0,0,0,
,0.134,-0.069,0.996,-17.456,9.033,-36.499,0,0,0,
,0.124,-0.067,1.001,-23.987,5.31,-33.02,0,0,0,
,0.124,-0.062,1.001,-28.077,13.061,-30.884,0,0,0,
,0.126,-0.062,0.992,-26.734,18.554,-29.664,0,0,0,
,0.133,-0.065,0.988,-18.311,17.7,-31.311,0,0,0,
,0.136,-0.075,0.99,-14.71,12.512,-32.044,0,0,0,
,0.135,-0.074,0.991,-18.189,8.361,-30.213,0,0,0,
,0.128,-0.071,0.998,-20.203,3.601,-34.18,0,0,0,
,0.124,-0.069,1.003,-20.386,5.065,-33.081,0,0,0,
,0.12,-0.064,1.003,-20.142,10.437,-31.311,0,0,0,
,0.127,-0.062,1.009,-18.677,12.634,-31.8,0,0,0,
,0.134,-0.064,0.995,-12.513,16.784,-31.8,0,0,0,
,0.135,-0.068,0.995,-12.391,10.192,-34.302,0,0,0,
,0.132,-0.062,0.996,-16.846,8.117,-36.377,0,0,0,
,0.127,-0.064,1.001,-16.419,11.169,-36.622,0,0,0,
,0.126,-0.067,0.998,-14.344,13.732,-36.194,0,0,0,
,0.126,-0.069,1,-14.771,17.028,-38.575,0,0,0,
,0.128,-0.074,1,-16.968,15.258,-36.194,0,0,0,
,0.132,-0.075,0.998,-20.569,13.061,-34.119,0,0,0,
,0.13,-0.062,0.998,-17.579,9.338,-36.255,0,0,0,
,0.13,-0.06,0.998,-12.33,10.131,-32.776,0,0,0,
,0.132,-0.062,1.003,-7.386,13.427,-31.617,0,0,0,
,0.137,-0.065,1.006,-17.334,9.704,-36.805,0,0,0,
,0.132,-0.072,0.998,-11.902,4.211,-37.293,0,0,0,
,0.124,-0.076,0.999,-13.123,0.793,-36.499,0,0,0,
,0.125,-0.066,1,-4.7,5.554,-36.255,0,0,0,
,0.124,-0.074,1.002,-3.418,8.178,-35.462,0,0,0,
,0.121,-0.078,0.996,-8.912,12.023,-33.997,0,0,0,
,0.127,-0.071,0.994,-16.663,13.977,-33.692,0,0,0,
,0.13,-0.071,0.998,-15.809,15.625,-35.34,0,0,0,
,0.134,-0.067,0.999,-0.916,10.559,-32.288,0,0,0,
,0.131,-0.068,1,-15.87,11.23,-31.128,0,0,0,
,0.129,-0.069,0.999,-19.776,8.3,-32.227,0,0,0,
,0.127,-0.068,1.003,-16.663,9.033,-30.762,0,0,0,
,0.127,-0.064,1.003,-11.719,7.812,-35.157,0,0,0,
,0.128,-0.069,1.007,-12.696,11.657,-31.128,0,0,0,
,0.129,-0.072,0.968,-14.161,11.779,-30.64,0,0,0,
,0.13,-0.073,0.99,-16.358,13.488,-28.626,0,0,0,
,0.131,-0.077,0.99,-16.175,13.061,-33.204,0,0,0,
,0.13,-0.071,0.999,-26.978,18.493,-35.523,0,0,0,
,0.127,-0.064,1.009,-27.894,17.15,-35.95,0,0,0,
,0.126,-0.065,1.015,-33.265,17.15,-33.448,0,0,0,
,0.129,-0.059,1.005,-34.546,18.493,-28.382,0,0,0,
,0.134,-0.053,1,-16.663,12.146,-16.236,0,0,0,
,0.129,-0.069,0.992,-3.418,11.413,-33.57,0,0,0,
,0.128,-0.078,0.989,-15.442,9.704,-34.241,0,0,0,
,0.129,-0.071,0.991,-22.583,14.648,-31.067,0,0,0,
,0.129,-0.07,0.998,-25.269,13.916,-29.297,0,0,0,
,0.13,-0.069,1.029,-20.813,13.183,-31.006,0,0,0,
,0.13,-0.068,1.008,-17.456,12.39,-33.204,0,0,0,
,0.13,-0.067,1.009,-17.762,11.108,-32.349,0,0,0,
,0.13,-0.066,1.003,-17.029,8.667,-32.044,0,0,0,
,0.127,-0.062,0.99,-14.344,7.141,-33.387,0,0,0,
,0.123,-0.063,0.988,-11.048,11.657,-33.509,0,0,0,
,0.128,-0.071,0.99,-9.461,16.662,-34.363,0,0,0,
,0.138,-0.079,0.998,-26.246,22.338,-33.692,0,0,0,
,0.142,-0.065,1.01,-32.959,13.916,-35.95,0,0,0,
,0.135,-0.055,1.01,-21.851,2.319,-31.617,0,0,0,
,0.126,-0.052,1.002,-7.691,4.15,-35.401,0,0,0,
