TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.135,-0.07,1.006,-8.179,6.469,-28.138,
00:00:00:16,0.131,-0.077,1.002,-7.752,0.915,-32.105,
00:00:00:33,0.123,-0.085,1.002,-8.606,0,-35.218,
00:00:00:50,0.115,-0.091,0.992,-4.029,2.807,-35.767,
00:00:00:66,0.111,-0.1,0.966,-28.443,11.108,-34.241,
00:00:00:83,0.123,-0.081,0.969,-48.34,21.972,-33.814,
00:00:00:100,0.133,-0.054,0.998,-26.49,15.136,-39.612,
00:00:00:116,0.132,-0.069,1.01,-4.639,11.535,-41.504,
00:00:00:133,0.131,-0.075,1.012,-20.203,5.371,-34.546,
00:00:00:150,0.132,-0.056,1.012,-35.218,7.507,-27.039,
00:00:00:166,0.13,-0.049,1.001,-21.851,5.92,-29.664,
00:00:00:183,0.125,-0.066,0.998,0.732,8.056,-33.936,
00:00:00:200,0.123,-0.086,0.998,-2.381,9.033,-37.781,
00:00:00:216,0.123,-0.083,0.999,-20.874,12.207,-37.232,
00:00:00:233,0.123,-0.07,1,-26.917,11.413,-38.697,
00:00:00:250,0.122,-0.063,1.003,-25.879,12.146,-35.767,
00:00:00:266,0.128,-0.067,0.994,-18.25,15.686,-31.739,
00:00:00:283,0.129,-0.074,0.985,-11.963,13.549,-31.678,
00:00:00:300,0.129,-0.089,0.984,-36.56,17.15,-34.424,
00:00:00:316,0.123,-0.065,0.992,-48.401,4.821,-30.701,
00:00:00:333,0.118,-0.052,1.01,-24.598,14.77,-31.739,
00:00:00:350,0.126,-0.064,1.014,-7.264,21.24,-30.701,
00:00:00:366,0.139,-0.073,1.014,-16.175,18.31,-26.612,
00:00:00:383,0.137,-0.067,1.024,-27.649,5.554,-23.987,
00:00:00:400,0.129,-0.062,1.016,-20.63,0.427,-22.217,
00:00:00:416,0.128,-0.067,0.996,-14.588,19.836,-29.847,
00:00:00:433,0.137,-0.069,0.999,-13.794,18.066,-34.363,
00:00:00:450,0.134,-0.069,0.996,-17.456,9.033,-36.499,
00:00:00:466,0.124,-0.067,1.001,-23.987,5.31,-33.02,
00:00:00:483,0.124,-0.062,1.001,-28.077,13.061,-30.884,
00:00:00:500,0.126,-0.062,0.992,-26.734,18.554,-29.664,
00:00:00:516,0.133,-0.065,0.988,-18.311,17.7,-31.311,
00:00:00:533,0.136,-0.075,0.99,-14.71,12.512,-32.044,
00:00:00:550,0.135,-0.074,0.991,-18.189,8.361,-30.213,
00:00:00:566,0.128,-0.071,0.998,-20.203,3.601,-34.18,
00:00:00:583,0.124,-0.069,1.003,-20.386,5.065,-33.081,
00:00:00:600,0.12,-0.064,1.003,-20.142,10.437,-31.311,
00:00:00:616,0.127,-0.062,1.009,-18.677,12.634,-31.8,
00:00:00:633,0.134,-0.064,0.995,-12.513,16.784,-31.8,
00:00:00:650,0.135,-0.068,0.995,-12.391,10.192,-34.302,
00:00:00:666,0.132,-0.062,0.996,-16.846,8.117,-36.377,
00:00:00:683,0.127,-0.064,1.001,-16.419,11.169,-36.622,
00:00:00:700,0.126,-0.067,0.998,-14.344,13.732,-36.194,
00:00:00:716,0.126,-0.069,1,-14.771,17.028,-38.575,
00:00:00:733,0.128,-0.074,1,-16.968,15.258,-36.194,
00:00:00:750,0.132,-0.075,0.998,-20.569,13.061,-34.119,
00:00:00:766,0.13,-0.062,0.998,-17.579,9.338,-36.255,
00:00:00:783,0.13,-0.06,0.998,-12.33,10.131,-32.776,
00:00:00:800,0.132,-0.062,1.003,-7.386,13.427,-31.617,
00:00:00:816,0.137,-0.065,1.006,-17.334,9.704,-36.805,
00:00:00:833,0.132,-0.072,0.998,-11.902,4.211,-37.293,
00:00:00:850,0.124,-0.076,0.999,-13.123,0.793,-36.499,
00:00:00:866,0.125,-0.066,1,-4.7,5.554,-36.255,
00:00:00:883,0.124,-0.074,1.002,-3.418,8.178,-35.462,
00:00:00:900,0.121,-0.078,0.996,-8.912,12.023,-33.997,
00:00:00:916,0.127,-0.071,0.994,-16.663,13.977,-33.692,
00:00:00:933,0.13,-0.071,0.998,-15.809,15.625,-35.34,
00:00:00:950,0.134,-0.067,0.999,-0.916,10.559,-32.288,
00:00:00:966,0.131,-0.068,1,-15.87,11.23,-31.128,
00:00:00:983,0.129,-0.069,0.999,-19.776,8.3,-32.227,
00:00:01:0,0.127,-0.068,1.003,-16.663,9.033,-30.762,
00:00:01:16,0.127,-0.064,1.003,-11.719,7.812,-35.157,
00:00:01:33,0.128,-0.069,1.007,-12.696,11.657,-31.128,
00:00:01:50,0.129,-0.072,0.968,-14.161,11.779,-30.64,
00:00:01:66,0.13,-0.073,0.99,-16.358,13.488,-28.626,
00:00:01:83,0.131,-0.077,0.99,-16.175,13.061,-33.204,
00:00:01:100,0.13,-0.071,0.999,-26.978,18.493,-35.523,
00:00:01:116,0.127,-0.064,1.009,-27.894,17.15,-35.95,
00:00:01:133,0.126,-0.065,1.015,-33.265,17.15,-33.448,
00:00:01:150,0.129,-0.059,1.005,-34.546,18.493,-28.382,
00:00:01:166,0.134,-0.053,1,-16.663,12.146,-16.236,
00:00:01:183,0.129,-0.069,0.992,-3.418,11.413,-33.57,
00:00:01:200,0.128,-0.078,0.989,-15.442,9.704,-34.241,
00:00:01:216,0.129,-0.071,0.991,-22.583,14.648,-31.067,
00:00:01:233,0.129,-0.07,0.998,-25.269,13.916,-29.297,
00:00:01:250,0.13,-0.069,1.029,-20.813,13.183,-31.006,
00:00:01:266,0.13,-0.068,1.008,-17.456,12.39,-33.204,
00:00:01:283,0.13,-0.067,1.009,-17.762,11.108,-32.349,
00:00:01:300,0.13,-0.066,1.003,-17.029,8.667,-32.044,
00:00:01:316,0.127,-0.062,0.99,-14.344,7.141,-33.387,
00:00:01:333,0.123,-0.063,0.988,-11.048,11.657,-33.509,
00:00:01:350,0.128,-0.071,0.99,-9.461,16.662,-34.363,
00:00:01:366,0.138,-0.079,0.998,-26.246,22.338,-33.692,
00:00:01:383,0.142,-0.065,1.01,-32.959,13.916,-35.95,
00:00:01:400,0.135,-0.055,1.01,-21.851,2.319,-31.617,
00:00:01:416,0.126,-0.052,1.002,-7.691,4.15,-35.401,
00:00:01:433,0.123,-0.064,0.987,-2.259,9.643,-36.866,
00:00:01:450,0.124,-0.072,0.99,-4.578,15.441,-36.133,
00:00:01:466,0.132,-0.078,0.985,-17.029,11.169,-40.162,
00:00:01:483,0.136,-0.071,0.989,-23.499,10.864,-37.72,
00:00:01:500,0.13,-0.062,0.995,-20.325,11.779,-36.744,
00:00:01:516,0.127,-0.068,1,-11.048,13.977,-38.697,
00:00:01:533,0.129,-0.07,1.002,-18.311,17.517,-38.88,
00:00:01:550,0.131,-0.064,1.017,-22.644,15.991,-36.683,
00:00:01:566,0.131,-0.057,1.014,-18.433,13.244,-35.706,
00:00:01:583,0.133,-0.057,0.999,-7.752,12.878,-30.884,
00:00:01:600,0.132,-0.065,0.992,-4.151,9.46,-33.204,
00:00:01:616,0.129,-0.078,0.986,-9.217,13.977,-29.969,
00:00:01:633,0.135,-0.076,0.994,-22.095,15.075,-31.189,
00:00:01:650,0.132,-0.066,0.97,-28.748,13,-32.166,
00:00:01:666,0.134,-0.058,1.005,-23.133,12.634,-33.02,
00:00:01:683,0.131,-0.057,1.006,-18.311,13.427,-32.715,
00:00:01:700,0.131,-0.064,1,-16.053,10.437,-34.363,
00:00:01:716,0.13,-0.063,1,-13.306,10.803,-36.56,
00:00:01:733,0.127,-0.07,1.001,-12.757,13.855,-36.133,
00:00:01:750,0.133,-0.072,0.996,-15.809,15.319,-36.622,
00:00:01:766,0.138,-0.066,0.998,-19.593,12.756,-34.241,
00:00:01:783,0.134,-0.062,0.996,-19.471,9.582,-35.218,
00:00:01:800,0.132,-0.064,1,-14.588,9.948,-33.509,
00:00:01:816,0.132,-0.067,0.998,-13.062,14.343,-34.485,
00:00:01:833,0.134,-0.067,1,-14.222,10.009,-34.119,
00:00:01:850,0.132,-0.068,1.03,-12.94,8.483,-35.523,
00:00:01:866,0.128,-0.067,1,-30.884,8.606,-34.668,
00:00:01:883,0.133,-0.064,1.001,-17.518,12.512,-34.302,
00:00:01:900,0.135,-0.062,1.002,-16.358,14.648,-31.25,
00:00:01:916,0.138,-0.066,0.995,-14.771,11.718,-31.556,
00:00:01:933,0.137,-0.064,1.001,-15.32,9.765,-33.326,
00:00:01:950,0.134,-0.065,1.002,-13.672,10.864,-32.959,
00:00:01:966,0.131,-0.064,1.003,-15.564,7.263,-29.725,
00:00:01:983,0.131,-0.062,1.001,-15.442,7.324,-33.143,
00:00:02:0,0.13,-0.061,0.993,-10.682,11.23,-33.57,
00:00:02:16,0.126,-0.069,0.998,-8.484,9.704,-33.143,
00:00:02:33,0.132,-0.072,0.994,-11.902,11.413,-33.204,
00:00:02:50,0.135,-0.073,0.998,-14.466,10.559,-30.945,
00:00:02:66,0.133,-0.07,1.001,-13.855,6.897,-29.786,
00:00:02:83,0.134,-0.066,1.003,-7.325,6.042,-30.823,
00:00:02:100,0.132,-0.068,1.005,-2.32,6.225,-28.626,
00:00:02:116,0.13,-0.07,1.006,1.77,6.164,-28.87,
00:00:02:133,0.127,-0.077,0.998,6.408,5.004,-26.856,
00:00:02:150,0.13,-0.084,0.987,6.408,5.737,-25.757,
00:00:02:166,0.13,-0.082,0.988,-2.869,8.85,-32.349,
00:00:02:183,0.134,-0.069,0.994,-18.128,10.559,-34.974,
00:00:02:200,0.131,-0.06,1.005,-23.682,8.544,-36.499,
00:00:02:216,0.134,-0.053,1.009,-17.395,14.587,-32.654,
00:00:02:233,0.135,-0.056,1.008,-10.132,14.16,-33.936,
00:00:02:250,0.134,-0.068,1.002,-10.56,9.643,-32.898,
00:00:02:266,0.134,-0.072,0.992,-8.179,10.437,-35.34,
00:00:02:283,0.13,-0.08,0.994,-7.386,6.591,-38.88,
00:00:02:300,0.13,-0.082,0.993,-13.489,12.878,-37.659,
00:00:02:316,0.13,-0.074,0.994,-20.386,14.892,-38.331,
00:00:02:333,0.135,-0.07,0.999,-20.874,16.235,-34.974,
00:00:02:350,0.14,-0.064,1.001,-17.029,10.253,-34.424,
00:00:02:366,0.134,-0.067,0.97,-6.165,6.774,-33.326,
00:00:02:383,0.13,-0.074,0.998,-6.165,5.615,-31.006,
00:00:02:400,0.131,-0.077,0.992,-10.865,6.286,-28.321,
00:00:02:416,0.134,-0.073,0.998,-10.193,10.437,-29.358,
00:00:02:433,0.132,-0.079,0.998,-11.597,15.38,-27.466,
00:00:02:450,0.128,-0.081,1,-24.292,16.662,-26.246,
00:00:02:466,0.131,-0.064,1.004,-23.743,16.967,-23.926,
00:00:02:483,0.137,-0.057,1.002,-11.109,13.061,-28.565,
00:00:02:500,0.134,-0.066,0.998,-4.334,7.141,-31.861,
00:00:02:516,0.129,-0.074,0.996,0.244,5.676,-35.706,
00:00:02:533,0.131,-0.08,0.989,-2.198,8.483,-38.697,
00:00:02:550,0.127,-0.084,0.993,-13.062,8.911,-39.978,
00:00:02:566,0.128,-0.082,0.996,-26.185,9.399,-38.269,
00:00:02:583,0.134,-0.07,0.998,-28.87,9.887,-34.852,
00:00:02:600,0.138,-0.062,0.997,-23.133,7.873,-33.692,
00:00:02:616,0.133,-0.069,0.996,-8.728,7.873,-31.983,
00:00:02:633,0.132,-0.079,0.992,-4.029,4.15,-32.41,
00:00:02:650,0.126,-0.082,0.992,-10.621,4.76,-31.983,
00:00:02:666,0.124,-0.082,0.992,-16.175,9.094,-30.884,
00:00:02:683,0.127,-0.076,0.996,-21.668,11.779,-32.41,
00:00:02:700,0.13,-0.076,1.005,-23.377,16.906,-32.593,
00:00:02:716,0.136,-0.072,1.008,-25.757,16.479,-34.79,
00:00:02:733,0.14,-0.061,1.001,-22.767,12.878,-33.936,
00:00:02:750,0.139,-0.069,0.994,-15.931,10.192,-35.096,
00:00:02:766,0.135,-0.074,1.005,-19.104,6.286,-37.598,
00:00:02:783,0.135,-0.091,1.01,-44.068,9.277,-34.485,
00:00:02:800,0.125,-0.05,1.004,-44.739,8.056,-28.687,
00:00:02:816,0.123,-0.055,0.992,-20.325,30.456,-31.495,
00:00:02:833,0.129,-0.063,0.982,-10.926,16.967,-33.143,
00:00:02:850,0.135,-0.066,0.986,-15.32,18.798,-31.495,
00:00:02:866,0.136,-0.072,0.99,-16.602,13,-29.725,
00:00:02:883,0.13,-0.074,1.003,-9.522,7.507,-24.964,
00:00:02:900,0.129,-0.079,1.001,-11.902,3.295,-27.894,
00:00:02:916,0.129,-0.086,1.002,-15.381,3.479,-30.64,
