TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.102,0.473,0.863,-43.58,-9.156,-16.053,
00:00:00:16,0.114,0.491,0.861,-63.233,-1.465,-21.668,
00:00:00:33,0.07,0.514,0.851,-83.619,-16.236,-32.105,
00:00:00:50,0.045,0.522,0.847,-39.673,-6.775,-23.804,
00:00:00:66,0.057,0.506,0.851,-20.569,3.295,-33.753,
00:00:00:83,0.063,0.502,0.853,-26.673,5.371,-39.49,
00:00:00:100,0.061,0.499,0.849,-25.879,5.859,-47.364,
00:00:00:116,0.061,0.495,0.856,-26.795,5.249,-56.031,
00:00:00:133,0.057,0.483,0.856,-31.678,1.22,-48.951,
00:00:00:150,0.058,0.498,0.854,-38.453,-1.893,-57.373,
00:00:00:166,0.065,0.492,0.861,-13.428,-0.306,-67.688,
00:00:00:183,0.074,0.506,0.871,-34.852,2.746,-43.763,
00:00:00:200,0.067,0.519,0.852,-54.993,5.432,-33.875,
00:00:00:216,0.062,0.521,0.844,-32.837,6.469,-21.119,
00:00:00:233,0.061,0.512,0.871,-11.963,5.371,-14.893,
00:00:00:250,0.064,0.503,0.876,-33.814,-2.808,-1.16,
00:00:00:266,0.063,0.506,0.875,-53.101,-15.381,11.718,
00:00:00:283,0.061,0.503,0.868,-62.012,-24.414,20.202,
00:00:00:300,0.052,0.517,0.846,-79.102,-35.706,25.878,
00:00:00:316,0.044,0.511,0.855,-28.016,-49.805,11.779,
00:00:00:333,0.049,0.496,0.877,-43.091,-42.908,42.968,
00:00:00:350,0.049,0.504,0.835,-97.352,-41.687,29.235,
00:00:00:366,0.055,0.517,0.821,-97.84,-40.528,20.446,
00:00:00:383,0.053,0.514,0.853,-46.082,-40.894,24.719,
00:00:00:400,0.061,0.548,0.868,-144.593,-48.279,30.029,
00:00:00:416,0.058,0.5,0.833,-251.893,-52.124,-22.4,
00:00:00:433,0.036,0.473,0.842,-347.474,-40.406,19.348,
00:00:00:450,0.007,0.467,0.825,-543.457,-12.635,132.324,
00:00:00:466,0.004,0.548,0.777,-785.889,13.855,296.142,
00:00:00:483,-0.026,0.754,0.709,-1025.086,23.864,348.266,
00:00:00:500,-0.038,0.773,0.663,-1022.034,13.427,467.407,
00:00:00:516,-0.086,0.912,0.593,-961.792,31.799,312.439,
00:00:00:533,-0.098,0.894,0.574,-739.075,54.931,226.806,
00:00:00:550,-0.086,0.726,0.6,-430.054,83.435,224.243,
00:00:00:566,-0.032,0.672,0.659,-371.155,82.031,137.207,
00:00:00:583,-0.027,0.775,0.707,-462.586,74.829,200.073,
00:00:00:600,-0.06,0.758,0.68,-411.744,28.015,95.336,
00:00:00:616,-0.086,0.766,0.727,-385.132,40.527,126.281,
00:00:00:633,-0.102,0.707,0.584,-516.663,111.145,150.695,
00:00:00:650,-0.121,0.801,0.484,-666.626,125.732,286.499,
00:00:00:666,-0.073,0.891,0.512,-704.59,141.113,314.453,
00:00:00:683,-0.059,0.949,0.488,-579.285,166.442,279.052,
00:00:00:700,-0.065,0.962,0.44,-419.8,174.865,265.564,
00:00:00:716,-0.056,0.941,0.47,-204.468,167.236,203.43,
00:00:00:733,-0.015,0.884,0.659,13.244,168.823,122.558,
00:00:00:750,0.005,0.764,0.729,34.545,117.981,104.248,
00:00:00:766,0.008,0.66,0.657,-105.103,73.12,79.773,
00:00:00:783,-0.017,0.693,0.602,-253.724,24.658,105.957,
00:00:00:800,-0.077,0.829,0.502,-247.315,33.874,127.441,
00:00:00:816,-0.119,0.908,0.462,-44.19,68.725,75.683,
00:00:00:833,-0.111,0.805,0.511,177.307,113.647,51.635,
00:00:00:850,-0.091,0.736,0.562,190.185,121.765,15.197,
00:00:00:866,-0.098,0.748,0.57,12.268,125.305,-1.343,
