TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.045,0.164,0.997,-28.382,-6.531,-43.213,0,0,0,
,0.041,0.167,0.996,-17.09,-2.381,-41.565,0,0,0,
,0.041,0.158,0.996,-11.475,-3.54,-39.917,0,0,0,
,0.036,0.16,0.994,-11.902,-1.709,-37.964,0,0,0,
,0.03,0.163,0.998,-11.963,-0.672,-34.485,0,0,0,
,0.036,0.162,0.997,-5.799,7.08,-36.438,0,0,0,
,0.044,0.153,0.998,-0.855,9.826,-34.79,0,0,0,
,0.049,0.149,0.997,-3.724,7.202,-34.974,0,0,0,
,0.044,0.143,0.995,-11.292,3.784,-34.058,0,0,0,
,0.035,0.149,0.995,-19.043,2.197,-33.692,0,0,0,
,0.034,0.162,1.001,-24.17,7.385,-33.936,0,0,0,
,0.036,0.169,0.998,-13.367,8.544,-33.02,0,0,0,
,0.041,0.162,0.997,-3.968,8.85,-32.105,0,0,0,
,0.042,0.151,0.996,-0.123,6.591,-35.401,0,0,0,
,0.036,0.147,0.997,-4.944,1.525,-32.715,0,0,0,
,0.038,0.15,0.999,-11.292,4.76,-33.204,0,0,0,
,0.039,0.154,1,-11.658,5.981,-36.133,0,0,0,
,0.045,0.159,0.994,-6.104,6.408,-36.377,0,0,0,
,0.045,0.151,0.995,-5.31,0.732,-35.401,0,0,0,
,0.04,0.152,0.997,-10.437,-3.296,-32.837,0,0,0,
,0.036,0.151,0.999,-18.128,-5.127,-33.997,0,0,0,
,0.036,0.156,0.995,-18.189,-5.616,-33.509,0,0,0,
,0.045,0.156,0.998,-15.625,-13.794,-37.72,0,0,0,
,0.046,0.145,0.992,-14.588,-19.349,-40.711,0,0,0,
,0.039,0.148,0.995,-16.968,-26.307,-44.312,0,0,0,
,0.034,0.156,0.994,-20.203,-32.532,-47.242,0,0,0,
,0.031,0.157,0.992,-19.043,-32.898,-46.143,0,0,0,
,0.024,0.163,1.002,-11.78,-29.114,-46.021,0,0,0,
,0.028,0.16,1.005,-4.456,-13.55,-43.824,0,0,0,
,0.03,0.145,1.001,-1.831,-10.498,-36.927,0,0,0,
,0.025,0.136,1.002,-3.846,-0.794,-29.297,0,0,0,
,0.025,0.137,1.004,-19.104,6.469,-23.438,0,0,0,
,0.026,0.142,1.003,-29.358,11.779,-20.997,0,0,0,
,0.027,0.147,0.999,-34.302,13.671,-19.288,0,0,0,
,0.029,0.153,0.998,-34.668,18.188,-13.489,0,0,0,
,0.028,0.159,0.994,-37.049,17.517,-14.893,0,0,0,
,0.028,0.167,0.996,-28.931,18.737,-8.179,0,0,0,
,0.027,0.166,0.998,-18.433,17.273,-5.799,0,0,0,
,0.029,0.164,0.996,-9.705,15.93,-6.897,0,0,0,
,0.033,0.15,0.996,-6.897,19.47,-7.935,0,0,0,
,0.035,0.143,0.998,-9.888,15.319,-9.034,0,0,0,
,0.03,0.146,1,-21.912,11.291,-12.94,0,0,0,
,0.028,0.158,0.999,-32.898,14.709,-18.006,0,0,0,
,0.026,0.169,0.999,-30.335,17.761,-22.217,0,0,0,
,0.031,0.173,0.997,-13.794,20.752,-23.865,0,0,0,
,0.035,0.167,0.992,-2.564,16.845,-28.138,0,0,0,
,0.034,0.156,0.998,-0.061,9.399,-31.617,0,0,0,
,0.033,0.151,0.997,-2.747,8.117,-36.072,0,0,0,
,0.032,0.151,1,-6.592,7.751,-39.795,0,0,0,
,0.031,0.145,0.999,-15.625,2.685,-39.917,0,0,0,
,0.028,0.143,0.999,-22.583,3.418,-42.786,0,0,0,
,0.029,0.151,1.003,-27.894,6.469,-42.481,0,0,0,
,0.028,0.156,1.002,-34.485,6.469,-38.819,0,0,0,
,0.034,0.157,0.999,-39.246,13.61,-32.166,0,0,0,
,0.034,0.161,0.991,-38.208,12.146,-31.006,0,0,0,
,0.037,0.158,0.994,-35.523,13.61,-33.814,0,0,0,
,0.034,0.163,0.99,-29.419,5.737,-30.152,0,0,0,
,0.03,0.161,0.994,-24.598,5.737,-31.8,0,0,0,
,0.028,0.159,0.997,-25.208,6.164,-30.701,0,0,0,
,0.029,0.16,0.996,-29.114,6.652,-29.358,0,0,0,
,0.03,0.161,0.998,-33.509,5.493,-31.25,0,0,0,
,0.033,0.165,1,-36.866,7.202,-29.847,0,0,0,
,0.03,0.166,0.995,-38.208,6.591,-26.978,0,0,0,
,0.034,0.163,0.994,-34.363,3.295,-26.978,0,0,0,
,0,0.161,0.998,-35.218,4.211,-27.161,0,0,0,
,0.032,0.163,0.998,-36.927,5.92,-27.894,0,0,0,
,0.03,0.163,0.997,-36.927,5.31,-28.504,0,0,0,
,0.026,0.166,0.998,-42.115,3.601,-27.344,0,0,0,
,0.029,0.165,0.995,-44.8,6.286,-26.123,0,0,0,
,0.03,0.17,0.995,-47.12,5.065,-23.804,0,0,0,
,0.032,0.17,0.994,-49.805,4.699,-22.461,0,0,0,
,0.032,0.173,0.988,-51.209,5.127,-22.034,0,0,0,
,0.03,0.175,0.994,-48.584,2.99,-23.56,0,0,0,
,0.028,0.178,0.992,-41.199,3.295,-22.4,0,0,0,
,0.026,0.185,0.998,-34.363,7.385,-24.659,0,0,0,
,0.026,0.184,0.994,-28.565,5.615,-26.062,0,0,0,
,0.028,0.181,0.996,-23.194,8.667,-27.649,0,0,0,
,0.027,0.178,0.995,-24.292,7.08,-25.757,0,0,0,
,0.026,0.177,0.991,-25.086,6.286,-26.307,0,0,0,
,0.029,0.18,0.991,-24.109,6.103,-28.321,0,0,0,
,0.029,0.178,0.995,-21.973,3.601,-26.307,0,0,0,
,0.031,0.177,0.997,-21.302,3.601,-27.1,0,0,0,
,0.028,0.178,0.992,-20.081,3.845,-25.635,0,0,0,
,0.025,0.178,0.994,-22.706,-0.977,-25.818,0,0,0,
,0.026,0.18,0.994,-24.903,3.662,-27.161,0,0,0,
,0.029,0.177,0.995,-29.48,1.037,-27.771,0,0,0,
,0.028,0.183,0.99,-31.861,-1.16,-28.138,0,0,0,
,0.03,0.178,0.992,-33.387,-8.362,-29.908,0,0,0,
,0.03,0.178,0.993,-37.049,-13.123,-27.832,0,0,0,
,0.028,0.177,0.988,-42.847,-19.349,-29.297,0,0,0,
,0.024,0.184,0.99,-45.472,-27.955,-30.213,0,0,0,
,0.02,0.192,0.99,-44.922,-30.335,-34.668,0,0,0,
,0.018,0.192,0.992,-42.298,-31.861,-37.842,0,0,0,
,0.015,0.183,0.993,-60.181,-37.659,-43.274,0,0,0,
,0.013,0.19,0.991,-70.191,-38.331,-44.373,0,0,0,
,0.012,0.191,0.993,-71.534,-37.72,-45.044,0,0,0,
,0.012,0.198,0.99,-70.74,-37.903,-39.673,0,0,0,
,0.004,0.197,0.992,-70.13,-35.889,-38.636,0,0,0,
,0.011,0.203,0.988,-63.294,-34.302,-33.936,0,0,0,
,0.007,0.228,0.984,-49.683,-32.776,-20.508,0,0,0,
,-0.011,0.194,0.995,-43.03,-31.739,-34.668,0,0,0,
,-0.005,0.219,0.994,-40.039,-13.55,-24.598,0,0,0,
,0.002,0.21,0.988,-31.983,-9.644,-30.335,0,0,0,
,-0.006,0.212,0.99,-24.414,-9.644,-24.598,0,0,0,
,-0.005,0.208,0.991,-21.485,-0.916,-23.804,0,0,0,
,-0.007,0.195,0.995,-26.795,-7.752,-17.762,0,0,0,
,-0.005,0.207,0.992,-22.95,7.141,-23.438,0,0,0,
,0.003,0.207,0.989,-29.053,5.554,-21.424,0,0,0,
,0.001,0.213,0.987,-27.71,3.356,-19.532,0,0,0,
,0.001,0.209,0.986,-25.635,0.915,-16.419,0,0,0,
,0.001,0.209,0.982,-24.964,-2.808,-16.724,0,0,0,
,-0.008,0.216,0.991,-25.757,-11.475,-22.217,0,0,0,
,-0.004,0.216,0.99,-23.56,-10.193,-27.894,0,0,0,
,-0.003,0.212,0.982,-18.799,-16.419,-28.443,0,0,0,
,-0.001,0.207,0.982,-23.621,-23.56,-27.222,0,0,0,
,-0.001,0.209,0.983,-29.236,-31.434,-28.992,0,0,0,
,-0.01,0.217,0.986,-32.532,-37.598,-32.837,0,0,0,
,-0.018,0.227,0.988,-26.917,-37.598,-37.72,0,0,0,
,-0.017,0.224,0.988,-12.574,-33.997,-39.429,0,0,0,
,-0.021,0.217,0.989,-1.465,-33.997,-40.772,0,0,0,
,-0.023,0.212,0.993,0.427,-35.584,-42.42,0,0,0,
,-0.024,0.206,0.987,-8.301,-32.288,-47.669,0,0,0,
,-0.016,0.221,0.986,-5.738,-33.936,-52.185,0,0,0,
,-0.019,0.215,0.981,3.112,-39.49,-51.331,0,0,0,
,-0.028,0.206,0.986,2.197,-41.382,-53.711,0,0,0,
,-0.034,0.209,0.991,-3.785,-37.537,-58.045,0,0,0,
,-0.04,0.208,0.994,-12.391,-32.349,-61.341,0,0,0,
,-0.061,0.203,0.978,-32.959,-41.748,-52.613,0,0,0,
,-0.042,0.299,0.988,-3.785,44.006,-84.107,0,0,0,
,-0.016,0.198,0.982,30.822,7.324,-62.5,0,0,0,
,-0.037,0.206,0.985,13.061,-10.193,-50.904,0,0,0,
,-0.045,0.205,1,11.535,8.483,-46.814,0,0,0,
,-0.03,0.195,0.99,5.554,19.226,-41.26,0,0,0,
,-0.03,0.195,0.992,-3.052,18.249,-36.011,0,0,0,
,-0.036,0.198,0.994,-11.414,20.629,-27.588,0,0,0,
,-0.037,0.197,0.991,-18.189,27.526,-21.546,0,0,0,
,-0.034,0.202,0.99,-25.574,29.907,-14.832,0,0,0,
,-0.032,0.208,0.992,-29.114,28.93,-14.039,0,0,0,
,-0.031,0.208,0.99,-31.739,32.836,-12.391,0,0,0,
,-0.028,0.212,0.986,-28.382,33.264,-12.574,0,0,0,
,-0.028,0.216,0.989,-23.072,34.362,-11.963,0,0,0,
,-0.026,0.21,0.988,-20.874,32.287,-15.442,0,0,0,
,-0.025,0.209,0.989,-20.142,27.771,-16.663,0,0,0,
,-0.025,0.207,0.989,-22.95,25.573,-19.715,0,0,0,
,-0.026,0.21,0.988,-20.02,20.935,-22.95,0,0,0,
,-0.024,0.213,0.986,-19.715,22.827,-24.964,0,0,0,
,-0.022,0.215,0.988,-15.259,16.113,-30.579,0,0,0,
