TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.178,-0.649,0.77,0.427,0.366,-36.56,0,0,0,
,-0.175,-0.651,0.769,0.427,0.427,-36.499,0,0,0,
,-0.178,-0.653,0.775,-3.174,-4.395,-36.683,0,0,0,
,-0.179,-0.652,0.77,-0.184,-3.663,-31.739,0,0,0,
,-0.173,-0.655,0.769,2.258,2.258,-29.786,0,0,0,
,-0.17,-0.626,0.762,2.868,5.188,-29.969,0,0,0,
,-0.173,-0.654,0.764,3.356,-0.916,-28.992,0,0,0,
,-0.184,-0.65,0.768,7.507,-6.836,-24.414,0,0,0,
,-0.19,-0.653,0.772,18.615,2.136,-17.212,0,0,0,
,-0.188,-0.656,0.766,25.207,18.127,-10.437,0,0,0,
,-0.179,-0.655,0.772,24.414,28.076,-8.423,0,0,0,
,-0.169,-0.66,0.763,17.883,22.766,-12.024,0,0,0,
,-0.172,-0.662,0.761,13.183,16.052,-16.968,0,0,0,
,-0.169,-0.662,0.76,-1.343,12.268,-25.818,0,0,0,
,-0.169,-0.66,0.757,-6.043,17.273,-34.668,0,0,0,
,-0.17,-0.66,0.755,-6.958,10.803,-39.185,0,0,0,
,-0.174,-0.663,0.757,-9.095,1.22,-41.871,0,0,0,
,-0.179,-0.664,0.76,-14.161,4.211,-41.687,0,0,0,
,-0.179,-0.664,0.764,-14.466,5.065,-37.171,0,0,0,
,-0.178,-0.662,0.756,-11.902,12.085,-31.678,0,0,0,
,-0.176,-0.655,0.757,-2.32,12.573,-27.222,0,0,0,
,-0.18,-0.648,0.768,18.127,16.235,-24.292,0,0,0,
,-0.178,-0.653,0.764,40.344,13.366,-23.194,0,0,0,
,-3.259,1.553,1.866,14723.024,9726.808,2344.211,0,0,0,
,-0.178,-0.684,0.767,-19.837,5.493,-33.692,0,0,0,
,-0.174,-0.659,0.756,-32.227,23.254,-36.744,0,0,0,
,-0.156,-0.647,0.759,-16.602,21.972,-39.124,0,0,0,
,-0.156,-0.657,0.754,6.164,-2.93,-41.748,0,0,0,
,-0.172,-0.672,0.755,15.564,-18.982,-39.917,0,0,0,
,-0.186,-0.683,0.756,6.836,-7.63,-38.208,0,0,0,
,-0.179,-0.678,0.752,-6.165,5.371,-36.072,0,0,0,
,-0.174,-0.672,0.752,-13.672,2.685,-38.086,0,0,0,
,-0.177,-0.668,0.753,-13.428,-3.296,-35.828,0,0,0,
,-0.181,-0.668,0.757,-12.574,1.281,-37.293,0,0,0,
,-0.178,-0.671,0.758,-10.254,9.582,-36.438,0,0,0,
,-0.173,-0.674,0.751,-11.719,15.014,-39.917,0,0,0,
,-0.181,-0.678,0.745,-15.442,22.705,-46.387,0,0,0,
,-0.193,-0.688,0.739,-19.532,40.527,-56.702,0,0,0,
,-0.193,-0.694,0.765,-52.857,79.711,-72.937,0,0,0,
,-0.184,-0.67,0.778,-87.281,111.389,-85.144,0,0,0,
,-0.173,-0.624,0.783,-82.52,123.535,-88.562,0,0,0,
,-0.172,-0.619,0.782,-47.73,125.976,-87.647,0,0,0,
,-0.176,-0.642,0.775,-9.766,123.413,-88.929,0,0,0,
,-0.175,-0.663,0.765,-2.259,129.272,-89.6,0,0,0,
