TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.026,-0.575,0.843,36.743,80.81,-88.135,
00:00:00:16,0.061,-0.621,0.828,54.687,65.795,-85.022,
00:00:00:33,0.035,-0.647,0.822,31.799,38.024,-75.318,
00:00:00:50,0.023,-0.626,0.796,-5.31,17.456,-63.599,
00:00:00:66,0.037,-0.631,0.817,-40.894,1.709,-45.044,
00:00:00:83,0.025,-0.593,0.834,-65.857,-26.856,-26.673,
00:00:00:100,0.011,-0.604,0.815,-50.11,-28.626,-8.973,
00:00:00:116,0.012,-0.652,0.804,-57.435,-35.035,-2.137,
00:00:00:133,-0.012,-0.651,0.793,-92.713,-37.842,-16.358,
00:00:00:150,0.003,-0.651,0.793,-108.582,-19.471,-36.438,
00:00:00:166,-0.024,-0.617,0.839,-160.889,-7.264,-48.279,
00:00:00:183,-0.022,-0.553,0.866,-200.501,21.057,-47.12,
00:00:00:200,0.001,-0.522,0.841,-152.344,25.512,-47.73,
00:00:00:216,0.012,-0.515,0.867,-108.277,-0.794,-47.913,
00:00:00:233,-0.008,-0.495,0.853,-55.054,-25.147,-38.758,
00:00:00:250,-0.025,-0.519,0.864,21.545,13.916,-27.527,
00:00:00:266,0.008,-0.554,0.853,64.819,52.49,-35.523,
00:00:00:283,0.02,-0.58,0.854,52.307,40.954,-31.311,
00:00:00:300,0.01,-0.56,0.857,42.846,32.836,-27.894,
00:00:00:316,-0.006,-0.519,0.866,62.561,39.55,-32.227,
00:00:00:333,-0.021,-0.597,0.85,94.848,72.753,-60.547,
00:00:00:350,0.014,-0.546,0.855,127.624,87.585,-46.265,
00:00:00:366,-0.025,-0.615,0.83,147.705,112.548,-64.331,
00:00:00:383,0.03,-0.684,0.854,101.928,124.206,-54.017,
00:00:00:400,-0.006,-0.583,0.79,91.43,100.769,-42.603,
00:00:00:416,0.047,-0.704,0.813,40.954,90.332,-33.326,
00:00:00:433,0.116,-0.631,0.824,-10.132,-6.47,-15.992,
00:00:00:450,-0.009,-0.491,0.831,56.823,-47.059,8.3,
00:00:00:466,0.027,-0.605,0.83,114.196,2.136,22.216,
00:00:00:483,0.054,-0.63,0.815,116.027,-31.922,22.522,
00:00:00:500,0.015,-0.635,0.807,105.407,-49.256,27.282,
00:00:00:516,0.011,-0.644,0.806,73.974,-38.392,25.39,
00:00:00:533,0.015,-0.642,0.808,54.382,-31.006,24.719,
00:00:00:550,0.021,-0.641,0.806,37.658,-28.87,19.714,
00:00:00:566,0.018,-0.642,0.804,21.179,-24.109,15.258,
00:00:00:583,0.011,-0.641,0.805,-4.151,-22.828,11.84,
00:00:00:600,0.018,-0.641,0.802,-46.936,-23.621,16.54,
00:00:00:616,0.016,-0.619,0.805,-63.416,-24.903,15.258,
00:00:00:633,0.025,-0.616,0.813,-71.106,-20.325,10.986,
00:00:00:650,0.029,-0.604,0.81,-65.796,-29.541,10.986,
00:00:00:666,0.021,-0.602,0.812,-41.077,-37.415,5.127,
00:00:00:683,0.012,-0.602,0.805,-22.461,-40.528,1.648,
00:00:00:700,-0.002,-0.607,0.816,-7.386,-35.096,3.723,
00:00:00:716,0.002,-0.625,0.813,-6.043,-25.33,-0.855,
00:00:00:733,0.01,-0.63,0.808,-11.353,-21.119,-7.752,
00:00:00:750,0.01,-0.634,0.809,-16.785,-17.029,-16.785,
00:00:00:766,0.011,-0.631,0.803,-31.861,-17.151,-21.241,
00:00:00:783,0.01,-0.628,0.803,-40.284,-19.593,-29.48,
00:00:00:800,0.004,-0.625,0.81,-44.922,-8.545,-44.922,
00:00:00:816,0.008,-0.619,0.808,-41.626,-7.264,-51.148,
00:00:00:833,0.005,-0.617,0.811,-38.269,-1.343,-64.698,
