TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.002,-0.389,0.943,-11.048,8.972,-29.908,
00:00:00:16,-0.002,-0.388,0.939,-11.17,7.995,-26.795,
00:00:00:33,-0.003,-0.392,0.942,-11.963,3.54,-27.649,
00:00:00:50,-0.005,-0.391,0.942,-15.137,5.981,-26.368,
00:00:00:66,0,-0.39,0.937,-15.686,8.911,-23.743,
00:00:00:83,-0.001,-0.39,0.953,-14.527,3.723,-27.161,
00:00:00:100,-0.005,-0.392,0.943,-16.724,13.122,-29.358,
00:00:00:116,0,-0.385,0.94,-17.701,19.165,-30.274,
00:00:00:133,0.004,-0.393,0.939,-12.33,10.253,-30.945,
00:00:00:150,-0.006,-0.388,0.951,-14.588,7.385,-32.044,
00:00:00:166,-0.011,-0.391,0.946,-13.184,20.996,-31.006,
00:00:00:183,-0.002,-0.389,0.946,-16.175,21.118,-30.579,
00:00:00:200,-0.004,-0.39,0.947,-12.391,19.47,-34.607,
00:00:00:216,-0.006,-0.391,0.942,-13.184,26.55,-34.913,
00:00:00:233,0.002,-0.39,0.938,-14.039,29.724,-32.349,
00:00:00:250,0.008,-0.395,0.936,-13.489,21.484,-32.593,
00:00:00:266,0.003,-0.391,0.948,-17.151,9.338,-16.541,
00:00:00:283,-0.007,-0.39,0.945,-15.198,14.404,-32.654,
00:00:00:300,-0.001,-0.389,0.941,-16.663,19.714,-30.457,
00:00:00:316,0.002,-0.389,0.942,-12.879,17.028,-26.917,
00:00:00:333,-0.001,-0.391,0.941,-14.344,11.413,-30.091,
00:00:00:350,-0.003,-0.393,0.943,-14.893,13.305,-27.955,
00:00:00:366,0.001,-0.394,0.944,-14.527,15.197,-24.781,
00:00:00:383,0.002,-0.393,0.94,-16.724,10.864,-26.185,
00:00:00:400,0.001,-0.388,0.944,-16.053,11.291,-24.292,
00:00:00:416,0,-0.39,0.94,-15.931,13.122,-26.612,
00:00:00:433,0.001,-0.392,0.944,-15.931,13.061,-26.673,
00:00:00:450,-0.002,-0.388,0.94,-14.161,12.573,-26.246,
00:00:00:466,0,-0.392,0.944,-14.893,15.686,-25.391,
00:00:00:483,0.001,-0.392,0.942,-16.724,13.488,-25.208,
00:00:00:500,0.03,-0.388,0.946,-18.677,10.62,-22.828,
00:00:00:516,0,-0.393,0.943,-19.227,13.794,-26.551,
00:00:00:533,0.001,-0.389,0.947,-16.724,16.113,-25.696,
00:00:00:550,0.002,-0.388,0.944,-17.884,14.77,-26.49,
00:00:00:566,0.002,-0.387,0.946,-16.602,19.104,-28.26,
00:00:00:583,-0.03,-0.388,0.936,-15.442,18.493,-28.626,
00:00:00:600,0.002,-0.392,0.94,-15.992,17.089,-27.649,
00:00:00:616,0.002,-0.392,0.946,-17.212,13.671,-31.678,
00:00:00:633,-0.002,-0.387,0.949,-15.503,16.967,-30.396,
00:00:00:650,0.002,-0.389,0.939,-13.001,24.108,-28.321,
00:00:00:666,0.007,-0.395,0.946,-14.893,17.456,-26.307,
00:00:00:683,0,-0.39,0.942,-17.09,13.977,-28.016,
00:00:00:700,0,-0.389,0.942,-19.165,30.822,-26.368,
00:00:00:716,0.004,-0.385,0.943,-18.067,18.981,-26.185,
00:00:00:733,0.006,-0.39,0.943,-15.137,17.211,-27.283,
00:00:00:750,0.007,-0.39,0.945,-16.297,11.779,-29.297,
00:00:00:766,0.002,-0.389,0.947,-11.841,10.437,-29.786,
00:00:00:783,-0.006,-0.393,0.947,-11.719,17.089,-28.382,
00:00:00:800,-0.002,-0.394,0.945,-14.527,21.728,-26.307,
00:00:00:816,0.004,-0.39,0.939,-16.541,20.813,-26.185,
00:00:00:833,0.006,-0.386,0.945,-17.945,19.714,-27.527,
00:00:00:850,0.007,-0.389,0.943,-14.1,15.869,-25.757,
00:00:00:866,0.008,-0.39,0.949,-11.475,13.244,-27.1,
00:00:00:883,0.004,-0.39,0.945,-12.513,14.709,-26.429,
00:00:00:900,0,-0.39,0.954,-14.1,14.526,-26.795,
00:00:00:916,0.001,-0.386,0.943,-13.489,17.944,-23.621,
00:00:00:933,0.009,-0.387,0.942,-12.879,17.211,-23.011,
00:00:00:950,0.008,-0.387,0.944,-13.367,14.221,-25.208,
00:00:00:966,0.002,-0.388,0.942,-16.541,15.075,-27.466,
00:00:00:983,0.007,-0.39,0.94,-15.259,17.944,-28.382,
00:00:01:0,0.008,-0.383,0.944,-12.818,16.174,-28.687,
00:00:01:16,0.007,-0.391,0.942,-11.048,10.62,-27.222,
00:00:01:33,0.004,-0.39,0.943,-15.748,11.779,-26.917,
00:00:01:50,0.005,-0.389,0.944,-14.649,15.686,-28.931,
00:00:01:66,0.004,-0.388,0.945,-15.625,13.61,-29.114,
00:00:01:83,0.003,-0.39,0.944,-14.222,12.939,-28.504,
00:00:01:100,0.006,-0.389,0.943,-15.076,13.183,-31.678,
00:00:01:116,0.006,-0.389,0.943,-14.771,13.427,-30.64,
00:00:01:133,0.005,-0.389,0.943,-13.672,15.93,-32.715,
00:00:01:150,0.007,-0.387,0.943,-11.963,16.784,-31.8,
00:00:01:166,0.008,-0.387,0.942,-12.757,16.174,-30.396,
