TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.066,0.4,0.909,-20.203,-48.157,4.089,0,0,0,
,-0.079,0.391,0.914,-30.579,-56.58,4.577,0,0,0,
,-0.084,0.404,0.923,-45.289,-54.383,-0.367,0,0,0,
,-0.086,0.42,0.923,-45.96,-52.796,-7.447,0,0,0,
,-0.093,0.42,0.919,-46.326,-43.885,-15.748,0,0,0,
,-0.09,0.422,0.921,-42.908,-32.898,-26.185,0,0,0,
,-0.082,0.417,0.913,-46.998,-30.579,-32.837,0,0,0,
,-0.077,0.416,0.907,-50.232,-36.805,-40.772,0,0,0,
,-0.082,0.415,0.911,-48.829,-38.575,-44.007,0,0,0,
,-0.086,0.409,0.916,-37.476,-39.185,-45.777,0,0,0,
,-0.097,0.408,0.915,-44.19,-37.659,-30.091,0,0,0,
,-0.101,0.409,0.954,-23.987,-18.25,-38.636,0,0,0,
,-0.104,0.413,0.924,-15.015,14.831,-22.461,0,0,0,
,-0.091,0.4,0.895,-14.161,23.62,-25.33,0,0,0,
,-0.078,0.399,0.908,-19.41,11.169,-26.062,0,0,0,
,-0.085,0.416,0.925,-24.414,1.77,-21.302,0,0,0,
,-0.095,0.422,0.924,-13.611,15.075,-21.973,0,0,0,
,-0.096,0.422,0.903,-8.301,29.174,-24.231,0,0,0,
,-0.085,0.407,0.906,-6.653,25.756,-27.527,0,0,0,
,-0.09,0.415,0.927,-4.639,10.742,-21.424,0,0,0,
,-0.1,0.422,0.915,-0.672,21.484,-26.49,0,0,0,
,-0.092,0.41,0.901,-5.066,29.663,-37.11,0,0,0,
,-0.079,0.415,0.9,-18.372,17.334,-42.176,0,0,0,
,-0.079,0.424,0.924,-9.766,1.464,-48.584,0,0,0,
,-0.091,0.423,0.915,-6.165,8.178,-48.768,0,0,0,
,-0.093,0.415,0.908,-4.517,9.887,-58.411,0,0,0,
,-0.087,0.406,0.922,-3.907,13.183,-60.608,0,0,0,
,-0.09,0.403,0.916,-7.325,10.986,-55.115,0,0,0,
,-0.091,0.406,0.915,-6.714,14.282,-55.787,0,0,0,
,-0.086,0.402,0.914,-9.4,17.334,-56.214,0,0,0,
,-0.088,0.41,0.927,-8.789,13.183,-52.124,0,0,0,
,-0.091,0.417,0.919,-6.287,23.681,-50.904,0,0,0,
,-0.08,0.398,0.903,-1.77,27.954,-50.354,0,0,0,
,-0.068,0.398,0.915,-8.179,15.747,-43.946,0,0,0,
,-0.078,0.407,0.913,-9.4,4.15,-40.772,0,0,0,
,-0.083,0.412,0.915,-11.353,12.695,-42.115,0,0,0,
,-0.075,0.408,0.912,-8.545,7.568,-41.993,0,0,0,
,-0.074,0.423,0.93,2.136,7.385,-40.101,0,0,0,
,-0.081,0.414,0.91,12.573,11.657,-42.237,0,0,0,
,-0.059,0.44,0.929,12.817,20.263,-48.951,0,0,0,
,-0.056,0.401,0.915,33.386,15.441,-50.66,0,0,0,
,-0.074,0.416,0.914,37.841,-7.691,-41.993,0,0,0,
,-0.102,0.392,0.928,47.546,-11.353,-43.519,0,0,0,
,-0.113,0.368,0.944,30.517,20.202,-47.059,0,0,0,
,-0.1,0.384,0.931,11.657,48.889,-49.866,0,0,0,
,-0.081,0.387,0.919,2.746,52.307,-52.185,0,0,0,
,-0.066,0.39,0.913,-11.17,41.565,-52.247,0,0,0,
,-0.061,0.4,0.91,-12.879,25.756,-48.157,0,0,0,
,-0.065,0.399,0.912,-3.174,8.789,-44.251,0,0,0,
,-0.068,0.385,0.923,-3.357,1.892,-42.908,0,0,0,
,-0.074,0.387,0.939,-5.555,7.873,-41.199,0,0,0,
,-0.073,0.399,0.924,-4.944,22.949,-41.932,0,0,0,
,-0.063,0.387,0.877,-9.644,14.831,-43.641,0,0,0,
,-0.061,0.389,0.917,-12.635,0.61,-39.063,0,0,0,
,-0.07,0.392,0.92,-11.414,-8.728,-36.499,0,0,0,
,-0.071,0.393,0.925,-15.015,-4.456,-40.711,0,0,0,
,-0.076,0.395,0.932,-13.55,-4.7,-42.603,0,0,0,
,-0.08,0.396,0.927,-11.048,-2.503,-39.917,0,0,0,
,-0.075,0.381,0.917,-8.851,5.859,-44.617,0,0,0,
,-0.069,0.378,0.922,-16.785,-0.428,-37.781,0,0,0,
,-0.07,0.379,0.927,-21.241,-4.944,-34.546,0,0,0,
,-0.071,0.384,0.92,-29.725,-0.794,-31.189,0,0,0,
,-0.07,0.39,0.922,-29.602,0.549,-32.227,0,0,0,
,-0.066,0.398,0.928,-25.574,-0.55,-31.8,0,0,0,
,-0.075,0.406,0.928,-15.992,-2.198,-28.565,0,0,0,
,-0.083,0.399,0.921,-9.583,10.07,-31.25,0,0,0,
,-0.077,0.389,0.92,-10.804,13.549,-32.837,0,0,0,
,-0.071,0.389,0.932,-10.56,10.07,-29.541,0,0,0,
,-0.073,0.388,0.928,-15.259,13.61,-28.504,0,0,0,
,-0.077,0.389,0.919,-14.832,16.845,-26.429,0,0,0,
,-0.072,0.392,0.925,-15.32,18.554,-26.123,0,0,0,
,-0.067,0.397,0.922,-13.428,20.996,-25.391,0,0,0,
,-0.069,0.394,0.92,-11.902,12.451,-27.039,0,0,0,
,-0.072,0.39,0.932,-7.63,9.826,-25.269,0,0,0,
,-0.077,0.395,0.933,-6.531,18.432,-22.706,0,0,0,
,-0.073,0.389,0.916,-1.343,26.794,-25.086,0,0,0,
,-0.071,0.384,0.922,-3.907,23.376,-28.26,0,0,0,
,-0.065,0.391,0.922,-15.686,19.165,-31.373,0,0,0,
,-0.064,0.397,0.917,-17.029,8.85,-30.64,0,0,0,
,-0.071,0.397,0.921,-13.794,-2.015,-31.128,0,0,0,
,-0.073,0.386,0.936,-3.907,6.591,-26.551,0,0,0,
,-0.076,0.384,0.917,-4.151,13.977,-27.344,0,0,0,
,-0.062,0.379,0.918,-10.621,9.46,-26.49,0,0,0,
,-0.062,0.387,0.915,-18.86,-4.151,-22.278,0,0,0,
,-0.066,0.386,0.925,-0.306,-14.344,-22.583,0,0,0,
,-0.07,0.388,0.924,-18.433,-16.48,-20.813,0,0,0,
,-0.074,0.398,0.929,-15.259,-11.597,-22.522,0,0,0,
,-0.081,0.388,0.925,-13.001,-11.536,-24.964,0,0,0,
,-0.093,0.393,0.935,-16.236,-4.212,-29.664,0,0,0,
,-0.092,0.39,0.929,-17.64,11.108,-32.898,0,0,0,
,-0.082,0.386,0.923,-19.41,23.437,-36.255,0,0,0,
,-0.069,0.384,0.928,-14.588,18.676,-33.387,0,0,0,
,-0.066,0.385,0.922,-19.776,17.273,-31.25,0,0,0,
,-0.069,0.392,0.923,-17.945,12.695,-27.466,0,0,0,
,-0.073,0.392,0.923,-17.823,10.559,-27.894,0,0,0,
,-0.074,0.393,0.919,-12.574,10.742,-25.635,0,0,0,
,-0.079,0.386,0.923,-10.56,8.239,-26.673,0,0,0,
,-0.075,0.381,0.928,-13.123,8.483,-24.537,0,0,0,
,-0.073,0.385,0.926,-18.433,7.568,-23.926,0,0,0,
,-0.077,0.386,0.921,-19.654,4.516,-25.513,0,0,0,
,-0.077,0.396,0.927,-18.677,8.178,-25.94,0,0,0,
,-0.075,0.394,0.921,-15.259,8.667,-26.978,0,0,0,
,-0.073,0.389,0.924,-11.475,2.624,-28.321,0,0,0,
,-0.076,0.386,0.927,-15.992,1.831,-29.053,0,0,0,
,-0.076,0.385,0.926,-21.424,3.479,-29.053,0,0,0,
,-0.074,0.392,0.926,-23.194,6.591,-33.814,0,0,0,
,-0.074,0.393,0.923,-17.09,6.53,-31.983,0,0,0,
,-0.075,0.393,0.921,-12.452,5.188,-31.8,0,0,0,
,-0.076,0.38,0.924,-13.184,1.648,-31.25,0,0,0,
,-0.08,0.382,0.933,-15.259,6.042,-29.053,0,0,0,
,-0.075,0.383,0.923,-25.269,10.742,-29.847,0,0,0,
,-0.071,0.387,0.924,-24.231,6.713,-27.955,0,0,0,
,-0.07,0.392,0.925,-27.161,-1.16,-27.894,0,0,0,
,-0.08,0.393,0.927,-21.18,1.22,-26.123,0,0,0,
,-0.077,0.39,0.928,-18.86,10.62,-27.344,0,0,0,
,-0.074,0.387,0.92,-20.813,16.662,-27.771,0,0,0,
,-0.071,0.4,0.923,-16.907,9.765,-28.992,0,0,0,
,-0.074,0.392,0.92,-13.306,5.432,-29.847,0,0,0,
,-0.078,0.394,0.928,-14.771,3.418,-30.091,0,0,0,
,-0.088,0.387,0.93,-14.588,10.864,-28.382,0,0,0,
,-0.085,0.387,0.923,-17.09,23.925,-31.861,0,0,0,
,-0.069,0.386,0.917,-19.165,24.841,-27.955,0,0,0,
,-0.063,0.389,0.919,-19.165,17.517,-26.673,0,0,0,
,-0.067,0.396,0.928,-15.625,9.338,-24.231,0,0,0,
,-0.077,0.396,0.929,-9.827,11.352,-22.217,0,0,0,
,-0.079,0.392,0.934,-2.076,20.935,-25.94,0,0,0,
,-0.079,0.39,0.93,1.892,27.038,-25.696,0,0,0,
,-0.075,0.386,0.932,4.577,28.015,-31.983,0,0,0,
,-0.072,0.389,0.963,12.268,38.818,-28.992,0,0,0,
,-0.083,0.404,0.984,40.954,77.575,-21.424,0,0,0,
,-0.088,0.391,0.986,63.11,132.69,-21.729,0,0,0,
,-0.091,0.371,0.976,87.341,193.542,-15.625,0,0,0,
,-0.075,0.358,1,100.952,232.36,-14.222,0,0,0,
,-0.075,0.362,0.986,82.702,260.62,-3.907,0,0,0,
,-0.072,0.41,0.948,32.104,242.309,-17.579,0,0,0,
,-0.046,0.38,0.864,-4.639,245.483,-47.974,0,0,0,
,-0.027,0.405,0.805,19.531,234.008,-55.298,0,0,0,
,0.019,0.389,0.9,110.595,193.359,-57.618,0,0,0,
,0.04,0.339,0.926,123.901,144.47,-40.039,0,0,0,
,0.028,0.314,0.915,86.364,102.111,-27.955,0,0,0,
,0.02,0.308,0.923,47.424,75.012,-19.593,0,0,0,
,0.012,0.342,0.924,-11.597,61.401,-8.606,0,0,0,
,0.015,0.336,0.893,-35.035,32.409,-17.029,0,0,0,
,0.014,0.35,0.896,-51.331,15.686,-21.424,0,0,0,
,0.027,0.363,0.9,-49.073,-11.597,-24.781,0,0,0,
,0.034,0.351,0.892,-50.599,-39.063,-25.574,0,0,0,
,0.03,0.352,0.892,-65.552,-80.323,-22.461,0,0,0,
,0.011,0.36,0.915,-67.261,-106.08,-21.607,0,0,0,
,-0.002,0.353,0.941,-67.872,-116.028,-19.41,0,0,0,
,-0.006,0.349,0.941,-76.722,-115.601,-9.156,0,0,0,
