TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.239,-0.379,0.913,21.179,-65.613,6.713,0,0,0,
,0.235,-0.365,0.914,3.356,-70.862,3.356,0,0,0,
,0.225,-0.339,0.923,3.723,-70.313,-0.061,0,0,0,
,0.205,-0.364,0.96,-2.991,-46.998,-2.442,0,0,0,
,0.206,-0.356,0.957,-11.597,-24.292,3.723,0,0,0,
,0.214,-0.352,0.941,-14.893,0.793,12.939,0,0,0,
,0.236,-0.351,0.927,-27.955,29.724,13.488,0,0,0,
,0.26,-0.348,0.911,-29.358,40.649,16.235,0,0,0,
,0.246,-0.349,0.889,-23.194,26.855,9.948,0,0,0,
,0.209,-0.36,0.909,-29.175,30.578,4.455,0,0,0,
,0.248,-0.349,0.931,-42.725,38.696,7.629,0,0,0,
,0.226,-0.342,0.923,-36.866,37.841,8.3,0,0,0,
,0.237,-0.355,0.913,-35.401,35.827,6.652,0,0,0,
,0.242,-0.361,0.901,-44.068,32.592,-4.883,0,0,0,
,0.23,-0.334,0.903,-48.096,17.456,-12.452,0,0,0,
,0.222,-0.324,0.905,-35.584,4.333,-19.776,0,0,0,
,0.227,-0.332,0.934,-20.691,0.854,-26.429,0,0,0,
,0.229,-0.341,0.929,-17.273,-4.456,-21.302,0,0,0,
,0.23,-0.35,0.914,-13.977,-10.01,-24.659,0,0,0,
,0.225,-0.344,0.912,-8.301,-11.109,-23.56,0,0,0,
,0.233,-0.355,0.912,4.394,-17.029,-15.748,0,0,0,
,0.227,-0.362,0.924,8.789,-20.63,-13.733,0,0,0,
,0.217,-0.366,0.926,-8.912,-10.132,-9.888,0,0,0,
,0.234,-0.344,0.929,-26.49,3.479,-4.212,0,0,0,
,0.241,-0.326,0.912,-26.856,-1.587,-7.142,0,0,0,
,0.247,-0.323,0.924,-14.405,1.648,-7.264,0,0,0,
,0.25,-0.353,0.923,-4.7,-2.686,0.854,0,0,0,
,0.248,-0.363,0.901,-11.658,-16.846,2.807,0,0,0,
,0.248,-0.375,0.881,-18.982,-24.476,7.812,0,0,0,
,0.231,-0.352,0.892,-31.373,-37.293,7.446,0,0,0,
,0.224,-0.33,0.909,-32.105,-43.824,6.897,0,0,0,
,0.234,-0.333,0.909,-37.11,-49.439,7.263,0,0,0,
,0.226,-0.318,0.916,-48.462,-45.838,-12.207,0,0,0,
,0.221,-0.338,0.935,-93.079,-34.18,-27.039,0,0,0,
,0.229,-0.3,0.916,-76.783,-31.128,-44.495,0,0,0,
,0.205,-0.244,0.991,-23.194,-24.842,-52.491,0,0,0,
,0.277,-0.289,1,38.757,9.765,-49.439,0,0,0,
,0.232,-0.335,0.963,49.255,35.766,-61.402,0,0,0,
,0.202,-0.335,0.945,16.723,52.673,-57.923,0,0,0,
,0.202,-0.357,0.938,26.672,74.34,-68.238,0,0,0,
,0.216,-0.391,0.901,39.001,86.669,-62.867,0,0,0,
,0.221,-0.386,0.901,-3.724,74.707,-59.51,0,0,0,
,0.191,-0.381,0.914,-23.926,75.744,-52.124,0,0,0,
,0.225,-0.367,0.896,-6.775,70.495,-35.523,0,0,0,
,0.231,-0.384,0.868,-21.973,43.579,-45.35,0,0,0,
,0.223,-0.394,0.88,-81.788,26.123,-39.612,0,0,0,
,0.228,-0.374,0.935,-96.863,27.404,-52.308,0,0,0,
,0.205,-0.372,0.946,-93.201,34.24,-53.284,0,0,0,
,0.211,-0.343,0.923,-92.53,31.921,-47.547,0,0,0,
,0.205,-0.344,0.919,-115.662,41.992,-53.956,0,0,0,
,0.233,-0.308,0.938,-109.62,26.55,-54.444,0,0,0,
,0.21,-0.315,0.947,-100.098,23.986,-59.998,0,0,0,
,0.228,-0.282,0.924,-61.951,8.422,-44.373,0,0,0,
,0.25,-0.302,0.904,-31.556,-13.977,-49.561,0,0,0,
,0.245,-0.289,0.938,-15.015,-37.476,-37.354,0,0,0,
,0.271,-0.282,0.94,19.836,-34.974,-18.433,0,0,0,
,0.268,-0.323,0.898,69.458,-48.89,-19.593,0,0,0,
,0.228,-0.359,0.926,80.505,-60.547,-15.442,0,0,0,
,0.193,-0.391,0.947,47.668,-51.514,-9.888,0,0,0,
,0.183,-0.387,0.924,19.897,-40.955,8.422,0,0,0,
,0.195,-0.39,0.913,-2.686,-37.171,20.874,0,0,0,
,0.195,-0.373,0.91,-39.368,-46.509,42.541,0,0,0,
,0.248,-0.328,0.94,-51.819,-43.702,51.879,0,0,0,
,0.231,-0.304,0.947,-41.199,-40.528,64.086,0,0,0,
,0.249,-0.312,0.926,-8.606,-39.49,69.641,0,0,0,
