TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.146,0.379,0.927,-28.077,-1.16,-21.79,0,0,0,
,-0.154,0.381,0.923,-26.734,3.112,-20.325,0,0,0,
,-0.153,0.383,0.925,-22.583,5.798,-24.781,0,0,0,
,-0.149,0.379,0.924,-21.973,8.789,-26.001,0,0,0,
,-0.143,0.377,0.925,-20.813,9.338,-27.771,0,0,0,
,-0.142,0.38,0.925,-21.973,10.437,-29.297,0,0,0,
,-0.142,0.381,0.922,-22.278,9.094,-29.847,0,0,0,
,-0.146,0.38,0.921,-21.424,8.178,-30.701,0,0,0,
,-0.147,0.383,0.918,-19.349,8.606,-31.311,0,0,0,
,-0.146,0.382,0.924,-21.79,10.009,-34.18,0,0,0,
,-0.149,0.381,0.919,-20.142,9.948,-34.729,0,0,0,
,-0.15,0.382,0.922,-18.128,11.23,-34.546,0,0,0,
,-0.146,0.38,0.925,-16.907,9.887,-34.058,0,0,0,
,-0.144,0.379,0.922,-14.344,11.535,-35.157,0,0,0,
,-0.144,0.378,0.926,-13.55,13.427,-33.692,0,0,0,
,-0.148,0.378,0.928,-14.832,14.709,-33.692,0,0,0,
,-0.149,0.379,0.928,-15.015,13.855,-32.837,0,0,0,
,-0.144,0.381,0.925,-11.475,16.113,-34.607,0,0,0,
,-0.144,0.381,0.924,-9.461,17.028,-33.326,0,0,0,
,-0.139,0.379,0.922,-12.513,17.578,-33.692,0,0,0,
,-0.137,0.381,0.921,-14.222,16.113,-36.011,0,0,0,
,-0.139,0.378,0.923,-15.076,13.183,-37.049,0,0,0,
,-0.143,0.379,0.924,-13.55,13.916,-38.086,0,0,0,
,-0.141,0.379,0.922,-13.977,11.84,-37.659,0,0,0,
,-0.147,0.379,0.92,-18.189,10.437,-36.011,0,0,0,
,-0.148,0.378,0.921,-19.532,11.169,-35.828,0,0,0,
,-0.15,0.379,0.923,-14.771,12.268,-31.434,0,0,0,
,-0.15,0.377,0.927,-13.611,11.413,-29.175,0,0,0,
,-0.148,0.378,0.931,-11.658,15.014,-28.565,0,0,0,
,-0.152,0.376,0.93,-11.475,21.179,-32.715,0,0,0,
,-0.141,0.38,0.932,-12.269,21.667,-33.936,0,0,0,
,-0.135,0.379,0.929,-11.292,24.292,-36.927,0,0,0,
,-0.132,0.38,0.923,-13.245,27.038,-38.147,0,0,0,
,-0.132,0.381,0.921,-15.32,25.39,-35.157,0,0,0,
,-0.138,0.377,0.918,-18.555,24.108,-38.025,0,0,0,
