TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.098,-0.179,0.991,-17.456,12.146,-27.588,0,0,0,
,0.099,-0.182,0.991,-14.039,8.178,-29.786,0,0,0,
,0.098,-0.18,0.993,-15.198,11.718,-28.87,0,0,0,
,0.098,-0.181,0.994,-15.137,11.535,-30.518,0,0,0,
,0.098,-0.181,0.995,-13.794,9.887,-29.969,0,0,0,
,0.1,-0.182,0.991,-13.916,9.216,-31.067,0,0,0,
,0.097,-0.188,0.992,-13.977,10.192,-29.969,0,0,0,
,0.098,-0.182,0.993,-16.297,8.85,-30.091,0,0,0,
,0.097,-0.178,0.991,-14.527,10.986,-28.565,0,0,0,
,0.096,-0.184,0.991,-11.353,9.155,-28.443,0,0,0,
,0.099,-0.186,0.994,-13.916,9.338,-29.908,0,0,0,
,0.099,-0.185,0.994,-18.738,9.521,-29.175,0,0,0,
,0.094,-0.184,0.994,-17.518,8.239,-29.602,0,0,0,
,0.095,-0.179,0.995,-21.79,10.986,-29.419,0,0,0,
,0.098,-0.175,0.993,-17.64,13.549,-32.532,0,0,0,
,0.102,-0.177,0.994,-13.001,8.972,-32.959,0,0,0,
,0.098,-0.182,0.99,-9.766,8.361,-32.349,0,0,0,
,0.098,-0.19,0.993,-11.963,8.483,-30.091,0,0,0,
,0.096,-0.188,0.99,-20.997,8.422,-29.358,0,0,0,
,0.096,-0.179,0.995,-19.104,5.981,-28.26,0,0,0,
,0.095,-0.181,0.997,-18.799,9.46,-28.748,0,0,0,
,0.096,-0.182,0.991,-17.334,9.155,-30.945,0,0,0,
,0.098,-0.185,0.992,-16.846,9.826,-30.579,0,0,0,
,0.095,-0.183,0.99,-19.837,9.338,-29.725,0,0,0,
,0.096,-0.179,0.993,-17.823,12.268,-30.091,0,0,0,
,0.094,-0.18,0.992,-17.029,13.366,-31.006,0,0,0,
,0.097,-0.181,0.991,-15.259,11.962,-32.166,0,0,0,
,0.101,-0.185,0.994,-15.442,10.253,-31.189,0,0,0,
,0.099,-0.184,0.995,-14.344,9.155,-31.006,0,0,0,
,0.093,-0.184,0.991,-15.686,9.521,-29.48,0,0,0,
,0.094,-0.183,0.996,-14.893,12.329,-29.236,0,0,0,
,0.097,-0.181,0.992,-13.916,13.061,-31.556,0,0,0,
,0.096,-0.18,0.991,-16.785,10.376,-30.518,0,0,0,
,0.099,-0.182,0.994,-13.428,10.742,-30.03,0,0,0,
,0.095,-0.183,0.993,-15.137,9.399,-29.114,0,0,0,
,0.098,-0.185,0.998,-14.588,11.718,-28.626,0,0,0,
,0.095,-0.183,0.994,-15.442,11.596,-27.222,0,0,0,
,0.098,-0.181,0.996,-14.1,12.634,-30.823,0,0,0,
,0.097,-0.184,0.99,-15.015,10.376,-28.626,0,0,0,
,0.099,-0.185,0.994,-12.818,10.009,-31.128,0,0,0,
,0.097,-0.186,0.994,-15.625,8.117,-30.762,0,0,0,
,0.096,-0.182,0.994,-17.64,8.972,-27.649,0,0,0,
,0.096,-0.183,0.991,-18.189,11.291,-29.969,0,0,0,
,0.098,-0.181,0.994,-18.738,11.047,-27.039,0,0,0,
,0.097,-0.183,0.99,-16.541,12.207,-28.87,0,0,0,
,0.096,-0.18,0.991,-15.809,10.437,-29.175,0,0,0,
,0.095,-0.183,0.991,-12.33,11.962,-30.64,0,0,0,
,0.096,-0.188,0.992,-13.184,12.817,-29.419,0,0,0,
,0.098,-0.183,0.993,-15.748,11.169,-30.884,0,0,0,
,0.096,-0.187,0.99,-19.349,11.291,-29.908,0,0,0,
,0.093,-0.182,0.992,-19.837,9.887,-30.152,0,0,0,
,0.098,-0.182,0.997,-21.241,9.887,-28.687,0,0,0,
,0.099,-0.183,0.992,-18.25,9.033,-29.175,0,0,0,
,0.097,-0.18,0.991,-19.288,10.803,-30.091,0,0,0,
,0.095,-0.179,0.993,-15.748,7.324,-30.274,0,0,0,
,0.096,-0.185,0.99,-14.771,12.207,-29.419,0,0,0,
,0.097,-0.183,0.992,-17.151,9.826,-30.213,0,0,0,
,0.097,-0.187,0.994,-17.395,9.765,-29.541,0,0,0,
,0.094,-0.183,0.994,-19.349,11.657,-29.969,0,0,0,
,0.097,-0.18,0.994,-20.935,11.291,-29.175,0,0,0,
,0.098,-0.179,0.992,-17.823,12.39,-27.649,0,0,0,
,0.097,-0.179,0.988,-20.752,9.887,-29.664,0,0,0,
,0.099,-0.176,0.993,-16.358,9.948,-30.579,0,0,0,
,0.094,-0.185,0.994,-15.564,7.995,-29.908,0,0,0,
,0.093,-0.179,0.992,-14.893,13.61,-31.25,0,0,0,
,0.098,-0.182,0.994,-11.536,12.939,-31.311,0,0,0,
,0.098,-0.183,0.989,-15.442,10.925,-30.213,0,0,0,
,0.095,-0.186,0.991,-12.024,11.779,-29.602,0,0,0,
,0.098,-0.188,0.984,-16.663,8.911,-28.504,0,0,0,
,0.099,-0.186,0.995,-20.325,7.446,-29.419,0,0,0,
,0.097,-0.182,0.996,-23.682,8.178,-30.03,0,0,0,
,0.097,-0.172,0.991,-21.058,9.765,-30.091,0,0,0,
,0.094,-0.175,0.993,-11.292,12.756,-32.349,0,0,0,
,0.096,-0.18,0.989,-6.409,13.183,-32.471,0,0,0,
,0.098,-0.186,0.991,-8.423,8.422,-33.57,0,0,0,
,0.096,-0.194,0.993,-12.146,11.352,-32.41,0,0,0,
,0.096,-0.188,0.993,-22.461,9.216,-28.992,0,0,0,
,0.099,-0.183,0.991,-24.598,11.596,-28.138,0,0,0,
,0.098,-0.179,0.993,-21.668,8.178,-30.335,0,0,0,
,0.096,-0.177,0.994,-17.579,4.76,-31.128,0,0,0,
,0.095,-0.182,0.994,-15.625,8.789,-30.762,0,0,0,
,0.093,-0.185,0.994,-15.137,9.704,-30.03,0,0,0,
,0.096,-0.183,0.994,-18.555,9.033,-29.847,0,0,0,
,0.095,-0.18,0.995,-19.471,12.085,-31.006,0,0,0,
,0.099,-0.178,0.994,-17.518,11.291,-31.067,0,0,0,
,0.098,-0.182,0.993,-14.832,9.277,-33.204,0,0,0,
,0.1,-0.186,0.989,-12.269,9.277,-28.016,0,0,0,
,0.095,-0.184,0.995,-17.456,8.483,-30.03,0,0,0,
,0.095,-0.184,0.992,-17.09,10.681,-29.786,0,0,0,
,0.094,-0.178,0.993,-14.832,9.582,-28.931,0,0,0,
,0.094,-0.183,0.995,-13.794,10.62,-29.908,0,0,0,
,0.095,-0.184,0.999,-15.259,10.009,-31.189,0,0,0,
,0.097,-0.178,0.992,-22.828,9.277,-30.884,0,0,0,
,0.094,-0.182,0.991,-17.09,7.934,-31.861,0,0,0,
,0.096,-0.182,0.995,-19.288,10.498,-29.725,0,0,0,
,0.102,-0.184,0.992,-19.288,9.826,-32.898,0,0,0,
,0.099,-0.184,0.99,-23.499,7.507,-31.861,0,0,0,
,0.096,-0.18,0.99,-21.973,2.502,-32.532,0,0,0,
,0.092,-0.174,0.995,-17.212,5.004,-32.532,0,0,0,
,0.091,-0.18,0.997,-12.757,9.521,-30.152,0,0,0,
,0.093,-0.183,0.995,-15.198,13,-30.091,0,0,0,
,0.092,-0.183,0.993,-18.189,10.07,-29.908,0,0,0,
,0.098,-0.182,0.994,-16.968,11.23,-31.128,0,0,0,
,0.098,-0.178,0.991,-31.067,9.277,-31.25,0,0,0,
,0.096,-0.179,0.991,-13.794,6.958,-30.579,0,0,0,
,0.093,-0.183,0.989,-12.024,8.789,-30.762,0,0,0,
,0.063,-0.185,0.995,-13.123,10.376,-29.664,0,0,0,
,0.096,-0.183,0.994,-16.663,9.704,-31.739,0,0,0,
,0.094,-0.184,0.991,-19.349,8.056,-29.114,0,0,0,
,0.093,-0.183,0.991,-17.334,10.315,-29.908,0,0,0,
,0.094,-0.182,0.992,-18.921,11.291,-29.969,0,0,0,
,0.098,-0.181,0.998,-19.532,8.728,-31.067,0,0,0,
,0.096,-0.182,0.995,-18.372,11.047,-30.457,0,0,0,
,0.095,-0.181,0.993,-15.564,11.596,-28.992,0,0,0,
,0.097,-0.182,0.991,-15.686,9.521,-28.565,0,0,0,
,0.095,-0.18,0.993,-16.114,9.643,-28.199,0,0,0,
,0.093,-0.184,0.995,-16.785,9.521,-27.71,0,0,0,
,0.096,-0.181,0.993,-18.799,11.352,-28.687,0,0,0,
,0.092,-0.18,0.991,-20.02,12.817,-29.48,0,0,0,
,0.095,-0.179,0.994,-17.945,10.803,-28.199,0,0,0,
,0.098,-0.181,0.994,-18.738,11.108,-29.847,0,0,0,
,0.093,-0.18,0.992,-11.719,9.216,-30.03,0,0,0,
,0.097,-0.175,0.993,-13.55,7.934,-28.26,0,0,0,
,0.093,-0.185,0.994,-10.804,9.46,-28.443,0,0,0,
,0.094,-0.187,0.994,-16.297,11.84,-28.443,0,0,0,
,0.095,-0.189,0.996,-22.583,10.803,-28.626,0,0,0,
,0.094,-0.181,0.994,-24.231,14.099,-29.053,0,0,0,
,0.098,-0.173,0.992,-19.837,14.709,-29.847,0,0,0,
,0.097,-0.175,0.993,-12.391,13.794,-29.969,0,0,0,
,0.097,-0.178,0.994,-7.142,10.498,-30.518,0,0,0,
,0.095,-0.186,0.992,-9.949,10.437,-31.8,0,0,0,
