TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.241,-0.083,0.987,114.929,38.574,-51.636,0,0,0,
,0.247,-0.08,0.972,113.586,26.855,-44.739,0,0,0,
,0.246,-0.084,0.984,125.061,31.921,-33.02,0,0,0,
,0.247,-0.094,0.988,132.751,16.723,-24.72,0,0,0,
,0.247,-0.088,0.975,144.043,22.216,-17.212,0,0,0,
,0.233,-0.105,0.963,146.972,26.794,-14.466,0,0,0,
,0.226,-0.111,0.952,109.069,25.024,-9.644,0,0,0,
,0.223,-0.13,0.953,83.252,27.343,-22.278,0,0,0,
,0.227,-0.147,0.961,46.875,31.433,-18.921,0,0,0,
,0.246,-0.124,0.963,0.305,28.259,-24.72,0,0,0,
,0.251,-0.119,0.961,-26.185,22.949,-20.325,0,0,0,
,0.255,-0.118,0.96,-47.73,23.01,-19.898,0,0,0,
,0.26,-0.109,0.956,-65.918,18.371,-19.165,0,0,0,
,0.249,-0.103,0.947,-82.215,13.977,-13.733,0,0,0,
,0.239,-0.097,0.936,-88.44,8.606,-13.245,0,0,0,
,0.239,-0.103,0.939,-86.365,10.925,-11.536,0,0,0,
,0.236,-0.105,0.951,-80.201,14.465,-10.01,0,0,0,
,0.228,-0.112,0.963,-72.449,19.714,-10.132,0,0,0,
,0.234,-0.108,0.981,-77.942,24.231,-12.391,0,0,0,
,0.244,-0.095,0.972,-89.722,22.705,-8.851,0,0,0,
,0.247,-0.076,0.967,-94.666,23.62,-7.569,0,0,0,
,0.25,-0.076,0.972,-92.347,27.282,-7.386,0,0,0,
,0.252,-0.083,0.984,-85.816,26.001,-4.7,0,0,0,
,0.247,-0.085,0.976,-86.67,20.813,-3.113,0,0,0,
,0.244,-0.076,0.973,-84.29,18.432,-3.296,0,0,0,
,0.251,-0.079,0.959,-85.328,17.761,-3.602,0,0,0,
,0.255,-0.071,0.955,-100.403,5.554,-5.005,0,0,0,
,0.279,-0.057,0.944,-114.502,-1.893,-0.794,0,0,0,
,0.238,-0.057,0.942,-119.141,-7.203,-3.663,0,0,0,
,0.231,-0.042,0.96,-102.478,-5.066,-4.761,0,0,0,
,0.246,-0.051,0.963,-86.853,-4.822,-7.264,0,0,0,
,0.251,-0.041,0.958,-76.722,-12.879,-2.93,0,0,0,
,0.23,-0.043,0.976,-72.632,-15.809,-3.785,0,0,0,
,0.23,-0.034,0.994,-65.918,-8.24,-6.226,0,0,0,
,0.25,-0.025,1.002,-51.148,-3.54,-10.315,0,0,0,
,0.247,-0.033,1.002,-38.086,-2.747,-7.935,0,0,0,
,0.24,-0.035,0.994,-37.11,-7.325,-9.766,0,0,0,
,0.237,-0.026,0.969,-35.401,-3.907,-12.146,0,0,0,
,0.232,-0.02,0.974,-27.527,1.586,-13.55,0,0,0,
,0.23,-0.023,0.995,-12.879,10.742,-16.602,0,0,0,
,0.237,-0.032,1.011,5.371,17.761,-20.813,0,0,0,
,0.245,-0.037,1.008,12.023,19.47,-21.18,0,0,0,
,0.245,-0.041,0.99,5.554,15.869,-21.241,0,0,0,
,0.242,-0.038,0.978,1.037,17.15,-19.043,0,0,0,
,0.237,-0.048,0.977,10.62,20.019,-21.363,0,0,0,
,0.242,-0.05,0.972,9.033,24.841,-23.133,0,0,0,
,0.243,-0.037,0.979,-0.794,25.39,-20.447,0,0,0,
,0.241,-0.006,0.957,22.644,13.488,-18.738,0,0,0,
,0.229,0.058,0.965,140.747,14.831,-4.456,0,0,0,
,0.214,-0.013,0.983,249.817,44.372,-10.743,0,0,0,
,0.28,-0.095,0.978,230.407,60.363,-14.588,0,0,0,
,0.265,-0.161,0.961,175.109,36.01,-8.057,0,0,0,
,0.22,-0.192,0.974,61.279,26.55,-14.954,0,0,0,
,0.232,-0.101,0.948,8.85,21.789,-23.072,0,0,0,
,0.232,-0.07,0.976,8.606,30.212,-24.292,0,0,0,
,0.248,-0.064,0.965,-0.733,28.808,-27.649,0,0,0,
,0.243,-0.079,0.972,-32.654,30.456,-22.889,0,0,0,
,0.246,-0.07,0.966,-70.74,20.874,-24.903,0,0,0,
