TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.279,0.187,0.944,-13.977,13.244,-30.152,
00:00:00:16,0.279,0.189,0.942,-1.709,18.676,-29.908,
00:00:00:33,0.279,0.187,0.942,7.934,22.216,-35.218,
00:00:00:50,0.284,0.175,0.94,11.474,22.827,-33.936,
00:00:00:66,0.288,0.169,0.932,7.019,21.484,-32.166,
00:00:00:83,0.286,0.169,0.942,0.122,18.859,-33.02,
00:00:00:100,0.285,0.165,0.94,-3.724,19.165,-32.227,
00:00:00:116,0.284,0.166,0.94,-5.921,16.235,-28.626,
00:00:00:133,0.287,0.184,0.939,4.821,16.296,-28.748,
00:00:00:150,0.283,0.181,0.948,20.08,23.01,-32.715,
00:00:00:166,0.29,0.166,0.941,25.39,26.794,-33.265,
00:00:00:183,0.288,0.151,0.94,18.249,23.437,-30.518,
00:00:00:200,0.295,0.155,0.938,3.418,18.92,-31.617,
00:00:00:216,0.286,0.161,0.943,-6.165,16.723,-29.725,
00:00:00:233,0.286,0.172,0.941,-5.555,15.869,-28.565,
00:00:00:250,0.285,0.159,0.945,1.098,18.737,-26.429,
00:00:00:266,0.29,0.148,0.942,-6.653,16.296,-28.443,
00:00:00:283,0.293,0.153,0.939,-22.461,12.512,-27.649,
00:00:00:300,0.29,0.169,0.906,-33.631,9.155,-30.457,
00:00:00:316,0.292,0.177,0.939,-24.353,8.3,-26.062,
00:00:00:333,0.283,0.168,0.944,-17.395,8.422,-23.072,
00:00:00:350,0.284,0.154,0.948,-14.588,11.291,-25.269,
00:00:00:366,0.311,0.159,0.942,-23.987,12.329,-26.49,
00:00:00:383,0.284,0.174,0.945,-27.832,15.319,-30.823,
00:00:00:400,0.291,0.173,0.937,-19.654,17.089,-30.457,
00:00:00:416,0.286,0.171,0.942,-14.527,15.197,-16.236,
00:00:00:433,0.291,0.165,0.939,-7.508,16.174,-28.931,
00:00:00:450,0.293,0.154,0.939,-12.574,15.197,-30.884,
00:00:00:466,0.289,0.165,0.944,-21.424,12.329,-35.401,
00:00:00:483,0.284,0.171,0.939,-20.997,11.84,-31.739,
00:00:00:500,0.286,0.166,0.942,-14.161,15.197,-32.044,
00:00:00:516,0.292,0.157,0.937,-17.09,12.634,-30.457,
00:00:00:533,0.29,0.158,0.936,-21.424,12.023,-32.044,
00:00:00:550,0.289,0.17,0.939,-19.288,13.427,-29.114,
00:00:00:566,0.288,0.172,0.939,-12.574,16.113,-28.016,
00:00:00:583,0.288,0.167,0.942,-7.508,20.629,-30.762,
00:00:00:600,0.286,0.163,0.935,-10.987,17.456,-30.579,
00:00:00:616,0.287,0.169,0.94,-10.865,19.226,-29.297,
00:00:00:633,0.292,0.164,0.937,-11.475,18.31,-32.044,
00:00:00:650,0.294,0.167,0.944,-9.583,17.517,-33.875,
00:00:00:666,0.292,0.17,0.938,-10.193,17.395,-31.311,
00:00:00:683,0.289,0.169,0.939,-9.278,18.066,-33.814,
00:00:00:700,0.289,0.166,0.94,-7.081,18.31,-33.997,
00:00:00:716,0.29,0.161,0.937,-6.47,14.038,-31.556,
00:00:00:733,0.293,0.159,0.941,-14.039,11.718,-32.105,
00:00:00:750,0.294,0.157,0.938,-15.137,11.962,-28.748,
00:00:00:766,0.292,0.164,0.941,-16.297,8.239,-27.894,
00:00:00:783,0.289,0.168,0.943,-12.757,11.84,-29.114,
00:00:00:800,0.288,0.166,0.943,-11.902,17.15,-31.556,
00:00:00:816,0.289,0.161,0.944,-6.775,15.991,-32.044,
00:00:00:833,0.289,0.153,0.939,-10.01,12.939,-29.602,
00:00:00:850,0.291,0.156,0.941,-23.316,9.399,-31.617,
00:00:00:866,0.29,0.171,0.937,-27.527,9.033,-32.532,
00:00:00:883,0.289,0.176,0.943,-16.968,10.498,-29.358,
00:00:00:900,0.289,0.162,0.939,-11.353,11.108,-28.809,
00:00:00:916,0.29,0.155,0.945,-13.245,12.146,-29.602,
00:00:00:933,0.293,0.158,0.942,-20.203,13.305,-29.297,
00:00:00:950,0.288,0.167,0.942,-21.18,14.648,-31.861,
00:00:00:966,0.287,0.164,0.939,-11.353,15.319,-28.199,
00:00:00:983,0.289,0.157,0.938,-12.757,11.596,-27.894,
00:00:01:0,0.292,0.157,0.939,-18.555,15.319,-28.748,
00:00:01:16,0.295,0.17,0.94,-18.677,12.451,-28.687,
00:00:01:33,0.288,0.169,0.943,-15.137,10.498,-27.588,
00:00:01:50,0.29,0.166,0.937,-13.489,11.596,-30.701,
00:00:01:66,0.293,0.164,0.941,-10.437,10.131,-29.786,
00:00:01:83,0.292,0.16,0.937,-14.527,10.925,-30.213,
00:00:01:100,0.288,0.167,0.94,-14.039,12.146,-30.457,
00:00:01:116,0.291,0.162,0.944,-10.621,12.756,-26.551,
00:00:01:133,0.289,0.164,0.939,-13.001,18.066,-29.969,
00:00:01:150,0.29,0.163,0.938,-12.574,11.291,-30.274,
00:00:01:166,0.296,0.158,0.942,-16.541,9.094,-28.016,
00:00:01:183,0.291,0.158,0.938,-18.799,8.606,-28.26,
00:00:01:200,0.292,0.165,0.942,-19.288,8.544,-29.664,
00:00:01:216,0.29,0.166,0.936,-16.968,12.329,-28.565,
00:00:01:233,0.289,0.171,0.944,-13.367,11.657,-29.541,
00:00:01:250,0.286,0.16,0.94,-11.536,10.986,-28.443,
00:00:01:266,0.289,0.162,0.941,-12.635,14.16,-31.189,
00:00:01:283,0.291,0.162,0.934,-15.198,9.948,-27.405,
00:00:01:300,0.295,0.16,0.938,-15.931,9.521,-26.917,
00:00:01:316,0.289,0.165,0.94,-18.738,10.925,-28.016,
00:00:01:333,0.286,0.166,0.94,-15.442,13,-27.161,
00:00:01:350,0.291,0.162,0.943,-16.724,11.84,-28.382,
00:00:01:366,0.288,0.163,0.937,-18.555,10.009,-28.321,
00:00:01:383,0.288,0.164,0.941,-18.006,8.789,-28.016,
00:00:01:400,0.285,0.168,0.941,-18.921,10.742,-29.297,
00:00:01:416,0.288,0.167,0.941,-13.916,10.803,-30.701,
00:00:01:433,0.287,0.158,0.94,-14.954,12.573,-27.771,
00:00:01:450,0.289,0.159,0.937,-19.654,9.46,-30.945,
00:00:01:466,0.29,0.169,0.942,-20.142,10.681,-29.725,
00:00:01:483,0.291,0.168,0.939,-15.137,11.657,-27.1,
00:00:01:500,0.287,0.165,0.944,-13.977,11.901,-27.405,
00:00:01:516,0.287,0.159,0.942,-18.067,12.085,-27.588,
00:00:01:533,0.288,0.166,0.945,-18.555,11.718,-30.579,
00:00:01:550,0.293,0.166,0.939,-15.931,10.925,-29.48,
00:00:01:566,0.291,0.163,0.938,-0.672,10.803,-26.978,
00:00:01:583,0.292,0.164,0.941,-16.297,7.69,-28.748,
00:00:01:600,0.285,0.166,0.94,-20.569,9.765,-29.786,
00:00:01:616,0.287,0.176,0.94,-16.785,12.634,-30.579,
00:00:01:633,0.291,0.171,0.941,-10.437,10.437,-30.518,
00:00:01:650,0.284,0.161,0.947,-7.325,15.564,-29.602,
00:00:01:666,0.291,0.153,0.941,-11.78,13.732,-30.03,
00:00:01:683,0.288,0.166,0.94,-19.532,14.221,-32.227,
00:00:01:700,0.292,0.168,0.94,-14.344,14.709,-26.368,
00:00:01:716,0.291,0.161,0.937,-16.724,12.573,-26.062,
00:00:01:733,0.29,0.163,0.944,-17.579,11.962,-27.955,
00:00:01:750,0.286,0.162,0.94,-16.968,10.742,-25.94,
00:00:01:766,0.288,0.172,0.94,-18.25,9.643,-30.091,
00:00:01:783,0.285,0.173,0.943,-13.306,12.512,-31.678,
00:00:01:800,0.287,0.166,0.94,-8.912,14.648,-31.739,
00:00:01:816,0.287,0.161,0.944,-12.757,9.521,-31.006,
00:00:01:833,0.291,0.16,0.936,-16.846,12.939,-29.358,
00:00:01:850,0.291,0.165,0.94,-16.541,13.549,-29.48,
00:00:01:866,0.287,0.166,0.939,-16.724,10.131,-28.504,
00:00:01:883,0.288,0.17,0.943,-14.649,15.869,-29.908,
