TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.17,-0.202,0.974,2.258,20.752,-16.175,
00:00:00:16,0.177,-0.193,0.97,-7.386,21.789,-19.837,
00:00:00:33,0.183,-0.189,0.96,-14.283,12.329,-22.706,
00:00:00:50,0.177,-0.187,0.951,-21.668,8.606,-26.246,
00:00:00:66,0.176,-0.197,0.949,-30.945,5.065,-26.429,
00:00:00:83,0.166,-0.197,0.949,-29.541,3.601,-27.222,
00:00:00:100,0.168,-0.207,0.956,-29.786,9.521,-33.509,
00:00:00:116,0.175,-0.205,0.965,-25.635,11.779,-33.02,
00:00:00:133,0.179,-0.205,0.973,-17.456,11.779,-29.358,
00:00:00:150,0.179,-0.211,0.983,-13.794,11.169,-16.114,
00:00:00:166,0.181,-0.214,0.977,-17.456,7.873,-31.678,
00:00:00:183,0.173,-0.197,0.969,-41.199,-0.916,-35.645,
00:00:00:200,0.165,-0.196,0.963,-33.692,8.422,-32.288,
00:00:00:216,0.171,-0.198,0.966,-23.255,12.146,-35.279,
00:00:00:233,0.182,-0.2,0.975,-20.935,12.146,-34.058,
00:00:00:250,0.181,-0.201,0.983,-18.616,12.39,-33.387,
00:00:00:266,0.181,-0.214,0.99,-19.532,8.911,-31.128,
00:00:00:283,0.181,-0.212,0.979,-27.894,7.019,-27.222,
00:00:00:300,0.179,-0.209,0.972,-28.321,2.136,-26.856,
00:00:00:316,0.176,-0.209,0.969,-22.4,9.704,-27.588,
00:00:00:333,0.177,-0.204,0.962,-11.353,12.634,-29.48,
00:00:00:350,0.172,-0.203,0.968,-12.024,11.413,-26.062,
00:00:00:366,0.168,-0.2,0.999,-14.1,15.808,-27.1,
00:00:00:383,0.171,-0.192,0.971,-18.616,16.54,-26.673,
00:00:00:400,0.173,-0.19,0.979,-18.616,16.418,-29.419,
00:00:00:416,0.179,-0.194,0.977,-20.447,13,-29.786,
00:00:00:433,0.174,-0.2,0.969,-29.847,10.986,-30.152,
00:00:00:450,0.174,-0.197,0.963,-33.692,9.277,-31.861,
00:00:00:466,0.175,-0.197,0.985,-14.1,18.92,-26.246,
00:00:00:483,0.177,-0.199,0.987,-13.245,19.043,-27.649,
00:00:00:500,0.18,-0.206,0.991,-13.733,16.723,-25.33,
00:00:00:516,0.176,-0.199,0.982,-20.447,13.366,-26.673,
00:00:00:533,0.182,-0.203,0.978,-22.461,10.253,-25.269,
00:00:00:550,0.178,-0.207,0.973,-18.494,12.39,-30.823,
00:00:00:566,0.18,-0.205,0.972,-14.71,15.625,-31.189,
00:00:00:583,0.178,-0.201,0.976,-16.663,15.258,-33.265,
00:00:00:600,0.18,-0.196,0.984,-18.616,13.122,-32.593,
00:00:00:616,0.176,-0.193,0.987,-20.569,10.803,-35.096,
00:00:00:633,0.179,-0.196,0.983,-19.776,10.62,-31.495,
00:00:00:650,0.178,-0.202,0.977,-21.424,7.446,-32.959,
00:00:00:666,0.179,-0.204,0.967,-29.541,9.521,-32.776,
00:00:00:683,0.178,-0.2,0.965,-25.452,7.446,-32.044,
00:00:00:700,0.168,-0.202,0.971,-21.058,8.361,-27.466,
