TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,0.179,-0.277,0.96,-14.344,15.869,-32.593,0,0,0,
,0.178,-0.281,0.959,-9.766,15.319,-36.805,0,0,0,
,0.176,-0.286,0.95,-6.958,15.014,-36.011,0,0,0,
,0.176,-0.289,0.955,-10.132,14.221,-36.56,0,0,0,
,0.17,-0.288,0.954,-11.536,13.794,-35.95,0,0,0,
,0.17,-0.284,0.955,-10.071,13.488,-38.025,0,0,0,
,0.174,-0.285,0.954,-3.296,7.385,-36.499,0,0,0,
,0.171,-0.288,0.951,1.281,9.46,-38.331,0,0,0,
,0.177,-0.302,0.956,-3.907,7.934,-38.392,0,0,0,
,0.175,-0.299,0.954,-16.053,16.479,-33.692,0,0,0,
,0.181,-0.284,0.955,-18.189,9.826,-29.602,0,0,0,
,0.181,-0.278,0.952,-9.705,12.085,-31.189,0,0,0,
,0.17,-0.286,0.953,0.915,5.676,-28.016,0,0,0,
,0.172,-0.301,0.954,-2.442,5.31,-30.762,0,0,0,
,0.165,-0.297,0.954,-12.085,9.643,-28.626,0,0,0,
,0.168,-0.291,0.957,-20.264,15.441,-26.917,0,0,0,
,0.175,-0.287,0.954,-17.945,15.502,-28.077,0,0,0,
,0.178,-0.288,0.955,-13.733,11.657,-26.856,0,0,0,
,0.17,-0.294,0.955,-7.264,8.056,-24.964,0,0,0,
,0.17,-0.297,0.955,-12.635,9.094,-25.818,0,0,0,
,0.17,-0.293,0.956,-19.104,14.77,-24.231,0,0,0,
,0.175,-0.281,0.953,-16.968,14.099,-26.123,0,0,0,
,0.177,-0.282,0.958,-8.973,9.46,-29.48,0,0,0,
,0.166,-0.289,0.958,-6.531,5.798,-28.931,0,0,0,
,0.17,-0.292,0.953,-6.897,10.253,-31.128,0,0,0,
,0.173,-0.297,0.954,-12.024,10.376,-32.959,0,0,0,
,0.174,-0.29,0.955,-15.137,15.197,-46.692,0,0,0,
