TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.16,0.649,0.686,282.348,74.157,-122.132,
00:00:00:16,-0.142,0.661,0.706,263.977,67.382,-110.657,
00:00:00:33,-0.124,0.632,0.748,214.172,57.739,-75.44,
00:00:00:50,-0.161,0.639,0.737,128.967,86.669,-76.172,
00:00:00:66,-0.156,0.661,0.748,115.295,97.29,-70.801,
00:00:00:83,-0.126,0.67,0.761,171.203,97.534,-68.97,
00:00:00:100,-0.117,0.671,0.747,227.539,112.304,-60.852,
00:00:00:116,-0.109,0.699,0.782,304.199,137.146,-60.486,
00:00:00:133,-0.1,0.668,0.787,345.337,127.38,-59.876,
00:00:00:150,-0.096,0.529,0.828,261.047,96.374,-69.214,
00:00:00:166,-0.123,0.47,0.82,6.103,77.941,-76.661,
00:00:00:183,-0.099,0.535,0.824,-146.485,39.001,-89.539,
00:00:00:200,-0.108,0.638,0.781,-268.25,9.338,-60.303,
00:00:00:216,-0.126,0.678,0.74,-220.276,6.713,-62.012,
00:00:00:233,-0.126,0.681,0.735,-169.861,0.732,-57.801,
00:00:00:250,-0.131,0.697,0.714,-134.583,5.127,-83.741,
00:00:00:266,-0.114,0.678,0.715,-73.548,-31.739,-95.337,
00:00:00:283,-0.112,0.669,0.714,-48.157,-60.242,-70.13,
00:00:00:300,-0.107,0.672,0.773,-41.321,-80.201,-73.792,
00:00:00:316,-0.106,0.633,0.823,-78.064,-90.638,-90.088,
00:00:00:333,-0.14,0.625,0.836,-88.562,-65.125,-93.506,
00:00:00:350,-0.152,0.635,0.79,-80.14,-3.54,-99.732,
00:00:00:366,-0.115,0.671,0.749,-39.612,9.277,-66.651,
00:00:00:383,-0.117,0.675,0.731,-26.185,10.803,-36.805,
00:00:00:400,-0.135,0.665,0.728,-48.706,12.817,-33.387,
00:00:00:416,-0.137,0.673,0.763,-86.853,13.244,-19.715,
00:00:00:433,-0.13,0.739,0.768,-90.638,54.382,-31.25,
00:00:00:450,-0.103,0.717,0.747,18.127,67.504,-43.519,
00:00:00:466,-0.109,0.697,0.742,131.958,77.514,-49.378,
00:00:00:483,-0.101,0.647,0.749,173.156,72.265,-82.337,
00:00:00:500,-0.092,0.617,0.754,201.233,75.378,-91.675,
00:00:00:516,-0.081,0.583,0.758,202.392,54.748,-88.074,
00:00:00:533,-0.076,0.563,0.757,120.422,26.855,-48.768,
00:00:00:550,-0.088,0.584,0.786,-52.552,2.99,-20.752,
00:00:00:566,-0.088,0.661,0.784,-171.448,-10.682,-20.325,
00:00:00:583,-0.079,0.704,0.761,-89.356,-37.903,-30.945,
00:00:00:600,-0.067,0.602,0.805,-99.61,-79.529,20.629,
00:00:00:616,-0.12,0.62,0.792,-255.555,-86.487,18.859,
00:00:00:633,-0.107,0.689,0.759,-254.639,-83.68,10.559,
00:00:00:650,-0.112,0.67,0.739,-171.814,-89.478,15.38,
00:00:00:666,-0.145,0.646,0.746,-130.677,-83.191,23.376,
00:00:00:683,-0.145,0.665,0.738,-145.264,-49.622,21.423,
00:00:00:700,-0.119,0.669,0.715,-164.49,-44.434,23.925,
00:00:00:716,-0.129,0.667,0.727,-182.923,-70.801,39.367,
00:00:00:733,-0.149,0.661,0.725,-213.746,-66.712,35.766,
00:00:00:750,-0.144,0.653,0.705,-214.539,-52.552,37.109,
00:00:00:766,-0.147,0.693,0.69,-202.271,-40.101,44.555,
00:00:00:783,-0.135,0.695,0.696,-196.289,-40.345,39.123,
00:00:00:800,-0.15,0.713,0.688,-155.518,-33.997,31.982,
00:00:00:816,-0.159,0.673,0.654,-113.892,-26.978,27.954,
