TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,ECG_I,ECG_II,ECG_III,TAG
,-0.097,-0.584,0.839,-15.748,16.113,-32.227,0,0,0,
,-0.098,-0.582,0.837,-17.212,16.601,-30.823,0,0,0,
,-0.097,-0.581,0.838,-18.616,16.967,-32.288,0,0,0,
,-0.096,-0.581,0.837,-17.212,16.967,-31.739,0,0,0,
,-0.098,-0.58,0.837,-19.165,15.869,-30.396,0,0,0,
,-0.096,-0.584,0.839,-19.043,17.944,-30.884,0,0,0,
,-0.096,-0.579,0.835,-16.602,13.61,-32.105,0,0,0,
,-0.096,-0.583,0.838,-17.029,15.136,-31.556,0,0,0,
,-0.096,-0.579,0.841,-15.87,12.39,-30.884,0,0,0,
,-0.094,-0.582,0.839,-15.992,17.578,-31.861,0,0,0,
,-0.125,-0.579,0.835,-17.09,13.671,-32.227,0,0,0,
,-0.097,-0.581,0.839,-16.236,14.221,-32.349,0,0,0,
,-0.098,-0.581,0.84,-18.128,15.808,-30.64,0,0,0,
,-0.099,-0.58,0.842,-16.724,15.991,-30.762,0,0,0,
,-0.097,-0.582,0.838,-16.236,17.7,-30.884,0,0,0,
,-0.096,-0.577,0.84,-15.137,15.808,-29.602,0,0,0,
,-0.097,-0.585,0.843,-10.56,18.127,-31.617,0,0,0,
,-0.097,-0.579,0.836,-12.207,15.625,-30.701,0,0,0,
,-0.096,-0.586,0.84,-13.001,15.319,-32.166,0,0,0,
,-0.095,-0.582,0.836,-13.55,16.418,-31.006,0,0,0,
,-0.096,-0.582,0.836,-15.748,17.089,-30.518,0,0,0,
,-0.095,-0.581,0.839,-15.442,19.165,-31.25,0,0,0,
,-0.097,-0.582,0.836,-14.649,29.419,-30.701,0,0,0,
,-0.097,-0.586,0.838,-17.151,17.517,-31.434,0,0,0,
,-0.094,-0.577,0.84,-14.283,16.357,-30.213,0,0,0,
,-0.099,-0.584,0.839,-14.832,18.981,-30.274,0,0,0,
